School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Newton - Charles E Brown Middle;02070310;SCI;          13;68;           7;37;           6;32;           4;21;           2;11;          19;     515.6;;;81;2019;ALL;multi-race
Newton - Countryside;02070040;ELA;           6;60;           1;10;           5;50;           2;20;           2;20;          10;     511.6;;           5;;2019;ALL;multi-race
Newton - Countryside;02070040;MATH;           7;70;           1;10;           6;60;           2;20;           1;10;          10;     512.8;;           5;;2019;ALL;multi-race
Newton - F A Day Middle;02070315;ELA;          42;72;          11;19;          31;53;          13;22;           3;5;          58;     512.6;          51.5;          58;73;2019;ALL;multi-race
Newton - F A Day Middle;02070315;MATH;          47;81;          19;33;          28;48;           9;16;           2;3;          58;     517.0;          58.6;          58;86;2019;ALL;multi-race
Newton - F A Day Middle;02070315;SCI;          17;68;           6;24;          11;44;           6;24;           2;8;          25;     511.1;;;75;2019;ALL;multi-race
Newton - Franklin;02070055;ELA;          11;85;           3;23;           8;62;           2;15;           0;0;          13;     514.7;;           8;79;2019;ALL;multi-race
Newton - Franklin;02070055;MATH;           8;62;           3;23;           5;38;           5;38;           0;0;          13;     512.5;;           8;77;2019;ALL;multi-race
Newton - Horace Mann;02070075;ELA;          17;85;           6;30;          11;55;           3;15;           0;0;          20;     519.4;;          11;88;2019;ALL;multi-race
Newton - Horace Mann;02070075;MATH;          16;80;           2;10;          14;70;           4;20;           0;0;          20;     510.5;;          11;72;2019;ALL;multi-race
Newton - John Ward;02070120;ELA;           9;75;           4;33;           5;42;           2;17;           1;8;          12;     514.8;;           8;79;2019;ALL;multi-race
Newton - John Ward;02070120;MATH;          10;83;           3;25;           7;58;           2;17;           0;0;          12;     515.0;;           8;82;2019;ALL;multi-race
Newton - Lincoln-Eliot;02070070;ELA;           8;73;           1;9;           7;64;           2;18;           1;9;          11;     512.3;;           8;72;2019;ALL;multi-race
Newton - Lincoln-Eliot;02070070;MATH;           7;64;           4;36;           3;27;           3;27;           1;9;          11;     509.0;;           8;69;2019;ALL;multi-race
Newton - Mason-Rice;02070080;ELA;          13;65;           4;20;           9;45;           6;30;           1;5;          20;     511.4;;          11;70;2019;ALL;multi-race
Newton - Mason-Rice;02070080;MATH;          17;85;           4;20;          13;65;           3;15;           0;0;          20;     513.8;;          11;80;2019;ALL;multi-race
Newton - Memorial Spaulding;02070105;ELA;          13;81;           3;19;          10;63;           3;19;           0;0;          16;     517.6;;          10;84;2019;ALL;multi-race
Newton - Memorial Spaulding;02070105;MATH;          12;75;           3;19;           9;56;           4;25;           0;0;          16;     511.3;;          10;74;2019;ALL;multi-race
Newton - Oak Hill Middle;02070320;ELA;          31;74;          10;24;          21;50;           8;19;           3;7;          42;     513.1;          55.3;          40;75;2019;ALL;multi-race
Newton - Oak Hill Middle;02070320;MATH;          28;65;          17;40;          11;26;          11;26;           4;9;          43;     512.9;          59.6;          41;78;2019;ALL;multi-race
Newton - Oak Hill Middle;02070320;SCI;          11;65;           4;24;           7;41;           6;35;           0;0;          17;     513.6;;;77;2019;ALL;multi-race
Newton - Zervas;02070130;ELA;          13;81;           1;6;          12;75;           3;19;           0;0;          16;     512.1;;          10;71;2019;ALL;multi-race
Newton - Zervas;02070130;MATH;          10;63;           0;0;          10;63;           5;31;           1;6;          16;     503.4;;          10;58;2019;ALL;multi-race
Norfolk - Freeman-Kennedy School;02080005;ELA;           7;50;           3;21;           4;29;           7;50;           0;0;          14;     509.0;;          10;64;2019;ALL;multi-race
Norfolk - Freeman-Kennedy School;02080005;MATH;           9;64;           2;14;           7;50;           5;36;           0;0;          14;     509.5;;          10;70;2019;ALL;multi-race
North Adams - Drury High;02090505;ELA;           2;17;           2;17;           0;0;           6;50;           4;33;          12;     483.2;;          11;3;2019;ALL;multi-race
North Adams - Drury High;02090505;MATH;           2;17;           0;0;           2;17;           6;50;           4;33;          12;     478.8;;          12;3;2019;ALL;multi-race
North Adams - Greylock;02090015;ELA;           3;25;           0;0;           3;25;           6;50;           3;25;          12;     482.1;;          11;2;2019;ALL;multi-race
North Adams - Greylock;02090015;MATH;           4;33;           0;0;           4;33;           7;58;           1;8;          12;     491.0;;          11;18;2019;ALL;multi-race
North Andover - Annie L Sargent School;02110018;ELA;           7;58;           2;17;           5;42;           5;42;           0;0;          12;     504.0;;           7;53;2019;ALL;multi-race
North Andover - Annie L Sargent School;02110018;MATH;           7;58;           2;17;           5;42;           4;33;           1;8;          12;     504.8;;           7;62;2019;ALL;multi-race
North Andover - North Andover Middle;02110305;ELA;          22;76;           5;17;          17;59;           6;21;           1;3;          29;     512.0;          60.0;          28;71;2019;ALL;multi-race
North Andover - North Andover Middle;02110305;MATH;          21;72;           5;17;          16;55;           7;24;           1;3;          29;     511.5;          55.7;          28;75;2019;ALL;multi-race
North Andover - North Andover Middle;02110305;SCI;           7;70;           3;30;           4;40;           2;20;           1;10;          10;     510.0;;;72;2019;ALL;multi-race
North Andover - Thomson;02110020;ELA;           6;60;           2;20;           4;40;           3;30;           1;10;          10;     508.1;;           7;62;2019;ALL;multi-race
North Andover - Thomson;02110020;MATH;           6;60;           2;20;           4;40;           3;30;           1;10;          10;     506.6;;           7;64;2019;ALL;multi-race
North Attleborough - Community;02120030;ELA;           9;60;           0;0;           9;60;           6;40;           0;0;          15;     504.6;;           8;55;2019;ALL;multi-race
North Attleborough - Community;02120030;MATH;           7;47;           0;0;           7;47;           7;47;           1;7;          15;     492.7;;           8;23;2019;ALL;multi-race
