School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year ;grade;student_group
Andover - West Elementary;00090025;ELA;          36;51;           6;9;          30;43;          33;47;           1;1;          70;     501.3;          48.0;          48;77;2019;ALL;title 1
Andover - West Elementary;00090025;MATH;          17;24;           0;0;          17;24;          48;69;           5;7;          70;     492.1;          58.9;          48;51;2019;ALL;title 1
Andover - West Elementary;00090025;SCI;          12;57;           0;0;          12;57;           9;43;           0;0;          21;     501.6;;;87;2019;ALL;title 1
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;ELA;          91;30;           4;1;          87;29;         148;49;          65;21;         304;     487.4;          39.6;         274;19;2019;ALL;title 1
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;MATH;         117;39;          10;3;         107;35;         150;50;          35;12;         302;     493.7;          52.1;         272;57;2019;ALL;title 1
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;SCI;          13;13;           0;0;          13;13;          60;61;          25;26;          98;     482.7;;;23;2019;ALL;title 1
Arlington - M Norcross Stratton;00100055;ELA;           9;36;           0;0;           9;36;          16;64;           0;0;          25;     496.0;;          17;54;2019;ALL;title 1
Arlington - M Norcross Stratton;00100055;MATH;           4;16;           0;0;           4;16;          19;76;           2;8;          25;     487.4;;          17;31;2019;ALL;title 1
Arlington - M Norcross Stratton;00100055;SCI;           4;33;           0;0;           4;33;           7;58;           1;8;          12;     495.7;;;69;2019;ALL;title 1
Ashburnham-Westminster - Briggs Elementary;06100025;ELA;           7;30;           0;0;           7;30;          16;70;           0;0;          23;     495.1;;          15;50;2019;ALL;title 1
Ashburnham-Westminster - Briggs Elementary;06100025;MATH;           6;26;           0;0;           6;26;          16;70;           1;4;          23;     489.6;;          15;40;2019;ALL;title 1
Ashland - Ashland Middle;00140405;ELA;          14;34;           0;0;          14;34;          22;54;           5;12;          41;     491.7;          61.5;          41;34;2019;ALL;title 1
Ashland - Ashland Middle;00140405;MATH;           6;15;           0;0;           6;15;          34;83;           1;2;          41;     487.0;          61.0;          41;29;2019;ALL;title 1
Ashland - David Mindess;00140015;ELA;          14;23;           0;0;          14;23;          45;74;           2;3;          61;     491.0;          47.2;          45;31;2019;ALL;title 1
Ashland - David Mindess;00140015;MATH;           4;7;           0;0;           4;7;          53;87;           4;7;          61;     484.4;          57.5;          46;19;2019;ALL;title 1
Ashland - David Mindess;00140015;SCI;           4;15;           0;0;           4;15;          17;63;           6;22;          27;     486.6;;;33;2019;ALL;title 1
Athol-Royalston - Athol Community Elementary School;06150020;ELA;          73;42;           8;5;          65;37;          79;45;          23;13;         175;     494.7;          45.1;          83;47;2019;ALL;title 1
Athol-Royalston - Athol Community Elementary School;06150020;MATH;          58;33;           9;5;          49;28;          81;46;          37;21;         176;     489.6;          33.9;          83;40;2019;ALL;title 1
Athol-Royalston - Athol-Royalston Middle School;06150305;ELA;         122;31;           9;2;         113;29;         196;50;          72;18;         390;     489.5;          46.5;         377;25;2019;ALL;title 1
Athol-Royalston - Athol-Royalston Middle School;06150305;MATH;         137;35;          11;3;         126;32;         190;49;          63;16;         390;     491.5;          54.7;         377;48;2019;ALL;title 1
Athol-Royalston - Athol-Royalston Middle School;06150305;SCI;          65;36;           4;2;          61;33;          93;51;          25;14;         183;     492.3;;;55;2019;ALL;title 1
Athol-Royalston - Royalston Community School;06150050;ELA;           3;19;           0;0;           3;19;          13;81;           0;0;          16;     487.2;;          10;18;2019;ALL;title 1
Athol-Royalston - Royalston Community School;06150050;MATH;           2;13;           0;0;           2;13;          11;69;           3;19;          16;     482.1;;          10;13;2019;ALL;title 1
Atlantis Charter (District) - Atlantis Charter School;04910550;ELA;         284;43;          50;8;         234;36;         306;47;          67;10;         657;     497.8;          46.0;         536;63;2019;ALL;title 1
Atlantis Charter (District) - Atlantis Charter School;04910550;MATH;         241;37;          31;5;         210;32;         351;54;          64;10;         656;     494.1;          37.6;         535;60;2019;ALL;title 1
Atlantis Charter (District) - Atlantis Charter School;04910550;SCI;          71;33;           3;1;          68;31;         112;51;          35;16;         218;     489.9;;;46;2019;ALL;title 1
Attleboro - A. Irvin Studley Elementary School;00160001;ELA;          94;58;          18;11;          76;47;          57;35;          12;7;         163;     503.6;          39.6;          77;85;2019;ALL;title 1
Attleboro - A. Irvin Studley Elementary School;00160001;MATH;          94;58;          19;12;          75;46;          54;33;          15;9;         163;     502.3;          49.2;          78;90;2019;ALL;title 1
Attleboro - Hill-Roberts Elementary School;00160045;ELA;          88;48;          11;6;          77;42;          77;42;          18;10;         183;     498.5;          39.2;          77;66;2019;ALL;title 1
Attleboro - Hill-Roberts Elementary School;00160045;MATH;          83;45;           8;4;          75;41;          76;42;          24;13;         183;     496.0;          56.9;          77;68;2019;ALL;title 1
Attleboro - Hyman Fine Elementary School;00160040;ELA;         129;71;          33;18;          96;53;          49;27;           4;2;         182;     512.3;          63.6;          76;98;2019;ALL;title 1
Attleboro - Hyman Fine Elementary School;00160040;MATH;         103;57;          22;12;          81;45;          68;37;          11;6;         182;     503.6;          68.0;          76;92;2019;ALL;title 1
Attleboro - Peter Thacher Elementary School;00160050;ELA;          89;58;          31;20;          58;38;          42;27;          23;15;         154;     509.8;          71.6;          63;96;2019;ALL;title 1
Attleboro - Peter Thacher Elementary School;00160050;MATH;          86;56;          16;10;          70;45;          40;26;          28;18;         154;     503.1;          72.7;          63;92;2019;ALL;title 1
Attleboro - Thomas Willett Elementary School;00160035;ELA;         116;66;          20;11;          96;54;          55;31;           6;3;         177;     506.4;          49.5;          89;92;2019;ALL;title 1
Attleboro - Thomas Willett Elementary School;00160035;MATH;          88;50;           8;5;          80;45;          71;40;          18;10;         177;     498.6;          48.2;          89;78;2019;ALL;title 1
Auburn - Auburn Middle;00170305;ELA;          12;16;           0;0;          12;16;          46;63;          15;21;          73;     482.9;          52.6;          73;9;2019;ALL;title 1
Auburn - Auburn Middle;00170305;MATH;           4;5;           0;0;           4;5;          55;75;          14;19;          73;     478.5;          58.1;          73;7;2019;ALL;title 1
Auburn - Auburn Middle;00170305;SCI;           0;0;           0;0;           0;0;          26;87;           4;13;          30;     479.6;;;15;2019;ALL;title 1
Auburn - Swanson Road Intermediate School;00170030;ELA;           9;20;           0;0;           9;20;          30;65;           7;15;          46;     487.6;          41.6;          31;19;2019;ALL;title 1
Auburn - Swanson Road Intermediate School;00170030;MATH;           1;2;           0;0;           1;2;          40;87;           5;11;          46;     480.5;          53.4;          31;10;2019;ALL;title 1
Auburn - Swanson Road Intermediate School;00170030;SCI;           2;13;           0;0;           2;13;          10;63;           4;25;          16;     481.4;;;19;2019;ALL;title 1
Avon - Ralph D Butler;00180010;ELA;           2;15;           0;0;           2;15;           7;54;           4;31;          13;     478.2;;           7;5;2019;ALL;title 1
Avon - Ralph D Butler;00180010;MATH;           1;8;           0;0;           1;8;           6;46;           6;46;          13;     472.4;;           7;3;2019;ALL;title 1
Ayer Shirley School District - Ayer Shirley Regional Middle School;06160305;ELA;         197;49;          27;7;         170;42;         163;41;          41;10;         401;     498.6;          50.6;         391;66;2019;ALL;title 1
