School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Agawam - Clifford M Granger;00050010;ELA;           8;40;           0;0;           8;40;          11;55;           1;5;          20;     496.7;;          11;59;2019;ALL;hispanic/latino
Agawam - Clifford M Granger;00050010;MATH;          11;55;           2;10;           9;45;           8;40;           1;5;          20;     501.5;;          11;85;2019;ALL;hispanic/latino
Agawam - James Clark School;00050030;ELA;           3;25;           0;0;           3;25;           5;42;           4;33;          12;     490.8;;           5;33;2019;ALL;hispanic/latino
Agawam - James Clark School;00050030;MATH;           5;45;           1;9;           4;36;           2;18;           4;36;          11;     491.1;;           5;48;2019;ALL;hispanic/latino
Agawam - Roberta G. Doering School;00050303;ELA;          24;51;           2;4;          22;47;          15;32;           8;17;          47;     496.2;          51.1;          44;56;2019;ALL;hispanic/latino
Agawam - Roberta G. Doering School;00050303;MATH;          21;45;           0;0;          21;45;          16;34;          10;21;          47;     495.4;          46.8;          44;66;2019;ALL;hispanic/latino
Agawam - Roberta G. Doering School;00050303;SCI;          15;48;           7;23;           8;26;          12;39;           4;13;          31;     498.6;;;84;2019;ALL;hispanic/latino
Agawam - Robinson Park;00050025;ELA;           8;62;           2;15;           6;46;           4;31;           1;8;          13;     502.5;;           7;79;2019;ALL;hispanic/latino
Agawam - Robinson Park;00050025;MATH;           7;54;           0;0;           7;54;           5;38;           1;8;          13;     494.2;;           7;62;2019;ALL;hispanic/latino
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;ELA;          73;46;          14;9;          59;37;          70;44;          16;10;         159;     499.3;          38.7;         127;70;2019;ALL;hispanic/latino
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;MATH;          81;51;          10;6;          71;45;          65;41;          13;8;         159;     499.4;          46.1;         127;81;2019;ALL;hispanic/latino
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;SCI;          12;26;           0;0;          12;26;          28;61;           6;13;          46;     487.8;;;50;2019;ALL;hispanic/latino
Amesbury - Amesbury Middle;00070013;ELA;          19;36;           0;0;          19;36;          27;51;           7;13;          53;     490.8;          46.4;          51;33;2019;ALL;hispanic/latino
Amesbury - Amesbury Middle;00070013;MATH;          19;38;           1;2;          18;36;          24;48;           7;14;          50;     491.5;          61.7;          49;50;2019;ALL;hispanic/latino
Amesbury - Amesbury Middle;00070013;SCI;           6;26;           0;0;           6;26;          15;65;           2;9;          23;     492.1;;;68;2019;ALL;hispanic/latino
Amesbury - Charles C Cashman Elementary;00070010;ELA;           6;38;           1;6;           5;31;           8;50;           2;13;          16;     494.6;;           6;50;2019;ALL;hispanic/latino
Amesbury - Charles C Cashman Elementary;00070010;MATH;           3;19;           1;6;           2;13;           8;50;           5;31;          16;     483.3;;           6;19;2019;ALL;hispanic/latino
Amherst - Crocker Farm Elementary;00080009;ELA;           5;9;           1;2;           4;8;          31;58;          17;32;          53;     477.9;          43.3;          39;4;2019;ALL;hispanic/latino
Amherst - Crocker Farm Elementary;00080009;MATH;           6;11;           0;0;           6;11;          28;53;          19;36;          53;     477.0;          55.0;          38;6;2019;ALL;hispanic/latino
Amherst - Crocker Farm Elementary;00080009;SCI;           2;11;           0;0;           2;11;          11;61;           5;28;          18;     474.6;;;9;2019;ALL;hispanic/latino
Amherst - Fort River Elementary;00080020;ELA;          17;44;           3;8;          14;36;          12;31;          10;26;          39;     491.8;          47.5;          31;37;2019;ALL;hispanic/latino
Amherst - Fort River Elementary;00080020;MATH;          10;26;           1;3;           9;23;          18;46;          11;28;          39;     486.0;          44.2;          31;28;2019;ALL;hispanic/latino
Amherst - Wildwood Elementary;00080050;ELA;           9;24;           1;3;           8;22;          23;62;           5;14;          37;     492.9;          49.7;          25;42;2019;ALL;hispanic/latino
Amherst - Wildwood Elementary;00080050;MATH;           8;22;           1;3;           7;19;          20;54;           9;24;          37;     488.0;          44.4;          24;36;2019;ALL;hispanic/latino
Amherst-Pelham - Amherst Regional Middle School;06050405;ELA;          14;22;           4;6;          10;16;          16;25;          34;53;          64;     477.4;          36.2;          54;4;2019;ALL;hispanic/latino
Amherst-Pelham - Amherst Regional Middle School;06050405;MATH;          11;17;           3;5;           8;13;          26;41;          27;42;          64;     478.0;          36.3;          53;8;2019;ALL;hispanic/latino
Amherst-Pelham - Amherst Regional Middle School;06050405;SCI;           5;20;           0;0;           5;20;           8;32;          12;48;          25;     478.2;;;16;2019;ALL;hispanic/latino
Andover - Andover West Middle;00090310;ELA;          13;54;           3;13;          10;42;          10;42;           1;4;          24;     501.8;          50.7;          22;76;2019;ALL;hispanic/latino
Andover - Andover West Middle;00090310;MATH;          11;46;           3;13;           8;33;           8;33;           5;21;          24;     498.6;          46.6;          23;77;2019;ALL;hispanic/latino
Andover - Bancroft Elementary;00090003;ELA;          12;55;           0;0;          12;55;          10;45;           0;0;          22;     500.0;;          16;71;2019;ALL;hispanic/latino
Andover - Bancroft Elementary;00090003;MATH;           6;27;           1;5;           5;23;          12;55;           4;18;          22;     488.1;;          16;36;2019;ALL;hispanic/latino
Andover - Bancroft Elementary;00090003;SCI;           3;30;           1;10;           2;20;           5;50;           2;20;          10;     490.5;;;63;2019;ALL;hispanic/latino
Andover - Doherty Middle;00090305;ELA;          11;39;           1;4;          10;36;          13;46;           4;14;          28;     490.7;          41.0;          28;33;2019;ALL;hispanic/latino
Andover - Doherty Middle;00090305;MATH;           8;29;           0;0;           8;29;          10;36;          10;36;          28;     484.8;          42.8;          28;24;2019;ALL;hispanic/latino
Andover - High Plain Elementary;00090004;ELA;          12;60;           3;15;           9;45;           7;35;           1;5;          20;     510.2;;          15;94;2019;ALL;hispanic/latino
Andover - High Plain Elementary;00090004;MATH;          10;50;           1;5;           9;45;          10;50;           0;0;          20;     502.9;;          15;89;2019;ALL;hispanic/latino
Andover - South Elementary;00090020;ELA;           8;80;           1;10;           7;70;           2;20;           0;0;          10;     513.1;;           3;97;2019;ALL;hispanic/latino
Andover - South Elementary;00090020;MATH;           4;40;           0;0;           4;40;           6;60;           0;0;          10;     499.5;;           3;80;2019;ALL;hispanic/latino
Andover - West Elementary;00090025;ELA;          16;70;           1;4;          15;65;           5;22;           2;9;          23;     504.6;;          14;84;2019;ALL;hispanic/latino
Andover - West Elementary;00090025;MATH;           8;35;           0;0;           8;35;          14;61;           1;4;          23;     496.1;;          14;68;2019;ALL;hispanic/latino
Andover - West Elementary;00090025;SCI;           6;55;           0;0;           6;55;           4;36;           1;9;          11;     504.8;;;94;2019;ALL;hispanic/latino
Andover - Wood Hill Middle School;00090350;ELA;          19;49;           5;13;          14;36;          15;38;           5;13;          39;     500.2;          49.1;          38;72;2019;ALL;hispanic/latino
Andover - Wood Hill Middle School;00090350;MATH;          16;41;           1;3;          15;38;          20;51;           3;8;          39;     496.1;          43.9;          38;68;2019;ALL;hispanic/latino
Andover - Wood Hill Middle School;00090350;SCI;           4;40;           0;0;           4;40;           4;40;           2;20;          10;     492.0;;;68;2019;ALL;hispanic/latino
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;ELA;           6;12;           0;0;           6;12;          23;47;          20;41;          49;     473.9;          37.5;          41;2;2019;ALL;hispanic/latino
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;MATH;           8;17;           1;2;           7;15;          30;63;          10;21;          48;     483.0;          50.5;          40;19;2019;ALL;hispanic/latino
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;SCI;           0;0;           0;0;           0;0;          10;67;           5;33;          15;     473.3;;;7;2019;ALL;hispanic/latino
Arlington - Brackett;00100010;ELA;           8;53;           0;0;           8;53;           6;40;           1;7;          15;     503.3;;           9;81;2019;ALL;hispanic/latino
Arlington - Brackett;00100010;MATH;           6;40;           1;7;           5;33;           8;53;           1;7;          15;     505.0;;          11;92;2019;ALL;hispanic/latino
Arlington - Cyrus E Dallin;00100025;ELA;          11;85;           2;15;           9;69;           2;15;           0;0;          13;     515.3;;          11;98;2019;ALL;hispanic/latino
Arlington - Cyrus E Dallin;00100025;MATH;           9;69;           1;8;           8;62;           4;31;           0;0;          13;     506.2;;          11;94;2019;ALL;hispanic/latino
Arlington - Gibbs School;00100305;ELA;          19;58;           4;12;          15;45;          10;30;           4;12;          33;     501.9;          48.1;          32;76;2019;ALL;hispanic/latino
Arlington - Gibbs School;00100305;MATH;          16;48;           1;3;          15;45;          15;45;           2;6;          33;     500.1;          52.9;          32;82;2019;ALL;hispanic/latino
Arlington - Hardy;00100030;ELA;           3;27;           0;0;           3;27;           6;55;           2;18;          11;     492.5;;           7;40;2019;ALL;hispanic/latino
Arlington - Hardy;00100030;MATH;           3;27;           1;9;           2;18;           8;73;           0;0;          11;     492.7;;           7;56;2019;ALL;hispanic/latino
Arlington - M Norcross Stratton;00100055;ELA;           6;50;           0;0;           6;50;           5;42;           1;8;          12;     501.0;;           5;74;2019;ALL;hispanic/latino
Arlington - M Norcross Stratton;00100055;MATH;           6;50;           1;8;           5;42;           5;42;           1;8;          12;     502.7;;           5;88;2019;ALL;hispanic/latino
Arlington - Ottoson Middle;00100410;ELA;          32;67;           8;17;          24;50;          16;33;           0;0;          48;     509.1;          52.5;          47;92;2019;ALL;hispanic/latino
Arlington - Ottoson Middle;00100410;MATH;          29;60;           4;8;          25;52;          17;35;           2;4;          48;     507.3;          57.5;          47;95;2019;ALL;hispanic/latino
Arlington - Ottoson Middle;00100410;SCI;          10;48;           3;14;           7;33;          11;52;           0;0;          21;     505.4;;;95;2019;ALL;hispanic/latino
Arlington - Peirce;00100045;ELA;           5;42;           1;8;           4;33;           7;58;           0;0;          12;     498.4;;           9;65;2019;ALL;hispanic/latino
Arlington - Peirce;00100045;MATH;           4;33;           2;17;           2;17;           8;67;           0;0;          12;     501.7;;           9;85;2019;ALL;hispanic/latino
Arlington - Thompson;00100050;ELA;          12;52;           2;9;          10;43;          11;48;           0;0;          23;     503.0;;          17;80;2019;ALL;hispanic/latino
Arlington - Thompson;00100050;MATH;          12;52;           0;0;          12;52;           7;30;           4;17;          23;     495.5;;          17;66;2019;ALL;hispanic/latino
Arlington - Thompson;00100050;SCI;           6;55;           1;9;           5;45;           4;36;           1;9;          11;     502.6;;;91;2019;ALL;hispanic/latino
Ashburnham-Westminster - Briggs Elementary;06100025;ELA;          12;63;           0;0;          12;63;           7;37;           0;0;          19;     506.5;;          15;89;2019;ALL;hispanic/latino
Ashburnham-Westminster - Briggs Elementary;06100025;MATH;          11;58;           0;0;          11;58;           5;26;           3;16;          19;     497.1;;          15;71;2019;ALL;hispanic/latino
