School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;          45;41;           5;5;          40;36;          58;52;           8;7;         111;100;     497.6;          47.6;         111;2021;8;ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;          30;27;           0;0;          30;27;          74;67;           7;6;         111;100;     489.8;          24.0;         111;2021;8;ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;SCI;          32;32;           4;4;          28;28;          59;58;          10;10;         101;100;     492.7;;;2021;8;ALL
Abington - Abington Middle School;00010405;ELA;          66;43;          10;7;          56;37;          62;41;          24;16;         152;93;     497.2;          35.1;         143;2021;8;ALL
Abington - Abington Middle School;00010405;MATH;          28;19;           2;1;          26;18;          88;59;          32;22;         148;91;     483.5;          16.8;         138;2021;8;ALL
Abington - Abington Middle School;00010405;SCI;          51;36;           7;5;          44;31;          73;52;          17;12;         141;92;     493.3;;;2021;8;ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;ELA;          18;26;           0;0;          18;26;          30;44;          20;29;          68;89;     484.3;          28.4;          65;2021;8;ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;MATH;           8;11;           1;1;           7;10;          39;55;          24;34;          71;93;     476.4;          15.2;          67;2021;8;ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;SCI;          12;28;           0;0;          12;28;          20;47;          11;26;          43;91;     483.9;;;2021;8;ALL
Acton-Boxborough - Raymond J Grey Junior High;06000405;ELA;         289;71;          67;16;         222;54;         102;25;          17;4;         408;98;     512.1;          39.5;         390;2021;8;ALL
Acton-Boxborough - Raymond J Grey Junior High;06000405;MATH;         319;78;          85;21;         234;57;          79;19;          10;2;         408;98;     515.8;          53.5;         390;2021;8;ALL
Acton-Boxborough - Raymond J Grey Junior High;06000405;SCI;         248;71;          87;25;         161;46;          89;25;          14;4;         351;98;     511.9;;;2021;8;ALL
Acushnet - Albert F Ford Middle School;00030305;ELA;          31;29;           0;0;          31;29;          52;49;          24;22;         107;99;     488.7;          31.7;          99;2021;8;ALL
Acushnet - Albert F Ford Middle School;00030305;MATH;          36;34;           2;2;          34;32;          51;48;          20;19;         107;99;     489.4;          26.7;         101;2021;8;ALL
Acushnet - Albert F Ford Middle School;00030305;SCI;          30;31;           4;4;          26;27;          45;47;          21;22;          96;99;     490.0;;;2021;8;ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;ELA;          79;65;          14;12;          65;54;          40;33;           2;2;         121;99;     510.8;          36.4;         113;2021;8;ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;MATH;          47;39;          12;10;          35;29;          64;53;          10;8;         121;99;     499.2;          28.0;         113;2021;8;ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;SCI;          48;64;           3;4;          45;60;          26;35;           1;1;          75;96;     506.2;;;2021;8;ALL
Agawam - Agawam Junior High;00050405;ELA;          48;32;           5;3;          43;28;          80;53;          23;15;         151;58;     492.7;          28.0;         143;2021;8;ALL
Agawam - Agawam Junior High;00050405;MATH;          55;37;           4;3;          51;34;          63;42;          31;21;         149;57;     489.7;          18.6;         143;2021;8;ALL
Agawam - Agawam Junior High;00050405;SCI;          51;40;           7;6;          44;35;          55;44;          20;16;         126;53;     494.3;;;2021;8;ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;ELA;          18;38;           1;2;          17;35;          21;44;           9;19;          48;100;     490.7;          30.0;          46;2021;8;ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;MATH;           8;17;           0;0;           8;17;          28;58;          12;25;          48;100;     480.7;          14.9;          46;2021;8;ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;SCI;           7;18;           1;3;           6;15;          22;56;          10;26;          39;100;     482.9;;;2021;8;ALL
Amesbury - Amesbury Middle;00070013;ELA;          42;31;           5;4;          37;27;          60;44;          33;24;         135;94;     488.4;          31.2;         128;2021;8;ALL
Amesbury - Amesbury Middle;00070013;MATH;          44;32;           1;1;          43;32;          66;49;          26;19;         136;95;     488.8;          40.3;         129;2021;8;ALL
Amesbury - Amesbury Middle;00070013;SCI;          53;43;           9;7;          44;36;          48;39;          22;18;         123;96;     495.9;;;2021;8;ALL
Amherst-Pelham - Amherst Regional Middle School;06050405;ELA;          17;47;           1;3;          16;44;          12;33;           7;19;          36;18;     498.3;          28.1;          28;2021;8;ALL
Amherst-Pelham - Amherst Regional Middle School;06050405;MATH;          19;45;           4;10;          15;36;          16;38;           7;17;          42;21;     499.1;          18.5;          33;2021;8;ALL
Amherst-Pelham - Amherst Regional Middle School;06050405;SCI;          27;68;           6;15;          21;53;           8;20;           5;13;          40;20;     510.0;;;2021;8;ALL
Andover - Andover West Middle;00090310;ELA;          85;49;          19;11;          66;38;          69;40;          18;10;         172;99;     501.8;          32.3;         159;2021;8;ALL
Andover - Andover West Middle;00090310;MATH;         107;62;          28;16;          79;46;          51;30;          14;8;         172;99;     506.6;          43.7;         159;2021;8;ALL
Andover - Andover West Middle;00090310;SCI;          90;62;          21;14;          69;47;          49;34;           7;5;         146;99;     506.4;;;2021;8;ALL
Andover - Doherty Middle;00090305;ELA;          96;58;          17;10;          79;48;          57;35;          12;7;         165;98;     505.3;          44.9;         163;2021;8;ALL
Andover - Doherty Middle;00090305;MATH;          83;50;          11;7;          72;44;          68;41;          14;8;         165;98;     498.6;          44.8;         163;2021;8;ALL
