School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Amherst - Fort River Elementary;00080020;ELA;           4;24;           0;0;           4;24;           7;41;           6;35;          17;     481.2;;           7;48;2019;ALL;EL
Amherst - Fort River Elementary;00080020;MATH;           3;18;           1;6;           2;12;           7;41;           7;41;          17;     480.4;;           7;47;2019;ALL;EL
Amherst - Wildwood Elementary;00080050;ELA;           2;12;           0;0;           2;12;           9;53;           6;35;          17;     481.1;;           9;47;2019;ALL;EL
Amherst - Wildwood Elementary;00080050;MATH;           4;24;           0;0;           4;24;           6;35;           7;41;          17;     482.9;;           9;55;2019;ALL;EL
Amherst-Pelham - Amherst Regional Middle School;06050405;ELA;           0;0;           0;0;           0;0;           5;17;          25;83;          30;     458.5;          38.5;          24;2;2019;ALL;EL
Amherst-Pelham - Amherst Regional Middle School;06050405;MATH;           1;3;           0;0;           1;3;          10;34;          18;62;          29;     463.9;          33.3;          23;3;2019;ALL;EL
Amherst-Pelham - Amherst Regional Middle School;06050405;SCI;           1;7;           0;0;           1;7;           4;27;          10;67;          15;     465.9;;;27;2019;ALL;EL
Andover - Bancroft Elementary;00090003;ELA;           3;30;           0;0;           3;30;           7;70;           0;0;          10;     491.1;;           5;80;2019;ALL;EL
Andover - Bancroft Elementary;00090003;MATH;           2;20;           0;0;           2;20;           5;50;           3;30;          10;     482.5;;           5;54;2019;ALL;EL
Andover - Henry C Sanborn Elementary;00090010;ELA;           7;39;           0;0;           7;39;          11;61;           0;0;          18;     499.1;;           7;94;2019;ALL;EL
Andover - Henry C Sanborn Elementary;00090010;MATH;          14;78;           1;6;          13;72;           3;17;           1;6;          18;     506.6;;           7;97;2019;ALL;EL
Andover - High Plain Elementary;00090004;ELA;          16;62;           1;4;          15;58;           7;27;           3;12;          26;     500.5;;          17;96;2019;ALL;EL
