School Name,School Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP,Ach. PCTL,Year
Dennis-Yarmouth - Station Avenue Elementary,6450025,MATH,51,50,6,6,45,44,36,35,16,16,103,,496.6,,,40,2018
Dighton-Rehoboth - Dighton Elementary,6500005,ELA,118,63,14,7,104,56,67,36,2,1,187,,506.4,48.5,101,69,2018
Dighton-Rehoboth - Dighton Elementary,6500005,MATH,105,56,10,5,95,51,71,38,11,6,187,,500.4,35.5,101,55,2018
Dighton-Rehoboth - Dighton Middle School,6500305,ELA,202,52,17,4,185,47,162,42,26,7,390,,500.2,52.1,377,42,2018
Dighton-Rehoboth - Dighton Middle School,6500305,MATH,149,38,3,1,146,37,224,57,17,4,390,,494.9,43.6,376,34,2018
Dighton-Rehoboth - Dorothy L Beckwith,6500310,ELA,303,53,41,7,262,46,217,38,47,8,567,,501.7,49.9,537,49,2018
Dighton-Rehoboth - Dorothy L Beckwith,6500310,MATH,306,54,30,5,276,49,229,40,34,6,569,,501.5,54.1,540,60,2018
Dighton-Rehoboth - Palmer River,6500010,ELA,130,57,17,7,113,50,89,39,8,4,227,,503.4,49.1,119,56,2018
Dighton-Rehoboth - Palmer River,6500010,MATH,123,54,22,10,101,44,95,42,10,4,228,,502.4,52.1,119,63,2018
Douglas - Douglas Elementary School,770015,ELA,175,67,27,10,148,56,83,32,4,2,262,,507.7,53.1,175,74,2018
Douglas - Douglas Elementary School,770015,MATH,119,46,11,4,108,41,122,47,20,8,261,,498.3,42.9,173,46,2018
Douglas - Douglas Middle School,770305,ELA,189,56,37,11,152,45,120,36,27,8,336,,503.8,55,329,58,2018
Douglas - Douglas Middle School,770305,MATH,158,47,11,3,147,44,148,44,30,9,336,,498.2,60.7,330,46,2018
Dover - Chickering,780005,ELA,215,83,54,21,161,62,44,17,1,0,260,,516.9,68.1,173,96,2018
Dover - Chickering,780005,MATH,217,83,63,24,154,59,43,16,1,0,261,,516.4,65.8,173,98,2018
Dover-Sherborn - Dover-Sherborn Regional Middle School,6550405,ELA,439,84,131,25,308,59,76,15,6,1,521,,518.5,58.2,499,97,2018
Dover-Sherborn - Dover-Sherborn Regional Middle School,6550405,MATH,403,77,121,23,282,54,115,22,3,1,521,,514.8,51.4,501,96,2018
Dracut - Brookside Elementary,790035,ELA,127,56,19,8,108,48,91,40,7,3,225,,504.9,59.8,155,63,2018
Dracut - Brookside Elementary,790035,MATH,122,54,23,10,99,44,91,40,13,6,226,,502.3,55.7,156,63,2018
Dracut - George H. Englesby Elementary School,790045,ELA,125,49,12,5,113,44,113,44,19,7,257,,499.9,52.2,172,41,2018
Dracut - George H. Englesby Elementary School,790045,MATH,99,39,4,2,95,37,127,49,31,12,257,,493.5,49.2,172,29,2018
Dracut - Greenmont Avenue,790030,ELA,79,56,17,12,62,44,55,39,8,6,142,,504.7,58.4,88,63,2018
Dracut - Greenmont Avenue,790030,MATH,64,45,0,0,64,45,67,48,10,7,141,,497,61.3,88,42,2018
Dracut - Joseph A Campbell Elementary,790020,ELA,135,51,16,6,119,45,113,43,17,6,265,,501.5,51.3,170,48,2018
Dracut - Joseph A Campbell Elementary,790020,MATH,112,42,14,5,98,37,123,47,29,11,264,,496.6,61.9,169,40,2018
Dracut - Justus C. Richardson Middle School,790410,ELA,439,51,83,10,356,42,330,39,87,10,856,,501.3,47.4,830,47,2018
Dracut - Justus C. Richardson Middle School,790410,MATH,382,45,41,5,341,40,409,48,64,7,855,,497.6,45.9,826,44,2018
Dudley Street Neighborhood Charter School (District) - Dudley Street Neighborhood Charter School,4070405,ELA,36,32,2,2,34,30,58,51,20,18,114,,491.8,40.6,68,17,2018
Dudley Street Neighborhood Charter School (District) - Dudley Street Neighborhood Charter School,4070405,MATH,26,23,1,1,25,22,69,61,19,17,114,,486.6,48.5,69,13,2018
Dudley-Charlton Reg - Charlton Middle School,6580310,ELA,347,51,35,5,312,46,276,41,52,8,675,,500.5,43.6,650,44,2018
Dudley-Charlton Reg - Charlton Middle School,6580310,MATH,281,42,20,3,261,39,337,50,57,8,675,,497.1,36.2,649,42,2018
Dudley-Charlton Reg - Dudley Elementary,6580005,ELA,156,60,16,6,140,54,87,34,16,6,259,,502.3,54.1,119,52,2018
Dudley-Charlton Reg - Dudley Elementary,6580005,MATH,138,53,21,8,117,45,106,41,17,7,261,,500.3,65.4,120,55,2018
Dudley-Charlton Reg - Dudley Middle School,6580305,ELA,302,54,24,4,278,49,226,40,35,6,563,,501.3,46.5,551,47,2018
Dudley-Charlton Reg - Dudley Middle School,6580305,MATH,285,51,15,3,270,48,242,43,37,7,564,,499,41.4,552,49,2018
Dudley-Charlton Reg - Heritage School,6580030,ELA,191,59,29,9,162,50,124,38,11,3,326,,504,45.6,169,59,2018
Dudley-Charlton Reg - Heritage School,6580030,MATH,181,56,35,11,146,45,126,39,19,6,326,,504.5,52,169,71,2018
Duxbury - Alden School,820004,ELA,496,74,78,12,418,63,166,25,6,1,668,,510.2,54.9,456,82,2018
Duxbury - Alden School,820004,MATH,501,76,92,14,409,62,151,23,10,2,662,,511.9,68.4,452,92,2018
Duxbury - Duxbury Middle,820305,ELA,514,70,120,16,394,54,181,25,36,5,731,,509.8,59.3,713,81,2018
Duxbury - Duxbury Middle,820305,MATH,428,59,28,4,400,55,271,37,31,4,730,,503.1,43.4,709,66,2018
East Bridgewater - East Bridgewater JR./SR. High School,830505,ELA,214,55,33,9,181,47,132,34,41,11,387,,502,53,381,51,2018
East Bridgewater - East Bridgewater JR./SR. High School,830505,MATH,187,48,15,4,172,44,167,43,33,9,387,,498.4,37.9,384,47,2018
East Bridgewater - Gordon W. Mitchell School,830010,ELA,374,57,55,8,319,49,244,37,37,6,655,,503.7,46.5,499,58,2018
East Bridgewater - Gordon W. Mitchell School,830010,MATH,331,51,39,6,292,45,280,43,41,6,652,,500.5,47.8,496,56,2018
East Longmeadow - Birchland Park,870305,ELA,412,64,63,10,349,54,187,29,46,7,645,,506.2,54.1,620,68,2018
East Longmeadow - Birchland Park,870305,MATH,348,54,31,5,317,49,272,42,29,4,649,,501.5,48.4,622,60,2018
East Longmeadow - Mapleshade,870010,ELA,180,65,16,6,164,59,84,30,12,4,276,,505.3,51.1,172,65,2018
East Longmeadow - Mapleshade,870010,MATH,149,54,17,6,132,48,105,38,21,8,275,,500.7,40.2,171,56,2018
East Longmeadow - Mountain View,870015,ELA,183,64,17,6,166,58,100,35,5,2,288,,505.7,55.7,200,67,2018
East Longmeadow - Mountain View,870015,MATH,154,54,13,5,141,49,118,41,14,5,286,,501.3,54.9,200,59,2018
Eastham - Eastham Elementary,850005,ELA,67,77,9,10,58,67,19,22,1,1,87,,510.9,49.1,60,86,2018
Eastham - Eastham Elementary,850005,MATH,61,69,7,8,54,61,22,25,5,6,88,,506.7,53.7,60,81,2018
Easthampton - Center School,860005,ELA,19,25,1,1,18,23,51,66,7,9,77,,492.5,40.8,35,18,2018
Easthampton - Center School,860005,MATH,25,33,1,1,24,32,36,47,15,20,76,,490.1,35.9,34,20,2018
Easthampton - Maple,860010,ELA,44,52,5,6,39,46,37,44,3,4,84,,500.9,63.5,40,45,2018
Easthampton - Maple,860010,MATH,46,55,5,6,41,49,32,38,6,7,84,,501.3,51.3,39,59,2018
Easthampton - Neil A Pepin,860020,ELA,24,41,3,5,21,36,24,41,10,17,58,,492.9,,17,19,2018
Easthampton - Neil A Pepin,860020,MATH,14,24,2,3,12,20,32,54,13,22,59,,485.7,,17,11,2018
Easthampton - White Brook Middle School,860305,ELA,164,37,12,3,152,35,214,49,61,14,439,,494,44.4,429,21,2018
Easthampton - White Brook Middle School,860305,MATH,163,37,10,2,153,35,221,50,56,13,440,,492.8,46,431,27,2018
Easton - Easton Middle School,880405,ELA,546,63,109,13,437,50,278,32,46,5,870,,506.8,56.3,858,71,2018
Easton - Easton Middle School,880405,MATH,604,70,116,13,488,56,229,26,36,4,869,,508.6,55.6,858,84,2018
Easton - Richardson Olmsted School,880025,ELA,542,66,71,9,471,57,253,31,28,3,823,,506.9,52.8,525,71,2018
Easton - Richardson Olmsted School,880025,MATH,530,64,76,9,454,55,267,32,25,3,822,,506.5,54,523,78,2018
Edgartown - Edgartown Elementary,890005,ELA,127,55,16,7,111,48,89,38,16,7,232,,501.6,54.3,160,53,2018
Edgartown - Edgartown Elementary,890005,MATH,109,47,10,4,99,43,104,45,19,8,232,,498.9,64.6,160,53,2018
Erving - Erving Elementary,910030,ELA,29,42,5,7,24,35,36,52,4,6,69,,497.7,51.1,53,36,2018
Erving - Erving Elementary,910030,MATH,19,28,2,3,17,25,38,55,12,17,69,,490.1,46.3,51,22,2018
Everett - Devens School,930030,ELA,0,0,0,0,0,0,4,20,16,80,20,,461.7,,11,1,2018
Everett - Devens School,930030,MATH,0,0,0,0,0,0,1,5,18,95,19,,457.1,,11,1,2018
Everett - George Keverian School,930028,ELA,239,42,26,5,213,38,263,47,63,11,565,,495.6,49.1,467,27,2018
Everett - George Keverian School,930028,MATH,232,41,18,3,214,38,294,52,40,7,566,,495.8,50.2,468,37,2018
Everett - Lafayette School,930038,ELA,243,40,19,3,224,37,257,43,103,17,603,,495.4,49.7,476,26,2018
Everett - Lafayette School,930038,MATH,189,31,7,1,182,30,296,49,118,20,603,,490.8,43,474,22,2018
Everett - Madeline English School,930018,ELA,190,36,20,4,170,32,261,49,77,15,528,,493.3,45.6,440,20,2018
Everett - Madeline English School,930018,MATH,167,32,18,3,149,28,286,54,75,14,528,,491,45.9,441,22,2018
Everett - Parlin School,930058,ELA,179,30,7,1,172,29,271,46,137,23,587,,487.5,47,406,9,2018
Everett - Parlin School,930058,MATH,138,24,14,2,124,21,328,56,121,21,587,,486.8,48.1,411,13,2018
Everett - Sumner G. Whittier School,930010,ELA,178,48,17,5,161,43,164,44,29,8,371,,498.6,51.2,270,37,2018
Everett - Sumner G. Whittier School,930010,MATH,189,51,17,5,172,46,166,45,16,4,371,,499.6,49.9,271,52,2018
Everett - Webster School,930015,ELA,62,53,5,4,57,49,45,39,9,8,116,,502.4,55.3,63,52,2018
Everett - Webster School,930015,MATH,63,55,8,7,55,48,43,37,9,8,115,,503.4,64.7,62,67,2018
Excel Academy Charter (District) - Excel Academy Charter School,4100205,ELA,373,55,64,9,309,45,245,36,64,9,682,,501.9,56.7,609,52,2018
Excel Academy Charter (District) - Excel Academy Charter School,4100205,MATH,323,47,35,5,288,42,302,44,57,8,682,,498.7,51.5,609,50,2018
Fairhaven - East Fairhaven,940010,ELA,107,53,17,8,90,44,87,43,9,4,203,,502.9,50.7,125,54,2018
Fairhaven - East Fairhaven,940010,MATH,80,39,2,1,78,38,112,55,11,5,203,,497,55.8,126,42,2018
Fairhaven - Hastings Middle,940305,ELA,221,48,34,7,187,41,187,41,50,11,458,,498.6,49.1,448,37,2018
Fairhaven - Hastings Middle,940305,MATH,231,51,29,6,202,44,189,41,37,8,457,,499.7,58.3,445,52,2018
Fairhaven - Leroy Wood,940030,ELA,160,62,22,9,138,53,91,35,7,3,258,,505.5,51.8,167,66,2018
Fairhaven - Leroy Wood,940030,MATH,135,52,22,8,113,44,102,39,22,8,259,,500.6,60.7,167,56,2018
Fall River - Carlton M. Viveiros Elementary School,950009,ELA,152,45,4,1,148,44,152,45,35,10,339,,495.5,50,231,26,2018
Fall River - Carlton M. Viveiros Elementary School,950009,MATH,150,45,7,2,143,42,146,43,41,12,337,,495.5,45.4,230,36,2018
Fall River - Henry Lord Community School,950017,ELA,82,23,5,1,77,22,183,51,91,26,356,,486.6,45.7,252,8,2018
Fall River - Henry Lord Community School,950017,MATH,52,15,1,0,51,14,181,51,121,34,354,,480.6,48.9,252,5,2018
Fall River - James Tansey,950140,ELA,59,39,5,3,54,36,80,53,13,9,152,,495.6,42.7,90,27,2018
Fall River - James Tansey,950140,MATH,65,43,4,3,61,40,76,50,11,7,152,,497,40.8,91,42,2018
Fall River - John J Doran,950045,ELA,102,33,11,4,91,29,165,53,42,14,309,,491.6,55,252,16,2018
Fall River - John J Doran,950045,MATH,99,32,7,2,92,30,156,51,53,17,308,,490,57,252,19,2018
Fall River - Letourneau Elementary School,950013,ELA,83,36,9,4,74,32,127,55,20,9,230,,493.9,48.9,138,21,2018
Fall River - Letourneau Elementary School,950013,MATH,75,32,9,4,66,28,137,59,21,9,233,,492.2,43.5,139,25,2018
Fall River - Mary Fonseca Elementary School,950011,ELA,53,18,4,1,49,16,176,59,68,23,297,,484.1,38.6,187,6,2018
Fall River - Mary Fonseca Elementary School,950011,MATH,43,14,2,1,41,14,164,55,92,31,299,,479.6,38.9,188,5,2018
Fall River - Matthew J Kuss Middle,950320,ELA,280,40,50,7,230,33,273,39,146,21,699,,496.3,46.4,641,29,2018
Fall River - Matthew J Kuss Middle,950320,MATH,261,37,50,7,211,30,311,45,126,18,698,,495.2,41,637,35,2018
Fall River - Morton Middle,950315,ELA,181,33,28,5,153,28,267,49,98,18,546,,491.1,46,528,14,2018
Fall River - Morton Middle,950315,MATH,165,30,9,2,156,29,278,51,99,18,542,,488.8,41.4,526,17,2018
Fall River - North End Elementary,950005,ELA,222,63,50,14,172,49,103,29,27,8,352,,506.3,53.2,234,69,2018
Fall River - North End Elementary,950005,MATH,191,54,42,12,149,42,128,36,33,9,352,,502,41.4,234,62,2018
Fall River - Resiliency Preparatory Academy,950525,ELA,1,4,0,0,1,4,3,13,20,83,24,,460.7,,18,1,2018
Fall River - Resiliency Preparatory Academy,950525,MATH,1,4,0,0,1,4,7,28,17,68,25,,466.1,,19,1,2018
Fall River - Samuel Watson,950145,ELA,36,27,0,0,36,27,84,63,14,10,134,,489.6,39.3,92,12,2018
Fall River - Samuel Watson,950145,MATH,16,12,0,0,16,12,86,64,32,24,134,,482.3,36.4,92,6,2018
Fall River - Spencer Borden,950130,ELA,144,51,22,8,122,43,109,39,28,10,281,,505.1,54,169,64,2018
Fall River - Spencer Borden,950130,MATH,143,51,18,6,125,44,104,37,34,12,281,,502.8,47.1,169,65,2018
Fall River - Stone PK-12 School,950340,ELA,1,4,0,0,1,4,6,23,19,73,26,,463.7,23.5,20,1,2018
Fall River - Stone PK-12 School,950340,MATH,0,0,0,0,0,0,5,21,19,79,24,,461,,18,1,2018
Fall River - Talbot Innovation School,950305,ELA,72,16,2,0,70,16,199,45,170,39,441,,477,38.6,372,2,2018
Fall River - Talbot Innovation School,950305,MATH,63,14,0,0,63,14,236,54,141,32,440,,478.8,36.4,376,4,2018
Fall River - William S Greene,950065,ELA,132,39,22,7,110,33,143,43,61,18,336,,493.1,51.4,227,19,2018
Fall River - William S Greene,950065,MATH,104,31,14,4,90,27,153,46,79,24,336,,488.3,47.1,228,15,2018
Falmouth - East Falmouth Elementary,960005,ELA,59,52,6,5,53,47,45,40,9,8,113,,502,44.5,57,50,2018
Falmouth - East Falmouth Elementary,960005,MATH,41,36,6,5,35,31,49,43,23,20,113,,492.9,47.6,57,27,2018
Falmouth - Lawrence,960405,ELA,340,59,53,9,287,49,194,33,46,8,580,,504.3,52.7,565,61,2018
Falmouth - Lawrence,960405,MATH,376,65,84,15,292,51,169,29,33,6,578,,506.7,64.5,565,79,2018
Falmouth - Morse Pond School,960305,ELA,321,60,73,14,248,46,182,34,35,7,538,,506.5,50.9,515,70,2018
Falmouth - Morse Pond School,960305,MATH,274,51,39,7,235,44,218,40,47,9,539,,501.1,54.3,516,58,2018
Falmouth - Mullen-Hall,960020,ELA,89,50,16,9,73,41,73,41,15,8,177,,499.5,44.7,91,41,2018
Falmouth - Mullen-Hall,960020,MATH,71,40,7,4,64,36,82,46,24,14,177,,494.6,45.8,91,32,2018
Falmouth - North Falmouth Elementary,960030,ELA,98,68,20,14,78,54,46,32,0,0,144,,509.6,45.6,63,81,2018
Falmouth - North Falmouth Elementary,960030,MATH,89,62,22,15,67,47,49,34,6,4,144,,507.7,62.5,63,82,2018
Falmouth - Teaticket,960015,ELA,56,57,8,8,48,48,37,37,6,6,99,,504,51.6,44,59,2018
Falmouth - Teaticket,960015,MATH,42,42,4,4,38,38,44,44,13,13,99,,495.9,51.7,44,37,2018
Farmington River Reg - Farmington River Elementary,6620020,ELA,23,45,1,2,22,43,26,51,2,4,51,,500,42.6,38,44,2018
Farmington River Reg - Farmington River Elementary,6620020,MATH,22,42,1,2,21,40,28,54,2,4,52,,498.1,44.2,39,46,2018
Fitchburg - Arthur M Longsjo Middle School,970315,ELA,187,34,11,2,176,32,246,45,114,21,547,,490.7,50.3,505,14,2018
Fitchburg - Arthur M Longsjo Middle School,970315,MATH,104,19,4,1,100,18,304,56,138,25,546,,483.2,41.8,507,8,2018
Fitchburg - Crocker Elementary,970016,ELA,113,57,26,13,87,44,73,37,14,7,200,,504.4,40.7,91,61,2018
Fitchburg - Crocker Elementary,970016,MATH,125,63,24,12,101,51,68,34,7,4,200,,505.3,41,92,74,2018
Fitchburg - McKay Elementary School,970340,ELA,97,23,12,3,85,20,205,49,113,27,415,,486.2,37.8,306,7,2018
Fitchburg - McKay Elementary School,970340,MATH,97,23,10,2,87,21,174,42,144,35,415,,483.1,39.2,304,8,2018
Fitchburg - Memorial Middle School,970048,ELA,206,31,18,3,188,29,287,44,166,25,659,,487.2,38.5,623,9,2018
Fitchburg - Memorial Middle School,970048,MATH,164,25,6,1,158,24,337,51,158,24,659,,485.3,37.7,625,11,2018
Fitchburg - Reingold Elementary,970043,ELA,67,28,9,4,58,24,145,60,31,13,243,,490.7,40.1,115,14,2018
Fitchburg - Reingold Elementary,970043,MATH,55,22,5,2,50,20,115,47,75,31,245,,483.6,30.9,115,8,2018
Fitchburg - South Street Early Learning Center,970060,ELA,101,39,12,5,89,34,121,47,36,14,258,,495.4,49.6,118,26,2018
Fitchburg - South Street Early Learning Center,970060,MATH,66,25,7,3,59,23,135,52,58,22,259,,488.6,41.2,119,16,2018
Florida - Abbott Memorial,980005,ELA,17,34,0,0,17,34,28,56,5,10,50,,494.6,36.4,45,22,2018
Florida - Abbott Memorial,980005,MATH,17,34,0,0,17,34,28,56,5,10,50,,494.3,42.1,44,32,2018
Four Rivers Charter Public (District) - Four Rivers Charter Public School,4130505,ELA,37,51,3,4,34,47,31,43,4,6,72,,502.9,45,64,54,2018
Four Rivers Charter Public (District) - Four Rivers Charter Public School,4130505,MATH,41,57,2,3,39,54,28,39,3,4,72,,504,58.4,64,69,2018
Foxborough - Charles Taylor Elementary,990050,ELA,54,54,6,6,48,48,43,43,3,3,100,,502,52,58,51,2018
Foxborough - Charles Taylor Elementary,990050,MATH,66,67,11,11,55,56,28,28,5,5,99,,505.4,64.5,56,75,2018
Foxborough - John J Ahern,990405,ELA,413,50,45,5,368,45,350,43,60,7,823,,499.9,48.9,798,41,2018
Foxborough - John J Ahern,990405,MATH,536,65,58,7,478,58,249,30,39,5,824,,505.6,60.7,798,76,2018
Foxborough - Mabelle M Burrell,990015,ELA,53,54,6,6,47,48,42,43,3,3,98,,502.2,42,57,51,2018
Foxborough - Mabelle M Burrell,990015,MATH,62,63,10,10,52,53,32,33,4,4,98,,507.1,56.6,57,80,2018
Foxborough - Vincent M Igo Elementary,990020,ELA,96,58,12,7,84,51,61,37,9,5,166,,503.8,44.9,81,58,2018
Foxborough - Vincent M Igo Elementary,990020,MATH,91,55,12,7,79,48,66,40,9,5,166,,502.9,41.8,80,65,2018
Foxborough Regional Charter (District) - Foxborough Regional Charter School,4460550,ELA,353,45,43,5,310,39,375,48,57,7,785,,498.3,41.5,609,36,2018
Foxborough Regional Charter (District) - Foxborough Regional Charter School,4460550,MATH,338,43,37,5,301,38,375,48,73,9,786,,496.4,50.8,610,39,2018
Framingham - Barbieri Elementary,1000035,ELA,94,29,19,6,75,23,143,44,90,28,327,,491.6,43.4,178,16,2018
Framingham - Barbieri Elementary,1000035,MATH,75,23,6,2,69,21,138,42,113,35,326,,484.5,31.4,178,9,2018
Framingham - Brophy,1000006,ELA,81,33,5,2,76,31,120,49,46,19,247,,490.5,45.1,163,13,2018
Framingham - Brophy,1000006,MATH,95,38,10,4,85,34,111,44,44,18,250,,491.5,43.9,162,23,2018
Framingham - Cameron Middle School,1000302,ELA,155,31,19,4,136,27,223,44,130,26,508,,488.5,45.4,496,10,2018
Framingham - Cameron Middle School,1000302,MATH,212,42,17,3,195,38,224,44,71,14,507,,494.2,58.3,495,31,2018
Framingham - Charlotte A Dunning,1000007,ELA,142,57,20,8,122,49,88,35,21,8,251,,504.4,48.6,168,61,2018
Framingham - Charlotte A Dunning,1000007,MATH,131,52,15,6,116,46,92,37,28,11,251,,500,47.9,168,53,2018
Framingham - Fuller Middle,1000305,ELA,138,31,25,6,113,25,171,38,141,31,450,,487.8,51.9,372,10,2018
Framingham - Fuller Middle,1000305,MATH,86,19,8,2,78,17,239,53,125,28,450,,484.2,45.3,375,9,2018
Framingham - Harmony Grove Elementary,1000055,ELA,62,22,4,1,58,21,164,59,51,18,277,,486.6,50.6,164,8,2018
Framingham - Harmony Grove Elementary,1000055,MATH,53,19,2,1,51,18,156,56,70,25,279,,483.3,52.6,165,8,2018
Framingham - Hemenway,1000015,ELA,188,67,41,15,147,53,81,29,10,4,279,,509.6,56.9,182,80,2018
Framingham - Hemenway,1000015,MATH,165,59,24,9,141,51,98,35,16,6,279,,504,58,181,69,2018
Framingham - King Elementary School,1000005,ELA,18,30,1,2,17,28,41,67,2,3,61,,494.2,,,22,2018
Framingham - King Elementary School,1000005,MATH,22,36,2,3,20,33,25,41,14,23,61,,491.9,,,24,2018
Framingham - Mary E Stapleton Elementary,1000045,ELA,68,34,11,5,57,28,108,54,25,12,201,,493.3,48.1,146,20,2018
Framingham - Mary E Stapleton Elementary,1000045,MATH,70,35,12,6,58,29,85,42,46,23,201,,489.8,52.6,146,19,2018
Framingham - Miriam F McCarthy School,1000050,ELA,93,32,11,4,82,28,148,51,50,17,291,,490.7,37.4,192,14,2018
Framingham - Miriam F McCarthy School,1000050,MATH,85,29,9,3,76,26,142,49,63,22,290,,487.8,40.6,192,14,2018
Framingham - Potter Road,1000039,ELA,126,50,11,4,115,46,106,42,18,7,250,,499.3,55.1,162,40,2018
Framingham - Potter Road,1000039,MATH,117,47,7,3,110,44,104,41,30,12,251,,495.7,58.3,162,36,2018
Framingham - Walsh Middle,1000310,ELA,357,48,59,8,298,40,278,37,108,15,743,,497.6,49.2,728,34,2018
Framingham - Walsh Middle,1000310,MATH,363,49,45,6,318,43,301,41,77,10,741,,498.9,57,726,49,2018
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,4780505,ELA,90,63,8,6,82,57,48,34,5,3,143,,505.2,42.8,124,67,2018
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,4780505,MATH,85,59,6,4,79,55,53,37,5,3,143,,502.5,35.6,124,63,2018
Franklin - Annie Sullivan Middle School,1010040,ELA,288,67,67,15,221,51,128,30,17,4,433,,509.6,55.5,416,81,2018
Franklin - Annie Sullivan Middle School,1010040,MATH,272,63,47,11,225,52,146,34,14,3,432,,507.5,52,414,81,2018
Franklin - Davis Thayer,1010035,ELA,80,67,8,7,72,60,36,30,4,3,120,,507.1,50.9,82,72,2018
Franklin - Davis Thayer,1010035,MATH,78,65,12,10,66,55,40,33,2,2,120,,506.6,62,82,79,2018
Franklin - Helen Keller Elementary,1010012,ELA,144,70,29,14,115,56,54,26,9,4,207,,510.6,51.8,149,84,2018
Franklin - Helen Keller Elementary,1010012,MATH,120,58,14,7,106,51,74,36,12,6,206,,504.9,45.2,148,72,2018
Franklin - Horace Mann,1010405,ELA,319,69,72,16,247,53,127,27,16,3,462,,509.2,52.9,457,79,2018
Franklin - Horace Mann,1010405,MATH,283,61,38,8,245,53,164,35,15,3,462,,504.7,36.9,458,72,2018
Franklin - J F Kennedy Memorial,1010013,ELA,149,85,55,31,94,53,26,15,1,1,176,,520.2,70.9,115,99,2018
Franklin - J F Kennedy Memorial,1010013,MATH,147,84,35,20,112,64,28,16,1,1,176,,516.3,71.2,115,97,2018
Franklin - Jefferson Elementary,1010010,ELA,118,66,18,10,100,56,52,29,10,6,180,,507.6,45.2,112,74,2018
Franklin - Jefferson Elementary,1010010,MATH,120,67,23,13,97,54,47,26,13,7,180,,508.7,55.8,112,84,2018
Franklin - Oak Street Elementary,1010030,ELA,136,60,15,7,121,54,80,36,9,4,225,,504.4,50,166,61,2018
Franklin - Oak Street Elementary,1010030,MATH,118,53,13,6,105,47,94,42,12,5,224,,500.6,51.1,165,56,2018
Franklin - Parmenter,1010032,ELA,118,74,19,12,99,62,41,26,0,0,159,,510.5,55.5,99,84,2018
Franklin - Parmenter,1010032,MATH,120,76,28,18,92,58,36,23,2,1,158,,511.3,62,99,91,2018
Franklin - Remington Middle,1010310,ELA,255,58,36,8,219,50,146,33,36,8,437,,503,48.2,429,54,2018
Franklin - Remington Middle,1010310,MATH,294,67,61,14,233,53,117,27,25,6,436,,507.6,52,425,82,2018
Freetown-Lakeville - Assawompset Elementary School,6650002,ELA,52,52,7,7,45,45,43,43,5,5,100,,501.2,,,47,2018
Freetown-Lakeville - Assawompset Elementary School,6650002,MATH,53,53,13,13,40,40,36,36,11,11,100,,502,,,62,2018
Freetown-Lakeville - Freetown Elementary School,6650001,ELA,54,62,8,9,46,53,29,33,4,5,87,,505,,,64,2018
Freetown-Lakeville - Freetown Elementary School,6650001,MATH,56,64,15,17,41,47,22,25,9,10,87,,507.9,,,83,2018
Freetown-Lakeville - Freetown-Lakeville Middle School,6650305,ELA,384,52,57,8,327,45,286,39,62,8,732,,501.1,47.4,707,46,2018
Freetown-Lakeville - Freetown-Lakeville Middle School,6650305,MATH,396,54,40,5,356,49,293,40,41,6,730,,501.5,48,705,60,2018
Freetown-Lakeville - George R Austin Intermediate School,6650015,ELA,262,62,26,6,236,56,146,34,17,4,425,,505,55.2,400,64,2018
Freetown-Lakeville - George R Austin Intermediate School,6650015,MATH,268,63,32,8,236,56,129,30,27,6,424,,505.3,60,401,74,2018
Frontier - Frontier Regional,6700505,ELA,88,40,13,6,75,34,110,50,24,11,222,,494.6,41,210,25,2018
Frontier - Frontier Regional,6700505,MATH,106,48,9,4,97,44,98,45,16,7,220,,498.5,47.4,209,49,2018
Gardner - Gardner Elementary School,1030001,ELA,111,31,8,2,103,29,191,54,51,14,353,,491.7,38.6,168,16,2018
Gardner - Gardner Elementary School,1030001,MATH,97,27,3,1,94,27,173,49,83,24,353,,486.3,49.8,168,12,2018
Gardner - Gardner High,1030505,ELA,28,18,4,3,24,16,69,45,55,36,152,,480.9,50.3,146,4,2018
Gardner - Gardner High,1030505,MATH,24,16,0,0,24,16,83,54,46,30,153,,480.8,39.9,147,6,2018
Gardner - Gardner Middle School,1030405,ELA,129,25,5,1,124,24,292,56,101,19,522,,487,44.5,501,8,2018
Gardner - Gardner Middle School,1030405,MATH,143,28,8,2,135,26,287,55,90,17,520,,488.3,58.1,499,15,2018
Gateway - Chester Elementary,6720059,ELA,25,52,3,6,22,46,21,44,2,4,48,,499.5,37.3,32,41,2018
Gateway - Chester Elementary,6720059,MATH,21,44,1,2,20,42,25,52,2,4,48,,497.3,59.1,32,43,2018
Gateway - Gateway Regional Middle School,6720405,ELA,78,41,9,5,69,36,93,49,20,10,191,,495.8,44.8,185,28,2018
Gateway - Gateway Regional Middle School,6720405,MATH,73,38,5,3,68,36,99,52,19,10,191,,493.6,45,184,29,2018
Gateway - Littleville Elementary School,6720143,ELA,82,56,14,10,68,47,58,40,6,4,146,,505.1,55.2,88,64,2018
Gateway - Littleville Elementary School,6720143,MATH,61,42,6,4,55,38,75,51,10,7,146,,498.6,50.8,88,48,2018
Georgetown - Georgetown Middle School,1050305,ELA,121,53,22,10,99,43,91,40,16,7,228,,501.8,51.5,222,49,2018
