School Name,School Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP,Ach. PCTL,Year
Alma del Mar Charter School (District) - Alma del Mar Charter School,4090205,MATH,138,54,12,5,126,49,108,42,11,4,257,,500.8,48.5,200,56,2018
Amesbury - Amesbury Elementary,70005,ELA,100,64,24,15,76,48,48,31,9,6,157,,507.9,51.2,70,74,2018
Amesbury - Amesbury Elementary,70005,MATH,97,62,24,15,73,46,42,27,18,11,157,,504.1,42.9,70,69,2018
Amesbury - Amesbury Middle,70013,ELA,287,44,28,4,259,40,289,44,75,12,651,,496.2,40.4,623,29,2018
Amesbury - Amesbury Middle,70013,MATH,272,42,24,4,248,38,290,45,85,13,647,,494.8,43.2,618,33,2018
Amesbury - Charles C Cashman Elementary,70010,ELA,84,49,17,10,67,39,80,47,7,4,171,,501.6,54.8,84,48,2018
Amesbury - Charles C Cashman Elementary,70010,MATH,59,35,8,5,51,30,84,50,25,15,168,,492.3,56.7,81,26,2018
Amherst - Crocker Farm Elementary,80009,ELA,79,41,12,6,67,35,95,49,20,10,194,,496.6,38,139,30,2018
Amherst - Crocker Farm Elementary,80009,MATH,77,39,13,7,64,33,83,43,35,18,195,,492.5,49.2,135,26,2018
Amherst - Fort River Elementary,80020,ELA,107,55,30,15,77,39,69,35,19,10,195,,503.4,45.1,146,56,2018
Amherst - Fort River Elementary,80020,MATH,99,50,24,12,75,38,70,36,28,14,197,,499.1,46.3,144,50,2018
Amherst - Wildwood Elementary,80050,ELA,126,56,23,10,103,46,77,34,21,9,224,,504.7,57.2,153,63,2018
Amherst - Wildwood Elementary,80050,MATH,113,51,25,11,88,40,73,33,35,16,221,,500.5,53,152,56,2018
Amherst-Pelham - Amherst Regional Middle School,6050405,ELA,210,57,57,15,153,42,95,26,63,17,368,,501,49.7,332,46,2018
Amherst-Pelham - Amherst Regional Middle School,6050405,MATH,198,54,42,11,156,43,116,32,53,14,367,,500.5,42.3,332,56,2018
Andover - Andover West Middle,90310,ELA,343,67,65,13,278,55,144,28,22,4,509,,508.4,52.1,490,76,2018
Andover - Andover West Middle,90310,MATH,338,66,87,17,251,49,159,31,13,3,510,,510.2,56.4,491,88,2018
Andover - Bancroft Elementary,90003,ELA,199,64,24,8,175,56,104,33,8,3,311,,505.5,54.3,212,66,2018
Andover - Bancroft Elementary,90003,MATH,155,50,24,8,131,42,130,42,26,8,311,,499.7,51.9,213,52,2018
Andover - Doherty Middle,90305,ELA,382,70,92,17,290,53,143,26,18,3,543,,510.3,57.7,531,83,2018
Andover - Doherty Middle,90305,MATH,329,61,78,14,251,46,184,34,29,5,542,,505.9,53.7,531,77,2018
Andover - Henry C Sanborn Elementary,90010,ELA,140,70,28,14,112,56,54,27,5,3,199,,510.2,55.8,129,82,2018
Andover - Henry C Sanborn Elementary,90010,MATH,136,68,27,14,109,55,55,28,9,5,200,,509.4,64.6,129,86,2018
Andover - High Plain Elementary,90004,ELA,216,78,51,18,165,60,57,21,3,1,276,,514.1,56,183,92,2018
Andover - High Plain Elementary,90004,MATH,208,75,40,14,168,61,61,22,7,3,276,,511.5,65.2,184,91,2018
Andover - South Elementary,90020,ELA,186,79,29,12,157,67,49,21,1,0,236,,512.1,41.6,165,88,2018
Andover - South Elementary,90020,MATH,154,65,38,16,116,49,79,33,4,2,237,,509.9,49.5,164,87,2018
Andover - West Elementary,90025,ELA,216,68,44,14,172,54,93,29,11,3,320,,509.9,61,196,81,2018
Andover - West Elementary,90025,MATH,203,63,43,13,160,50,102,32,15,5,320,,507.8,66.2,197,83,2018
Andover - Wood Hill Middle School,90350,ELA,256,64,67,17,189,47,122,30,25,6,403,,509.2,46.8,384,79,2018
Andover - Wood Hill Middle School,90350,MATH,282,70,93,23,189,47,103,25,19,5,404,,512.6,55.7,386,93,2018
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,ELA,80,26,2,1,78,25,161,52,71,23,312,,486.5,39,283,9,2018
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,MATH,98,31,4,1,94,30,160,51,55,18,313,,489,44.8,281,18,2018
Arlington - Brackett,100010,ELA,180,75,37,15,143,60,49,20,11,5,240,,513.4,47.4,140,91,2018
Arlington - Brackett,100010,MATH,157,65,31,13,126,52,70,29,15,6,242,,508.7,49.5,140,84,2018
Arlington - Cyrus E Dallin,100025,ELA,159,65,36,15,123,51,81,33,3,1,243,,509.3,49.8,158,80,2018
Arlington - Cyrus E Dallin,100025,MATH,164,67,31,13,133,55,75,31,4,2,243,,508,58.4,158,83,2018
Arlington - Hardy,100030,ELA,134,68,29,15,105,53,55,28,8,4,197,,509.7,50.6,118,81,2018
Arlington - Hardy,100030,MATH,124,64,20,10,104,53,57,29,14,7,195,,505.2,43.1,118,74,2018
Arlington - John A Bishop,100005,ELA,157,77,36,18,121,60,45,22,1,0,203,,514.3,50.5,126,92,2018
Arlington - John A Bishop,100005,MATH,138,68,20,10,118,58,62,31,3,1,203,,507.6,49.6,126,82,2018
Arlington - M Norcross Stratton,100055,ELA,116,63,18,10,98,53,60,32,9,5,185,,507,52.5,117,72,2018
Arlington - M Norcross Stratton,100055,MATH,104,57,10,5,94,51,67,36,13,7,184,,503.4,49.8,117,67,2018
Arlington - Ottoson Middle,100410,ELA,890,73,257,21,633,52,288,24,41,3,"1,219",,512.9,54.7,"1,184",90,2018
Arlington - Ottoson Middle,100410,MATH,889,73,153,13,736,60,295,24,38,3,"1,222",,509.6,55.8,"1,189",86,2018
Arlington - Peirce,100045,ELA,90,67,18,13,72,53,43,32,2,1,135,,509,53.5,89,78,2018
Arlington - Peirce,100045,MATH,75,56,15,11,60,44,57,42,3,2,135,,505.7,52.2,89,76,2018
Arlington - Thompson,100050,ELA,162,69,47,20,115,49,65,28,8,3,235,,510.8,59.5,148,84,2018
Arlington - Thompson,100050,MATH,147,62,30,13,117,50,81,34,8,3,236,,506.6,60.2,149,79,2018
Ashburnham-Westminster - Briggs Elementary,6100025,ELA,134,51,8,3,126,48,123,47,4,2,261,,500.9,42.8,168,45,2018
Ashburnham-Westminster - Briggs Elementary,6100025,MATH,119,46,11,4,108,41,132,51,10,4,261,,498.5,31.6,169,47,2018
Ashburnham-Westminster - Overlook Middle School,6100305,ELA,319,57,48,9,271,49,192,34,47,8,558,,502.5,56.5,544,52,2018
Ashburnham-Westminster - Overlook Middle School,6100305,MATH,295,53,30,5,265,47,237,42,27,5,559,,501.2,52,544,59,2018
Ashburnham-Westminster - Westminster Elementary,6100005,ELA,132,48,6,2,126,45,132,48,13,5,277,,499,49.5,187,38,2018
Ashburnham-Westminster - Westminster Elementary,6100005,MATH,123,44,6,2,117,42,135,49,19,7,277,,497.1,54.5,188,42,2018
Ashland - Ashland Middle,140405,ELA,399,68,112,19,287,49,158,27,32,5,589,,510.6,61.5,568,84,2018
Ashland - Ashland Middle,140405,MATH,420,71,104,18,316,54,145,25,23,4,588,,511.3,64.6,568,91,2018
Ashland - David Mindess,140015,ELA,375,60,60,10,315,50,225,36,30,5,630,,504.6,48,397,62,2018
Ashland - David Mindess,140015,MATH,323,51,43,7,280,45,262,42,44,7,629,,500,48.9,398,53,2018
Athol-Royalston - Athol Community Elementary School,6150020,ELA,53,28,6,3,47,25,105,55,32,17,190,,489.5,37.3,93,12,2018
Athol-Royalston - Athol Community Elementary School,6150020,MATH,54,28,8,4,46,24,92,48,44,23,190,,488,40.5,93,15,2018
Athol-Royalston - Athol-Royalston Middle School,6150305,ELA,137,37,20,5,117,32,153,42,77,21,367,,492.3,56.7,352,17,2018
Athol-Royalston - Athol-Royalston Middle School,6150305,MATH,117,32,5,1,112,31,185,51,63,17,365,,489.7,51.8,349,18,2018
Athol-Royalston - Royalston Community School,6150050,ELA,48,59,8,10,40,49,31,38,2,2,81,,504.2,69.9,62,60,2018
Athol-Royalston - Royalston Community School,6150050,MATH,42,52,4,5,38,47,31,38,8,10,81,,499.2,70.7,62,50,2018
Atlantis Charter (District) - Atlantis Charter School,4910550,ELA,292,45,38,6,254,39,282,44,71,11,645,,497.3,46,534,33,2018
Atlantis Charter (District) - Atlantis Charter School,4910550,MATH,261,40,18,3,243,38,322,50,62,10,645,,494.9,39.5,533,34,2018
Attleboro - A. Irvin Studley Elementary School,160001,ELA,101,66,24,16,77,51,46,30,5,3,152,,508.4,54.9,73,76,2018
Attleboro - A. Irvin Studley Elementary School,160001,MATH,93,61,18,12,75,49,47,31,12,8,152,,504.9,52,73,72,2018
Attleboro - Cyril K. Brennan Middle School,160315,ELA,273,49,38,7,235,42,223,40,62,11,558,,500.7,49.7,511,44,2018
Attleboro - Cyril K. Brennan Middle School,160315,MATH,208,37,7,1,201,36,267,48,83,15,558,,494,41.9,510,30,2018
Attleboro - Hill-Roberts Elementary School,160045,ELA,89,50,9,5,80,45,81,45,9,5,179,,499.5,40.9,96,41,2018
Attleboro - Hill-Roberts Elementary School,160045,MATH,69,39,2,1,67,37,79,44,31,17,179,,492.1,46,96,25,2018
Attleboro - Hyman Fine Elementary School,160040,ELA,125,69,31,17,94,52,54,30,1,1,180,,511.4,66.3,96,86,2018
Attleboro - Hyman Fine Elementary School,160040,MATH,111,62,10,6,101,56,65,36,4,2,180,,504.9,74.2,96,72,2018
Attleboro - Peter Thacher Elementary School,160050,ELA,100,63,22,14,78,49,44,28,14,9,158,,509.6,63.5,76,81,2018
Attleboro - Peter Thacher Elementary School,160050,MATH,86,54,11,7,75,47,53,34,19,12,158,,504.3,66.2,76,70,2018
Attleboro - Robert J. Coelho Middle School,160305,ELA,326,50,31,5,295,45,275,42,57,9,658,,498.9,47.7,643,38,2018
Attleboro - Robert J. Coelho Middle School,160305,MATH,359,55,25,4,334,51,255,39,44,7,658,,500.2,50.8,642,54,2018
Attleboro - Thomas Willett Elementary School,160035,ELA,114,65,29,16,85,48,57,32,5,3,176,,508.3,55,80,76,2018
Attleboro - Thomas Willett Elementary School,160035,MATH,95,54,13,7,82,47,63,36,18,10,176,,499.4,56.1,79,51,2018
Attleboro - Wamsutta Middle School,160320,ELA,287,51,44,8,243,43,211,38,64,11,562,,499.6,49.7,537,41,2018
