School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Andover - Henry C Sanborn Elementary;00090010;ELA;          13;52;           0;0;          13;52;          12;48;           0;0;          25;100;     502.3;;           7;2021;ALL;title 1
Andover - Henry C Sanborn Elementary;00090010;MATH;           5;20;           0;0;           5;20;          19;76;           1;4;          25;100;     489.3;;           7;2021;ALL;title 1
Andover - High Plain Elementary;00090004;ELA;           7;44;           3;19;           4;25;           8;50;           1;6;          16;100;     501.1;;           4;2021;ALL;title 1
Andover - High Plain Elementary;00090004;MATH;           1;6;           0;0;           1;6;          12;75;           3;19;          16;100;     484.1;;           4;2021;ALL;title 1
Andover - West Elementary;00090025;ELA;          11;31;           0;0;          11;31;          21;60;           3;9;          35;97;     491.6;;           3;2021;ALL;title 1
Andover - West Elementary;00090025;MATH;           2;6;           0;0;           2;6;          25;71;           8;23;          35;97;     478.6;;           3;2021;ALL;title 1
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;ELA;          57;18;           2;1;          55;18;         160;51;          95;30;         312;96;     480.7;          21.3;         285;2021;ALL;title 1
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;MATH;          41;13;           1;0;          40;13;         175;56;          98;31;         314;97;     479.1;          17.9;         286;2021;ALL;title 1
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;SCI;           9;14;           1;2;           8;13;          36;56;          19;30;          64;96;     480.8;;;2021;ALL;title 1
Arlington - M Norcross Stratton;00100055;ELA;          12;67;           1;6;          11;61;           5;28;           1;6;          18;100;     503.0;;           6;2021;ALL;title 1
Arlington - M Norcross Stratton;00100055;MATH;           3;17;           0;0;           3;17;          11;61;           4;22;          18;100;     481.2;;           6;2021;ALL;title 1
Arlington - Peirce;00100045;ELA;          19;63;           1;3;          18;60;          10;33;           1;3;          30;100;     501.7;;          11;2021;ALL;title 1
Arlington - Peirce;00100045;MATH;           7;23;           0;0;           7;23;          20;67;           3;10;          30;100;     485.0;;          11;2021;ALL;title 1
Arlington - Peirce;00100045;SCI;           8;73;           1;9;           7;64;           3;27;           0;0;          11;100;     512.8;;;2021;ALL;title 1
Ashburnham-Westminster - Briggs Elementary;06100025;ELA;           4;17;           0;0;           4;17;          19;83;           0;0;          23;96;     488.3;;           3;2021;ALL;title 1
Ashburnham-Westminster - Briggs Elementary;06100025;MATH;           1;4;           0;0;           1;4;          15;65;           7;30;          23;96;     473.7;;           3;2021;ALL;title 1
Ashburnham-Westminster - Westminster Elementary;06100005;ELA;           4;36;           0;0;           4;36;           6;55;           1;9;          11;100;     489.2;;           1;2021;ALL;title 1
Ashburnham-Westminster - Westminster Elementary;06100005;MATH;           2;18;           0;0;           2;18;           6;55;           3;27;          11;100;     479.3;;           1;2021;ALL;title 1
Ashland - Ashland Middle;00140405;ELA;           6;14;           0;0;           6;14;          29;69;           7;17;          42;98;     483.4;          37.1;          41;2021;ALL;title 1
Ashland - Ashland Middle;00140405;MATH;           3;7;           0;0;           3;7;          25;60;          14;33;          42;98;     478.0;          38.3;          41;2021;ALL;title 1
Ashland - Ashland Middle;00140405;SCI;           1;9;           0;0;           1;9;           7;64;           3;27;          11;100;     477.4;;;2021;ALL;title 1
Ashland - David Mindess;00140015;ELA;          10;31;           0;0;          10;31;          20;63;           2;6;          32;94;     490.4;;          11;2021;ALL;title 1
Ashland - David Mindess;00140015;MATH;           0;0;           0;0;           0;0;          20;63;          12;38;          32;94;     476.5;;          11;2021;ALL;title 1
Ashland - David Mindess;00140015;SCI;           2;18;           0;0;           2;18;           6;55;           3;27;          11;85;     484.6;;;2021;ALL;title 1
Athol-Royalston - Athol Community Elementary School;06150020;ELA;          77;42;           6;3;          71;39;          84;46;          23;13;         184;94;     493.8;;;2021;ALL;title 1
Athol-Royalston - Athol Community Elementary School;06150020;MATH;          50;27;           4;2;          46;25;          87;47;          48;26;         185;94;     484.0;;;2021;ALL;title 1
Athol-Royalston - Athol-Royalston Middle School;06150305;ELA;          94;24;           7;2;          87;22;         175;45;         120;31;         389;98;     482.8;          30.2;         376;2021;ALL;title 1
Athol-Royalston - Athol-Royalston Middle School;06150305;MATH;          59;15;           4;1;          55;14;         211;54;         119;31;         389;98;     480.0;          28.6;         378;2021;ALL;title 1
Athol-Royalston - Athol-Royalston Middle School;06150305;SCI;          49;31;          10;6;          39;25;          78;49;          32;20;         159;96;     490.2;;;2021;ALL;title 1
Athol-Royalston - Royalston Community School;06150050;ELA;           3;17;           1;6;           2;11;          12;67;           3;17;          18;100;     490.2;;           9;2021;ALL;title 1
Athol-Royalston - Royalston Community School;06150050;MATH;           4;22;           1;6;           3;17;          10;56;           4;22;          18;100;     484.9;;           9;2021;ALL;title 1
Atlantis Charter (District) - Atlantis Charter School;04910550;ELA;         257;39;          32;5;         225;34;         293;45;         103;16;         653;100;     493.0;          31.0;         426;2021;ALL;title 1
Atlantis Charter (District) - Atlantis Charter School;04910550;MATH;         154;24;           5;1;         149;23;         355;54;         144;22;         653;100;     485.2;          24.6;         426;2021;ALL;title 1
Atlantis Charter (District) - Atlantis Charter School;04910550;SCI;          56;29;           5;3;          51;26;         101;52;          37;19;         194;100;     487.9;;;2021;ALL;title 1
Attleboro - A. Irvin Studley Elementary School;00160001;ELA;          78;56;          15;11;          63;45;          55;40;           6;4;         139;100;     502.8;;;2021;ALL;title 1
Attleboro - A. Irvin Studley Elementary School;00160001;MATH;          50;36;           6;4;          44;32;          59;42;          30;22;         139;100;     489.6;;;2021;ALL;title 1
Attleboro - Hill-Roberts Elementary School;00160045;ELA;          78;47;           8;5;          70;42;          77;46;          12;7;         167;100;     497.2;;;2021;ALL;title 1
Attleboro - Hill-Roberts Elementary School;00160045;MATH;          54;32;           5;3;          49;29;          76;46;          37;22;         167;100;     487.3;;;2021;ALL;title 1
Attleboro - Hyman Fine Elementary School;00160040;ELA;         100;56;          21;12;          79;44;          62;35;          16;9;         178;99;     501.5;;;2021;ALL;title 1
