School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;SCI;           9;75;           3;25;           6;50;           1;8;           2;17;          12;100;     510.3;;;98;2022;ALL;hispanic/latino
Agawam - Agawam Junior High;00050405;ELA;          14;20;           0;0;          14;20;          36;51;          21;30;          71;92;     481.8;          40.5;          59;32;2022;ALL;hispanic/latino
Agawam - Agawam Junior High;00050405;MATH;          14;20;           3;4;          11;16;          34;49;          22;31;          70;90;     482.2;          38.4;          57;42;2022;ALL;hispanic/latino
Agawam - Agawam Junior High;00050405;SCI;          15;36;           0;0;          15;36;          16;38;          11;26;          42;95;     488.0;;;68;2022;ALL;hispanic/latino
Agawam - Benjamin J Phelps;00050020;ELA;           2;18;           0;0;           2;18;           7;64;           2;18;          11;100;     487.2;;           5;54;2022;ALL;hispanic/latino
Agawam - Benjamin J Phelps;00050020;MATH;           4;36;           0;0;           4;36;           6;55;           1;9;          11;100;     492.0;;           5;77;2022;ALL;hispanic/latino
Agawam - Clifford M Granger;00050010;ELA;           5;36;           1;7;           4;29;           6;43;           3;21;          14;100;     487.6;;           6;56;2022;ALL;hispanic/latino
Agawam - Clifford M Granger;00050010;MATH;           5;36;           0;0;           5;36;           7;50;           2;14;          14;100;     492.0;;           6;77;2022;ALL;hispanic/latino
Agawam - James Clark School;00050030;ELA;           4;31;           1;8;           3;23;           8;62;           1;8;          13;100;     491.5;;           7;70;2022;ALL;hispanic/latino
Agawam - James Clark School;00050030;MATH;           2;15;           0;0;           2;15;           7;54;           4;31;          13;100;     482.6;;           7;43;2022;ALL;hispanic/latino
Agawam - Roberta G. Doering School;00050303;ELA;          12;29;           0;0;          12;29;          18;44;          11;27;          41;98;     487.0;          45.7;          37;53;2022;ALL;hispanic/latino
Agawam - Roberta G. Doering School;00050303;MATH;          10;24;           0;0;          10;24;          24;59;           7;17;          41;98;     489.2;          50.1;          37;69;2022;ALL;hispanic/latino
Agawam - Roberta G. Doering School;00050303;SCI;           3;21;           1;7;           2;14;           8;57;           3;21;          14;94;     487.2;;;66;2022;ALL;hispanic/latino
Agawam - Robinson Park;00050025;ELA;           3;23;           1;8;           2;15;           6;46;           4;31;          13;100;     486.8;;           7;52;2022;ALL;hispanic/latino
Agawam - Robinson Park;00050025;MATH;           3;23;           0;0;           3;23;           5;38;           5;38;          13;100;     477.6;;           7;23;2022;ALL;hispanic/latino
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;ELA;         109;29;           9;2;         100;27;         191;51;          76;20;         376;97;     488.3;          46.2;         292;60;2022;ALL;hispanic/latino
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;MATH;          85;23;           2;1;          83;22;         215;57;          75;20;         375;99;     485.8;          39.1;         293;57;2022;ALL;hispanic/latino
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;SCI;          18;21;           2;2;          16;19;          54;64;          13;15;          85;100;     485.5;;;59;2022;ALL;hispanic/latino
Amesbury - Amesbury Middle;00070013;ELA;          18;31;           1;2;          17;29;          25;42;          16;27;          59;98;     487.6;          43.5;          53;56;2022;ALL;hispanic/latino
