School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Acushnet - Acushnet Elementary School;00030025;ELA;          31;53;           2;3;          29;50;          22;38;           5;9;          58;100;     499.9;;;2021;ALL;high needs
Acushnet - Acushnet Elementary School;00030025;MATH;          22;38;           3;5;          19;33;          25;43;          11;19;          58;100;     494.7;;;2021;ALL;high needs
Acushnet - Albert F Ford Middle School;00030305;ELA;          40;29;           8;6;          32;23;          58;42;          41;29;         139;97;     489.1;          34.0;         120;2021;ALL;high needs
Acushnet - Albert F Ford Middle School;00030305;MATH;          27;19;           3;2;          24;17;          78;56;          34;24;         139;97;     485.1;          29.5;         123;2021;ALL;high needs
Acushnet - Albert F Ford Middle School;00030305;SCI;          14;21;           1;1;          13;19;          29;43;          24;36;          67;96;     482.7;;;2021;ALL;high needs
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;ELA;          42;49;           2;2;          40;47;          37;43;           7;8;          86;96;     498.6;          41.7;          79;2021;ALL;high needs
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;MATH;          22;25;           6;7;          16;18;          50;57;          16;18;          88;98;     490.2;          28.5;          81;2021;ALL;high needs
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;SCI;          11;52;           1;5;          10;48;          10;48;           0;0;          21;95;     502.1;;;2021;ALL;high needs
Agawam - Agawam Junior High;00050405;ELA;          40;22;           3;2;          37;20;          87;48;          56;31;         183;66;     483.1;          28.2;         168;2021;ALL;high needs
Agawam - Agawam Junior High;00050405;MATH;          45;24;           5;3;          40;22;          85;46;          55;30;         185;67;     483.5;          27.1;         171;2021;ALL;high needs
Agawam - Agawam Junior High;00050405;SCI;          15;24;           1;2;          14;23;          28;45;          19;31;          62;50;     485.6;;;2021;ALL;high needs
Agawam - Benjamin J Phelps;00050020;ELA;          26;39;           2;3;          24;36;          34;52;           6;9;          66;92;     494.0;;;2021;ALL;high needs
Agawam - Benjamin J Phelps;00050020;MATH;          14;21;           1;2;          13;20;          35;53;          17;26;          66;92;     481.9;;;2021;ALL;high needs
Agawam - Clifford M Granger;00050010;ELA;          16;36;           1;2;          15;33;          22;49;           7;16;          45;94;     490.0;;;2021;ALL;high needs
Agawam - Clifford M Granger;00050010;MATH;           8;17;           1;2;           7;15;          23;49;          16;34;          47;96;     479.9;;;2021;ALL;high needs
Agawam - James Clark School;00050030;ELA;          19;41;           0;0;          19;41;          21;46;           6;13;          46;100;     493.1;;;2021;ALL;high needs
Agawam - James Clark School;00050030;MATH;           7;15;           1;2;           6;13;          20;43;          19;41;          46;100;     477.1;;;2021;ALL;high needs
Agawam - Roberta G. Doering School;00050303;ELA;          62;29;           4;2;          58;27;         108;50;          47;22;         217;86;     488.2;          31.0;         201;2021;ALL;high needs
Agawam - Roberta G. Doering School;00050303;MATH;          43;20;           5;2;          38;18;         125;59;          45;21;         213;84;     485.3;          27.1;         199;2021;ALL;high needs
Agawam - Roberta G. Doering School;00050303;SCI;          34;32;           2;2;          32;30;          49;46;          24;22;         107;87;     489.9;;;2021;ALL;high needs
Agawam - Robinson Park;00050025;ELA;          18;27;           1;2;          17;26;          38;58;          10;15;          66;95;     491.3;;;2021;ALL;high needs
Agawam - Robinson Park;00050025;MATH;          11;17;           2;3;           9;14;          30;45;          25;38;          66;95;     478.6;;;2021;ALL;high needs
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;ELA;         152;39;          17;4;         135;34;         169;43;          73;19;         394;99;     491.9;          32.2;         252;2021;ALL;high needs
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;MATH;          77;20;           4;1;          73;19;         206;52;         111;28;         394;99;     481.4;          15.6;         252;2021;ALL;high needs
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;SCI;          10;16;           1;2;           9;14;          34;53;          20;31;          64;100;     478.9;;;2021;ALL;high needs
Amesbury - Amesbury Elementary;00070005;ELA;          15;33;           1;2;          14;31;          16;36;          14;31;          45;98;     488.4;;;2021;ALL;high needs
Amesbury - Amesbury Elementary;00070005;MATH;           8;18;           0;0;           8;18;          18;40;          19;42;          45;98;     480.9;;;2021;ALL;high needs
Amesbury - Amesbury Middle;00070013;ELA;          69;28;           6;2;          63;25;          99;40;          82;33;         250;92;     483.2;          31.3;         235;2021;ALL;high needs
Amesbury - Amesbury Middle;00070013;MATH;          29;12;           2;1;          27;11;         133;55;          82;34;         244;90;     478.9;          31.6;         227;2021;ALL;high needs
Amesbury - Amesbury Middle;00070013;SCI;          31;27;           4;3;          27;23;          50;43;          35;30;         116;94;     485.7;;;2021;ALL;high needs
Amesbury - Charles C Cashman Elementary;00070010;ELA;          30;38;           4;5;          26;33;          34;44;          14;18;          78;100;     494.7;;;2021;ALL;high needs
Amesbury - Charles C Cashman Elementary;00070010;MATH;          13;17;           2;3;          11;14;          35;45;          29;38;          77;99;     481.5;;;2021;ALL;high needs
Amherst - Crocker Farm Elementary;00080009;ELA;           8;24;           2;6;           6;18;          13;39;          12;36;          33;47;     484.0;;          19;2021;ALL;high needs
Amherst - Crocker Farm Elementary;00080009;MATH;           6;17;           0;0;           6;17;          17;49;          12;34;          35;47;     478.3;          39.0;          20;2021;ALL;high needs
Amherst - Crocker Farm Elementary;00080009;SCI;           3;20;           0;0;           3;20;           5;33;           7;47;          15;66;     475.2;;;2021;ALL;high needs
Amherst - Fort River Elementary;00080020;ELA;           8;19;           2;5;           6;14;          26;60;           9;21;          43;51;     486.2;;          14;2021;ALL;high needs
Amherst - Fort River Elementary;00080020;MATH;           9;22;           0;0;           9;22;          12;29;          20;49;          41;48;     476.6;;          13;2021;ALL;high needs
Amherst - Wildwood Elementary;00080050;ELA;          24;45;           4;8;          20;38;          20;38;           9;17;          53;56;     496.6;          36.0;          23;2021;ALL;high needs
Amherst - Wildwood Elementary;00080050;MATH;          13;25;           0;0;          13;25;          20;38;          19;37;          52;54;     484.2;          38.6;          22;2021;ALL;high needs
Amherst - Wildwood Elementary;00080050;SCI;           6;30;           0;0;           6;30;          10;50;           4;20;          20;72;     493.4;;;2021;ALL;high needs
Amherst-Pelham - Amherst Regional Middle School;06050405;ELA;          12;41;           0;0;          12;41;           5;17;          12;41;          29;15;     490.6;          48.6;          20;2021;ALL;high needs
Amherst-Pelham - Amherst Regional Middle School;06050405;MATH;           6;18;           1;3;           5;15;          14;41;          14;41;          34;18;     485.0;          30.5;          24;2021;ALL;high needs
Amherst-Pelham - Amherst Regional Middle School;06050405;SCI;           3;23;           1;8;           2;15;           5;38;           5;38;          13;14;     491.4;;;2021;ALL;high needs
Andover - Andover West Middle;00090310;ELA;          52;28;           9;5;          43;23;          91;48;          46;24;         189;99;     487.5;          34.5;         169;2021;ALL;high needs
Andover - Andover West Middle;00090310;MATH;          66;35;          12;6;          54;28;          79;42;          45;24;         190;99;     490.0;          39.6;         170;2021;ALL;high needs
Andover - Andover West Middle;00090310;SCI;          21;36;           4;7;          17;29;          30;52;           7;12;          58;100;     495.2;;;2021;ALL;high needs
Andover - Bancroft Elementary;00090003;ELA;          32;39;           3;4;          29;35;          43;52;           8;10;          83;99;     493.3;          41.8;          27;2021;ALL;high needs
Andover - Bancroft Elementary;00090003;MATH;          22;27;           3;4;          19;23;          42;51;          19;23;          83;99;     484.7;          36.5;          28;2021;ALL;high needs
Andover - Bancroft Elementary;00090003;SCI;          10;34;           2;7;           8;28;          14;48;           5;17;          29;100;     493.2;;;2021;ALL;high needs
Andover - Doherty Middle;00090305;ELA;          41;33;           5;4;          36;29;          58;46;          26;21;         125;98;     491.0;          43.1;         115;2021;ALL;high needs
Andover - Doherty Middle;00090305;MATH;          36;29;           6;5;          30;24;          61;49;          28;22;         125;98;     488.8;          36.9;         115;2021;ALL;high needs
Andover - Doherty Middle;00090305;SCI;           9;21;           1;2;           8;19;          22;52;          11;26;          42;98;     486.1;;;2021;ALL;high needs
Andover - Henry C Sanborn Elementary;00090010;ELA;          22;37;           2;3;          20;34;          33;56;           4;7;          59;100;     495.4;          16.2;          24;2021;ALL;high needs
Andover - Henry C Sanborn Elementary;00090010;MATH;          20;34;           4;7;          16;27;          34;58;           5;8;          59;100;     493.9;          27.0;          24;2021;ALL;high needs
Andover - Henry C Sanborn Elementary;00090010;SCI;           9;38;           2;8;           7;29;          10;42;           5;21;          24;100;     490.0;;;2021;ALL;high needs
Andover - High Plain Elementary;00090004;ELA;          54;51;           8;8;          46;44;          44;42;           7;7;         105;99;     502.4;          51.6;          28;2021;ALL;high needs
Andover - High Plain Elementary;00090004;MATH;          53;50;           4;4;          49;47;          40;38;          12;11;         105;99;     498.8;          59.9;          28;2021;ALL;high needs
Andover - High Plain Elementary;00090004;SCI;          21;68;           7;23;          14;45;           9;29;           1;3;          31;100;     509.5;;;2021;ALL;high needs
Andover - South Elementary;00090020;ELA;          57;66;          10;11;          47;54;          28;32;           2;2;          87;100;     506.3;          41.6;          31;2021;ALL;high needs
Andover - South Elementary;00090020;MATH;          43;49;           8;9;          35;40;          38;44;           6;7;          87;100;     498.7;          39.5;          31;2021;ALL;high needs
Andover - South Elementary;00090020;SCI;          15;48;           4;13;          11;35;          13;42;           3;10;          31;100;     499.6;;;2021;ALL;high needs
Andover - West Elementary;00090025;ELA;          54;43;           5;4;          49;39;          60;47;          13;10;         127;99;     496.8;          34.7;          40;2021;ALL;high needs
Andover - West Elementary;00090025;MATH;          31;24;           2;2;          29;23;          66;52;          30;24;         127;99;     487.2;          42.9;          40;2021;ALL;high needs
Andover - West Elementary;00090025;SCI;          24;53;           3;7;          21;47;          17;38;           4;9;          45;100;     502.4;;;2021;ALL;high needs
Andover - Wood Hill Middle School;00090350;ELA;          44;36;           3;2;          41;34;          55;45;          23;19;         122;98;     490.9;          32.3;         109;2021;ALL;high needs
Andover - Wood Hill Middle School;00090350;MATH;          48;39;           7;6;          41;34;          51;42;          23;19;         122;98;     492.1;          38.0;         110;2021;ALL;high needs
Andover - Wood Hill Middle School;00090350;SCI;          13;36;           1;3;          12;33;          15;42;           8;22;          36;100;     486.5;;;2021;ALL;high needs
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;ELA;          44;17;           2;1;          42;16;         136;51;          85;32;         265;96;     479.1;          21.5;         240;2021;ALL;high needs
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;MATH;          33;12;           1;0;          32;12;         140;52;          94;35;         267;97;     477.3;          18.2;         241;2021;ALL;high needs
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;SCI;           4;8;           1;2;           3;6;          30;58;          18;35;          52;96;     477.4;;;2021;ALL;high needs
Arlington - Brackett;00100010;ELA;          31;60;           4;8;          27;52;          16;31;           5;10;          52;98;     501.3;;          12;2021;ALL;high needs
Arlington - Brackett;00100010;MATH;          15;29;           1;2;          14;27;          32;62;           5;10;          52;98;     489.2;;          12;2021;ALL;high needs
Arlington - Brackett;00100010;SCI;           8;73;           1;9;           7;64;           3;27;           0;0;          11;92;     509.0;;;2021;ALL;high needs
Arlington - Cyrus E Dallin;00100025;ELA;          27;56;           3;6;          24;50;          17;35;           4;8;          48;94;     498.7;          35.7;          22;2021;ALL;high needs
Arlington - Cyrus E Dallin;00100025;MATH;          11;23;           1;2;          10;21;          28;58;           9;19;          48;94;     486.3;          26.2;          22;2021;ALL;high needs
Arlington - Cyrus E Dallin;00100025;SCI;          14;64;           3;14;          11;50;           5;23;           3;14;          22;96;     503.9;;;2021;ALL;high needs
Arlington - Gibbs School;00100305;ELA;          59;44;          11;8;          48;36;          45;34;          29;22;         133;94;     495.4;          47.0;         118;2021;ALL;high needs
Arlington - Gibbs School;00100305;MATH;          44;33;           6;5;          38;29;          67;51;          21;16;         132;94;     492.7;          35.8;         119;2021;ALL;high needs
Arlington - Hardy;00100030;ELA;          28;42;           7;10;          21;31;          31;46;           8;12;          67;94;     494.1;          32.1;          24;2021;ALL;high needs
Arlington - Hardy;00100030;MATH;          22;33;           5;7;          17;25;          33;49;          12;18;          67;92;     489.4;          30.7;          24;2021;ALL;high needs
Arlington - Hardy;00100030;SCI;          11;46;           0;0;          11;46;          10;42;           3;13;          24;96;     493.3;;;2021;ALL;high needs
Arlington - John A Bishop;00100005;ELA;          20;43;           3;7;          17;37;          22;48;           4;9;          46;96;     494.4;;          19;2021;ALL;high needs
Arlington - John A Bishop;00100005;MATH;          16;35;           2;4;          14;30;          25;54;           5;11;          46;96;     492.2;;          18;2021;ALL;high needs
