School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Ashland - Ashland Middle;00140405;MATH;         154;77;          52;26;         102;51;          38;19;           9;4;         201;     514.0;          65.4;         198;91;2019;7;ALL
Athol-Royalston - Athol-Royalston Middle School;06150305;ELA;          39;35;           3;3;          36;32;          59;52;          15;13;         113;     492.6;          46.1;         110;29;2019;7;ALL
Athol-Royalston - Athol-Royalston Middle School;06150305;MATH;          52;46;           5;4;          47;42;          49;44;          11;10;         112;     496.9;          68.8;         109;49;2019;7;ALL
Atlantis Charter (District) - Atlantis Charter School;04910550;ELA;          46;42;           3;3;          43;39;          53;49;          10;9;         109;     495.4;          59.2;         108;38;2019;7;ALL
Atlantis Charter (District) - Atlantis Charter School;04910550;MATH;          28;26;           0;0;          28;26;          70;64;          11;10;         109;     488.5;          33.2;         108;26;2019;7;ALL
Attleboro - Cyril K. Brennan Middle School;00160315;ELA;          70;50;          14;10;          56;40;          49;35;          21;15;         140;     502.3;          61.4;         127;63;2019;7;ALL
Attleboro - Cyril K. Brennan Middle School;00160315;MATH;          36;26;           1;1;          35;25;          76;55;          27;19;         139;     488.6;          36.3;         126;26;2019;7;ALL
Attleboro - Robert J. Coelho Middle School;00160305;ELA;          84;49;           7;4;          77;45;          72;42;          15;9;         171;     497.8;          49.7;         169;48;2019;7;ALL
Attleboro - Robert J. Coelho Middle School;00160305;MATH;          91;53;          16;9;          75;44;          68;40;          12;7;         171;     500.5;          52.0;         169;62;2019;7;ALL
Attleboro - Wamsutta Middle School;00160320;ELA;          82;57;          24;17;          58;41;          44;31;          17;12;         143;     504.5;          57.5;         141;69;2019;7;ALL
Attleboro - Wamsutta Middle School;00160320;MATH;          74;51;          14;10;          60;42;          54;38;          16;11;         144;     500.4;          57.9;         142;61;2019;7;ALL
Auburn - Auburn Middle;00170305;ELA;         134;66;          29;14;         105;52;          55;27;          13;6;         202;     508.1;          66.6;         196;80;2019;7;ALL
Auburn - Auburn Middle;00170305;MATH;         108;53;          26;13;          82;41;          78;39;          16;8;         202;     500.8;          47.6;         197;63;2019;7;ALL
Avon - Avon Middle High School;00180510;ELA;          24;43;           1;2;          23;41;          26;46;           6;11;          56;     497.5;          43.5;          55;46;2019;7;ALL
Avon - Avon Middle High School;00180510;MATH;          32;57;           6;11;          26;46;          22;39;           2;4;          56;     504.3;          68.3;          55;72;2019;7;ALL
Ayer Shirley School District - Ayer Shirley Regional Middle School;06160305;ELA;          48;39;           2;2;          46;37;          57;46;          18;15;         123;     493.1;          41.9;         117;31;2019;7;ALL
Ayer Shirley School District - Ayer Shirley Regional Middle School;06160305;MATH;          59;48;          11;9;          48;39;          54;44;          10;8;         123;     497.3;          54.8;         116;51;2019;7;ALL
Barnstable - Barnstable Intermediate School;00200315;ELA;         188;51;          36;10;         152;41;         124;34;          58;16;         370;     499.8;          59.9;         345;53;2019;7;ALL
Barnstable - Barnstable Intermediate School;00200315;MATH;         164;44;          29;8;         135;36;         157;42;          50;13;         371;     496.7;          48.7;         345;47;2019;7;ALL
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School;35020405;ELA;          15;19;           0;0;          15;19;          43;54;          22;28;          80;     482.8;          36.2;          77;10;2019;7;ALL
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School;35020405;MATH;          20;25;           1;1;          19;24;          49;61;          11;14;          80;     488.2;          63.5;          76;24;2019;7;ALL
Bedford - John Glenn Middle;00230305;ELA;         106;60;          20;11;          86;49;          51;29;          20;11;         177;     503.2;          47.1;         175;65;2019;7;ALL
Bedford - John Glenn Middle;00230305;MATH;         127;72;          53;30;          74;42;          36;20;          14;8;         177;     512.0;          62.8;         175;88;2019;7;ALL
Belchertown - Jabish Middle School;00240025;ELA;          70;38;          10;5;          60;33;          97;53;          16;9;         183;     497.0;          40.3;         177;44;2019;7;ALL
Belchertown - Jabish Middle School;00240025;MATH;          78;43;          12;7;          66;36;          91;50;          13;7;         182;     496.8;          49.9;         178;48;2019;7;ALL
Bellingham - Bellingham Memorial School;00250315;ELA;          75;42;           7;4;          68;38;          87;49;          17;9;         179;     497.0;          42.6;         172;44;2019;7;ALL
Bellingham - Bellingham Memorial School;00250315;MATH;          81;45;          12;7;          69;38;          84;47;          15;8;         180;     499.1;          48.9;         173;57;2019;7;ALL
Belmont - Winthrop L Chenery Middle;00260305;ELA;         265;75;          80;23;         185;53;          75;21;          11;3;         351;     514.5;          55.5;         336;94;2019;7;ALL
Belmont - Winthrop L Chenery Middle;00260305;MATH;         279;80;         129;37;         150;43;          66;19;           5;1;         350;     518.9;          52.4;         335;97;2019;7;ALL
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School;04470205;ELA;          38;73;           7;13;          31;60;          12;23;           2;4;          52;     510.1;          46.1;          52;86;2019;7;ALL
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School;04470205;MATH;          39;75;          12;23;          27;52;          11;21;           2;4;          52;     514.6;          47.2;          52;92;2019;7;ALL
Berkley - Berkley Middle School;00270305;ELA;          51;57;           9;10;          42;47;          32;36;           6;7;          89;     504.5;          57.7;          88;69;2019;7;ALL
Berkley - Berkley Middle School;00270305;MATH;          46;52;          10;11;          36;40;          37;42;           6;7;          89;     500.7;          41.6;          88;63;2019;7;ALL
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School;04140305;ELA;          31;42;           5;7;          26;36;          32;44;          10;14;          73;     496.0;          55.1;          65;44;2019;7;ALL
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School;04140305;MATH;          32;44;           6;8;          26;36;          34;47;           7;10;          73;     497.5;          57.8;          65;53;2019;7;ALL
Berkshire Hills - W.E.B. Du Bois Regional Middle School;06180310;ELA;          33;44;           2;3;          31;41;          33;44;           9;12;          75;     497.8;          43.2;          69;48;2019;7;ALL
Berkshire Hills - W.E.B. Du Bois Regional Middle School;06180310;MATH;          32;43;           3;4;          29;39;          29;39;          14;19;          75;     495.1;          40.5;          68;43;2019;7;ALL
Berlin-Boylston - Tahanto Regional High;06200505;ELA;          62;66;           7;7;          55;59;          29;31;           3;3;          94;     506.0;          47.4;          90;75;2019;7;ALL
Berlin-Boylston - Tahanto Regional High;06200505;MATH;          53;56;           8;8;          45;47;          41;43;           1;1;          95;     504.5;          39.0;          91;73;2019;7;ALL
Beverly - Beverly Middle School;00300305;ELA;         167;54;          25;8;         142;46;         117;38;          26;8;         310;     501.3;          43.8;         301;59;2019;7;ALL
Beverly - Beverly Middle School;00300305;MATH;         150;49;          31;10;         119;39;         131;42;          28;9;         309;     498.7;          38.3;         301;55;2019;7;ALL
Billerica - Locke Middle;00310310;ELA;          83;52;           9;6;          74;46;          67;42;          11;7;         161;     499.6;          50.9;         160;53;2019;7;ALL
Billerica - Locke Middle;00310310;MATH;          83;52;          13;8;          70;43;          63;39;          15;9;         161;     499.8;          44.0;         160;59;2019;7;ALL
Billerica - Marshall Middle School;00310305;ELA;         110;49;           7;3;         103;46;          97;43;          19;8;         226;     498.7;          54.1;         223;51;2019;7;ALL
Billerica - Marshall Middle School;00310305;MATH;         108;48;          24;11;          84;37;         104;46;          14;6;         226;     500.5;          54.6;         223;62;2019;7;ALL
Blackstone-Millville - Frederick W. Hartnett Middle School;06220405;ELA;          49;40;           7;6;          42;34;          61;50;          12;10;         122;     497.8;          53.3;         117;48;2019;7;ALL
Blackstone-Millville - Frederick W. Hartnett Middle School;06220405;MATH;          62;51;           4;3;          58;48;          46;38;          14;11;         122;     498.8;          61.5;         117;56;2019;7;ALL
Boston - Boston Latin Academy;00350545;ELA;         215;78;          44;16;         171;62;          62;22;           0;0;         277;     513.7;          52.0;         227;92;2019;7;ALL
Boston - Boston Latin Academy;00350545;MATH;         211;76;           7;3;         204;74;          66;24;           0;0;         277;     508.4;          34.9;         226;81;2019;7;ALL
Boston - Boston Latin School;00350560;ELA;         328;82;          59;15;         269;67;          73;18;           0;0;         401;     514.6;          37.6;         277;94;2019;7;ALL
Boston - Boston Latin School;00350560;MATH;         377;93;         112;28;         265;65;          27;7;           1;0;         405;     520.7;          31.8;         279;97;2019;7;ALL
Boston - Boston Teachers Union K-8 Pilot;00350012;ELA;           5;28;           1;6;           4;22;          11;61;           2;11;          18;     489.1;;          18;21;2019;7;ALL
Boston - Boston Teachers Union K-8 Pilot;00350012;MATH;           4;22;           0;0;           4;22;          11;61;           3;17;          18;     481.9;;          18;14;2019;7;ALL
Boston - Condon K-8 School;00350146;ELA;           8;11;           0;0;           8;11;          33;46;          31;43;          72;     474.8;          39.3;          69;4;2019;7;ALL
Boston - Condon K-8 School;00350146;MATH;          14;19;           0;0;          14;19;          26;36;          32;44;          72;     476.6;          45.9;          69;7;2019;7;ALL
Boston - Curley K-8 School;00350020;ELA;           5;6;           0;0;           5;6;          43;49;          40;45;          88;     475.4;          35.3;          68;4;2019;7;ALL
Boston - Curley K-8 School;00350020;MATH;          11;13;           0;0;          11;13;          33;38;          44;50;          88;     473.3;          42.6;          67;5;2019;7;ALL
Boston - Dearborn 6-12 STEM Academy;00350074;ELA;           8;16;           1;2;           7;14;          23;45;          20;39;          51;     478.3;          41.8;          47;7;2019;7;ALL
Boston - Dearborn 6-12 STEM Academy;00350074;MATH;           3;6;           0;0;           3;6;          26;51;          22;43;          51;     470.8;          29.0;          46;3;2019;7;ALL
Boston - Edison K-8 School;00350375;ELA;           6;10;           0;0;           6;10;          34;59;          18;31;          58;     478.0;          58.8;          55;7;2019;7;ALL
Boston - Edison K-8 School;00350375;MATH;           4;7;           0;0;           4;7;          34;58;          21;36;          59;     474.1;          53.9;          56;5;2019;7;ALL
Boston - Edwards Middle School;00350430;ELA;           5;6;           0;0;           5;6;          35;40;          48;55;          88;     469.4;          21.7;          78;2;2019;7;ALL
Boston - Edwards Middle School;00350430;MATH;           7;8;           0;0;           7;8;          42;47;          40;45;          89;     473.5;          33.1;          80;5;2019;7;ALL
Boston - Eliot K-8 Innovation School;00350096;ELA;           8;33;           1;4;           7;29;          10;42;           6;25;          24;     489.1;          43.6;          22;21;2019;7;ALL
Boston - Eliot K-8 Innovation School;00350096;MATH;           7;29;           1;4;           6;25;          14;58;           3;13;          24;     489.0;          58.8;          22;27;2019;7;ALL
Boston - Frederick Pilot Middle School;00350383;ELA;           7;5;           0;0;           7;5;          49;35;          85;60;         141;     468.6;          33.3;          97;2;2019;7;ALL
Boston - Frederick Pilot Middle School;00350383;MATH;           8;6;           0;0;           8;6;          65;46;          67;48;         140;     472.0;          40.2;          99;4;2019;7;ALL
Boston - Gardner Pilot Academy;00350326;ELA;           2;5;           0;0;           2;5;          23;62;          12;32;          37;     477.0;          47.4;          37;6;2019;7;ALL
Boston - Gardner Pilot Academy;00350326;MATH;           5;14;           1;3;           4;11;          18;49;          14;38;          37;     477.3;          47.4;          37;8;2019;7;ALL
Boston - Greenwood Sarah K-8 School;00350308;ELA;           0;0;           0;0;           0;0;          11;50;          11;50;          22;     473.0;          55.7;          22;3;2019;7;ALL
Boston - Greenwood Sarah K-8 School;00350308;MATH;           0;0;           0;0;           0;0;          15;68;           7;32;          22;     472.4;          58.9;          22;4;2019;7;ALL
Boston - Haley Pilot School;00350077;ELA;           6;25;           0;0;           6;25;          16;67;           2;8;          24;     492.5;          54.3;          24;28;2019;7;ALL
Boston - Haley Pilot School;00350077;MATH;           5;21;           0;0;           5;21;          14;58;           5;21;          24;     484.5;          50.0;          24;18;2019;7;ALL
Boston - Henderson K-12 Inclusion School Upper;00350426;ELA;          16;34;           1;2;          15;32;          20;43;          11;23;          47;     495.3;          66.6;          42;37;2019;7;ALL
Boston - Henderson K-12 Inclusion School Upper;00350426;MATH;          14;29;           3;6;          11;23;          22;46;          12;25;          48;     489.9;          51.6;          43;29;2019;7;ALL
Boston - Hennigan K-8 School;00350153;ELA;          10;21;           0;0;          10;21;          25;53;          12;26;          47;     483.5;          57.8;          45;12;2019;7;ALL
Boston - Hennigan K-8 School;00350153;MATH;           5;11;           0;0;           5;11;          26;55;          16;34;          47;     475.6;          46.8;          45;7;2019;7;ALL
Boston - Hernandez K-8 School;00350691;ELA;           2;14;           1;7;           1;7;          11;79;           1;7;          14;     485.6;;          14;15;2019;7;ALL
Boston - Hernandez K-8 School;00350691;MATH;           1;7;           0;0;           1;7;          11;79;           2;14;          14;     481.3;;          14;13;2019;7;ALL
Boston - Higginson-Lewis K-8 School;00350377;ELA;           1;3;           0;0;           1;3;          15;39;          22;58;          38;     472.4;          34.3;          29;3;2019;7;ALL
Boston - Higginson-Lewis K-8 School;00350377;MATH;           0;0;           0;0;           0;0;          14;37;          24;63;          38;     467.1;          35.1;          29;1;2019;7;ALL
Boston - Hurley K-8 School;00350182;ELA;           7;47;           3;20;           4;27;           8;53;           0;0;          15;     506.7;;          14;75;2019;7;ALL
Boston - Hurley K-8 School;00350182;MATH;           6;40;           0;0;           6;40;           8;53;           1;7;          15;     495.1;;          14;43;2019;7;ALL
Boston - Irving Middle School;00350445;ELA;           5;6;           0;0;           5;6;          42;55;          30;39;          77;     475.0;          42.2;          75;4;2019;7;ALL
Boston - Irving Middle School;00350445;MATH;           3;4;           0;0;           3;4;          40;52;          34;44;          77;     471.0;          43.2;          75;3;2019;7;ALL
Boston - Jackson-Mann K-8 School;00350013;ELA;           4;11;           0;0;           4;11;          21;57;          12;32;          37;     483.2;          50.6;          32;11;2019;7;ALL
Boston - Jackson-Mann K-8 School;00350013;MATH;           6;16;           0;0;           6;16;          19;51;          12;32;          37;     484.1;          50.4;          32;18;2019;7;ALL
Boston - Kilmer K-8 School;00350190;ELA;           3;21;           0;0;           3;21;          10;71;           1;7;          14;     489.4;;          11;23;2019;7;ALL
Boston - Kilmer K-8 School;00350190;MATH;           2;14;           0;0;           2;14;          11;79;           1;7;          14;     485.4;;          11;20;2019;7;ALL
Boston - King K-8 School;00350376;ELA;           1;3;           0;0;           1;3;          17;52;          15;45;          33;     472.2;          24.2;          30;3;2019;7;ALL
Boston - King K-8 School;00350376;MATH;           2;6;           0;0;           2;6;          23;70;           8;24;          33;     480.3;          53.2;          31;11;2019;7;ALL
Boston - Lee K-8 School;00350183;ELA;          13;24;           0;0;          13;24;          30;55;          12;22;          55;     492.0;          63.7;          41;27;2019;7;ALL
Boston - Lee K-8 School;00350183;MATH;           4;7;           0;0;           4;7;          29;53;          22;40;          55;     477.6;          52.7;          42;8;2019;7;ALL
Boston - Lyndon K-8 School;00350262;ELA;           9;26;           0;0;           9;26;          10;29;          15;44;          34;     480.8;          36.2;          31;10;2019;7;ALL
Boston - Lyndon K-8 School;00350262;MATH;           5;15;           1;3;           4;12;          15;44;          14;41;          34;     477.1;          42.0;          31;8;2019;7;ALL
Boston - Lyon K-8 School;00350004;ELA;           4;25;           0;0;           4;25;          12;75;           0;0;          16;     491.6;;          15;26;2019;7;ALL
Boston - Lyon K-8 School;00350004;MATH;           5;31;           0;0;           5;31;           7;44;           4;25;          16;     488.1;;          15;25;2019;7;ALL
Boston - Mario Umana Academy;00350656;ELA;          33;22;           2;1;          31;21;          72;48;          44;30;         149;     483.5;          49.4;         141;12;2019;7;ALL
Boston - Mario Umana Academy;00350656;MATH;          25;17;           1;1;          24;16;          78;52;          46;31;         149;     479.1;          42.7;         141;10;2019;7;ALL
Boston - McCormack Middle School;00350179;ELA;          12;12;           0;0;          12;12;          37;36;          54;52;         103;     473.8;          46.9;          87;3;2019;7;ALL
Boston - McCormack Middle School;00350179;MATH;          11;11;           0;0;          11;11;          45;44;          46;45;         102;     475.0;          42.2;          88;6;2019;7;ALL
Boston - McKay K-8 School;00350080;ELA;           4;4;           0;0;           4;4;          53;56;          37;39;          94;     476.5;          23.8;          91;5;2019;7;ALL
Boston - McKay K-8 School;00350080;MATH;          13;14;           0;0;          13;14;          55;59;          25;27;          93;     482.3;          45.3;          89;14;2019;7;ALL
Boston - McKinley Schools;00350363;ELA;           0;0;           0;0;           0;0;           2;14;          12;86;          14;     460.7;;           9;1;2019;7;ALL
Boston - McKinley Schools;00350363;MATH;           0;0;           0;0;           0;0;           4;31;           9;69;          13;     467.8;;           9;2;2019;7;ALL
Boston - Mildred Avenue K-8 School;00350378;ELA;           7;8;           0;0;           7;8;          39;44;          43;48;          89;     480.7;          50.6;          68;10;2019;7;ALL
Boston - Mildred Avenue K-8 School;00350378;MATH;          12;14;           0;0;          12;14;          41;47;          35;40;          88;     482.0;          54.3;          66;14;2019;7;ALL
Boston - Mission Hill K-8 School;00350382;ELA;           1;6;           0;0;           1;6;           7;41;           9;53;          17;     469.4;;          14;2;2019;7;ALL
Boston - Mission Hill K-8 School;00350382;MATH;           0;0;           0;0;           0;0;          10;59;           7;41;          17;     467.6;;          14;1;2019;7;ALL
Boston - Murphy K-8 School;00350240;ELA;          19;30;           0;0;          19;30;          28;44;          16;25;          63;     488.1;          56.3;          60;20;2019;7;ALL
Boston - Murphy K-8 School;00350240;MATH;          10;16;           0;0;          10;16;          37;59;          16;25;          63;     481.5;          35.0;          60;13;2019;7;ALL
Boston - New Mission High School;00350542;ELA;          15;36;           1;2;          14;33;          23;55;           4;10;          42;     494.8;          65.9;          42;37;2019;7;ALL
Boston - New Mission High School;00350542;MATH;          13;31;           0;0;          13;31;          22;52;           7;17;          42;     483.7;          48.7;          42;17;2019;7;ALL
Boston - O'Bryant School of Math & Science;00350575;ELA;         126;80;          19;12;         107;68;          30;19;           1;1;         157;     512.1;          57.3;         146;89;2019;7;ALL
Boston - O'Bryant School of Math & Science;00350575;MATH;         138;88;          22;14;         116;74;          19;12;           0;0;         157;     515.7;          63.1;         147;93;2019;7;ALL
Boston - Ohrenberger School;00350258;ELA;           7;10;           1;1;           6;9;          41;59;          22;31;          70;     480.2;          39.1;          68;9;2019;7;ALL
Boston - Ohrenberger School;00350258;MATH;          12;17;           0;0;          12;17;          40;57;          18;26;          70;     481.0;          39.9;          68;12;2019;7;ALL
Boston - Orchard Gardens K-8 School;00350257;ELA;          12;15;           1;1;          11;14;          35;44;          32;41;          79;     479.2;          57.4;          72;8;2019;7;ALL
Boston - Orchard Gardens K-8 School;00350257;MATH;           7;9;           1;1;           6;8;          37;47;          34;44;          78;     472.9;          52.1;          72;4;2019;7;ALL
Boston - Perry K-8 School;00350255;ELA;           2;9;           0;0;           2;9;          13;59;           7;32;          22;     479.1;          48.0;          20;7;2019;7;ALL
Boston - Perry K-8 School;00350255;MATH;           4;18;           0;0;           4;18;          12;55;           6;27;          22;     482.4;          48.6;          20;15;2019;7;ALL
Boston - Quincy Upper School;00350565;ELA;          18;20;           0;0;          18;20;          48;55;          22;25;          88;     483.7;          37.8;          82;13;2019;7;ALL
Boston - Quincy Upper School;00350565;MATH;          20;23;           1;1;          19;22;          50;57;          17;20;          87;     485.8;          45.5;          81;20;2019;7;ALL
Boston - Roosevelt K-8 School;00350116;ELA;           5;12;           0;0;           5;12;          23;56;          13;32;          41;     483.5;          41.9;          35;12;2019;7;ALL
Boston - Roosevelt K-8 School;00350116;MATH;           4;10;           0;0;           4;10;          27;66;          10;24;          41;     479.7;          37.0;          35;11;2019;7;ALL
Boston - TechBoston Academy;00350657;ELA;          17;16;           0;0;          17;16;          51;48;          39;36;         107;     479.2;          39.6;          91;8;2019;7;ALL
Boston - TechBoston Academy;00350657;MATH;          14;13;           1;1;          13;12;          49;47;          42;40;         105;     474.5;          37.5;          92;6;2019;7;ALL
Boston - Timilty Middle School;00350485;ELA;          17;21;           0;0;          17;21;          29;35;          36;44;          82;     477.9;          40.0;          75;7;2019;7;ALL
Boston - Timilty Middle School;00350485;MATH;          13;16;           0;0;          13;16;          36;43;          34;41;          83;     474.6;          46.3;          75;6;2019;7;ALL
Boston - Tobin K-8 School;00350229;ELA;          13;41;           1;3;          12;38;          17;53;           2;6;          32;     496.9;          71.9;          31;43;2019;7;ALL
Boston - Tobin K-8 School;00350229;MATH;           7;22;           2;6;           5;16;          23;72;           2;6;          32;     491.8;          66.9;          31;33;2019;7;ALL
Boston - Trotter K-8 School;00350370;ELA;           8;31;           1;4;           7;27;          13;50;           5;19;          26;     491.8;          40.6;          26;26;2019;7;ALL
Boston - Trotter K-8 School;00350370;MATH;          10;38;           0;0;          10;38;          13;50;           3;12;          26;     491.0;          38.7;          26;31;2019;7;ALL
Boston - Warren-Prescott K-8 School;00350346;ELA;          19;56;           0;0;          19;56;          13;38;           2;6;          34;     503.3;          65.0;          32;66;2019;7;ALL
Boston - Warren-Prescott K-8 School;00350346;MATH;          20;59;           1;3;          19;56;          12;35;           2;6;          34;     503.5;          87.9;          32;70;2019;7;ALL
Boston - Young Achievers K-8 School;00350380;ELA;           4;10;           0;0;           4;10;          21;54;          14;36;          39;     477.2;          36.9;          37;6;2019;7;ALL
Boston - Young Achievers K-8 School;00350380;MATH;           0;0;           0;0;           0;0;          18;46;          21;54;          39;     468.5;          21.0;          37;2;2019;7;ALL
Boston Collegiate Charter (District) - Boston Collegiate Charter School;04490305;ELA;          41;43;           3;3;          38;40;          43;45;          12;13;          96;     494.6;          54.3;          84;36;2019;7;ALL
Boston Collegiate Charter (District) - Boston Collegiate Charter School;04490305;MATH;          53;55;           6;6;          47;49;          39;41;           4;4;          96;     502.7;          79.7;          84;69;2019;7;ALL
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School;04110305;ELA;          11;23;           0;0;          11;23;          26;54;          11;23;          48;     485.5;          50.8;          46;15;2019;7;ALL
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School;04110305;MATH;           6;13;           0;0;           6;13;          28;58;          14;29;          48;     479.6;          45.7;          46;11;2019;7;ALL
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School;04160305;ELA;          42;47;           1;1;          41;46;          40;44;           8;9;          90;     497.6;          68.7;          81;49;2019;7;ALL
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School;04160305;MATH;          38;42;           4;4;          34;38;          41;46;          11;12;          90;     494.4;          61.9;          81;44;2019;7;ALL
