School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Acton-Boxborough - Raymond J Grey Junior High;06000405;SCI;         349;86;         105;26;         244;60;          54;13;           1;0;         404;     518.8;;;94;2019;ALL;non-disabled
Acushnet - Acushnet Elementary School;00030025;ELA;         152;83;          31;17;         121;66;          32;17;           0;0;         184;     516.0;          63.2;          91;84;2019;ALL;non-disabled
Acushnet - Acushnet Elementary School;00030025;MATH;         109;59;          17;9;          92;49;          74;40;           3;2;         186;     504.5;          62.5;          91;52;2019;ALL;non-disabled
Acushnet - Albert F Ford Middle School;00030305;ELA;         208;55;          13;3;         195;52;         155;41;          12;3;         375;     501.8;          47.8;         369;31;2019;ALL;non-disabled
Acushnet - Albert F Ford Middle School;00030305;MATH;         228;61;          30;8;         198;53;         143;38;           4;1;         375;     505.2;          57.3;         369;55;2019;ALL;non-disabled
Acushnet - Albert F Ford Middle School;00030305;SCI;          95;51;          12;6;          83;45;          87;47;           4;2;         186;     502.4;;;45;2019;ALL;non-disabled
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;ELA;         291;78;          68;18;         223;60;          76;20;           4;1;         371;     514.2;          53.4;         354;79;2019;ALL;non-disabled
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;MATH;         278;75;          81;22;         197;53;          91;24;           3;1;         372;     514.5;          54.1;         355;86;2019;ALL;non-disabled
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;SCI;          96;66;          21;14;          75;52;          43;30;           6;4;         145;     509.1;;;69;2019;ALL;non-disabled
Agawam - Agawam Junior High;00050405;ELA;         259;53;          19;4;         240;49;         208;42;          23;5;         490;     500.1;          45.1;         477;25;2019;ALL;non-disabled
Agawam - Agawam Junior High;00050405;MATH;         286;59;          53;11;         233;48;         193;40;           9;2;         488;     505.2;          45.8;         474;55;2019;ALL;non-disabled
Agawam - Agawam Junior High;00050405;SCI;         118;48;          11;4;         107;43;         120;49;           9;4;         247;     498.8;;;33;2019;ALL;non-disabled
Agawam - Benjamin J Phelps;00050020;ELA;          66;59;           6;5;          60;54;          46;41;           0;0;         112;     506.3;          45.3;          64;48;2019;ALL;non-disabled
Agawam - Benjamin J Phelps;00050020;MATH;          73;65;          13;12;          60;54;          36;32;           3;3;         112;     506.8;          37.8;          64;62;2019;ALL;non-disabled
Agawam - Clifford M Granger;00050010;ELA;          50;60;           4;5;          46;55;          31;37;           2;2;          83;     505.5;          54.8;          43;45;2019;ALL;non-disabled
Agawam - Clifford M Granger;00050010;MATH;          58;70;           3;4;          55;66;          24;29;           1;1;          83;     507.2;          64.4;          43;63;2019;ALL;non-disabled
Agawam - James Clark School;00050030;ELA;          64;65;          13;13;          51;52;          33;34;           1;1;          98;     509.3;          54.9;          47;60;2019;ALL;non-disabled
Agawam - James Clark School;00050030;MATH;          64;65;          16;16;          48;49;          33;34;           1;1;          98;     509.5;          49.1;          47;70;2019;ALL;non-disabled
Agawam - Roberta G. Doering School;00050303;ELA;         290;61;          25;5;         265;56;         179;38;           7;1;         476;     505.2;          50.0;         465;44;2019;ALL;non-disabled
Agawam - Roberta G. Doering School;00050303;MATH;         302;63;          34;7;         268;56;         166;35;           8;2;         476;     505.7;          47.6;         465;57;2019;ALL;non-disabled
Agawam - Roberta G. Doering School;00050303;SCI;         150;58;          25;10;         125;48;         102;39;           7;3;         259;     504.9;;;54;2019;ALL;non-disabled
Agawam - Robinson Park;00050025;ELA;          83;74;          11;10;          72;64;          29;26;           0;0;         112;     510.9;          50.6;          48;66;2019;ALL;non-disabled
Agawam - Robinson Park;00050025;MATH;          82;73;          15;13;          67;60;          29;26;           1;1;         112;     511.0;          50.3;          48;76;2019;ALL;non-disabled
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;ELA;         129;56;          25;11;         104;45;          90;39;          12;5;         231;     504.0;          37.9;         183;39;2019;ALL;non-disabled
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;MATH;         146;63;          25;11;         121;52;          80;35;           5;2;         231;     505.2;          46.8;         183;56;2019;ALL;non-disabled
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;SCI;          24;34;           1;1;          23;32;          45;63;           2;3;          71;     494.5;;;22;2019;ALL;non-disabled
Amesbury - Amesbury Elementary;00070005;ELA;          98;78;          24;19;          74;59;          25;20;           2;2;         125;     514.6;          56.0;          72;80;2019;ALL;non-disabled
Amesbury - Amesbury Elementary;00070005;MATH;          89;71;          15;12;          74;59;          30;24;           6;5;         125;     508.0;          48.1;          72;66;2019;ALL;non-disabled
Amesbury - Amesbury Middle;00070013;ELA;         336;68;          49;10;         287;58;         149;30;           8;2;         493;     507.0;          54.5;         487;50;2019;ALL;non-disabled
Amesbury - Amesbury Middle;00070013;MATH;         309;63;          53;11;         256;53;         171;35;           7;1;         487;     507.0;          63.9;         481;62;2019;ALL;non-disabled
Amesbury - Amesbury Middle;00070013;SCI;         166;69;          22;9;         144;60;          74;31;           2;1;         242;     508.5;;;68;2019;ALL;non-disabled
Amesbury - Charles C Cashman Elementary;00070010;ELA;          81;64;          20;16;          61;48;          42;33;           4;3;         127;     509.3;          67.8;          62;60;2019;ALL;non-disabled
Amesbury - Charles C Cashman Elementary;00070010;MATH;          70;55;           5;4;          65;51;          52;41;           6;5;         128;     501.5;          63.6;          62;39;2019;ALL;non-disabled
Amherst - Crocker Farm Elementary;00080009;ELA;          73;50;           9;6;          64;44;          61;42;          12;8;         146;     499.5;          46.0;         106;24;2019;ALL;non-disabled
Amherst - Crocker Farm Elementary;00080009;MATH;          71;49;           7;5;          64;44;          58;40;          16;11;         145;     497.8;          60.1;         107;26;2019;ALL;non-disabled
Amherst - Crocker Farm Elementary;00080009;SCI;          22;50;           5;11;          17;39;          19;43;           3;7;          44;     499.6;;;36;2019;ALL;non-disabled
Amherst - Fort River Elementary;00080020;ELA;          97;72;          31;23;          66;49;          31;23;           7;5;         135;     512.5;          51.8;          98;72;2019;ALL;non-disabled
Amherst - Fort River Elementary;00080020;MATH;          93;69;          26;19;          67;50;          34;25;           7;5;         134;     510.6;          52.8;          99;75;2019;ALL;non-disabled
Amherst - Fort River Elementary;00080020;SCI;          17;52;           2;6;          15;45;          12;36;           4;12;          33;     499.3;;;35;2019;ALL;non-disabled
Amherst - Wildwood Elementary;00080050;ELA;         115;63;          23;13;          92;50;          63;34;           5;3;         183;     508.1;          53.5;         130;55;2019;ALL;non-disabled
Amherst - Wildwood Elementary;00080050;MATH;         106;58;          19;10;          87;48;          68;37;           9;5;         183;     505.1;          55.0;         128;55;2019;ALL;non-disabled
Amherst - Wildwood Elementary;00080050;SCI;          27;57;           5;11;          22;47;          19;40;           1;2;          47;     506.1;;;59;2019;ALL;non-disabled
Amherst-Pelham - Amherst Regional Middle School;06050405;ELA;         202;71;          40;14;         162;57;          64;23;          17;6;         283;     508.2;          49.5;         266;55;2019;ALL;non-disabled
Amherst-Pelham - Amherst Regional Middle School;06050405;MATH;         171;61;          49;17;         122;43;          95;34;          16;6;         282;     506.0;          42.1;         265;59;2019;ALL;non-disabled
Amherst-Pelham - Amherst Regional Middle School;06050405;SCI;          87;66;          20;15;          67;51;          39;30;           5;4;         131;     508.0;;;66;2019;ALL;non-disabled
Andover - Andover West Middle;00090310;ELA;         348;82;         106;25;         242;57;          69;16;           5;1;         422;     517.1;          63.1;         408;86;2019;ALL;non-disabled
Andover - Andover West Middle;00090310;MATH;         329;78;         101;24;         228;54;          89;21;           2;0;         420;     515.5;          52.6;         408;88;2019;ALL;non-disabled
Andover - Andover West Middle;00090310;SCI;         123;81;          29;19;          94;62;          28;19;           0;0;         151;     514.8;;;87;2019;ALL;non-disabled
Andover - Bancroft Elementary;00090003;ELA;         193;77;          26;10;         167;66;          58;23;           1;0;         252;     511.0;          54.6;         167;67;2019;ALL;non-disabled
Andover - Bancroft Elementary;00090003;MATH;         177;71;          39;16;         138;55;          74;29;           0;0;         251;     510.2;          64.6;         166;74;2019;ALL;non-disabled
Andover - Bancroft Elementary;00090003;SCI;          71;82;          16;18;          55;63;          16;18;           0;0;          87;     514.9;;;87;2019;ALL;non-disabled
Andover - Doherty Middle;00090305;ELA;         346;82;          94;22;         252;59;          74;17;           4;1;         424;     516.1;          57.0;         416;84;2019;ALL;non-disabled
Andover - Doherty Middle;00090305;MATH;         293;69;          73;17;         220;52;         124;29;           5;1;         422;     510.3;          48.6;         415;74;2019;ALL;non-disabled
Andover - Doherty Middle;00090305;SCI;         124;84;          32;22;          92;63;          23;16;           0;0;         147;     516.3;;;90;2019;ALL;non-disabled
Andover - Henry C Sanborn Elementary;00090010;ELA;         129;77;          28;17;         101;60;          39;23;           0;0;         168;     515.1;          53.6;         104;82;2019;ALL;non-disabled
Andover - Henry C Sanborn Elementary;00090010;MATH;         146;87;          35;21;         111;66;          22;13;           0;0;         168;     517.3;          68.1;         105;91;2019;ALL;non-disabled
Andover - Henry C Sanborn Elementary;00090010;SCI;          48;94;          23;45;          25;49;           3;6;           0;0;          51;     524.0;;;98;2019;ALL;non-disabled
Andover - High Plain Elementary;00090004;ELA;         200;90;          87;39;         113;51;          21;10;           0;0;         221;     526.1;          73.2;         141;99;2019;ALL;non-disabled
Andover - High Plain Elementary;00090004;MATH;         191;86;          60;27;         131;59;          29;13;           1;0;         221;     519.6;          73.9;         141;95;2019;ALL;non-disabled
Andover - High Plain Elementary;00090004;SCI;          79;90;          37;42;          42;48;           9;10;           0;0;          88;     525.3;;;99;2019;ALL;non-disabled
Andover - South Elementary;00090020;ELA;         177;87;          48;24;         129;64;          25;12;           1;0;         203;     518.7;          54.0;         127;91;2019;ALL;non-disabled
Andover - South Elementary;00090020;MATH;         162;80;          35;17;         127;63;          41;20;           0;0;         203;     513.9;          62.5;         128;84;2019;ALL;non-disabled
Andover - South Elementary;00090020;SCI;          63;85;          16;22;          47;64;          11;15;           0;0;          74;     516.7;;;91;2019;ALL;non-disabled
Andover - West Elementary;00090025;ELA;         176;84;          58;28;         118;56;          34;16;           0;0;         210;     519.3;          65.5;         135;92;2019;ALL;non-disabled
Andover - West Elementary;00090025;MATH;         170;81;          42;20;         128;61;          40;19;           0;0;         210;     515.0;          68.3;         136;87;2019;ALL;non-disabled
Andover - West Elementary;00090025;SCI;          67;86;          22;28;          45;58;          11;14;           0;0;          78;     520.0;;;96;2019;ALL;non-disabled
Andover - Wood Hill Middle School;00090350;ELA;         257;83;          83;27;         174;56;          50;16;           1;0;         308;     517.7;          52.4;         298;89;2019;ALL;non-disabled
Andover - Wood Hill Middle School;00090350;MATH;         259;84;         112;36;         147;48;          49;16;           0;0;         308;     521.2;          54.7;         298;97;2019;ALL;non-disabled
Andover - Wood Hill Middle School;00090350;SCI;          80;80;          25;25;          55;55;          20;20;           0;0;         100;     516.1;;;90;2019;ALL;non-disabled
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;ELA;          89;36;           4;2;          85;35;         124;51;          32;13;         245;     492.4;          40.1;         226;9;2019;ALL;non-disabled
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;MATH;         111;46;          10;4;         101;42;         118;49;          14;6;         243;     498.4;          53.3;         224;27;2019;ALL;non-disabled
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;SCI;          13;16;           0;0;          13;16;          56;69;          12;15;          81;     486.5;;;11;2019;ALL;non-disabled
Arlington - Brackett;00100010;ELA;         163;80;          37;18;         126;62;          40;20;           0;0;         203;     514.7;          47.3;         139;80;2019;ALL;non-disabled
Arlington - Brackett;00100010;MATH;         144;71;          27;13;         117;58;          58;29;           1;0;         203;     511.0;          53.1;         142;76;2019;ALL;non-disabled
Arlington - Brackett;00100010;SCI;          48;71;          15;22;          33;49;          19;28;           1;1;          68;     511.0;;;76;2019;ALL;non-disabled
Arlington - Cyrus E Dallin;00100025;ELA;         145;76;          37;19;         108;56;          45;23;           2;1;         192;     514.1;          61.0;         129;78;2019;ALL;non-disabled
Arlington - Cyrus E Dallin;00100025;MATH;         144;75;          32;17;         112;58;          46;24;           2;1;         192;     512.4;          59.1;         130;81;2019;ALL;non-disabled
Arlington - Cyrus E Dallin;00100025;SCI;          55;80;          16;23;          39;57;          14;20;           0;0;          69;     514.4;;;87;2019;ALL;non-disabled
Arlington - Gibbs School;00100305;ELA;         293;79;          89;24;         204;55;          70;19;           9;2;         372;     516.1;          50.0;         358;84;2019;ALL;non-disabled
Arlington - Gibbs School;00100305;MATH;         299;80;          72;19;         227;61;          70;19;           4;1;         373;     514.6;          59.1;         359;86;2019;ALL;non-disabled
Arlington - Hardy;00100030;ELA;         119;71;          20;12;          99;59;          44;26;           4;2;         167;     510.6;          46.2;         105;65;2019;ALL;non-disabled
Arlington - Hardy;00100030;MATH;         120;72;          27;16;          93;56;          46;28;           1;1;         167;     512.2;          56.6;         105;80;2019;ALL;non-disabled
Arlington - Hardy;00100030;SCI;          37;71;          15;29;          22;42;          14;27;           1;2;          52;     515.4;;;88;2019;ALL;non-disabled
Arlington - John A Bishop;00100005;ELA;         143;79;          37;20;         106;59;          38;21;           0;0;         181;     515.9;          47.0;         118;83;2019;ALL;non-disabled
Arlington - John A Bishop;00100005;MATH;         134;74;          33;18;         101;56;          46;25;           1;1;         181;     515.6;          65.2;         118;89;2019;ALL;non-disabled
Arlington - John A Bishop;00100005;SCI;          52;87;          18;30;          34;57;           8;13;           0;0;          60;     519.6;;;95;2019;ALL;non-disabled
Arlington - M Norcross Stratton;00100055;ELA;         126;85;          13;9;         113;76;          22;15;           0;0;         148;     512.6;          54.9;          91;73;2019;ALL;non-disabled
Arlington - M Norcross Stratton;00100055;MATH;         117;79;          31;21;          86;58;          30;20;           1;1;         148;     514.0;          65.2;          90;85;2019;ALL;non-disabled
Arlington - M Norcross Stratton;00100055;SCI;          32;65;           6;12;          26;53;          16;33;           1;2;          49;     511.2;;;76;2019;ALL;non-disabled
Arlington - Ottoson Middle;00100410;ELA;         583;85;         203;30;         380;56;          94;14;           6;1;         683;     519.4;          57.7;         657;92;2019;ALL;non-disabled
Arlington - Ottoson Middle;00100410;MATH;         574;84;         186;27;         388;57;         105;15;           3;0;         682;     518.1;          60.2;         657;93;2019;ALL;non-disabled
Arlington - Ottoson Middle;00100410;SCI;         270;82;         120;36;         150;46;          56;17;           3;1;         329;     521.4;;;97;2019;ALL;non-disabled
Arlington - Peirce;00100045;ELA;          78;72;          15;14;          63;58;          31;28;           0;0;         109;     510.8;          49.7;          68;66;2019;ALL;non-disabled
Arlington - Peirce;00100045;MATH;          65;60;           7;6;          58;53;          44;40;           0;0;         109;     506.4;          53.9;          68;60;2019;ALL;non-disabled
Arlington - Peirce;00100045;SCI;          23;66;           9;26;          14;40;          12;34;           0;0;          35;     513.1;;;82;2019;ALL;non-disabled
Arlington - Thompson;00100050;ELA;         158;81;          45;23;         113;58;          37;19;           0;0;         195;     517.3;          65.1;         124;87;2019;ALL;non-disabled
Arlington - Thompson;00100050;MATH;         151;77;          20;10;         131;67;          41;21;           4;2;         196;     510.7;          56.2;         125;75;2019;ALL;non-disabled
Arlington - Thompson;00100050;SCI;          42;74;          11;19;          31;54;          14;25;           1;2;          57;     512.7;;;81;2019;ALL;non-disabled
Ashburnham-Westminster - Briggs Elementary;06100025;ELA;         120;67;          10;6;         110;61;          58;32;           1;1;         179;     507.1;          47.7;         130;51;2019;ALL;non-disabled
Ashburnham-Westminster - Briggs Elementary;06100025;MATH;         104;58;          10;6;          94;52;          75;42;           1;1;         180;     502.5;          33.1;         130;44;2019;ALL;non-disabled
Ashburnham-Westminster - Briggs Elementary;06100025;SCI;          30;43;           3;4;          27;39;          38;55;           1;1;          69;     498.7;;;33;2019;ALL;non-disabled
Ashburnham-Westminster - Overlook Middle School;06100305;ELA;         308;68;          52;11;         256;56;         140;31;           6;1;         454;     508.4;          55.3;         444;56;2019;ALL;non-disabled
Ashburnham-Westminster - Overlook Middle School;06100305;MATH;         297;65;          36;8;         261;57;         153;34;           4;1;         454;     506.5;          53.7;         444;61;2019;ALL;non-disabled
Ashburnham-Westminster - Overlook Middle School;06100305;SCI;         111;68;          19;12;          92;56;          51;31;           1;1;         163;     508.8;;;69;2019;ALL;non-disabled
