School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;SCI;          18;46;           2;5;          16;41;          17;44;           4;10;          39;     497.1;;;75;2019;ALL;ever EL
Agawam - Agawam Junior High;00050405;ELA;          19;30;           0;0;          19;30;          37;58;           8;13;          64;     492.1;          46.6;          63;44;2019;ALL;ever EL
Agawam - Agawam Junior High;00050405;MATH;          32;50;           5;8;          27;42;          29;45;           3;5;          64;     501.8;          54.9;          63;75;2019;ALL;ever EL
Agawam - Agawam Junior High;00050405;SCI;           9;28;           1;3;           8;25;          21;66;           2;6;          32;     494.1;;;68;2019;ALL;ever EL
Agawam - Benjamin J Phelps;00050020;ELA;          13;59;           2;9;          11;50;           9;41;           0;0;          22;     507.7;;          16;89;2019;ALL;ever EL
Agawam - Benjamin J Phelps;00050020;MATH;          16;73;           3;14;          13;59;           4;18;           2;9;          22;     508.7;;          16;88;2019;ALL;ever EL
Agawam - Clifford M Granger;00050010;ELA;           4;33;           0;0;           4;33;           7;58;           1;8;          12;     497.6;;           7;62;2019;ALL;ever EL
Agawam - Clifford M Granger;00050010;MATH;           7;58;           0;0;           7;58;           4;33;           1;8;          12;     498.8;;           7;67;2019;ALL;ever EL
Agawam - James Clark School;00050030;ELA;          11;55;           1;5;          10;50;           6;30;           3;15;          20;     501.5;;           8;74;2019;ALL;ever EL
Agawam - James Clark School;00050030;MATH;          11;55;           1;5;          10;50;           6;30;           3;15;          20;     498.2;;           8;65;2019;ALL;ever EL
Agawam - Roberta G. Doering School;00050303;ELA;          22;32;           3;4;          19;28;          42;62;           4;6;          68;     495.3;          53.4;          66;54;2019;ALL;ever EL
Agawam - Roberta G. Doering School;00050303;MATH;          37;54;           3;4;          34;50;          28;41;           3;4;          68;     500.4;          52.6;          66;71;2019;ALL;ever EL
Agawam - Roberta G. Doering School;00050303;SCI;          14;40;           3;9;          11;31;          19;54;           2;6;          35;     498.3;;;78;2019;ALL;ever EL
Agawam - Robinson Park;00050025;ELA;           9;45;           0;0;           9;45;          10;50;           1;5;          20;     500.6;;           8;71;2019;ALL;ever EL
Agawam - Robinson Park;00050025;MATH;          11;55;           1;5;          10;50;           9;45;           0;0;          20;     500.7;;           8;72;2019;ALL;ever EL
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;ELA;          50;45;          10;9;          40;36;          51;46;           9;8;         110;     499.6;          42.4;          83;70;2019;ALL;ever EL
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;MATH;          58;53;           8;7;          50;45;          41;37;          11;10;         110;     498.5;          47.1;          83;67;2019;ALL;ever EL
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;SCI;           8;26;           0;0;           8;26;          19;61;           4;13;          31;     486.8;;;50;2019;ALL;ever EL
Amesbury - Amesbury Middle;00070013;ELA;           5;25;           1;5;           4;20;          11;55;           4;20;          20;     489.7;;          19;35;2019;ALL;ever EL
Amesbury - Amesbury Middle;00070013;MATH;           5;25;           1;5;           4;20;          12;60;           3;15;          20;     491.2;;          19;43;2019;ALL;ever EL
Amherst - Crocker Farm Elementary;00080009;ELA;           5;11;           0;0;           5;11;          24;51;          18;38;          47;     474.8;          34.7;          31;3;2019;ALL;ever EL
Amherst - Crocker Farm Elementary;00080009;MATH;           4;9;           0;0;           4;9;          25;53;          18;38;          47;     477.2;          57.8;          30;7;2019;ALL;ever EL
Amherst - Crocker Farm Elementary;00080009;SCI;           0;0;           0;0;           0;0;          11;69;           5;31;          16;     470.4;;;6;2019;ALL;ever EL
Amherst - Fort River Elementary;00080020;ELA;           8;26;           1;3;           7;23;          16;52;           7;23;          31;     487.7;          45.0;          20;28;2019;ALL;ever EL
Amherst - Fort River Elementary;00080020;MATH;           9;29;           2;6;           7;23;          14;45;           8;26;          31;     488.3;          44.2;          20;34;2019;ALL;ever EL
Amherst - Wildwood Elementary;00080050;ELA;          15;42;           2;6;          13;36;          14;39;           7;19;          36;     495.8;          63.5;          23;56;2019;ALL;ever EL
Amherst - Wildwood Elementary;00080050;MATH;          15;42;           1;3;          14;39;          13;36;           8;22;          36;     494.2;          50.4;          22;53;2019;ALL;ever EL
Amherst-Pelham - Amherst Regional Middle School;06050405;ELA;          20;32;           4;6;          16;26;          13;21;          29;47;          62;     480.8;          48.5;          56;10;2019;ALL;ever EL
Amherst-Pelham - Amherst Regional Middle School;06050405;MATH;          16;26;           6;10;          10;16;          23;38;          22;36;          61;     482.9;          41.7;          55;19;2019;ALL;ever EL
Amherst-Pelham - Amherst Regional Middle School;06050405;SCI;          11;31;           2;6;           9;25;          11;31;          14;39;          36;     485.0;;;43;2019;ALL;ever EL
Andover - Andover West Middle;00090310;ELA;          25;51;           2;4;          23;47;          18;37;           6;12;          49;     499.8;          53.1;          44;69;2019;ALL;ever EL
Andover - Andover West Middle;00090310;MATH;          32;65;          10;20;          22;45;          13;27;           4;8;          49;     507.2;          43.6;          44;85;2019;ALL;ever EL
Andover - Bancroft Elementary;00090003;ELA;          12;60;           0;0;          12;60;           8;40;           0;0;          20;     501.0;;          13;73;2019;ALL;ever EL
Andover - Bancroft Elementary;00090003;MATH;          10;50;           2;10;           8;40;           7;35;           3;15;          20;     498.4;;          13;66;2019;ALL;ever EL
Andover - Doherty Middle;00090305;ELA;          18;60;           2;7;          16;53;           9;30;           3;10;          30;     500.8;          49.6;          30;72;2019;ALL;ever EL
Andover - Doherty Middle;00090305;MATH;          17;57;           5;17;          12;40;          10;33;           3;10;          30;     502.5;          54.6;          30;76;2019;ALL;ever EL
Andover - Henry C Sanborn Elementary;00090010;ELA;          10;37;           0;0;          10;37;          17;63;           0;0;          27;     498.6;;          16;65;2019;ALL;ever EL
Andover - Henry C Sanborn Elementary;00090010;MATH;          21;78;           2;7;          19;70;           5;19;           1;4;          27;     508.2;;          16;87;2019;ALL;ever EL
Andover - High Plain Elementary;00090004;ELA;          26;67;           8;21;          18;46;          10;26;           3;8;          39;     507.7;          64.7;          28;89;2019;ALL;ever EL
Andover - High Plain Elementary;00090004;MATH;          26;67;           7;18;          19;49;          12;31;           1;3;          39;     510.0;          74.2;          28;89;2019;ALL;ever EL
Andover - High Plain Elementary;00090004;SCI;           9;60;           3;20;           6;40;           6;40;           0;0;          15;     509.3;;;93;2019;ALL;ever EL
Andover - South Elementary;00090020;ELA;          20;77;           5;19;          15;58;           6;23;           0;0;          26;     514.0;;          13;97;2019;ALL;ever EL
Andover - South Elementary;00090020;MATH;          21;81;           6;23;          15;58;           5;19;           0;0;          26;     517.5;;          13;96;2019;ALL;ever EL
Andover - West Elementary;00090025;ELA;          21;78;           1;4;          20;74;           6;22;           0;0;          27;     510.0;;          11;92;2019;ALL;ever EL
Andover - West Elementary;00090025;MATH;          16;59;           5;19;          11;41;          11;41;           0;0;          27;     508.7;;          12;88;2019;ALL;ever EL
Andover - West Elementary;00090025;SCI;           8;73;           1;9;           7;64;           3;27;           0;0;          11;     507.9;;;92;2019;ALL;ever EL
Andover - Wood Hill Middle School;00090350;ELA;          39;72;          10;19;          29;54;          12;22;           3;6;          54;     510.9;          56.9;          51;93;2019;ALL;ever EL
Andover - Wood Hill Middle School;00090350;MATH;          43;80;          14;26;          29;54;          11;20;           0;0;          54;     516.8;          53.0;          51;95;2019;ALL;ever EL
Andover - Wood Hill Middle School;00090350;SCI;          11;79;           4;29;           7;50;           3;21;           0;0;          14;     515.2;;;97;2019;ALL;ever EL
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;ELA;          26;22;           1;1;          25;21;          51;43;          41;35;         118;     479.9;          41.3;         102;8;2019;ALL;ever EL
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;MATH;          36;31;           5;4;          31;26;          57;49;          24;21;         117;     488.4;          52.6;         101;32;2019;ALL;ever EL
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;SCI;           0;0;           0;0;           0;0;          15;54;          13;46;          28;     471.6;;;7;2019;ALL;ever EL
Arlington - Brackett;00100010;ELA;           5;33;           0;0;           5;33;           9;60;           1;7;          15;     495.3;;           9;54;2019;ALL;ever EL
Arlington - Brackett;00100010;MATH;           7;47;           1;7;           6;40;           6;40;           2;13;          15;     501.8;;           9;75;2019;ALL;ever EL
Arlington - Cyrus E Dallin;00100025;ELA;          10;71;           0;0;          10;71;           4;29;           0;0;          14;     505.7;;           6;83;2019;ALL;ever EL
Arlington - Cyrus E Dallin;00100025;MATH;           8;57;           3;21;           5;36;           4;29;           2;14;          14;     505.3;;           6;82;2019;ALL;ever EL
Arlington - Gibbs School;00100305;ELA;          19;43;           3;7;          16;36;          15;34;          10;23;          44;     492.9;          41.2;          39;46;2019;ALL;ever EL
Arlington - Gibbs School;00100305;MATH;          26;59;           3;7;          23;52;          12;27;           6;14;          44;     501.8;          52.7;          39;75;2019;ALL;ever EL
Arlington - Hardy;00100030;ELA;          14;56;           1;4;          13;52;          10;40;           1;4;          25;     498.8;;          11;66;2019;ALL;ever EL
Arlington - Hardy;00100030;MATH;          15;60;           2;8;          13;52;          10;40;           0;0;          25;     506.4;;          11;84;2019;ALL;ever EL
Arlington - John A Bishop;00100005;ELA;           8;47;           3;18;           5;29;           9;53;           0;0;          17;     509.2;;          13;91;2019;ALL;ever EL
Arlington - John A Bishop;00100005;MATH;          10;59;           3;18;           7;41;           7;41;           0;0;          17;     509.7;;          13;89;2019;ALL;ever EL
Arlington - John A Bishop;00100005;SCI;           7;70;           2;20;           5;50;           3;30;           0;0;          10;     512.6;;;95;2019;ALL;ever EL
Arlington - M Norcross Stratton;00100055;ELA;           6;46;           0;0;           6;46;           4;31;           3;23;          13;     497.9;;           7;63;2019;ALL;ever EL
