School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Attleboro - Attleboro High;00160505;MATH;         184;46;          10;2;         174;43;         162;40;          55;14;         401;94;     495.4;          34.3;         360;2021;10;ALL
Auburn - Auburn Senior High;00170505;ELA;         128;68;          27;14;         101;54;          55;29;           4;2;         187;97;     510.4;          52.5;         181;2021;10;ALL
Auburn - Auburn Senior High;00170505;MATH;         125;67;          29;16;          96;51;          51;27;          11;6;         187;97;     508.9;          47.1;         181;2021;10;ALL
Avon - Avon Middle High School;00180510;ELA;          32;68;          10;21;          22;47;          13;28;           2;4;          47;100;     510.7;          68.4;          41;2021;10;ALL
Avon - Avon Middle High School;00180510;MATH;          20;43;           3;6;          17;36;          21;45;           6;13;          47;100;     495.9;          31.6;          41;2021;10;ALL
Ayer Shirley School District - Ayer Shirley Regional High School;06160505;ELA;          69;78;          16;18;          53;60;          17;19;           3;3;          89;94;     513.1;          64.9;          83;2021;10;ALL
Ayer Shirley School District - Ayer Shirley Regional High School;06160505;MATH;          46;51;           6;7;          40;44;          37;41;           7;8;          90;95;     501.2;          33.7;          83;2021;10;ALL
Barnstable - Barnstable High;00200505;ELA;         184;62;          46;16;         138;47;          77;26;          34;12;         295;96;     504.7;          52.1;         256;2021;10;ALL
Barnstable - Barnstable High;00200505;MATH;         122;42;          19;6;         103;35;         126;43;          45;15;         293;95;     495.1;          34.0;         255;2021;10;ALL
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School;35020405;ELA;          12;22;           1;2;          11;20;          35;64;           8;15;          55;82;     488.7;          47.0;          52;2021;10;ALL
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School;35020405;MATH;          10;18;           0;0;          10;18;          34;62;          11;20;          55;82;     482.3;          26.3;          53;2021;10;ALL
Bedford - Bedford High;00230505;ELA;         174;87;          79;40;          95;48;          21;11;           4;2;         199;99;     522.9;          61.3;         182;2021;10;ALL
Bedford - Bedford High;00230505;MATH;         161;81;          60;30;         101;51;          34;17;           4;2;         199;99;     517.6;          50.4;         184;2021;10;ALL
Belchertown - Belchertown High;00240505;ELA;         124;70;          25;14;          99;56;          45;26;           7;4;         176;96;     509.2;          63.9;         167;2021;10;ALL
Belchertown - Belchertown High;00240505;MATH;          86;49;          13;7;          73;41;          80;45;          10;6;         176;96;     500.2;          42.1;         165;2021;10;ALL
Bellingham - Bellingham High School;00250505;ELA;          79;65;          10;8;          69;57;          36;30;           6;5;         121;98;     505.7;          63.3;         119;2021;10;ALL
Bellingham - Bellingham High School;00250505;MATH;          58;48;           8;7;          50;41;          52;43;          11;9;         121;98;     499.5;          40.3;         119;2021;10;ALL
Belmont - Belmont High;00260505;ELA;         250;90;         118;42;         132;47;          27;10;           1;0;         278;89;     524.5;          58.6;         252;2021;10;ALL
Belmont - Belmont High;00260505;MATH;         244;87;         113;41;         131;47;          31;11;           4;1;         279;89;     522.7;          39.7;         254;2021;10;ALL
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School;04140305;ELA;          21;66;           9;28;          12;38;          10;31;           1;3;          32;76;     509.4;          42.8;          32;2021;10;ALL
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School;04140305;MATH;          16;50;           6;19;          10;31;          13;41;           3;9;          32;76;     502.5;          24.8;          32;2021;10;ALL
Berkshire Hills - Monument Mt Regional High;06180505;ELA;          78;76;          27;26;          51;50;          22;21;           3;3;         103;89;     515.5;          66.1;          86;2021;10;ALL
Berkshire Hills - Monument Mt Regional High;06180505;MATH;          58;59;           8;8;          50;51;          33;34;           7;7;          98;85;     503.8;          49.4;          82;2021;10;ALL
Berlin-Boylston - Tahanto Regional High;06200505;ELA;          59;89;          19;29;          40;61;           6;9;           1;2;          66;100;     523.2;          76.3;          58;2021;10;ALL
Berlin-Boylston - Tahanto Regional High;06200505;MATH;          51;77;          10;15;          41;62;          14;21;           1;2;          66;100;     513.6;          58.9;          58;2021;10;ALL
Beverly - Beverly High;00300505;ELA;         204;65;          42;13;         162;52;          93;30;          15;5;         312;95;     506.3;          51.2;         272;2021;10;ALL
Beverly - Beverly High;00300505;MATH;         130;42;          10;3;         120;39;         140;45;          39;13;         309;94;     494.0;          26.0;         273;2021;10;ALL
Billerica - Billerica Memorial High School;00310505;ELA;         196;74;          38;14;         158;60;          60;23;           9;3;         265;97;     510.4;          53.8;         253;2021;10;ALL
Billerica - Billerica Memorial High School;00310505;MATH;         169;64;          24;9;         145;55;          83;31;          12;5;         264;97;     505.4;          39.7;         253;2021;10;ALL
Blackstone Valley Regional Vocational Technical - Blackstone Valley;08050605;ELA;         240;79;          79;26;         161;53;          64;21;           1;0;         305;98;     515.4;          58.4;         292;2021;10;ALL
Blackstone Valley Regional Vocational Technical - Blackstone Valley;08050605;MATH;         188;62;          26;9;         162;53;         105;35;          11;4;         304;98;     505.5;          38.1;         291;2021;10;ALL
Blackstone-Millville - Blackstone Millville RHS;06220505;ELA;          56;55;          14;14;          42;41;          36;35;          10;10;         102;99;     504.1;          56.8;          93;2021;10;ALL
Blackstone-Millville - Blackstone Millville RHS;06220505;MATH;          43;42;           1;1;          42;41;          43;42;          16;16;         102;99;     493.7;          28.4;          93;2021;10;ALL
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical;08060605;ELA;         136;61;          25;11;         111;50;          78;35;          10;4;         224;98;     504.9;          58.2;         217;2021;10;ALL
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical;08060605;MATH;          88;39;           6;3;          82;37;         112;50;          24;11;         224;98;     494.4;          31.2;         218;2021;10;ALL
Boston - Another Course To College;00350541;ELA;          11;30;           1;3;          10;27;          20;54;           6;16;          37;62;     490.2;          40.6;          33;2021;10;ALL
Boston - Another Course To College;00350541;MATH;           6;16;           0;0;           6;16;          25;66;           7;18;          38;63;     482.7;          34.9;          33;2021;10;ALL
Boston - Boston Arts Academy;00350546;ELA;          47;44;           4;4;          43;41;          52;49;           7;7;         106;81;     499.0;          39.6;          95;2021;10;ALL
Boston - Boston Arts Academy;00350546;MATH;          25;23;           4;4;          21;19;          63;57;          22;20;         110;84;     486.0;          25.2;          98;2021;10;ALL
Boston - Boston Community Leadership Academy;00350558;ELA;          27;36;           2;3;          25;33;          33;44;          15;20;          75;74;     491.9;          51.2;          67;2021;10;ALL
Boston - Boston Community Leadership Academy;00350558;MATH;          13;17;           0;0;          13;17;          53;69;          11;14;          77;74;     482.9;          34.5;          70;2021;10;ALL
Boston - Boston International High School & Newcomers Academy;00350507;ELA;           1;3;           0;0;           1;3;           7;21;          25;76;          33;49;     460.2;;           9;2021;10;ALL
Boston - Boston International High School & Newcomers Academy;00350507;MATH;           3;10;           0;0;           3;10;          18;62;           8;28;          29;40;     477.9;;          10;2021;10;ALL
Boston - Boston Latin Academy;00350545;ELA;         211;88;          53;22;         158;66;          29;12;           1;0;         241;73;     517.7;          57.0;         231;2021;10;ALL
Boston - Boston Latin Academy;00350545;MATH;         209;89;          21;9;         188;80;          25;11;           0;0;         234;71;     514.6;          41.5;         224;2021;10;ALL
Boston - Boston Latin School;00350560;ELA;         238;96;          77;31;         161;65;          11;4;           0;0;         249;58;     522.4;          40.4;         242;2021;10;ALL
Boston - Boston Latin School;00350560;MATH;         245;98;          80;32;         165;66;           5;2;           0;0;         250;58;     524.8;          44.3;         243;2021;10;ALL
Boston - Brighton High School;00350505;ELA;           3;7;           0;0;           3;7;          17;41;          21;51;          41;44;     474.5;          43.2;          24;2021;10;ALL
Boston - Brighton High School;00350505;MATH;           1;2;           0;0;           1;2;          17;41;          23;56;          41;44;     469.8;;          19;2021;10;ALL
Boston - Burke High School;00350525;ELA;          10;14;           1;1;           9;13;          33;48;          26;38;          69;77;     478.1;          42.4;          44;2021;10;ALL
