School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Acushnet - Albert F Ford Middle School;00030305;ELA;         175;48;          32;9;         143;39;         144;39;          49;13;         368;98;     498.4;          35.6;         341;2021;ALL;white
Acushnet - Albert F Ford Middle School;00030305;MATH;         135;37;          10;3;         125;34;         187;51;          45;12;         367;98;     493.6;          31.6;         344;2021;ALL;white
Acushnet - Albert F Ford Middle School;00030305;SCI;          76;42;           9;5;          67;37;          74;41;          32;18;         182;99;     494.5;;;2021;ALL;white
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;ELA;         158;62;          25;10;         133;52;          88;35;           8;3;         254;96;     507.3;          39.4;         222;2021;ALL;white
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;MATH;         123;48;          28;11;          95;37;         110;43;          23;9;         256;97;     500.8;          30.6;         225;2021;ALL;white
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;SCI;          37;65;           2;4;          35;61;          19;33;           1;2;          57;97;     506.6;;;2021;ALL;white
Agawam - Agawam Junior High;00050405;ELA;          94;32;           8;3;          86;29;         153;52;          49;17;         296;67;     491.1;          28.1;         286;2021;ALL;white
Agawam - Agawam Junior High;00050405;MATH;         104;35;           9;3;          95;32;         150;51;          41;14;         295;66;     492.3;          25.6;         287;2021;ALL;white
Agawam - Agawam Junior High;00050405;SCI;          47;43;           6;6;          41;38;          45;41;          17;16;         109;54;     495.2;;;2021;ALL;white
Agawam - Benjamin J Phelps;00050020;ELA;          69;58;           8;7;          61;52;          45;38;           4;3;         118;95;     501.6;;;2021;ALL;white
Agawam - Benjamin J Phelps;00050020;MATH;          39;33;           5;4;          34;29;          61;52;          18;15;         118;95;     490.4;;;2021;ALL;white
Agawam - Clifford M Granger;00050010;ELA;          40;54;           5;7;          35;47;          30;41;           4;5;          74;92;     500.2;;;2021;ALL;white
Agawam - Clifford M Granger;00050010;MATH;          25;33;           2;3;          23;31;          40;53;          10;13;          75;92;     490.7;;;2021;ALL;white
Agawam - James Clark School;00050030;ELA;          46;56;          11;13;          35;43;          33;40;           3;4;          82;100;     502.7;;;2021;ALL;white
Agawam - James Clark School;00050030;MATH;          22;27;           4;5;          18;22;          43;52;          17;21;          82;100;     487.5;;;2021;ALL;white
Agawam - Roberta G. Doering School;00050303;ELA;         174;49;          18;5;         156;44;         141;40;          37;11;         352;88;     499.0;          37.2;         336;2021;ALL;white
Agawam - Roberta G. Doering School;00050303;MATH;         135;39;          14;4;         121;35;         172;50;          40;12;         347;87;     494.1;          27.1;         333;2021;ALL;white
Agawam - Roberta G. Doering School;00050303;SCI;          89;49;           7;4;          82;45;          71;39;          22;12;         182;89;     498.2;;;2021;ALL;white
Agawam - Robinson Park;00050025;ELA;          48;51;           7;7;          41;44;          40;43;           6;6;          94;94;     500.3;;;2021;ALL;white
Agawam - Robinson Park;00050025;MATH;          28;30;           8;9;          20;21;          46;49;          20;21;          94;94;     489.3;;;2021;ALL;white
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;ELA;          57;51;           7;6;          50;45;          39;35;          16;14;         112;100;     497.4;          29.6;          70;2021;ALL;white
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;MATH;          30;27;           3;3;          27;24;          52;46;          30;27;         112;100;     485.7;          13.2;          70;2021;ALL;white
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;SCI;           7;29;           1;4;           6;25;          12;50;           5;21;          24;100;     487.8;;;2021;ALL;white
Amesbury - Amesbury Elementary;00070005;ELA;          42;54;           9;12;          33;42;          23;29;          13;17;          78;98;     501.0;;;2021;ALL;white
Amesbury - Amesbury Elementary;00070005;MATH;          31;41;           3;4;          28;37;          29;38;          16;21;          76;96;     494.3;;;2021;ALL;white
Amesbury - Amesbury Middle;00070013;ELA;         226;49;          41;9;         185;40;         170;37;          67;14;         463;93;     497.5;          36.8;         449;2021;ALL;white
Amesbury - Amesbury Middle;00070013;MATH;         147;32;           9;2;         138;30;         230;50;          83;18;         460;93;     489.9;          30.4;         446;2021;ALL;white
Amesbury - Amesbury Middle;00070013;SCI;         104;46;          11;5;          93;41;          90;40;          32;14;         226;96;     497.0;;;2021;ALL;white
Amesbury - Charles C Cashman Elementary;00070010;ELA;          55;53;          10;10;          45;43;          37;36;          12;12;         104;97;     501.3;;;2021;ALL;white
Amesbury - Charles C Cashman Elementary;00070010;MATH;          32;31;           1;1;          31;30;          47;46;          24;23;         103;96;     489.5;;;2021;ALL;white
