School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Amherst - Fort River Elementary;00080020;MATH;           8;67;           3;25;           5;42;           2;17;           2;17;          12;93;     507.6;;           3;75;2022;ALL;multi-race
Amherst - Wildwood Elementary;00080050;ELA;           6;50;           1;8;           5;42;           4;33;           2;17;          12;86;     498.0;;           1;49;2022;ALL;multi-race
Amherst - Wildwood Elementary;00080050;MATH;           4;33;           0;0;           4;33;           4;33;           4;33;          12;86;     483.3;;           1;15;2022;ALL;multi-race
Amherst-Pelham - Amherst Regional Middle School;06050405;ELA;          10;48;           0;0;          10;48;           9;43;           2;10;          21;79;     498.7;;          10;51;2022;ALL;multi-race
Amherst-Pelham - Amherst Regional Middle School;06050405;MATH;           7;33;           2;10;           5;24;          11;52;           3;14;          21;78;     495.1;;          10;45;2022;ALL;multi-race
Amherst-Pelham - Amherst Regional Middle School;06050405;SCI;           4;40;           0;0;           4;40;           4;40;           2;20;          10;77;     490.2;;;33;2022;ALL;multi-race
Andover - Andover West Middle;00090310;ELA;           6;55;           0;0;           6;55;           4;36;           1;9;          11;100;     504.8;;          11;67;2022;ALL;multi-race
Andover - Andover West Middle;00090310;MATH;           7;64;           1;9;           6;55;           4;36;           0;0;          11;100;     510.8;;          11;81;2022;ALL;multi-race
Andover - Bancroft Elementary;00090003;ELA;          15;75;           3;15;          12;60;           5;25;           0;0;          20;100;     511.0;;           9;83;2022;ALL;multi-race
Andover - Bancroft Elementary;00090003;MATH;          11;55;           4;20;           7;35;           7;35;           2;10;          20;100;     507.0;;           9;73;2022;ALL;multi-race
Andover - Doherty Middle;00090305;ELA;          10;71;           5;36;           5;36;           3;21;           1;7;          14;100;     514.6;;          13;91;2022;ALL;multi-race
Andover - Doherty Middle;00090305;MATH;          10;71;           4;29;           6;43;           4;29;           0;0;          14;100;     515.6;;          13;89;2022;ALL;multi-race
Andover - High Plain Elementary;00090004;ELA;           8;67;           1;8;           7;58;           2;17;           2;17;          12;100;     508.9;;           7;78;2022;ALL;multi-race
Andover - High Plain Elementary;00090004;MATH;           8;67;           3;25;           5;42;           2;17;           2;17;          12;100;     512.9;;           7;85;2022;ALL;multi-race
Andover - Wood Hill Middle School;00090350;ELA;          13;72;           7;39;           6;33;           3;17;           2;11;          18;100;     515.4;;          15;92;2022;ALL;multi-race
