School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;          52;45;           3;3;          49;42;          52;45;          12;10;         116;99;     494.4;;;2021;3;ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;          24;21;           2;2;          22;19;          57;49;          35;30;         116;99;     479.7;;;2021;3;ALL
Abington - Woodsdale Elementary School;00010015;ELA;          83;63;          17;13;          66;50;          41;31;           8;6;         132;97;     507.9;;;2021;3;ALL
Abington - Woodsdale Elementary School;00010015;MATH;          82;62;          19;14;          63;48;          37;28;          13;10;         132;96;     504.7;;;2021;3;ALL
Acton-Boxborough - Blanchard Memorial School;06000005;ELA;          60;80;          19;25;          41;55;          14;19;           1;1;          75;95;     515.7;;;2021;3;ALL
Acton-Boxborough - Blanchard Memorial School;06000005;MATH;          48;63;          12;16;          36;47;          23;30;           5;7;          76;96;     504.6;;;2021;3;ALL
Acton-Boxborough - C.T. Douglas Elementary School;06000020;ELA;          23;59;           3;8;          20;51;          15;38;           1;3;          39;93;     503.0;;;2021;3;ALL
Acton-Boxborough - C.T. Douglas Elementary School;06000020;MATH;          20;51;           3;8;          17;44;          15;38;           4;10;          39;93;     497.1;;;2021;3;ALL
Acton-Boxborough - Luther Conant School;06000030;ELA;          53;80;          14;21;          39;59;          12;18;           1;2;          66;99;     513.4;;;2021;3;ALL
Acton-Boxborough - Luther Conant School;06000030;MATH;          48;73;          12;18;          36;55;          15;23;           3;5;          66;99;     512.3;;;2021;3;ALL
Acton-Boxborough - McCarthy-Towne School;06000015;ELA;          40;50;          10;13;          30;38;          34;43;           6;8;          80;98;     501.2;;;2021;3;ALL
Acton-Boxborough - McCarthy-Towne School;06000015;MATH;          33;41;           4;5;          29;36;          28;35;          19;24;          80;98;     491.6;;;2021;3;ALL
Acton-Boxborough - Merriam School;06000010;ELA;          40;68;          14;24;          26;44;          18;31;           1;2;          59;100;     510.9;;;2021;3;ALL
Acton-Boxborough - Merriam School;06000010;MATH;          27;46;           6;10;          21;36;          26;44;           6;10;          59;100;     499.1;;;2021;3;ALL
Acton-Boxborough - Paul P Gates Elementary School;06000025;ELA;          29;73;          10;25;          19;48;          10;25;           1;3;          40;100;     514.4;;;2021;3;ALL
Acton-Boxborough - Paul P Gates Elementary School;06000025;MATH;          24;60;          11;28;          13;33;          15;38;           1;3;          40;100;     510.8;;;2021;3;ALL
Acushnet - Acushnet Elementary School;00030025;ELA;          57;61;          12;13;          45;48;          35;37;           2;2;          94;100;     506.6;;;2021;3;ALL
Acushnet - Acushnet Elementary School;00030025;MATH;          46;49;           8;9;          38;40;          33;35;          15;16;          94;100;     498.4;;;2021;3;ALL
Agawam - Benjamin J Phelps;00050020;ELA;          38;62;           5;8;          33;54;          22;36;           1;2;          61;94;     503.9;;;2021;3;ALL
Agawam - Benjamin J Phelps;00050020;MATH;          26;43;           5;8;          21;34;          26;43;           9;15;          61;94;     494.9;;;2021;3;ALL
Agawam - Clifford M Granger;00050010;ELA;          20;59;           1;3;          19;56;          12;35;           2;6;          34;95;     499.5;;;2021;3;ALL
Agawam - Clifford M Granger;00050010;MATH;          12;34;           1;3;          11;31;          17;49;           6;17;          35;98;     491.6;;;2021;3;ALL
Agawam - James Clark School;00050030;ELA;          29;57;          10;20;          19;37;          19;37;           3;6;          51;100;     506.4;;;2021;3;ALL
Agawam - James Clark School;00050030;MATH;          14;27;           3;6;          11;22;          24;47;          13;25;          51;100;     487.8;;;2021;3;ALL
Agawam - Robinson Park;00050025;ELA;          24;43;           4;7;          20;36;          25;45;           7;13;          56;94;     498.0;;;2021;3;ALL
Agawam - Robinson Park;00050025;MATH;          16;29;           5;9;          11;20;          24;43;          16;29;          56;94;     487.1;;;2021;3;ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;ELA;          46;45;           8;8;          38;37;          51;50;           5;5;         102;99;     499.9;;;2021;3;ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;MATH;          44;43;           6;6;          38;37;          39;38;          19;19;         102;99;     492.0;;;2021;3;ALL
Amesbury - Amesbury Elementary;00070005;ELA;          18;50;           7;19;          11;31;          10;28;           8;22;          36;100;     498.0;;;2021;3;ALL
Amesbury - Amesbury Elementary;00070005;MATH;          12;34;           1;3;          11;31;          16;46;           7;20;          35;98;     490.1;;;2021;3;ALL
Amesbury - Charles C Cashman Elementary;00070010;ELA;          34;49;           9;13;          25;36;          27;39;           9;13;          70;95;     500.9;;;2021;3;ALL
Amesbury - Charles C Cashman Elementary;00070010;MATH;          21;30;           1;1;          20;29;          26;38;          22;32;          69;94;     485.9;;;2021;3;ALL
Amherst - Crocker Farm Elementary;00080009;ELA;          12;86;           0;0;          12;86;           2;14;           0;0;          14;43;     509.0;;;2021;3;ALL
Amherst - Crocker Farm Elementary;00080009;MATH;           5;36;           0;0;           5;36;           9;64;           0;0;          14;44;     496.4;;;2021;3;ALL
Amherst - Fort River Elementary;00080020;ELA;          12;55;           3;14;           9;41;           9;41;           1;5;          22;76;     502.1;;;2021;3;ALL
Amherst - Fort River Elementary;00080020;MATH;           7;33;           2;10;           5;24;           6;29;           8;38;          21;73;     483.2;;;2021;3;ALL
Amherst - Wildwood Elementary;00080050;ELA;          24;73;           7;21;          17;52;           7;21;           2;6;          33;60;     508.8;;;2021;3;ALL
Amherst - Wildwood Elementary;00080050;MATH;          10;30;           1;3;           9;27;          15;45;           8;24;          33;60;     489.3;;;2021;3;ALL
Andover - Bancroft Elementary;00090003;ELA;          65;68;           9;9;          56;58;          27;28;           4;4;          96;99;     506.0;;;2021;3;ALL
Andover - Bancroft Elementary;00090003;MATH;          34;35;           5;5;          29;30;          45;47;          17;18;          96;99;     491.6;;;2021;3;ALL
Andover - Henry C Sanborn Elementary;00090010;ELA;          40;73;          17;31;          23;42;          15;27;           0;0;          55;95;     515.9;;;2021;3;ALL
Andover - Henry C Sanborn Elementary;00090010;MATH;          45;82;          10;18;          35;64;           9;16;           1;2;          55;95;     515.4;;;2021;3;ALL
Andover - High Plain Elementary;00090004;ELA;          61;73;          18;22;          43;52;          19;23;           3;4;          83;99;     513.2;;;2021;3;ALL
Andover - High Plain Elementary;00090004;MATH;          50;60;           9;11;          41;49;          24;29;           9;11;          83;99;     505.9;;;2021;3;ALL
Andover - South Elementary;00090020;ELA;          65;89;          15;21;          50;68;           8;11;           0;0;          73;100;     515.1;;;2021;3;ALL
Andover - South Elementary;00090020;MATH;          44;60;           7;10;          37;51;          27;37;           2;3;          73;100;     506.6;;;2021;3;ALL
Andover - West Elementary;00090025;ELA;          56;67;          16;19;          40;48;          25;30;           2;2;          83;100;     509.9;;;2021;3;ALL
Andover - West Elementary;00090025;MATH;          46;55;          10;12;          36;43;          28;34;           9;11;          83;100;     501.0;;;2021;3;ALL
