School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Acushnet - Acushnet Elementary School;00030025;MATH;          51;59;          10;12;          41;48;          26;30;           9;10;          86;99;     504.0;;;2021;ALL;male
Acushnet - Albert F Ford Middle School;00030305;ELA;          87;41;          14;7;          73;35;          91;43;          33;16;         211;98;     495.2;          34.2;         194;2021;ALL;male
Acushnet - Albert F Ford Middle School;00030305;MATH;          83;40;           2;1;          81;39;         102;49;          25;12;         210;97;     493.9;          32.0;         194;2021;ALL;male
Acushnet - Albert F Ford Middle School;00030305;SCI;          46;44;           6;6;          40;38;          40;38;          18;17;         104;98;     495.1;;;2021;ALL;male
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;ELA;         121;64;          18;9;         103;54;          62;33;           7;4;         190;97;     507.7;          38.2;         157;2021;ALL;male
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;MATH;         108;56;          39;20;          69;36;          71;37;          14;7;         193;98;     507.1;          34.2;         161;2021;ALL;male
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;SCI;          20;59;           2;6;          18;53;          14;41;           0;0;          34;100;     505.7;;;2021;ALL;male
Agawam - Agawam Junior High;00050405;ELA;          51;26;           3;2;          48;25;         100;52;          43;22;         194;71;     487.2;          28.0;         184;2021;ALL;male
Agawam - Agawam Junior High;00050405;MATH;          71;36;           6;3;          65;33;          90;46;          34;17;         195;72;     491.2;          25.7;         186;2021;ALL;male
Agawam - Agawam Junior High;00050405;SCI;          27;40;           3;4;          24;35;          30;44;          11;16;          68;56;     494.9;;;2021;ALL;male
Agawam - Benjamin J Phelps;00050020;ELA;          38;59;           4;6;          34;53;          21;33;           5;8;          64;94;     500.5;;;2021;ALL;male
Agawam - Benjamin J Phelps;00050020;MATH;          28;44;           6;9;          22;34;          30;47;           6;9;          64;94;     496.1;;;2021;ALL;male
Agawam - Clifford M Granger;00050010;ELA;          22;50;           2;5;          20;45;          18;41;           4;9;          44;96;     496.4;;;2021;ALL;male
Agawam - Clifford M Granger;00050010;MATH;          14;30;           2;4;          12;26;          24;52;           8;17;          46;98;     490.2;;;2021;ALL;male
Agawam - James Clark School;00050030;ELA;          27;47;           8;14;          19;33;          25;43;           6;10;          58;100;     499.6;;;2021;ALL;male
Agawam - James Clark School;00050030;MATH;          22;38;           5;9;          17;29;          22;38;          14;24;          58;100;     491.4;;;2021;ALL;male
Agawam - Roberta G. Doering School;00050303;ELA;         100;40;          10;4;          90;36;         102;41;          45;18;         247;89;     493.8;          34.5;         232;2021;ALL;male
Agawam - Roberta G. Doering School;00050303;MATH;          96;39;           8;3;          88;36;         110;45;          39;16;         245;87;     492.8;          26.1;         232;2021;ALL;male
Agawam - Roberta G. Doering School;00050303;SCI;          60;55;           6;6;          54;50;          34;31;          15;14;         109;87;     500.3;;;2021;ALL;male
Agawam - Robinson Park;00050025;ELA;          23;37;           5;8;          18;29;          28;44;          12;19;          63;94;     494.5;;;2021;ALL;male
Agawam - Robinson Park;00050025;MATH;          18;29;           5;8;          13;21;          27;43;          18;29;          63;94;     486.2;;;2021;ALL;male
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;ELA;          76;35;           7;3;          69;32;          98;45;          44;20;         218;99;     490.0;          29.7;         137;2021;ALL;male
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;MATH;          44;20;           5;2;          39;18;         116;53;          58;27;         218;99;     482.3;          14.3;         137;2021;ALL;male
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;SCI;           9;24;           1;3;           8;22;          18;49;          10;27;          37;100;     483.0;;;2021;ALL;male
Amesbury - Amesbury Elementary;00070005;ELA;          32;50;           5;8;          27;42;          20;31;          12;19;          64;99;     497.8;;;2021;ALL;male
Amesbury - Amesbury Elementary;00070005;MATH;          25;40;           2;3;          23;37;          22;35;          16;25;          63;97;     494.2;;;2021;ALL;male
Amesbury - Amesbury Middle;00070013;ELA;         125;40;          23;7;         102;33;         130;42;          54;17;         309;95;     493.7;          33.8;         300;2021;ALL;male
Amesbury - Amesbury Middle;00070013;MATH;          98;32;           8;3;          90;29;         152;49;          59;19;         309;95;     489.8;          30.6;         299;2021;ALL;male
Amesbury - Amesbury Middle;00070013;SCI;          58;43;           9;7;          49;36;          60;44;          18;13;         136;95;     496.5;;;2021;ALL;male
Amesbury - Charles C Cashman Elementary;00070010;ELA;          35;50;           7;10;          28;40;          30;43;           5;7;          70;100;     500.8;;;2021;ALL;male
Amesbury - Charles C Cashman Elementary;00070010;MATH;          24;35;           2;3;          22;32;          31;45;          14;20;          69;99;     493.1;;;2021;ALL;male
Amherst - Crocker Farm Elementary;00080009;ELA;          25;51;           3;6;          22;45;          15;31;           9;18;          49;61;     496.6;          40.0;          20;2021;ALL;male
Amherst - Crocker Farm Elementary;00080009;MATH;          25;48;           2;4;          23;44;          17;33;          10;19;          52;62;     494.6;          35.6;          22;2021;ALL;male
Amherst - Crocker Farm Elementary;00080009;SCI;           6;43;           0;0;           6;43;           4;29;           4;29;          14;65;     491.6;;;2021;ALL;male
Amherst - Fort River Elementary;00080020;ELA;          22;48;           4;9;          18;39;          19;41;           5;11;          46;60;     500.9;          43.6;          21;2021;ALL;male
Amherst - Fort River Elementary;00080020;MATH;          22;50;           4;9;          18;41;          11;25;          11;25;          44;58;     493.6;          34.7;          20;2021;ALL;male
Amherst - Wildwood Elementary;00080050;ELA;          37;60;           9;15;          28;45;          17;27;           8;13;          62;60;     505.2;          43.7;          32;2021;ALL;male
Amherst - Wildwood Elementary;00080050;MATH;          27;44;           1;2;          26;43;          20;33;          14;23;          61;59;     494.7;          30.7;          31;2021;ALL;male
Amherst - Wildwood Elementary;00080050;SCI;           6;33;           0;0;           6;33;           9;50;           3;17;          18;67;     495.6;;;2021;ALL;male
Amherst-Pelham - Amherst Regional Middle School;06050405;ELA;          23;55;           1;2;          22;52;          13;31;           6;14;          42;20;     500.8;          31.7;          34;2021;ALL;male
Amherst-Pelham - Amherst Regional Middle School;06050405;MATH;          28;57;           5;10;          23;47;          14;29;           7;14;          49;23;     504.6;          31.6;          41;2021;ALL;male
Amherst-Pelham - Amherst Regional Middle School;06050405;SCI;          17;65;           4;15;          13;50;           6;23;           3;12;          26;24;     508.3;;;2021;ALL;male
Andover - Andover West Middle;00090310;ELA;         133;49;          32;12;         101;37;         104;38;          35;13;         272;100;     499.5;          33.3;         246;2021;ALL;male
Andover - Andover West Middle;00090310;MATH;         178;65;          45;16;         133;49;          69;25;          26;10;         273;100;     506.7;          42.0;         247;2021;ALL;male
Andover - Andover West Middle;00090310;SCI;          44;54;          13;16;          31;38;          31;38;           7;9;          82;100;     504.6;;;2021;ALL;male
Andover - Bancroft Elementary;00090003;ELA;          92;59;           9;6;          83;54;          57;37;           6;4;         155;99;     502.7;          40.0;          51;2021;ALL;male
Andover - Bancroft Elementary;00090003;MATH;          75;48;           9;6;          66;43;          65;42;          15;10;         155;99;     496.7;          40.8;          51;2021;ALL;male
Andover - Bancroft Elementary;00090003;SCI;          33;63;           8;15;          25;48;          15;29;           4;8;          52;98;     508.4;;;2021;ALL;male
Andover - Doherty Middle;00090305;ELA;         121;53;          27;12;          94;41;          75;33;          32;14;         228;99;     501.0;          43.0;         222;2021;ALL;male
Andover - Doherty Middle;00090305;MATH;         118;52;          18;8;         100;44;          83;36;          27;12;         228;99;     499.9;          37.9;         221;2021;ALL;male
Andover - Doherty Middle;00090305;SCI;          35;49;          10;14;          25;35;          26;36;          11;15;          72;100;     499.2;;;2021;ALL;male
Andover - Henry C Sanborn Elementary;00090010;ELA;          53;60;          13;15;          40;45;          32;36;           3;3;          88;97;     506.1;          25.4;          31;2021;ALL;male
Andover - Henry C Sanborn Elementary;00090010;MATH;          54;61;          12;14;          42;48;          32;36;           2;2;          88;97;     506.6;          33.3;          31;2021;ALL;male
Andover - Henry C Sanborn Elementary;00090010;SCI;          22;63;           5;14;          17;49;          12;34;           1;3;          35;97;     505.6;;;2021;ALL;male
Andover - High Plain Elementary;00090004;ELA;         102;74;          31;22;          71;51;          35;25;           1;1;         138;100;     513.8;          57.9;          43;2021;ALL;male
Andover - High Plain Elementary;00090004;MATH;          99;72;          18;13;          81;59;          33;24;           6;4;         138;100;     510.1;          59.7;          43;2021;ALL;male
Andover - High Plain Elementary;00090004;SCI;          38;83;          17;37;          21;46;           8;17;           0;0;          46;100;     520.3;;;2021;ALL;male
Andover - South Elementary;00090020;ELA;          89;77;          17;15;          72;62;          27;23;           0;0;         116;100;     511.7;          36.2;          38;2021;ALL;male
Andover - South Elementary;00090020;MATH;          79;68;          15;13;          64;55;          36;31;           1;1;         116;100;     509.0;          49.1;          38;2021;ALL;male
Andover - South Elementary;00090020;SCI;          24;63;           5;13;          19;50;          14;37;           0;0;          38;100;     508.7;;;2021;ALL;male
Andover - West Elementary;00090025;ELA;          88;62;          16;11;          72;51;          46;32;           8;6;         142;100;     505.0;          40.9;          49;2021;ALL;male
Andover - West Elementary;00090025;MATH;          79;56;          15;11;          64;45;          46;32;          17;12;         142;100;     502.2;          47.8;          49;2021;ALL;male
Andover - West Elementary;00090025;SCI;          39;78;           4;8;          35;70;          10;20;           1;2;          50;100;     510.9;;;2021;ALL;male
Andover - Wood Hill Middle School;00090350;ELA;         106;57;          20;11;          86;46;          69;37;          12;6;         187;98;     503.6;          31.8;         176;2021;ALL;male
Andover - Wood Hill Middle School;00090350;MATH;         126;67;          32;17;          94;50;          51;27;          11;6;         188;99;     509.8;          40.7;         177;2021;ALL;male
Andover - Wood Hill Middle School;00090350;SCI;          39;66;           7;12;          32;54;          17;29;           3;5;          59;100;     505.2;;;2021;ALL;male
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;ELA;          23;14;           0;0;          23;14;          83;51;          56;35;         162;96;     478.0;          19.1;         145;2021;ALL;male
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;MATH;          23;14;           1;1;          22;13;          86;53;          54;33;         163;96;     479.0;          16.8;         145;2021;ALL;male
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;SCI;           4;12;           1;3;           3;9;          21;64;           8;24;          33;92;     481.2;;;2021;ALL;male
Arlington - Brackett;00100010;ELA;          83;77;          11;10;          72;67;          22;20;           3;3;         108;97;     508.2;          38.8;          29;2021;ALL;male
Arlington - Brackett;00100010;MATH;          70;65;           6;6;          64;59;          37;34;           1;1;         108;97;     504.9;          43.7;          29;2021;ALL;male
Arlington - Brackett;00100010;SCI;          25;86;          10;34;          15;52;           4;14;           0;0;          29;97;     522.9;;;2021;ALL;male
Arlington - Cyrus E Dallin;00100025;ELA;          85;75;          13;12;          72;64;          24;21;           4;4;         113;95;     507.6;          47.1;          33;2021;ALL;male
Arlington - Cyrus E Dallin;00100025;MATH;          62;55;           8;7;          54;48;          44;39;           7;6;         113;95;     502.1;          36.2;          33;2021;ALL;male
Arlington - Cyrus E Dallin;00100025;SCI;          27;82;           4;12;          23;70;           5;15;           1;3;          33;97;     513.6;;;2021;ALL;male
Arlington - Gibbs School;00100305;ELA;         167;69;          54;22;         113;47;          54;22;          21;9;         242;96;     510.4;          51.3;         225;2021;ALL;male
Arlington - Gibbs School;00100305;MATH;         150;62;          23;10;         127;53;          75;31;          16;7;         241;95;     505.4;          33.8;         225;2021;ALL;male
Arlington - Hardy;00100030;ELA;          63;65;          13;13;          50;52;          28;29;           6;6;          97;98;     505.4;          39.6;          34;2021;ALL;male
