School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;          62;65;          11;12;          51;54;          33;35;           0;0;          95;     507.5;          55.0;          94;53;2019;10;ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;          49;52;          11;12;          38;40;          44;46;           2;2;          95;     505.2;          70.1;          93;55;2019;10;ALL
Abington - Abington High;00010505;ELA;          93;64;          12;8;          81;56;          48;33;           4;3;         145;     507.5;          46.4;         138;53;2019;10;ALL
Abington - Abington High;00010505;MATH;          84;58;          16;11;          68;47;          55;38;           6;4;         145;     505.6;          48.6;         138;56;2019;10;ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;ELA;          41;64;           5;8;          36;56;          22;34;           1;2;          64;     506.7;          59.6;          59;48;2019;10;ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;MATH;          33;51;           2;3;          31;48;          28;43;           4;6;          65;     498.7;          63.0;          62;31;2019;10;ALL
Acton-Boxborough - Acton-Boxborough Regional High;06000505;ELA;         381;90;         108;26;         273;65;          41;10;           1;0;         423;     521.6;          59.2;         401;96;2019;10;ALL
Acton-Boxborough - Acton-Boxborough Regional High;06000505;MATH;         392;93;         205;49;         187;44;          27;6;           2;0;         421;     528.8;          57.6;         400;98;2019;10;ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;ELA;         140;93;          55;36;          85;56;          11;7;           0;0;         151;     525.9;          54.5;         146;98;2019;10;ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;MATH;         147;97;          87;57;          60;39;           5;3;           0;0;         152;     533.1;          81.0;         148;99;2019;10;ALL
Agawam - Agawam High;00050505;ELA;         171;61;          18;6;         153;55;         100;36;           9;3;         280;     505.3;          50.9;         259;44;2019;10;ALL
Agawam - Agawam High;00050505;MATH;         167;60;          32;12;         135;49;         100;36;          11;4;         278;     505.0;          52.7;         259;54;2019;10;ALL
Amesbury - Amesbury High;00070505;ELA;         111;81;          26;19;          85;62;          24;18;           2;1;         137;     515.9;          62.9;         122;80;2019;10;ALL
Amesbury - Amesbury High;00070505;MATH;          96;71;          29;21;          67;50;          38;28;           1;1;         135;     512.4;          50.4;         120;75;2019;10;ALL
Amherst-Pelham - Amherst Regional High;06050505;ELA;         162;72;          53;24;         109;49;          49;22;          13;6;         224;     514.0;          54.9;         178;74;2019;10;ALL
Amherst-Pelham - Amherst Regional High;06050505;MATH;         151;68;          41;18;         110;50;          50;23;          21;9;         222;     510.1;          59.2;         173;67;2019;10;ALL
Andover - Andover High;00090505;ELA;         382;86;         115;26;         267;60;          60;13;           4;1;         446;     519.5;          55.1;         400;90;2019;10;ALL
Andover - Andover High;00090505;MATH;         371;83;         132;29;         239;53;          69;15;           8;2;         448;     519.7;          61.7;         398;91;2019;10;ALL
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;ELA;          21;66;           2;6;          19;59;          11;34;           0;0;          32;     507.3;          61.0;          31;52;2019;10;ALL
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;MATH;          21;66;           6;19;          15;47;          10;31;           1;3;          32;     509.0;          64.2;          31;65;2019;10;ALL
Arlington - Arlington High;00100505;ELA;         278;82;          81;24;         197;58;          58;17;           2;1;         338;     517.7;          53.3;         304;86;2019;10;ALL
Arlington - Arlington High;00100505;MATH;         277;82;          92;27;         185;55;          51;15;           8;2;         336;     518.2;          56.2;         302;89;2019;10;ALL
Ashburnham-Westminster - Oakmont Regional High School;06100505;ELA;         119;72;          18;11;         101;61;          44;27;           3;2;         166;     509.7;          46.5;         154;61;2019;10;ALL
Ashburnham-Westminster - Oakmont Regional High School;06100505;MATH;         124;75;          33;20;          91;55;          37;22;           5;3;         166;     513.3;          50.2;         153;78;2019;10;ALL
Ashland - Ashland High;00140505;ELA;         170;83;          53;26;         117;57;          30;15;           5;2;         205;     517.8;          57.9;         188;86;2019;10;ALL
Ashland - Ashland High;00140505;MATH;         168;82;          59;29;         109;53;          32;16;           4;2;         204;     519.6;          62.6;         186;91;2019;10;ALL
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School;08010605;ELA;         150;53;          11;4;         139;49;         119;42;          14;5;         283;     500.5;          53.0;         270;32;2019;10;ALL
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School;08010605;MATH;         152;54;          15;5;         137;49;         110;39;          20;7;         282;     501.3;          59.2;         271;39;2019;10;ALL
Athol-Royalston - Athol High;06150505;ELA;          36;46;           9;11;          27;34;          36;46;           7;9;          79;     500.0;          58.3;          75;29;2019;10;ALL
Athol-Royalston - Athol High;06150505;MATH;          28;36;           4;5;          24;31;          39;50;          11;14;          78;     493.1;          41.9;          75;20;2019;10;ALL
Atlantis Charter (District) - Atlantis Charter School;04910550;ELA;          46;57;           2;2;          44;54;          29;36;           6;7;          81;     498.4;          44.7;          69;24;2019;10;ALL
Atlantis Charter (District) - Atlantis Charter School;04910550;MATH;          39;49;           6;8;          33;42;          29;37;          11;14;          79;     496.7;          45.4;          69;25;2019;10;ALL
Attleboro - Attleboro High;00160505;ELA;         222;54;          40;10;         182;44;         153;37;          39;9;         414;     501.8;          39.7;         379;35;2019;10;ALL
Attleboro - Attleboro High;00160505;MATH;         235;57;          26;6;         209;51;         137;33;          41;10;         413;     501.7;          48.7;         379;41;2019;10;ALL
Auburn - Auburn Senior High;00170505;ELA;         123;70;          20;11;         103;59;          44;25;           9;5;         176;     509.1;          43.7;         168;57;2019;10;ALL
Auburn - Auburn Senior High;00170505;MATH;         122;70;          23;13;          99;57;          46;26;           7;4;         175;     511.2;          47.2;         166;70;2019;10;ALL
Avon - Avon Middle High School;00180510;ELA;          17;45;           2;5;          15;39;          17;45;           4;11;          38;     500.2;          46.2;          33;30;2019;10;ALL
Avon - Avon Middle High School;00180510;MATH;          13;34;           2;5;          11;29;          15;39;          10;26;          38;     492.1;          49.0;          33;18;2019;10;ALL
Ayer Shirley School District - Ayer Shirley Regional High School;06160505;ELA;          68;76;          18;20;          50;56;          16;18;           5;6;          89;     514.9;          51.3;          82;76;2019;10;ALL
Ayer Shirley School District - Ayer Shirley Regional High School;06160505;MATH;          54;61;          12;14;          42;48;          28;32;           6;7;          88;     506.3;          54.6;          82;57;2019;10;ALL
Barnstable - Barnstable High;00200505;ELA;         203;63;          37;11;         166;51;          96;30;          25;8;         324;     506.4;          56.6;         287;47;2019;10;ALL
Barnstable - Barnstable High;00200505;MATH;         179;56;          24;8;         155;49;         107;34;          31;10;         317;     502.8;          50.8;         280;45;2019;10;ALL
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School;35020405;ELA;          25;37;           1;1;          24;35;          40;59;           3;4;          68;     494.7;          34.4;          62;18;2019;10;ALL
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School;35020405;MATH;          13;19;           2;3;          11;16;          51;76;           3;4;          67;     490.1;          33.8;          62;14;2019;10;ALL
Bedford - Bedford High;00230505;ELA;         130;71;          29;16;         101;55;          51;28;           2;1;         183;     512.1;          48.3;         159;68;2019;10;ALL
Bedford - Bedford High;00230505;MATH;         143;79;          45;25;          98;54;          36;20;           3;2;         182;     515.9;          59.9;         157;84;2019;10;ALL
Belchertown - Belchertown High;00240505;ELA;         144;86;          54;32;          90;54;          20;12;           3;2;         167;     520.7;          61.4;         160;92;2019;10;ALL
Belchertown - Belchertown High;00240505;MATH;         127;76;          25;15;         102;61;          37;22;           3;2;         167;     512.5;          66.6;         160;76;2019;10;ALL
Bellingham - Bellingham High School;00250505;ELA;          86;59;          12;8;          74;51;          53;36;           7;5;         146;     505.2;          48.2;         139;43;2019;10;ALL
Bellingham - Bellingham High School;00250505;MATH;          81;55;          15;10;          66;45;          45;31;          20;14;         146;     501.0;          34.7;         138;37;2019;10;ALL
Belmont - Belmont High;00260505;ELA;         294;91;         126;39;         168;52;          28;9;           2;1;         324;     525.4;          54.7;         296;98;2019;10;ALL
Belmont - Belmont High;00260505;MATH;         301;93;         150;46;         151;46;          24;7;           0;0;         325;     528.1;          56.3;         297;98;2019;10;ALL
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School;04140305;ELA;          23;61;           9;24;          14;37;          15;39;           0;0;          38;     511.1;          57.9;          36;66;2019;10;ALL
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School;04140305;MATH;          18;47;           4;11;          14;37;          19;50;           1;3;          38;     502.6;          35.9;          37;44;2019;10;ALL
Berkshire Hills - Monument Mt Regional High;06180505;ELA;          82;67;          17;14;          65;53;          37;30;           4;3;         123;     506.5;          52.9;          96;48;2019;10;ALL
Berkshire Hills - Monument Mt Regional High;06180505;MATH;          79;65;          11;9;          68;56;          36;30;           7;6;         122;     505.2;          57.1;          97;55;2019;10;ALL
Berlin-Boylston - Tahanto Regional High;06200505;ELA;          68;86;          15;19;          53;67;          11;14;           0;0;          79;     519.9;          69.8;          69;91;2019;10;ALL
Berlin-Boylston - Tahanto Regional High;06200505;MATH;          65;84;          23;30;          42;55;          12;16;           0;0;          77;     520.1;          65.3;          67;91;2019;10;ALL
Beverly - Beverly High;00300505;ELA;         187;61;          33;11;         154;50;         105;34;          17;6;         309;     505.3;          42.6;         271;44;2019;10;ALL
Beverly - Beverly High;00300505;MATH;         188;62;          29;10;         159;52;          96;31;          21;7;         305;     505.9;          45.3;         269;56;2019;10;ALL
Billerica - Billerica Memorial High School;00310505;ELA;         158;68;          45;19;         113;49;          64;28;          10;4;         232;     510.8;          53.7;         217;64;2019;10;ALL
Billerica - Billerica Memorial High School;00310505;MATH;         152;66;          26;11;         126;54;          69;30;          11;5;         232;     508.1;          51.6;         218;62;2019;10;ALL
Blackstone Valley Regional Vocational Technical - Blackstone Valley;08050605;ELA;         248;81;          54;18;         194;63;          55;18;           5;2;         308;     515.1;          59.7;         290;77;2019;10;ALL
Blackstone Valley Regional Vocational Technical - Blackstone Valley;08050605;MATH;         234;76;          51;17;         183;59;          67;22;           7;2;         308;     512.3;          56.0;         289;74;2019;10;ALL
Blackstone-Millville - Blackstone Millville RHS;06220505;ELA;          53;56;           5;5;          48;51;          37;39;           4;4;          94;     503.5;          51.8;          86;39;2019;10;ALL
Blackstone-Millville - Blackstone Millville RHS;06220505;MATH;          48;50;           2;2;          46;48;          41;43;           7;7;          96;     498.6;          46.6;          87;30;2019;10;ALL
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical;08060605;ELA;         114;54;          10;5;         104;49;          92;43;           6;3;         212;     502.2;          48.8;         196;35;2019;10;ALL
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical;08060605;MATH;         103;49;           8;4;          95;45;          88;42;          19;9;         210;     497.7;          42.9;         194;28;2019;10;ALL
Boston - Another Course To College;00350541;ELA;          11;26;           0;0;          11;26;          28;67;           3;7;          42;     492.0;          46.7;          40;15;2019;10;ALL
Boston - Another Course To College;00350541;MATH;           6;14;           0;0;           6;14;          29;67;           8;19;          43;     484.9;          44.9;          41;9;2019;10;ALL
Boston - Boston Arts Academy;00350546;ELA;          44;42;           4;4;          40;38;          57;54;           4;4;         105;     499.1;          36.8;          88;26;2019;10;ALL
Boston - Boston Arts Academy;00350546;MATH;          40;38;           2;2;          38;36;          59;56;           6;6;         105;     494.5;          44.6;          88;21;2019;10;ALL
Boston - Boston Community Leadership Academy;00350558;ELA;          20;21;           0;0;          20;21;          54;56;          22;23;          96;     485.9;          34.6;          73;8;2019;10;ALL
Boston - Boston Community Leadership Academy;00350558;MATH;          19;21;           1;1;          18;20;          56;61;          17;18;          92;     486.9;          37.8;          71;10;2019;10;ALL
Boston - Boston International High School & Newcomers Academy;00350507;ELA;           0;0;           0;0;           0;0;          21;42;          29;58;          50;     468.6;;          12;1;2019;10;ALL
Boston - Boston International High School & Newcomers Academy;00350507;MATH;           9;18;           2;4;           7;14;          27;54;          14;28;          50;     483.9;;          12;7;2019;10;ALL
Boston - Boston Latin Academy;00350545;ELA;         305;87;          63;18;         242;69;          45;13;           0;0;         350;     517.1;          58.9;         334;84;2019;10;ALL
Boston - Boston Latin Academy;00350545;MATH;         325;93;          59;17;         266;76;          24;7;           0;0;         349;     518.1;          66.9;         333;88;2019;10;ALL
Boston - Boston Latin School;00350560;ELA;         407;97;         147;35;         260;62;          14;3;           0;0;         421;     525.9;          55.5;         398;98;2019;10;ALL
Boston - Boston Latin School;00350560;MATH;         415;99;         201;48;         214;51;           6;1;           0;0;         421;     530.5;          67.3;         400;99;2019;10;ALL
Boston - Brighton High School;00350505;ELA;          13;14;           0;0;          13;14;          39;41;          44;46;          96;     475.4;          24.5;          55;3;2019;10;ALL
Boston - Brighton High School;00350505;MATH;          11;12;           0;0;          11;12;          51;56;          29;32;          91;     478.2;          23.5;          53;4;2019;10;ALL
Boston - Burke High School;00350525;ELA;          22;29;           1;1;          21;27;          39;51;          16;21;          77;     487.4;          53.6;          36;9;2019;10;ALL
Boston - Burke High School;00350525;MATH;          35;47;           1;1;          34;45;          36;48;           4;5;          75;     497.2;          79.3;          36;27;2019;10;ALL
Boston - Charlestown High School;00350515;ELA;          21;16;           1;1;          20;15;          73;54;          40;30;         134;     483.0;          36.6;          63;6;2019;10;ALL
Boston - Charlestown High School;00350515;MATH;          35;28;           5;4;          30;24;          58;46;          34;27;         127;     490.0;          55.0;          66;13;2019;10;ALL
Boston - Community Academy of Science and Health;00350581;ELA;           5;7;           0;0;           5;7;          31;46;          32;47;          68;     477.4;          32.6;          34;4;2019;10;ALL
Boston - Community Academy of Science and Health;00350581;MATH;           5;7;           0;0;           5;7;          31;46;          31;46;          67;     478.3;          33.3;          33;4;2019;10;ALL
Boston - Dearborn 6-12 STEM Academy;00350074;ELA;           8;15;           0;0;           8;15;          23;43;          22;42;          53;     474.9;          40.9;          33;3;2019;10;ALL
