School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;          37;32;           5;4;          32;28;          61;54;          16;14;         114;99;     490.7;          26.8;         114;2021;5;ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;           8;7;           0;0;           8;7;          61;54;          45;39;         114;99;     474.6;          12.0;         114;2021;5;ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;SCI;          27;24;           2;2;          25;22;          59;52;          28;25;         114;99;     485.4;;;2021;5;ALL
Abington - Abington Middle School;00010405;ELA;          71;55;           4;3;          67;52;          51;40;           7;5;         129;97;     500.9;          38.5;         120;2021;5;ALL
Abington - Abington Middle School;00010405;MATH;          50;39;           3;2;          47;36;          68;53;          11;9;         129;97;     492.7;          29.7;         120;2021;5;ALL
Abington - Abington Middle School;00010405;SCI;          68;53;          11;9;          57;44;          51;40;          10;8;         129;97;     500.9;;;2021;5;ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;ELA;           9;16;           0;0;           9;16;          33;59;          14;25;          56;100;     480.1;          24.5;          47;2021;5;ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;MATH;           5;9;           0;0;           5;9;          32;57;          19;34;56;100;     475.9;          24.7;          48;2021;5;ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;SCI;           0;0;           0;0;           0;0;          29;59;          20;41;          49;88;     472.0;;;2021;5;ALL
Acton-Boxborough - Blanchard Memorial School;06000005;ELA;          42;71;           8;14;          34;58;          15;25;           2;3;          59;95;     508.5;          44.3;          54;2021;5;ALL
Acton-Boxborough - Blanchard Memorial School;06000005;MATH;          38;64;          11;19;          27;46;          18;31;           3;5;          59;95;     510.4;          54.3;          54;2021;5;ALL
Acton-Boxborough - Blanchard Memorial School;06000005;SCI;          46;78;          12;20;          34;58;          11;19;           2;3;          59;95;     515.3;;;2021;5;ALL
Acton-Boxborough - C.T. Douglas Elementary School;06000020;ELA;          34;55;           2;3;          32;52;          23;37;           5;8;          62;96;     499.5;          34.4;          56;2021;5;ALL
Acton-Boxborough - C.T. Douglas Elementary School;06000020;MATH;          31;50;           8;13;          23;37;          25;40;           6;10;          62;96;     498.9;          46.3;          56;2021;5;ALL
Acton-Boxborough - C.T. Douglas Elementary School;06000020;SCI;          34;55;           7;11;          27;44;          25;40;           3;5;          62;96;     504.1;;;2021;5;ALL
Acton-Boxborough - Luther Conant School;06000030;ELA;          37;80;          12;26;          25;54;           9;20;           0;0;          46;98;     515.5;          52.1;          46;2021;5;ALL
Acton-Boxborough - Luther Conant School;06000030;MATH;          39;85;          10;22;          29;63;           6;13;           1;2;          46;98;     515.9;          58.7;          46;2021;5;ALL
Acton-Boxborough - Luther Conant School;06000030;SCI;          36;78;          10;22;          26;57;          10;22;           0;0;          46;98;     516.4;;;2021;5;ALL
Acton-Boxborough - McCarthy-Towne School;06000015;ELA;          46;68;           7;10;          39;57;          19;28;           3;4;          68;97;     505.7;          36.8;          65;2021;5;ALL
Acton-Boxborough - McCarthy-Towne School;06000015;MATH;          38;56;           5;7;          33;49;          29;43;           1;1;          68;97;     503.2;          41.5;          65;2021;5;ALL
Acton-Boxborough - McCarthy-Towne School;06000015;SCI;          45;66;           8;12;          37;54;          23;34;           0;0;          68;97;     509.7;;;2021;5;ALL
Acton-Boxborough - Merriam School;06000010;ELA;          41;61;           8;12;          33;49;          23;34;           3;4;          67;96;     503.5;          33.5;          64;2021;5;ALL
Acton-Boxborough - Merriam School;06000010;MATH;          28;42;           4;6;          24;36;          36;55;           2;3;          66;94;     499.6;          48.8;          63;2021;5;ALL
Acton-Boxborough - Merriam School;06000010;SCI;          42;64;          10;15;          32;48;          19;29;           5;8;          66;94;     507.2;;;2021;5;ALL
Acton-Boxborough - Paul P Gates Elementary School;06000025;ELA;          47;71;           8;12;          39;59;          18;27;           1;2;          66;99;     509.6;          35.8;          62;2021;5;ALL
Acton-Boxborough - Paul P Gates Elementary School;06000025;MATH;          43;65;          17;26;          26;39;          21;32;           2;3;          66;99;     510.6;          39.7;          62;2021;5;ALL
Acton-Boxborough - Paul P Gates Elementary School;06000025;SCI;          42;64;          11;17;          31;47;          22;33;           2;3;          66;99;     509.6;;;2021;5;ALL
Acushnet - Albert F Ford Middle School;00030305;ELA;          68;67;          18;18;          50;50;          30;30;           3;3;         101;97;     508.1;          45.9;          95;2021;5;ALL
Acushnet - Albert F Ford Middle School;00030305;MATH;          39;39;           2;2;          37;37;          54;53;           8;8;         101;97;     495.2;          42.5;          97;2021;5;ALL
Acushnet - Albert F Ford Middle School;00030305;SCI;          50;49;           6;6;          44;43;          39;38;          13;13;         102;98;     498.3;;;2021;5;ALL
Agawam - Roberta G. Doering School;00050303;ELA;          98;45;           8;4;          90;41;         101;46;          21;10;         220;91;     496.7;          35.7;         210;2021;5;ALL
Agawam - Roberta G. Doering School;00050303;MATH;          64;30;           2;1;          62;29;         115;53;          37;17;         216;89;     488.5;          21.0;         207;2021;5;ALL
Agawam - Roberta G. Doering School;00050303;SCI;         102;47;           8;4;          94;43;          87;40;          28;13;         217;89;     497.2;;;2021;5;ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;ELA;          27;55;           2;4;          25;51;          17;35;           5;10;          49;100;     498.9;          18.4;          46;2021;5;ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;MATH;           8;16;           0;0;           8;16;          26;53;          15;31;          49;100;     479.4;           6.5;          46;2021;5;ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;SCI;          11;22;           0;0;          11;22;          25;51;          13;27;          49;100;     481.7;;;2021;5;ALL
Amesbury - Amesbury Middle;00070013;ELA;          87;58;          17;11;          70;47;          50;34;          12;8;         149;98;     502.3;          39.8;         141;2021;5;ALL
Amesbury - Amesbury Middle;00070013;MATH;          32;22;           2;1;          30;20;          80;54;          35;24;         147;97;     485.1;          19.9;         140;2021;5;ALL
Amesbury - Amesbury Middle;00070013;SCI;          67;46;           8;6;          59;41;          60;41;          18;12;         145;96;     497.8;;;2021;5;ALL
Amherst - Crocker Farm Elementary;00080009;ELA;          14;54;           4;15;          10;38;           8;31;           4;15;          26;60;     496.7;          38.2;          21;2021;5;ALL
Amherst - Crocker Farm Elementary;00080009;MATH;          13;45;           1;3;          12;41;          12;41;           4;14;          29;64;     496.1;          44.6;          23;2021;5;ALL
Amherst - Crocker Farm Elementary;00080009;SCI;          13;43;           1;3;          12;40;          10;33;           7;23;          30;65;     494.0;;;2021;5;ALL
Amherst - Fort River Elementary;00080020;ELA;           7;37;           0;0;           7;37;           9;47;           3;16;          19;54;     494.7;;          15;2021;5;ALL
Amherst - Fort River Elementary;00080020;MATH;           8;44;           0;0;           8;44;           4;22;           6;33;          18;51;     489.4;;          15;2021;5;ALL
Amherst - Fort River Elementary;00080020;SCI;           9;53;           1;6;           8;47;           5;29;           3;18;          17;49;     496.3;;;2021;5;ALL
Amherst - Wildwood Elementary;00080050;ELA;          20;51;           3;8;          17;44;          14;36;           5;13;          39;71;     501.2;          42.7;          36;2021;5;ALL
Amherst - Wildwood Elementary;00080050;MATH;          10;26;           0;0;          10;26;          17;45;          11;29;          38;69;     488.3;          30.0;          35;2021;5;ALL
Amherst - Wildwood Elementary;00080050;SCI;          18;47;           2;5;          16;42;          15;39;           5;13;          38;69;     501.6;;;2021;5;ALL
Andover - Bancroft Elementary;00090003;ELA;          62;65;          11;12;          51;54;          31;33;           2;2;          95;99;     506.3;          45.3;          93;2021;5;ALL
Andover - Bancroft Elementary;00090003;MATH;          51;54;           8;8;          43;45;          37;39;           7;7;          95;99;     501.6;          43.5;          94;2021;5;ALL
Andover - Bancroft Elementary;00090003;SCI;          65;68;          15;16;          50;53;          24;25;           6;6;          95;99;     509.6;;;2021;5;ALL
