School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;          55;46;           5;4;          50;42;          54;45;          11;9;         120;     496.4;          41.5;         120;34;2019;6;ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;          65;54;           8;7;          57;48;          53;44;           2;2;         120;     502.3;          56.7;         120;56;2019;6;ALL
Abington - Abington Middle School;00010405;ELA;          92;61;          15;10;          77;51;          51;34;           7;5;         150;     506.0;          51.4;         146;65;2019;6;ALL
Abington - Abington Middle School;00010405;MATH;          76;51;           8;5;          68;45;          66;44;           8;5;         150;     500.4;          44.8;         146;49;2019;6;ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;ELA;          36;46;           6;8;          30;38;          36;46;           7;9;          79;     497.5;          58.2;          76;38;2019;6;ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;MATH;          37;47;           7;9;          30;38;          36;46;           6;8;          79;     498.6;          57.2;          75;42;2019;6;ALL
Acton-Boxborough - Blanchard Memorial School;06000005;ELA;          50;77;          22;34;          28;43;          11;17;           4;6;          65;     518.7;          58.1;          63;94;2019;6;ALL
Acton-Boxborough - Blanchard Memorial School;06000005;MATH;          46;70;          20;30;          26;39;          14;21;           6;9;          66;     515.6;          59.5;          64;92;2019;6;ALL
Acton-Boxborough - C.T. Douglas Elementary School;06000020;ELA;          44;62;          10;14;          34;48;          23;32;           4;6;          71;     507.5;          49.7;          68;68;2019;6;ALL
Acton-Boxborough - C.T. Douglas Elementary School;06000020;MATH;          49;69;          15;21;          34;48;          18;25;           4;6;          71;     507.7;          56.4;          67;74;2019;6;ALL
Acton-Boxborough - Luther Conant School;06000030;ELA;          87;94;          54;58;          33;35;           5;5;           1;1;          93;     533.0;          78.1;          91;99;2019;6;ALL
Acton-Boxborough - Luther Conant School;06000030;MATH;          88;95;          54;58;          34;37;           4;4;           1;1;          93;     534.3;          74.0;          91;99;2019;6;ALL
Acton-Boxborough - McCarthy-Towne School;06000015;ELA;          46;63;          22;30;          24;33;          22;30;           5;7;          73;     510.8;          63.6;          66;79;2019;6;ALL
Acton-Boxborough - McCarthy-Towne School;06000015;MATH;          45;62;           9;12;          36;49;          25;34;           3;4;          73;     505.4;          65.8;          65;68;2019;6;ALL
Acton-Boxborough - Merriam School;06000010;ELA;          43;61;          12;17;          31;44;          26;37;           1;1;          70;     509.5;          49.0;          69;75;2019;6;ALL
Acton-Boxborough - Merriam School;06000010;MATH;          57;80;          11;15;          46;65;          14;20;           0;0;          71;     511.8;          61.6;          70;85;2019;6;ALL
Acton-Boxborough - Paul P Gates Elementary School;06000025;ELA;          43;90;          24;50;          19;40;           5;10;           0;0;          48;     529.4;          77.4;          46;99;2019;6;ALL
Acton-Boxborough - Paul P Gates Elementary School;06000025;MATH;          40;83;          23;48;          17;35;           7;15;           1;2;          48;     526.0;          64.7;          46;99;2019;6;ALL
Acushnet - Albert F Ford Middle School;00030305;ELA;          44;43;           6;6;          38;37;          46;45;          12;12;         102;     495.9;          40.9;          96;32;2019;6;ALL
Acushnet - Albert F Ford Middle School;00030305;MATH;          61;60;           5;5;          56;55;          35;34;           6;6;         102;     502.2;          60.3;          96;56;2019;6;ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;ELA;          90;85;          26;25;          64;60;          13;12;           3;3;         106;     518.2;          58.7;          91;93;2019;6;ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;MATH;          71;67;          14;13;          57;54;          32;30;           3;3;         106;     509.5;          40.3;          91;78;2019;6;ALL
Agawam - Roberta G. Doering School;00050303;ELA;         153;58;          16;6;         137;52;          92;35;          21;8;         266;     502.2;          56.7;         259;53;2019;6;ALL
Agawam - Roberta G. Doering School;00050303;MATH;         166;62;          28;11;         138;52;          82;31;          18;7;         266;     503.8;          53.5;         259;61;2019;6;ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;ELA;          23;48;           0;0;          23;48;          20;42;           5;10;          48;     495.8;          36.2;          45;32;2019;6;ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;MATH;          29;60;           1;2;          28;58;          19;40;           0;0;          48;     501.9;          53.8;          45;54;2019;6;ALL
Amesbury - Amesbury Middle;00070013;ELA;          70;49;           8;6;          62;43;          52;36;          21;15;         143;     496.3;          49.7;         138;33;2019;6;ALL
Amesbury - Amesbury Middle;00070013;MATH;          59;42;           6;4;          53;37;          65;46;          18;13;         142;     493.6;          47.0;         136;27;2019;6;ALL
Amherst - Crocker Farm Elementary;00080009;ELA;           6;20;           0;0;           6;20;          18;60;           6;20;          30;     487.7;          40.8;          29;14;2019;6;ALL
Amherst - Crocker Farm Elementary;00080009;MATH;          11;37;           1;3;          10;33;          13;43;           6;20;          30;     490.5;          55.3;          29;19;2019;6;ALL
