School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Acton-Boxborough - Raymond J Grey Junior High;06000405;SCI;          40;53;           6;8;          34;45;          29;39;           6;8;          75;     501.3;;;96;2019;ALL;students with disabilities
Acushnet - Acushnet Elementary School;00030025;ELA;           7;30;           0;0;           7;30;          13;57;           3;13;          23;     489.8;;           8;73;2019;ALL;students with disabilities
Acushnet - Acushnet Elementary School;00030025;MATH;           9;39;           2;9;           7;30;           6;26;           8;35;          23;     487.5;;           8;73;2019;ALL;students with disabilities
Acushnet - Albert F Ford Middle School;00030305;ELA;           3;5;           0;0;           3;5;          38;68;          15;27;          56;     478.6;          57.4;          46;32;2019;ALL;students with disabilities
Acushnet - Albert F Ford Middle School;00030305;MATH;           6;11;           0;0;           6;11;          33;59;          17;30;          56;     477.3;          36.9;          44;37;2019;ALL;students with disabilities
Acushnet - Albert F Ford Middle School;00030305;SCI;           4;17;           0;0;           4;17;          14;58;           6;25;          24;     482.5;;;52;2019;ALL;students with disabilities
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;ELA;           9;32;           1;4;           8;29;          16;57;           3;11;          28;     492.1;          64.4;          27;80;2019;ALL;students with disabilities
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;MATH;           9;32;           2;7;           7;25;          15;54;           4;14;          28;     491.7;          57.4;          25;85;2019;ALL;students with disabilities
Agawam - Agawam Junior High;00050405;ELA;           3;4;           0;0;           3;4;          35;44;          42;53;          80;     467.9;          36.9;          74;6;2019;ALL;students with disabilities
Agawam - Agawam Junior High;00050405;MATH;           6;7;           1;1;           5;6;          44;54;          31;38;          81;     476.5;          46.5;          74;34;2019;ALL;students with disabilities
Agawam - Agawam Junior High;00050405;SCI;           2;5;           1;3;           1;3;          20;50;          18;45;          40;     471.8;;;21;2019;ALL;students with disabilities
Agawam - Benjamin J Phelps;00050020;ELA;           1;5;           0;0;           1;5;          12;60;           7;35;          20;     476.3;;          10;24;2019;ALL;students with disabilities
Agawam - Benjamin J Phelps;00050020;MATH;           2;10;           0;0;           2;10;          14;70;           4;20;          20;     482.5;;          10;55;2019;ALL;students with disabilities
Agawam - Clifford M Granger;00050010;ELA;           2;8;           0;0;           2;8;          15;60;           8;32;          25;     482.5;;          19;47;2019;ALL;students with disabilities
Agawam - Clifford M Granger;00050010;MATH;           5;19;           1;4;           4;15;          15;58;           6;23;          26;     486.7;;          19;70;2019;ALL;students with disabilities
Agawam - James Clark School;00050030;ELA;           4;15;           0;0;           4;15;          10;38;          12;46;          26;     480.0;;          10;37;2019;ALL;students with disabilities
Agawam - James Clark School;00050030;MATH;           3;12;           1;4;           2;8;          10;38;          13;50;          26;     472.8;;          11;20;2019;ALL;students with disabilities
Agawam - Roberta G. Doering School;00050303;ELA;           7;7;           0;0;           7;7;          52;51;          43;42;         102;     476.1;          49.1;          97;23;2019;ALL;students with disabilities
Agawam - Roberta G. Doering School;00050303;MATH;          13;13;           1;1;          12;12;          58;57;          31;30;         102;     478.0;          42.6;          97;39;2019;ALL;students with disabilities
