School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;ELA;          59;50;          12;10;          47;40;          53;45;           6;5;         118;     502.7;          69.0;         116;61;2019;8;ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;MATH;          58;49;           4;3;          54;46;          52;44;           8;7;         118;     500.3;          64.2;         117;60;2019;8;ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School;04450105;SCI;          52;44;           3;3;          49;42;          60;51;           6;5;         118;     496.9;;;47;2019;8;ALL
Abington - Abington Middle School;00010405;ELA;          91;54;          16;10;          75;45;          60;36;          17;10;         168;     501.8;          47.8;         161;58;2019;8;ALL
Abington - Abington Middle School;00010405;MATH;          85;51;           8;5;          77;46;          69;41;          14;8;         168;     500.3;          49.0;         160;60;2019;8;ALL
Abington - Abington Middle School;00010405;SCI;          76;45;           7;4;          69;41;          74;44;          18;11;         168;     497.9;;;50;2019;8;ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;ELA;          33;46;           5;7;          28;39;          35;49;           4;6;          72;     498.9;          48.6;          64;51;2019;8;ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;MATH;          19;26;           1;1;          18;25;          45;63;           8;11;          72;     490.1;          37.2;          63;25;2019;8;ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School;04120530;SCI;          19;26;           0;0;          19;26;          47;65;           6;8;          72;     491.4;;;34;2019;8;ALL
Acton-Boxborough - Raymond J Grey Junior High;06000405;ELA;         385;80;         107;22;         278;58;          83;17;          13;3;         481;     514.0;          50.1;         471;90;2019;8;ALL
Acton-Boxborough - Raymond J Grey Junior High;06000405;MATH;         402;84;         164;34;         238;49;          66;14;          13;3;         481;     520.7;          52.7;         469;97;2019;8;ALL
Acton-Boxborough - Raymond J Grey Junior High;06000405;SCI;         389;81;         111;23;         278;58;          83;17;           7;1;         479;     516.0;;;96;2019;8;ALL
Acushnet - Albert F Ford Middle School;00030305;ELA;          55;50;           2;2;          53;49;          52;48;           2;2;         109;     498.5;          55.3;         108;47;2019;8;ALL
Acushnet - Albert F Ford Middle School;00030305;MATH;          57;52;           7;6;          50;46;          47;43;           5;5;         109;     501.5;          53.1;         107;63;2019;8;ALL
Acushnet - Albert F Ford Middle School;00030305;SCI;          47;43;           4;4;          43;39;          58;53;           4;4;         109;     498.0;;;50;2019;8;ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;ELA;         108;70;          27;18;          81;53;          44;29;           2;1;         154;     511.1;          53.9;         152;84;2019;8;ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;MATH;         105;68;          40;26;          65;42;          45;29;           4;3;         154;     512.8;          55.0;         150;89;2019;8;ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;SCI;         100;65;          22;14;          78;51;          47;31;           7;5;         154;     508.4;;;83;2019;8;ALL
Agawam - Agawam Junior High;00050405;ELA;         128;45;          12;4;         116;40;         122;43;          37;13;         287;     494.2;          46.8;         279;34;2019;8;ALL
Agawam - Agawam Junior High;00050405;MATH;         116;40;          18;6;          98;34;         145;51;          26;9;         287;     497.3;          38.6;         278;49;2019;8;ALL
Agawam - Agawam Junior High;00050405;SCI;         120;42;          12;4;         108;38;         140;49;          27;9;         287;     495.2;;;43;2019;8;ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;ELA;          17;44;           2;5;          15;38;          18;46;           4;10;          39;     494.3;          32.3;          39;35;2019;8;ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;MATH;          15;38;           3;8;          12;31;          21;54;           3;8;          39;     493.7;          37.7;          39;34;2019;8;ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;SCI;          11;28;           0;0;          11;28;          23;59;           5;13;          39;     490.1;;;30;2019;8;ALL
Amesbury - Amesbury Middle;00070013;ELA;          90;59;          15;10;          75;49;          52;34;          11;7;         153;     501.5;          59.1;         151;58;2019;8;ALL
Amesbury - Amesbury Middle;00070013;MATH;          93;62;          24;16;          69;46;          49;33;           8;5;         150;     506.9;          71.7;         148;79;2019;8;ALL
Amesbury - Amesbury Middle;00070013;SCI;          86;57;          10;7;          76;51;          56;37;           8;5;         150;     503.0;;;69;2019;8;ALL
Amherst-Pelham - Amherst Regional Middle School;06050405;ELA;          96;55;          24;14;          72;41;          48;27;          32;18;         176;     499.0;          46.6;         170;49;2019;8;ALL
Amherst-Pelham - Amherst Regional Middle School;06050405;MATH;          75;43;          17;10;          58;33;          69;39;          31;18;         175;     495.2;          35.4;         169;41;2019;8;ALL
Amherst-Pelham - Amherst Regional Middle School;06050405;SCI;          92;53;          20;11;          72;41;          57;33;          25;14;         174;     500.3;;;59;2019;8;ALL
Andover - Andover West Middle;00090310;ELA;         127;72;          32;18;          95;54;          42;24;           7;4;         176;     511.9;          65.1;         173;86;2019;8;ALL
Andover - Andover West Middle;00090310;MATH;         118;67;          39;22;          79;45;          49;28;           8;5;         175;     511.1;          54.7;         172;87;2019;8;ALL
Andover - Andover West Middle;00090310;SCI;         131;74;          29;16;         102;58;          41;23;           4;2;         176;     511.4;;;90;2019;8;ALL
Andover - Doherty Middle;00090305;ELA;         142;73;          48;25;          94;48;          50;26;           2;1;         194;     513.0;          66.6;         191;88;2019;8;ALL
Andover - Doherty Middle;00090305;MATH;         111;58;          29;15;          82;43;          70;36;          11;6;         192;     506.2;          55.5;         189;77;2019;8;ALL
Andover - Doherty Middle;00090305;SCI;         137;71;          32;17;         105;55;          52;27;           3;2;         192;     510.6;;;89;2019;8;ALL
Andover - Wood Hill Middle School;00090350;ELA;          91;72;          22;17;          69;55;          30;24;           5;4;         126;     509.6;          63.3;         123;82;2019;8;ALL
Andover - Wood Hill Middle School;00090350;MATH;          89;71;          42;33;          47;37;          30;24;           7;6;         126;     515.2;          66.1;         123;92;2019;8;ALL
Andover - Wood Hill Middle School;00090350;SCI;          86;69;          25;20;          61;49;          34;27;           5;4;         125;     510.5;;;88;2019;8;ALL
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;ELA;          21;21;           0;0;          21;21;          52;53;          25;26;          98;     482.8;          35.5;          92;14;2019;8;ALL
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;MATH;          24;24;           1;1;          23;23;          57;58;          17;17;          98;     487.5;          48.5;          92;20;2019;8;ALL
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School;35090305;SCI;          13;13;           0;0;          13;13;          60;61;          25;26;          98;     482.7;;;17;2019;8;ALL
Arlington - Ottoson Middle;00100410;ELA;         312;77;         131;33;         181;45;          76;19;          15;4;         403;     516.8;          62.4;         393;94;2019;8;ALL
Arlington - Ottoson Middle;00100410;MATH;         306;76;          88;22;         218;54;          91;23;           7;2;         404;     513.7;          62.4;         394;90;2019;8;ALL
Arlington - Ottoson Middle;00100410;SCI;         298;74;         125;31;         173;43;          90;22;          14;3;         402;     516.7;;;96;2019;8;ALL
Ashburnham-Westminster - Overlook Middle School;06100305;ELA;         119;61;          17;9;         102;52;          67;34;          10;5;         196;     503.7;          52.8;         191;65;2019;8;ALL
Ashburnham-Westminster - Overlook Middle School;06100305;MATH;          98;50;          12;6;          86;44;          90;46;           8;4;         196;     501.2;          50.1;         191;62;2019;8;ALL
Ashburnham-Westminster - Overlook Middle School;06100305;SCI;         117;60;          20;10;          97;49;          72;37;           7;4;         196;     505.2;;;75;2019;8;ALL
Ashland - Ashland Middle;00140405;ELA;         145;81;          60;33;          85;47;          29;16;           6;3;         180;     518.8;          70.9;         177;96;2019;8;ALL
Ashland - Ashland Middle;00140405;MATH;         140;78;          55;31;          85;47;          32;18;           7;4;         179;     517.0;          65.2;         176;93;2019;8;ALL
Ashland - Ashland Middle;00140405;SCI;         124;69;          41;23;          83;46;          48;27;           7;4;         179;     511.8;;;91;2019;8;ALL
Athol-Royalston - Athol-Royalston Middle School;06150305;ELA;          31;36;           2;2;          29;34;          34;40;          20;24;          85;     490.4;          46.9;          82;24;2019;8;ALL
Athol-Royalston - Athol-Royalston Middle School;06150305;MATH;          34;40;           4;5;          30;35;          44;51;           8;9;          86;     496.2;          59.8;          83;44;2019;8;ALL
