School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;year;grade;student_group
Cambridge - Amigos School;00490006;ELA;          14;74;           2;11;          12;63;           3;16;           2;11;          19;83;     506.3;;          13;2021;ALL;multi-race
Cambridge - Amigos School;00490006;MATH;           9;47;           1;5;           8;42;           8;42;           2;11;          19;83;     496.5;;          13;2021;ALL;multi-race
Cambridge - Cambridge Street Upper School;00490305;ELA;           8;50;           2;13;           6;38;           6;38;           2;13;          16;52;     499.1;;          15;2021;ALL;multi-race
Cambridge - Cambridge Street Upper School;00490305;MATH;           4;25;           1;6;           3;19;           8;50;           4;25;          16;52;     482.6;;          15;2021;ALL;multi-race
Cambridge - Cambridgeport;00490007;ELA;           7;58;           4;33;           3;25;           5;42;           0;0;          12;71;     510.3;;           2;2021;ALL;multi-race
Cambridge - Cambridgeport;00490007;MATH;           4;33;           1;8;           3;25;           7;58;           1;8;          12;71;     495.3;;           2;2021;ALL;multi-race
Cambridge - Graham and Parks;00490080;ELA;           9;75;           1;8;           8;67;           3;25;           0;0;          12;92;     508.2;;           2;2021;ALL;multi-race
Cambridge - Graham and Parks;00490080;MATH;           8;67;           1;8;           7;58;           4;33;           0;0;          12;92;     504.2;;           2;2021;ALL;multi-race
Cambridge - John M Tobin;00490065;ELA;          11;100;           7;64;           4;36;           0;0;           0;0;          11;92;     529.8;;           3;2021;ALL;multi-race
Cambridge - John M Tobin;00490065;MATH;          10;91;           4;36;           6;55;           1;9;           0;0;          11;92;     521.9;;           3;2021;ALL;multi-race
Cambridge - King Open;00490035;ELA;          10;77;           2;15;           8;62;           1;8;           2;15;          13;81;     508.7;;           2;2021;ALL;multi-race
Cambridge - King Open;00490035;MATH;           6;46;           1;8;           5;38;           4;31;           3;23;          13;81;     497.2;;           2;2021;ALL;multi-race
Cambridge - Maria L. Baldwin;00490005;ELA;           9;60;           2;13;           7;47;           5;33;           1;7;          15;100;     502.9;;           4;2021;ALL;multi-race
Cambridge - Maria L. Baldwin;00490005;MATH;           9;60;           2;13;           7;47;           5;33;           1;7;          15;100;     503.9;;           4;2021;ALL;multi-race
Cambridge - Martin Luther King Jr.;00490030;ELA;          17;77;           9;41;           8;36;           4;18;           1;5;          22;81;     519.5;;           5;2021;ALL;multi-race
Cambridge - Martin Luther King Jr.;00490030;MATH;          17;74;           9;39;           8;35;           5;22;           1;4;          23;85;     519.1;;           6;2021;ALL;multi-race
Cambridge - Morse;00490045;ELA;           9;82;           1;9;           8;73;           0;0;           2;18;          11;100;     503.5;;           2;2021;ALL;multi-race
