School Name;School Code;Subject;M+E #;M+E %;E #;E %;M #;M %;PM #;PM %;NM #;NM %;No. of Students Included;Part. Rate %;Avg. Scaled Score;SGP;Included In SGP;Ach. PCTL;year;grade;student_group
Acushnet - Albert F Ford Middle School;00030305;SCI;          19;32;           1;2;          18;30;          31;52;          10;17;          60;100;     491.0;;;67;2022;ALL;low-income
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;ELA;          25;42;           3;5;          22;37;          30;50;           5;8;          60;94;     496.2;          49.2;          49;89;2022;ALL;low-income
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;MATH;          26;43;           6;10;          20;33;          27;45;           7;12;          60;94;     496.6;          51.6;          52;91;2022;ALL;low-income
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School;04300305;SCI;          12;57;           1;5;          11;52;           9;43;           0;0;          21;100;     503.6;;;97;2022;ALL;low-income
Agawam - Agawam Junior High;00050405;ELA;          48;21;           2;1;          46;20;         123;54;          55;24;         226;91;     484.3;          41.4;         185;32;2022;ALL;low-income
Agawam - Agawam Junior High;00050405;MATH;          43;19;           1;0;          42;19;         134;60;          45;20;         222;88;     484.7;          39.3;         182;44;2022;ALL;low-income
Agawam - Agawam Junior High;00050405;SCI;          41;36;           2;2;          39;34;          47;41;          26;23;         114;89;     489.1;;;59;2022;ALL;low-income
Agawam - Benjamin J Phelps;00050020;ELA;          24;41;           3;5;          21;36;          28;48;           6;10;          58;100;     496.0;          52.7;          31;87;2022;ALL;low-income
Agawam - Benjamin J Phelps;00050020;MATH;          22;38;           1;2;          21;36;          33;57;           3;5;          58;100;     496.8;          59.9;          31;91;2022;ALL;low-income
Agawam - Clifford M Granger;00050010;ELA;           7;16;           0;0;           7;16;          28;64;           9;20;          44;100;     482.3;          36.2;          20;23;2022;ALL;low-income
Agawam - Clifford M Granger;00050010;MATH;          12;28;           0;0;          12;28;          23;53;           8;19;          43;100;     487.0;;          19;55;2022;ALL;low-income
Agawam - James Clark School;00050030;ELA;          13;25;           1;2;          12;24;          30;59;           8;16;          51;98;     487.7;          37.7;          23;48;2022;ALL;low-income
Agawam - James Clark School;00050030;MATH;          12;24;           2;4;          10;20;          28;55;          11;22;          51;98;     487.6;          39.8;          23;57;2022;ALL;low-income
Agawam - Roberta G. Doering School;00050303;ELA;          50;22;           4;2;          46;20;         128;56;          51;22;         229;98;     485.9;          41.0;         204;40;2022;ALL;low-income
Agawam - Roberta G. Doering School;00050303;MATH;          49;21;           3;1;          46;20;         138;61;          41;18;         228;98;     486.1;          44.5;         202;50;2022;ALL;low-income
Agawam - Roberta G. Doering School;00050303;SCI;          37;31;           4;3;          33;28;          66;56;          15;13;         118;97;     491.1;;;68;2022;ALL;low-income
Agawam - Robinson Park;00050025;ELA;          17;26;           1;2;          16;24;          37;56;          12;18;          66;100;     488.1;          49.7;          24;51;2022;ALL;low-income
Agawam - Robinson Park;00050025;MATH;          12;18;           0;0;          12;18;          37;56;          17;26;          66;100;     482.1;          32.3;          24;32;2022;ALL;low-income
Alma del Mar Charter School (District) - Alma del Mar Charter School;04090205;ELA;         132;27;          15;3;         117;24;         254;52;         104;21;         490;97;     487.5;          46.4;         400;50;2022;ALL;low-income
