school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Acushnet - Acushnet Elementary School,00030025,ELA,          65,58,          10,9,          55,49,          44,39,           3,3,         112,100,     505.0,          68.7,          46,90,2022,ALL,male
Acushnet - Acushnet Elementary School,00030025,MATH,          75,67,          14,13,          61,54,          31,28,           6,5,         112,100,     510.6,          76.7,          46,91,2022,ALL,male
Acushnet - Albert F Ford Middle School,00030305,ELA,          78,39,           4,2,          74,37,          91,45,          32,16,         201,100,     492.4,          39.7,         185,51,2022,ALL,male
Acushnet - Albert F Ford Middle School,00030305,MATH,          91,46,           8,4,          83,42,          92,46,          17,9,         200,100,     498.7,          46.2,         182,62,2022,ALL,male
Acushnet - Albert F Ford Middle School,00030305,SCI,          43,45,           2,2,          41,43,          41,43,          11,12,          95,100,     495.7,,,48,2022,ALL,male
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,ELA,         144,63,          22,10,         122,53,          75,33,          10,4,         229,99,     504.8,          51.9,         205,90,2022,ALL,male
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,MATH,         165,72,          43,19,         122,54,          60,26,           3,1,         228,99,     512.0,          57.7,         207,92,2022,ALL,male
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,SCI,          52,81,          11,17,          41,64,          12,19,           0,0,          64,100,     515.1,,,95,2022,ALL,male
Agawam - Agawam Junior High,00050405,ELA,          69,24,           1,0,          68,24,         163,57,          52,18,         284,96,     486.6,          41.2,         243,30,2022,ALL,male
Agawam - Agawam Junior High,00050405,MATH,          92,33,           9,3,          83,30,         152,54,          36,13,         280,94,     492.1,          39.6,         240,42,2022,ALL,male
Agawam - Agawam Junior High,00050405,SCI,          63,47,           9,7,          54,40,          55,41,          16,12,         134,95,     497.1,,,53,2022,ALL,male
Agawam - Benjamin J Phelps,00050020,ELA,          31,48,           6,9,          25,39,          30,47,           3,5,          64,100,     501.9,          58.8,          30,83,2022,ALL,male
Agawam - Benjamin J Phelps,00050020,MATH,          36,56,           6,9,          30,47,          26,41,           2,3,          64,100,     505.1,          58.4,          30,80,2022,ALL,male
Agawam - Clifford M Granger,00050010,ELA,          15,29,           1,2,          14,27,          27,53,           9,18,          51,94,     488.9,          40.3,          21,37,2022,ALL,male
Agawam - Clifford M Granger,00050010,MATH,          25,50,           1,2,          24,48,          21,42,           4,8,          50,94,     496.4,          53.5,          20,56,2022,ALL,male
Agawam - James Clark School,00050030,ELA,          24,41,           1,2,          23,40,          27,47,           7,12,          58,98,     494.0,          44.5,          25,57,2022,ALL,male
Agawam - James Clark School,00050030,MATH,          25,43,           8,14,          17,29,          26,45,           7,12,          58,98,     498.0,          49.4,          25,60,2022,ALL,male
Agawam - Roberta G. Doering School,00050303,ELA,          89,35,           6,2,          83,33,         117,46,          46,18,         252,100,     490.0,          44.4,         222,41,2022,ALL,male
Agawam - Roberta G. Doering School,00050303,MATH,          92,37,           8,3,          84,34,         122,49,          35,14,         249,98,     493.2,          45.5,         219,46,2022,ALL,male
Agawam - Roberta G. Doering School,00050303,SCI,          60,48,           5,4,          55,44,          49,39,          16,13,         125,97,     497.9,,,56,2022,ALL,male
Agawam - Robinson Park,00050025,ELA,          19,30,           0,0,          19,30,          34,54,          10,16,          63,100,     490.1,          49.7,          25,42,2022,ALL,male
Agawam - Robinson Park,00050025,MATH,          21,33,           2,3,          19,30,          26,41,          16,25,          63,100,     487.3,          36.8,          25,29,2022,ALL,male
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,ELA,          76,27,           6,2,          70,24,         145,51,          65,23,         286,97,     485.9,          45.3,         235,30,2022,ALL,male
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,MATH,          73,25,           2,1,          71,25,         155,54,          59,21,         287,99,     486.2,          39.8,         236,27,2022,ALL,male
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,SCI,          13,22,           1,2,          12,20,          33,56,          13,22,          59,98,     485.6,,,24,2022,ALL,male
Amesbury - Amesbury Elementary,00070005,ELA,          25,45,           2,4,          23,41,          26,46,           5,9,          56,100,     496.4,          34.4,          29,66,2022,ALL,male
Amesbury - Amesbury Elementary,00070005,MATH,          37,66,           6,11,          31,55,          15,27,           4,7,          56,100,     504.9,          50.8,          28,80,2022,ALL,male
Amesbury - Amesbury Middle,00070013,ELA,         108,32,           9,3,          99,29,         158,46,          76,22,         342,99,     489.4,          39.7,         318,39,2022,ALL,male
Amesbury - Amesbury Middle,00070013,MATH,         131,39,          17,5,         114,34,         154,45,          54,16,         339,99,     494.0,          49.6,         313,48,2022,ALL,male
Amesbury - Amesbury Middle,00070013,SCI,          76,46,          14,9,          62,38,          61,37,          27,16,         164,96,     496.4,,,51,2022,ALL,male
Amesbury - Charles C Cashman Elementary,00070010,ELA,          26,37,           2,3,          24,34,          39,55,           6,8,          71,99,     494.8,          48.7,          37,59,2022,ALL,male
Amesbury - Charles C Cashman Elementary,00070010,MATH,          31,44,           2,3,          29,41,          25,35,          15,21,          71,100,     494.3,          46.4,          36,50,2022,ALL,male
Amherst - Crocker Farm Elementary,00080009,ELA,          36,41,           4,5,          32,37,          30,34,          21,24,          87,98,     492.6,          54.3,          37,52,2022,ALL,male
Amherst - Crocker Farm Elementary,00080009,MATH,          43,51,           7,8,          36,43,          31,37,          10,12,          84,95,     497.5,          53.3,          38,59,2022,ALL,male
Amherst - Crocker Farm Elementary,00080009,SCI,          16,59,           3,11,          13,48,           8,30,           3,11,          27,100,     501.0,,,64,2022,ALL,male
Amherst - Fort River Elementary,00080020,ELA,          38,44,           3,3,          35,41,          34,40,          14,16,          86,91,     495.3,          40.9,          37,62,2022,ALL,male
Amherst - Fort River Elementary,00080020,MATH,          39,47,           7,8,          32,39,          25,30,          19,23,          83,88,     494.5,          50.0,          34,50,2022,ALL,male
Amherst - Fort River Elementary,00080020,SCI,          10,40,           3,12,           7,28,           7,28,           8,32,          25,87,     490.2,,,34,2022,ALL,male
Amherst - Wildwood Elementary,00080050,ELA,          42,47,           5,6,          37,41,          30,33,          18,20,          90,93,     494.9,          48.3,          37,60,2022,ALL,male
Amherst - Wildwood Elementary,00080050,MATH,          40,43,           5,5,          35,38,          28,30,          24,26,          92,95,     493.5,          62.5,          38,47,2022,ALL,male
Amherst - Wildwood Elementary,00080050,SCI,           7,39,           2,11,           5,28,           6,33,           5,28,          18,90,     490.2,,,34,2022,ALL,male
Amherst-Pelham - Amherst Regional Middle School,06050405,ELA,          72,44,           8,5,          64,39,          62,38,          30,18,         164,79,     493.4,          48.7,          75,55,2022,ALL,male
Amherst-Pelham - Amherst Regional Middle School,06050405,MATH,          71,40,          20,11,          51,29,          69,39,          37,21,         177,86,     493.9,          48.6,          75,48,2022,ALL,male
Amherst-Pelham - Amherst Regional Middle School,06050405,SCI,          42,47,           4,4,          38,43,          25,28,          22,25,          89,89,     492.1,,,38,2022,ALL,male
