school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Agawam - Agawam Junior High,00050405,MATH,          14,35,           1,3,          13,33,          14,35,          12,30,          40,72,     485.2,          27.3,          35,2021,ALL,hispanic/latino
Agawam - Benjamin J Phelps,00050020,ELA,           3,27,           0,0,           3,27,           6,55,           2,18,          11,92,     490.5,,,2021,ALL,hispanic/latino
Agawam - Benjamin J Phelps,00050020,MATH,           2,18,           0,0,           2,18,           5,45,           4,36,          11,92,     475.4,,,2021,ALL,hispanic/latino
Agawam - Clifford M Granger,00050010,MATH,           2,20,           0,0,           2,20,           4,40,           4,40,          10,100,     482.1,,,2021,ALL,hispanic/latino
Agawam - James Clark School,00050030,ELA,           5,45,           1,9,           4,36,           5,45,           1,9,          11,100,     500.9,,,2021,ALL,hispanic/latino
Agawam - James Clark School,00050030,MATH,           2,18,           0,0,           2,18,           4,36,           5,45,          11,100,     479.6,,,2021,ALL,hispanic/latino
Agawam - Roberta G. Doering School,00050303,ELA,          15,31,           1,2,          14,29,          22,46,          11,23,          48,85,     487.5,          28.2,          44,2021,ALL,hispanic/latino
Agawam - Roberta G. Doering School,00050303,MATH,          15,31,           0,0,          15,31,          25,52,           8,17,          48,85,     487.5,          32.8,          44,2021,ALL,hispanic/latino
Agawam - Roberta G. Doering School,00050303,SCI,           9,43,           0,0,           9,43,          10,48,           2,10,          21,89,     496.0,,,2021,ALL,hispanic/latino
Agawam - Robinson Park,00050025,ELA,           3,25,           0,0,           3,25,           7,58,           2,17,          12,88,     488.9,,,2021,ALL,hispanic/latino
Agawam - Robinson Park,00050025,MATH,           2,17,           0,0,           2,17,           5,42,           5,42,          12,88,     473.2,,,2021,ALL,hispanic/latino
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,ELA,         123,43,          13,4,         110,38,         123,43,          43,15,         289,99,     494.1,          33.9,         185,2021,ALL,hispanic/latino
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,MATH,          58,20,           3,1,          55,19,         158,55,          73,25,         289,99,     481.9,          15.1,         185,2021,ALL,hispanic/latino
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,SCI,           8,16,           0,0,           8,16,          28,57,          13,27,          49,100,     481.7,,,2021,ALL,hispanic/latino
Amesbury - Amesbury Middle,00070013,ELA,          16,29,           1,2,          15,27,          24,44,          15,27,          55,92,     487.4,          33.2,          53,2021,ALL,hispanic/latino
Amesbury - Amesbury Middle,00070013,MATH,          11,21,           0,0,          11,21,          28,53,          14,26,          53,88,     483.2,          32.4,          50,2021,ALL,hispanic/latino
Amesbury - Amesbury Middle,00070013,SCI,           8,38,           2,10,           6,29,           8,38,           5,24,          21,91,     492.1,,,2021,ALL,hispanic/latino
Amesbury - Charles C Cashman Elementary,00070010,ELA,          13,62,           1,5,          12,57,           7,33,           1,5,          21,100,     505.6,,,2021,ALL,hispanic/latino
Amesbury - Charles C Cashman Elementary,00070010,MATH,           8,38,           1,5,           7,33,          10,48,           3,14,          21,100,     496.1,,,2021,ALL,hispanic/latino
Amherst - Crocker Farm Elementary,00080009,ELA,           3,17,           0,0,           3,17,           7,39,           8,44,          18,60,     478.8,,          10,2021,ALL,hispanic/latino
Amherst - Crocker Farm Elementary,00080009,MATH,           3,17,           0,0,           3,17,           8,44,           7,39,          18,57,     478.7,,          10,2021,ALL,hispanic/latino
Amherst - Fort River Elementary,00080020,ELA,           6,23,           1,4,           5,19,          15,58,           5,19,          26,63,     485.5,,           8,2021,ALL,hispanic/latino
Amherst - Fort River Elementary,00080020,MATH,           4,17,           1,4,           3,13,           6,25,          14,58,          24,57,     471.0,,           7,2021,ALL,hispanic/latino
Amherst - Wildwood Elementary,00080050,ELA,          10,50,           1,5,           9,45,           7,35,           3,15,          20,48,     497.7,,          13,2021,ALL,hispanic/latino
Amherst - Wildwood Elementary,00080050,MATH,           5,26,           0,0,           5,26,           6,32,           8,42,          19,45,     480.1,,          12,2021,ALL,hispanic/latino
Amherst-Pelham - Amherst Regional Middle School,06050405,ELA,           4,33,           1,8,           3,25,           4,33,           4,33,          12,14,     489.2,,          10,2021,ALL,hispanic/latino
Amherst-Pelham - Amherst Regional Middle School,06050405,MATH,           3,23,           1,8,           2,15,           5,38,           5,38,          13,16,     484.6,,          10,2021,ALL,hispanic/latino
Andover - Andover West Middle,00090310,ELA,          16,39,           1,2,          15,37,          16,39,           9,22,          41,98,     491.3,          28.6,          34,2021,ALL,hispanic/latino
Andover - Andover West Middle,00090310,MATH,          15,36,           1,2,          14,33,          18,43,           9,21,          42,100,     490.0,          39.2,          35,2021,ALL,hispanic/latino
Andover - Andover West Middle,00090310,SCI,           5,45,           1,9,           4,36,           5,45,           1,9,          11,100,     496.8,,,2021,ALL,hispanic/latino
