school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Andover - Andover West Middle,00090310,ELA,           9,64,           1,7,           8,57,           3,21,           2,14,          14,     510.8,,          12,98,2019,ALL,afr.american/black
Andover - Andover West Middle,00090310,MATH,           8,57,           0,0,           8,57,           3,21,           3,21,          14,     500.8,,          12,93,2019,ALL,afr.american/black
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,ELA,           8,28,           0,0,           8,28,          12,41,           9,31,          29,     483.6,          42.5,          23,11,2019,ALL,afr.american/black
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,MATH,          10,34,           0,0,          10,34,          11,38,           8,28,          29,     487.5,          46.4,          23,38,2019,ALL,afr.american/black
Arlington - Gibbs School,00100305,ELA,           7,54,           2,15,           5,38,           3,23,           3,23,          13,     498.4,,          12,73,2019,ALL,afr.american/black
Arlington - Gibbs School,00100305,MATH,           5,38,           1,8,           4,31,           6,46,           2,15,          13,     495.6,,          12,79,2019,ALL,afr.american/black
Arlington - Hardy,00100030,ELA,           8,50,           0,0,           8,50,           7,44,           1,6,          16,     496.8,,          11,67,2019,ALL,afr.american/black
Arlington - Hardy,00100030,MATH,           6,38,           0,0,           6,38,           8,50,           2,13,          16,     489.6,,          11,51,2019,ALL,afr.american/black
Arlington - Ottoson Middle,00100410,ELA,           7,25,           1,4,           6,21,          14,50,           7,25,          28,     487.2,          40.9,          27,21,2019,ALL,afr.american/black
Arlington - Ottoson Middle,00100410,MATH,           8,29,           1,4,           7,25,          15,54,           5,18,          28,     488.9,          52.4,          27,48,2019,ALL,afr.american/black
Arlington - Ottoson Middle,00100410,SCI,           3,17,           1,6,           2,11,          11,61,           4,22,          18,     484.3,,,43,2019,ALL,afr.american/black
Arlington - Thompson,00100050,ELA,           3,23,           0,0,           3,23,           7,54,           3,23,          13,     482.5,,           7,11,2019,ALL,afr.american/black
Arlington - Thompson,00100050,MATH,           2,14,           0,0,           2,14,           9,64,           3,21,          14,     478.9,,           8,10,2019,ALL,afr.american/black
Ashland - Ashland Middle,00140405,ELA,           8,62,           3,23,           5,38,           4,31,           1,8,          13,     509.0,,          13,97,2019,ALL,afr.american/black
Ashland - Ashland Middle,00140405,MATH,           9,69,           3,23,           6,46,           3,23,           1,8,          13,     508.4,,          13,98,2019,ALL,afr.american/black
Ashland - David Mindess,00140015,ELA,           6,55,           1,9,           5,45,           4,36,           1,9,          11,     502.1,,           8,86,2019,ALL,afr.american/black
Ashland - David Mindess,00140015,MATH,           5,45,           1,9,           4,36,           4,36,           2,18,          11,     490.6,,           8,56,2019,ALL,afr.american/black
Atlantis Charter (District) - Atlantis Charter School,04910550,ELA,          15,50,           0,0,          15,50,          12,40,           3,10,          30,     498.9,          44.5,          24,76,2019,ALL,afr.american/black
Atlantis Charter (District) - Atlantis Charter School,04910550,MATH,          11,37,           0,0,          11,37,          15,50,           4,13,          30,     490.7,          33.8,          24,57,2019,ALL,afr.american/black
Atlantis Charter (District) - Atlantis Charter School,04910550,SCI,           3,27,           0,0,           3,27,           8,73,           0,0,          11,     491.9,,,75,2019,ALL,afr.american/black
Attleboro - Cyril K. Brennan Middle School,00160315,ELA,           9,30,           2,7,           7,23,          17,57,           4,13,          30,     494.3,          55.0,          29,54,2019,ALL,afr.american/black
Attleboro - Cyril K. Brennan Middle School,00160315,MATH,           5,17,           0,0,           5,17,          19,63,           6,20,          30,     485.2,          46.4,          29,31,2019,ALL,afr.american/black
Attleboro - Cyril K. Brennan Middle School,00160315,SCI,           1,8,           0,0,           1,8,           9,75,           2,17,          12,     487.5,,,59,2019,ALL,afr.american/black
Attleboro - Hill-Roberts Elementary School,00160045,ELA,           6,60,           1,10,           5,50,           3,30,           1,10,          10,     502.8,,           4,88,2019,ALL,afr.american/black
Attleboro - Hill-Roberts Elementary School,00160045,MATH,           5,50,           0,0,           5,50,           4,40,           1,10,          10,     493.3,,           4,68,2019,ALL,afr.american/black
Attleboro - Peter Thacher Elementary School,00160050,ELA,           8,57,           1,7,           7,50,           5,36,           1,7,          14,     504.2,,           5,91,2019,ALL,afr.american/black
Attleboro - Peter Thacher Elementary School,00160050,MATH,           8,57,           1,7,           7,50,           5,36,           1,7,          14,     501.0,,           5,93,2019,ALL,afr.american/black
Attleboro - Robert J. Coelho Middle School,00160305,ELA,          16,43,           0,0,          16,43,          18,49,           3,8,          37,     495.6,          50.8,          35,61,2019,ALL,afr.american/black
Attleboro - Robert J. Coelho Middle School,00160305,MATH,          10,28,           0,0,          10,28,          24,67,           2,6,          36,     490.8,          55.6,          34,58,2019,ALL,afr.american/black
Attleboro - Robert J. Coelho Middle School,00160305,SCI,           9,47,           0,0,           9,47,           7,37,           3,16,          19,     493.3,,,80,2019,ALL,afr.american/black
Attleboro - Thomas Willett Elementary School,00160035,ELA,          11,69,           3,19,           8,50,           5,31,           0,0,          16,     510.8,,           7,98,2019,ALL,afr.american/black
Attleboro - Thomas Willett Elementary School,00160035,MATH,           7,44,           1,6,           6,38,           8,50,           1,6,          16,     497.6,,           7,86,2019,ALL,afr.american/black
Attleboro - Wamsutta Middle School,00160320,ELA,          13,52,           1,4,          12,48,          11,44,           1,4,          25,     500.2,          49.0,          23,81,2019,ALL,afr.american/black
Attleboro - Wamsutta Middle School,00160320,MATH,          12,48,           1,4,          11,44,          11,44,           2,8,          25,     496.9,          54.4,          23,84,2019,ALL,afr.american/black
Attleboro - Wamsutta Middle School,00160320,SCI,           6,55,           0,0,           6,55,           4,36,           1,9,          11,     502.5,,,95,2019,ALL,afr.american/black
Auburn - Swanson Road Intermediate School,00170030,ELA,           9,64,           1,7,           8,57,           5,36,           0,0,          14,     506.6,,          11,95,2019,ALL,afr.american/black
Auburn - Swanson Road Intermediate School,00170030,MATH,           8,57,           1,7,           7,50,           6,43,           0,0,          14,     506.6,,          11,96,2019,ALL,afr.american/black
Avon - Avon Middle High School,00180510,ELA,          13,37,           0,0,          13,37,          18,51,           4,11,          35,     492.7,          44.7,          32,46,2019,ALL,afr.american/black
Avon - Avon Middle High School,00180510,MATH,          14,40,           4,11,          10,29,          19,54,           2,6,          35,     497.8,          49.9,          32,86,2019,ALL,afr.american/black
Avon - Avon Middle High School,00180510,SCI,           4,22,           0,0,           4,22,          11,61,           3,17,          18,     483.0,,,37,2019,ALL,afr.american/black
Avon - Ralph D Butler,00180010,ELA,          23,39,           2,3,          21,36,          25,42,          11,19,          59,     496.0,          42.3,          41,62,2019,ALL,afr.american/black
Avon - Ralph D Butler,00180010,MATH,          18,31,           0,0,          18,31,          29,50,          11,19,          58,     489.8,          56.1,          40,51,2019,ALL,afr.american/black
Avon - Ralph D Butler,00180010,SCI,           6,43,           0,0,           6,43,           4,29,           4,29,          14,     489.5,,,65,2019,ALL,afr.american/black
Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,ELA,           7,50,           0,0,           7,50,           3,21,           4,29,          14,     491.6,,          13,41,2019,ALL,afr.american/black
Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,MATH,           4,29,           1,7,           3,21,           7,50,           3,21,          14,     490.8,,          13,58,2019,ALL,afr.american/black
Ayer Shirley School District - Page Hilltop Elementary School,06160002,ELA,           3,23,           2,15,           1,8,          10,77,           0,0,          13,     502.9,,           8,88,2019,ALL,afr.american/black
Ayer Shirley School District - Page Hilltop Elementary School,06160002,MATH,           4,31,           0,0,           4,31,           9,69,           0,0,          13,     497.2,,           8,85,2019,ALL,afr.american/black
Barnstable - Barnstable High,00200505,ELA,           9,38,           0,0,           9,38,           7,29,           8,33,          24,     487.8,          56.2,          22,24,2019,ALL,afr.american/black
Barnstable - Barnstable High,00200505,MATH,           6,27,           0,0,           6,27,          10,45,           6,27,          22,     489.2,          55.0,          20,49,2019,ALL,afr.american/black
Barnstable - Barnstable High,00200505,SCI,           3,13,           1,4,           2,8,          14,58,           7,29,          24,     483.5,,,39,2019,ALL,afr.american/black
Barnstable - Barnstable Intermediate School,00200315,ELA,          17,31,           0,0,          17,31,          22,40,          16,29,          55,     489.4,          54.9,          46,33,2019,ALL,afr.american/black
Barnstable - Barnstable Intermediate School,00200315,MATH,          10,18,           0,0,          10,18,          32,58,          13,24,          55,     485.3,          46.1,          47,32,2019,ALL,afr.american/black
Barnstable - Barnstable United Elementary School,00200050,ELA,           9,17,           1,2,           8,15,          35,66,           9,17,          53,     486.9,          33.8,          47,20,2019,ALL,afr.american/black
Barnstable - Barnstable United Elementary School,00200050,MATH,           8,15,           0,0,           8,15,          30,57,          15,28,          53,     482.1,          26.5,          47,18,2019,ALL,afr.american/black
Barnstable - Barnstable United Elementary School,00200050,SCI,           3,13,           0,0,           3,13,          16,70,           4,17,          23,     485.7,,,50,2019,ALL,afr.american/black
Barnstable - Hyannis West Elementary,00200025,ELA,           2,17,           0,0,           2,17,           8,67,           2,17,          12,     490.3,,,36,2019,ALL,afr.american/black
