school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year
Attleboro - Thomas Willett Elementary School,00160035,MATH,          88,50,           8,5,          80,45,          71,40,          18,10,         177,,     498.6,          48.2,          89,46,2019
Attleboro - Wamsutta Middle School,00160320,ELA,         291,53,          49,9,         242,44,         210,38,          52,9,         553,,     500.5,          45.6,         539,43,2019
Attleboro - Wamsutta Middle School,00160320,MATH,         295,53,          34,6,         261,47,         208,37,          52,9,         555,,     499.9,          54.7,         541,51,2019
Attleboro - Wamsutta Middle School,00160320,SCI,         145,52,          20,7,         125,45,         111,40,          24,9,         280,,     499.8,,,49,2019
Auburn - Auburn Middle,00170305,ELA,         386,63,          81,13,         305,50,         192,31,          34,6,         612,,     506.4,          55.8,         590,66,2019
Auburn - Auburn Middle,00170305,MATH,         337,55,          64,10,         273,45,         237,39,          38,6,         612,,     502.3,          50.2,         591,61,2019
Auburn - Auburn Middle,00170305,SCI,         125,57,          34,16,          91,42,          86,39,           7,3,         218,,     505.9,,,72,2019
Auburn - Swanson Road Intermediate School,00170030,ELA,         393,66,          57,10,         336,56,         181,30,          26,4,         600,,     507.5,          47.7,         397,70,2019
Auburn - Swanson Road Intermediate School,00170030,MATH,         352,59,          48,8,         304,51,         215,36,          34,6,         601,,     503.8,          53.6,         397,67,2019
Auburn - Swanson Road Intermediate School,00170030,SCI,         124,61,          28,14,          96,47,          70,34,           9,4,         203,,     506.4,,,73,2019
Avon - Avon Middle High School,00180510,ELA,          63,53,           9,8,          54,46,          44,37,          11,9,         118,,     501.0,          48.8,         115,44,2019
Avon - Avon Middle High School,00180510,MATH,          61,52,           9,8,          52,44,          53,45,           4,3,         118,,     501.3,          51.2,         115,56,2019
Avon - Avon Middle High School,00180510,SCI,          30,48,           2,3,          28,45,          26,42,           6,10,          62,,     496.7,,,39,2019
Avon - Ralph D Butler,00180010,ELA,         121,52,          14,6,         107,46,          91,39,          19,8,         231,,     501.5,          44.4,         166,46,2019
Avon - Ralph D Butler,00180010,MATH,         105,46,           8,3,          97,42,          98,43,          27,12,         230,,     496.1,          56.9,         165,36,2019
Avon - Ralph D Butler,00180010,SCI,          30,55,           7,13,          23,42,          21,38,           4,7,          55,,     503.2,,,62,2019
Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,ELA,         197,49,          27,7,         170,42,         163,41,          41,10,         401,,     498.6,          50.6,         391,35,2019
Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,MATH,         188,47,          29,7,         159,40,         185,46,          29,7,         402,,     498.6,          53.6,         389,46,2019
Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,SCI,          81,61,          18,14,          63,47,          44,33,           8,6,         133,,     505.8,,,72,2019
Ayer Shirley School District - Lura A. White Elementary School,06160001,ELA,          79,48,           7,4,          72,43,          78,47,           9,5,         166,,     500.1,          39.3,         108,40,2019
Ayer Shirley School District - Lura A. White Elementary School,06160001,MATH,          88,53,          12,7,          76,46,          62,38,          15,9,         165,,     500.5,          49.9,         107,54,2019
Ayer Shirley School District - Lura A. White Elementary School,06160001,SCI,          27,54,           2,4,          25,50,          20,40,           3,6,          50,,     503.1,,,62,2019
Ayer Shirley School District - Page Hilltop Elementary School,06160002,ELA,         139,57,          24,10,         115,47,          98,40,           8,3,         245,,     504.3,          53.0,         167,58,2019
