school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,         346,49,          37,5,         309,44,         303,43,          50,7,         699,,     499.4,          51.4,         578,38,2019
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,         282,40,          23,3,         259,37,         357,51,          60,9,         699,,     495.9,          51.3,         579,35,2019
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,SCI,          80,34,           4,2,          76,32,         135,57,          21,9,         236,,     492.6,,,27,2019
Abington - Abington Middle School,00010405,ELA,         351,54,          51,8,         300,46,         257,39,          46,7,         654,,     501.8,          46.6,         634,47,2019
Abington - Abington Middle School,00010405,MATH,         294,45,          29,4,         265,40,         308,47,          53,8,         655,,     497.4,          44.2,         634,41,2019
Abington - Abington Middle School,00010405,SCI,         144,44,          11,3,         133,41,         145,45,          35,11,         324,,     496.8,,,39,2019
Abington - Woodsdale Elementary School,00010015,ELA,         187,67,          31,11,         156,56,          83,30,          11,4,         281,,     508.5,          57.0,         150,74,2019
Abington - Woodsdale Elementary School,00010015,MATH,         168,60,          29,10,         139,50,          96,34,          15,5,         279,,     505.1,          55.2,         148,70,2019
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,ELA,         122,40,          16,5,         106,35,         159,52,          24,8,         305,,     496.5,          54.8,         268,29,2019
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,MATH,          99,32,          11,4,          88,29,         175,57,          31,10,         305,,     491.4,          46.4,         266,21,2019
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,SCI,          47,31,           3,2,          44,29,          87,58,          17,11,         151,,     491.6,,,24,2019
Acton-Boxborough - Blanchard Memorial School,06000005,ELA,         177,74,          51,21,         126,53,          53,22,          10,4,         240,,     514.7,          56.5,         165,91,2019
Acton-Boxborough - Blanchard Memorial School,06000005,MATH,         175,73,          57,24,         118,49,          52,22,          13,5,         240,,     513.8,          63.1,         165,93,2019
Acton-Boxborough - Blanchard Memorial School,06000005,SCI,          43,83,          18,35,          25,48,           8,15,           1,2,          52,,     521.2,,,99,2019
Acton-Boxborough - C.T. Douglas Elementary School,06000020,ELA,         187,68,          31,11,         156,57,          74,27,          12,4,         273,,     508.3,          52.2,         201,74,2019
Acton-Boxborough - C.T. Douglas Elementary School,06000020,MATH,         155,57,          42,15,         113,41,          99,36,          19,7,         273,,     503.8,          54.5,         200,67,2019
Acton-Boxborough - C.T. Douglas Elementary School,06000020,SCI,          37,54,           5,7,          32,47,          25,37,           6,9,          68,,     501.2,,,55,2019
Acton-Boxborough - Luther Conant School,06000030,ELA,         211,81,          83,32,         128,49,          46,18,           4,2,         261,,     520.7,          64.6,         212,98,2019
Acton-Boxborough - Luther Conant School,06000030,MATH,         200,77,          92,35,         108,41,          56,21,           5,2,         261,,     520.7,          66.0,         212,99,2019
Acton-Boxborough - Luther Conant School,06000030,SCI,          48,65,          14,19,          34,46,          24,32,           2,3,          74,,     511.5,,,88,2019
Acton-Boxborough - McCarthy-Towne School,06000015,ELA,         201,65,          44,14,         157,51,          95,31,          11,4,         307,,     508.0,          49.7,         220,72,2019
Acton-Boxborough - McCarthy-Towne School,06000015,MATH,         174,57,          27,9,         147,48,         119,39,          14,5,         307,,     502.9,          50.7,         221,63,2019
Acton-Boxborough - McCarthy-Towne School,06000015,SCI,          45,53,           5,6,          40,47,          36,42,           4,5,          85,,     501.4,,,56,2019
Acton-Boxborough - Merriam School,06000010,ELA,         206,68,          36,12,         170,56,          93,31,           4,1,         303,,     510.0,          51.6,         228,79,2019
Acton-Boxborough - Merriam School,06000010,MATH,         210,69,          35,12,         175,58,          82,27,          11,4,         303,,     508.6,          62.8,         230,82,2019
Acton-Boxborough - Merriam School,06000010,SCI,          62,66,          17,18,          45,48,          28,30,           4,4,          94,,     508.2,,,80,2019
Acton-Boxborough - Paul P Gates Elementary School,06000025,ELA,         196,86,          83,36,         113,50,          32,14,           0,0,         228,,     522.5,          70.3,         159,99,2019
Acton-Boxborough - Paul P Gates Elementary School,06000025,MATH,         186,82,          81,36,         105,46,          38,17,           4,2,         228,,     520.3,          63.8,         159,99,2019
Acton-Boxborough - Paul P Gates Elementary School,06000025,SCI,          39,83,           9,19,          30,64,           8,17,           0,0,          47,,     516.9,,,96,2019
Acton-Boxborough - Raymond J Grey Junior High,06000405,ELA,         718,79,         178,20,         540,59,         161,18,          29,3,         908,,     513.7,          46.9,         883,89,2019
Acton-Boxborough - Raymond J Grey Junior High,06000405,MATH,         745,82,         324,36,         421,46,         133,15,          28,3,         906,,     520.4,          55.3,         879,99,2019
Acton-Boxborough - Raymond J Grey Junior High,06000405,SCI,         389,81,         111,23,         278,58,          83,17,           7,1,         479,,     516.0,,,95,2019
Acushnet - Acushnet Elementary School,00030025,ELA,         159,77,          31,15,         128,62,          45,22,           3,1,         207,,     513.2,          63.5,          99,88,2019
Acushnet - Acushnet Elementary School,00030025,MATH,         118,56,          19,9,          99,47,          80,38,          11,5,         209,,     502.7,          65.2,          99,63,2019
Acushnet - Albert F Ford Middle School,00030305,ELA,         211,49,          13,3,         198,46,         193,45,          27,6,         431,,     498.9,          48.9,         415,36,2019
Acushnet - Albert F Ford Middle School,00030305,MATH,         234,54,          30,7,         204,47,         176,41,          21,5,         431,,     501.7,          55.1,         413,58,2019
Acushnet - Albert F Ford Middle School,00030305,SCI,          99,47,          12,6,          87,41,         101,48,          10,5,         210,,     500.1,,,50,2019
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,ELA,         300,75,          69,17,         231,58,          92,23,           7,2,         399,,     512.7,          54.2,         381,86,2019
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,MATH,         287,72,          83,21,         204,51,         106,27,           7,2,         400,,     512.9,          54.3,         380,91,2019
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,SCI,         100,65,          22,14,          78,51,          47,31,           7,5,         154,,     508.4,,,79,2019
Agawam - Agawam Junior High,00050405,ELA,         262,46,          19,3,         243,43,         243,43,          65,11,         570,,     495.8,          44.0,         551,26,2019
Agawam - Agawam Junior High,00050405,MATH,         292,51,          54,9,         238,42,         237,42,          40,7,         569,,     501.3,          45.9,         548,56,2019
Agawam - Agawam Junior High,00050405,SCI,         120,42,          12,4,         108,38,         140,49,          27,9,         287,,     495.2,,,35,2019
Agawam - Benjamin J Phelps,00050020,ELA,          67,51,           6,5,          61,46,          58,44,           7,5,         132,,     501.8,          42.8,          74,47,2019
Agawam - Benjamin J Phelps,00050020,MATH,          75,57,          13,10,          62,47,          50,38,           7,5,         132,,     503.2,          36.7,          74,64,2019
Agawam - Clifford M Granger,00050010,ELA,          52,48,           4,4,          48,44,          46,43,          10,9,         108,,     500.2,          49.8,          62,41,2019
Agawam - Clifford M Granger,00050010,MATH,          63,58,           4,4,          59,54,          39,36,           7,6,         109,,     502.3,          64.7,          62,61,2019
Agawam - James Clark School,00050030,ELA,          68,55,          13,10,          55,44,          43,35,          13,10,         124,,     503.7,          51.0,          57,56,2019
Agawam - James Clark School,00050030,MATH,          67,54,          17,14,          50,40,          43,35,          14,11,         124,,     502.3,          44.7,          58,61,2019
Agawam - Roberta G. Doering School,00050303,ELA,         297,51,          25,4,         272,47,         231,40,          50,9,         578,,     500.2,          49.9,         562,41,2019
Agawam - Roberta G. Doering School,00050303,MATH,         315,54,          35,6,         280,48,         224,39,          39,7,         578,,     501.0,          46.7,         562,55,2019
Agawam - Roberta G. Doering School,00050303,SCI,         156,50,          25,8,         131,42,         130,42,          23,7,         309,,     500.8,,,53,2019
Agawam - Robinson Park,00050025,ELA,          83,62,          11,8,          72,54,          42,31,           9,7,         134,,     505.4,          48.1,          58,62,2019
Agawam - Robinson Park,00050025,MATH,          85,63,          15,11,          70,52,          43,32,           6,4,         134,,     506.1,          51.3,          58,74,2019
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,ELA,         138,49,          25,9,         113,40,         118,42,          25,9,         281,,     500.4,          37.3,         223,42,2019
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,MATH,         153,54,          27,10,         126,45,         111,40,          17,6,         281,,     501.2,          45.8,         223,56,2019
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,SCI,          25,28,           1,1,          24,27,          53,60,          11,12,          89,,     489.0,,,21,2019
Amesbury - Amesbury Elementary,00070005,ELA,         103,67,          27,18,          76,49,          38,25,          13,8,         154,,     509.8,          53.7,          85,78,2019
Amesbury - Amesbury Elementary,00070005,MATH,          93,60,          16,10,          77,50,          44,29,          17,11,         154,,     502.9,          44.9,          85,63,2019
Amesbury - Amesbury Middle,00070013,ELA,         346,56,          49,8,         297,48,         215,35,          53,9,         614,,     500.7,          51.9,         603,43,2019
Amesbury - Amesbury Middle,00070013,MATH,         321,53,          54,9,         267,44,         234,39,          50,8,         605,,     501.0,          61.6,         593,55,2019
Amesbury - Amesbury Middle,00070013,SCI,         176,58,          23,8,         153,50,         109,36,          18,6,         303,,     503.3,,,62,2019
Amesbury - Charles C Cashman Elementary,00070010,ELA,          93,53,          21,12,          72,41,          68,38,          16,9,         177,,     502.7,          60.6,          86,51,2019
Amesbury - Charles C Cashman Elementary,00070010,MATH,          79,44,           6,3,          73,41,          68,38,          31,17,         178,,     494.3,          55.9,          86,29,2019
Amherst - Crocker Farm Elementary,00080009,ELA,          78,42,           9,5,          69,37,          79,43,          28,15,         185,,     494.2,          46.0,         131,22,2019
Amherst - Crocker Farm Elementary,00080009,MATH,          72,39,           8,4,          64,35,          79,43,          33,18,         184,,     492.8,          59.8,         132,25,2019
Amherst - Crocker Farm Elementary,00080009,SCI,          22,41,           5,9,          17,31,          24,44,           8,15,          54,,     494.0,,,32,2019
Amherst - Fort River Elementary,00080020,ELA,         102,56,          31,17,          71,39,          57,31,          24,13,         183,,     503.0,          46.7,         137,53,2019
Amherst - Fort River Elementary,00080020,MATH,          99,54,          26,14,          73,40,          57,31,          28,15,         184,,     501.0,          50.0,         140,55,2019
Amherst - Fort River Elementary,00080020,SCI,          18,41,           2,5,          16,36,          20,45,           6,14,          44,,     496.2,,,37,2019
Amherst - Wildwood Elementary,00080050,ELA,         122,54,          23,10,          99,44,          83,37,          20,9,         225,,     504.9,          51.5,         153,60,2019
Amherst - Wildwood Elementary,00080050,MATH,         113,50,          21,9,          92,41,          84,37,          28,12,         225,,     501.5,          52.7,         151,58,2019
Amherst - Wildwood Elementary,00080050,SCI,          28,47,           5,8,          23,39,          21,36,          10,17,          59,,     499.4,,,47,2019
Amherst-Pelham - Amherst Regional Middle School,06050405,ELA,         209,56,          40,11,         169,46,          95,26,          67,18,         371,,     499.6,          45.8,         346,39,2019
Amherst-Pelham - Amherst Regional Middle School,06050405,MATH,         176,48,          50,14,         126,34,         132,36,          61,17,         369,,     497.9,          38.9,         344,43,2019
Amherst-Pelham - Amherst Regional Middle School,06050405,SCI,          92,53,          20,11,          72,41,          57,33,          25,14,         174,,     500.3,,,51,2019
Andover - Andover West Middle,00090310,ELA,         365,70,         108,21,         257,50,         125,24,          28,5,         518,,     511.9,          61.5,         495,84,2019
Andover - Andover West Middle,00090310,MATH,         353,68,         102,20,         251,49,         135,26,          28,5,         516,,     510.7,          51.0,         495,87,2019
Andover - Andover West Middle,00090310,SCI,         131,74,          29,16,         102,58,          41,23,           4,2,         176,,     511.4,,,88,2019
Andover - Bancroft Elementary,00090003,ELA,         212,68,          26,8,         186,60,          91,29,           8,3,         311,,     506.8,          53.8,         203,68,2019
Andover - Bancroft Elementary,00090003,MATH,         192,62,          41,13,         151,49,         105,34,          14,5,         311,,     505.5,          64.2,         202,72,2019
Andover - Bancroft Elementary,00090003,SCI,          77,73,          17,16,          60,57,          25,24,           3,3,         105,,     510.2,,,85,2019
Andover - Doherty Middle,00090305,ELA,         374,68,          95,17,         279,50,         161,29,          18,3,         553,,     509.4,          54.6,         542,77,2019
Andover - Doherty Middle,00090305,MATH,         309,56,          76,14,         233,42,         205,37,          36,7,         550,,     503.9,          48.1,         540,67,2019
Andover - Doherty Middle,00090305,SCI,         137,71,          32,17,         105,55,          52,27,           3,2,         192,,     510.6,,,86,2019
Andover - Henry C Sanborn Elementary,00090010,ELA,         144,68,          31,15,         113,54,          65,31,           2,1,         211,,     511.5,          51.9,         134,83,2019
Andover - Henry C Sanborn Elementary,00090010,MATH,         163,77,          35,17,         128,61,          45,21,           3,1,         211,,     512.8,          66.1,         135,91,2019
Andover - Henry C Sanborn Elementary,00090010,SCI,          56,84,          24,36,          32,48,           7,10,           4,6,          67,,     515.8,,,95,2019
Andover - High Plain Elementary,00090004,ELA,         231,82,          92,33,         139,49,          46,16,           4,1,         281,,     520.8,          69.7,         184,98,2019
Andover - High Plain Elementary,00090004,MATH,         218,77,          61,22,         157,56,          61,22,           3,1,         282,,     515.1,          72.2,         185,94,2019
Andover - High Plain Elementary,00090004,SCI,          89,82,          39,36,          50,46,          19,18,           0,0,         108,,     521.4,,,99,2019
Andover - South Elementary,00090020,ELA,         198,81,          54,22,         144,59,          46,19,           1,0,         245,,     516.1,          52.1,         147,93,2019
Andover - South Elementary,00090020,MATH,         183,75,          37,15,         146,60,          59,24,           3,1,         245,,     511.5,          63.1,         148,88,2019
Andover - South Elementary,00090020,SCI,          71,84,          18,21,          53,62,          14,16,           0,0,          85,,     515.6,,,95,2019
Andover - West Elementary,00090025,ELA,         205,71,          60,21,         145,50,          75,26,          10,3,         290,,     513.2,          61.9,         179,88,2019
Andover - West Elementary,00090025,MATH,         190,66,          46,16,         144,50,          85,29,          15,5,         290,,     509.5,          67.6,         180,84,2019
Andover - West Elementary,00090025,SCI,          76,75,          23,23,          53,52,          21,21,           4,4,         101,,     516.2,,,95,2019
Andover - Wood Hill Middle School,00090350,ELA,         281,70,          86,22,         195,49,          94,24,          25,6,         400,,     510.5,          50.5,         385,80,2019
Andover - Wood Hill Middle School,00090350,MATH,         286,72,         116,29,         170,43,          98,25,          16,4,         400,,     513.8,          52.8,         385,93,2019
Andover - Wood Hill Middle School,00090350,SCI,          86,69,          25,20,          61,49,          34,27,           5,4,         125,,     510.5,,,86,2019
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,ELA,          91,30,           4,1,          87,29,         148,49,          65,21,         304,,     487.4,          39.6,         274,8,2019
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,MATH,         117,39,          10,3,         107,35,         150,50,          35,12,         302,,     493.7,          52.1,         272,27,2019
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,SCI,          13,13,           0,0,          13,13,          60,61,          25,26,          98,,     482.7,,,11,2019
Arlington - Brackett,00100010,ELA,         176,73,          39,16,         137,57,          56,23,           8,3,         240,,     512.4,          48.0,         163,85,2019
Arlington - Brackett,00100010,MATH,         159,66,          28,12,         131,55,          73,30,           8,3,         240,,     509.1,          53.2,         166,83,2019
Arlington - Brackett,00100010,SCI,          54,68,          16,20,          38,48,          22,28,           4,5,          80,,     509.8,,,84,2019
Arlington - Cyrus E Dallin,00100025,ELA,         163,69,          37,16,         126,53,          68,29,           5,2,         236,,     510.5,          58.0,         162,80,2019
Arlington - Cyrus E Dallin,00100025,MATH,         160,68,          34,14,         126,53,          70,30,           6,3,         236,,     508.9,          56.8,         163,83,2019
Arlington - Cyrus E Dallin,00100025,SCI,          62,72,          16,19,          46,53,          23,27,           1,1,          86,,     510.4,,,85,2019
Arlington - Gibbs School,00100305,ELA,         318,71,          91,20,         227,51,         100,22,          27,6,         445,,     511.6,          48.7,         428,83,2019
Arlington - Gibbs School,00100305,MATH,         320,72,          76,17,         244,55,         113,25,          14,3,         447,,     510.8,          57.9,         431,87,2019
Arlington - Hardy,00100030,ELA,         132,66,          21,10,         111,55,          64,32,           5,2,         201,,     508.1,          45.4,         124,72,2019
Arlington - Hardy,00100030,MATH,         128,64,          28,14,         100,50,          68,34,           5,2,         201,,     508.1,          52.3,         124,80,2019
Arlington - Hardy,00100030,SCI,          41,68,          16,27,          25,42,          18,30,           1,2,          60,,     513.8,,,93,2019
Arlington - John A Bishop,00100005,ELA,         151,72,          37,18,         114,54,          58,28,           1,0,         210,,     512.7,          45.1,         136,87,2019
Arlington - John A Bishop,00100005,MATH,         140,67,          34,16,         106,51,          65,31,           4,2,         209,,     512.0,          62.2,         136,89,2019
Arlington - John A Bishop,00100005,SCI,          54,78,          18,26,          36,52,          13,19,           2,3,          69,,     515.4,,,94,2019
Arlington - M Norcross Stratton,00100055,ELA,         138,71,          13,7,         125,64,          46,24,          11,6,         195,,     507.4,          55.0,         116,70,2019
Arlington - M Norcross Stratton,00100055,MATH,         126,65,          32,16,          94,48,          55,28,          14,7,         195,,     507.4,          63.6,         115,78,2019
Arlington - M Norcross Stratton,00100055,SCI,          35,56,           6,10,          29,47,          20,32,           7,11,          62,,     504.7,,,67,2019
Arlington - Ottoson Middle,00100410,ELA,         629,76,         207,25,         422,51,         173,21,          27,3,         829,,     514.4,          56.3,         798,90,2019
Arlington - Ottoson Middle,00100410,MATH,         628,76,         194,23,         434,52,         178,21,          23,3,         829,,     513.8,          59.7,         796,93,2019
Arlington - Ottoson Middle,00100410,SCI,         298,74,         125,31,         173,43,          90,22,          14,3,         402,,     516.7,,,96,2019
Arlington - Peirce,00100045,ELA,          86,64,          16,12,          70,52,          47,35,           2,1,         135,,     507.4,          50.6,          87,70,2019
Arlington - Peirce,00100045,MATH,          76,56,           9,7,          67,50,          56,41,           3,2,         135,,     504.2,          52.2,          87,68,2019
Arlington - Peirce,00100045,SCI,          26,55,          10,21,          16,34,          20,43,           1,2,          47,,     507.7,,,78,2019
Arlington - Thompson,00100050,ELA,         172,72,          48,20,         124,52,          61,26,           5,2,         238,,     512.9,          62.3,         148,87,2019
Arlington - Thompson,00100050,MATH,         166,69,          22,9,         144,60,          61,26,          12,5,         239,,     506.7,          55.4,         149,76,2019
Arlington - Thompson,00100050,SCI,          49,68,          13,18,          36,50,          17,24,           6,8,          72,,     508.9,,,82,2019
Ashburnham-Westminster - Briggs Elementary,06100025,ELA,         139,57,          11,5,         128,52,         101,41,           4,2,         244,,     503.6,          46.5,         174,55,2019
Ashburnham-Westminster - Briggs Elementary,06100025,MATH,         123,50,          11,4,         112,46,         110,45,          12,5,         245,,     498.7,          33.7,         174,47,2019
Ashburnham-Westminster - Briggs Elementary,06100025,SCI,          35,40,           3,3,          32,36,          49,56,           4,5,          88,,     496.6,,,38,2019
Ashburnham-Westminster - Overlook Middle School,06100305,ELA,         320,57,          53,9,         267,47,         208,37,          36,6,         564,,     503.4,          53.9,         549,54,2019
Ashburnham-Westminster - Overlook Middle School,06100305,MATH,         314,56,          37,7,         277,49,         223,40,          27,5,         564,,     501.9,          52.9,         549,59,2019
Ashburnham-Westminster - Overlook Middle School,06100305,SCI,         117,60,          20,10,          97,49,          72,37,           7,4,         196,,     505.2,,,69,2019
Ashburnham-Westminster - Westminster Elementary,06100005,ELA,         127,43,           6,2,         121,41,         151,51,          20,7,         298,,     497.9,          45.4,         188,32,2019
Ashburnham-Westminster - Westminster Elementary,06100005,MATH,         140,47,          12,4,         128,43,         143,48,          15,5,         298,,     498.8,          57.9,         188,47,2019
Ashburnham-Westminster - Westminster Elementary,06100005,SCI,          48,46,           7,7,          41,39,          53,50,           4,4,         105,,     500.7,,,53,2019
Ashland - Ashland Middle,00140405,ELA,         444,75,         151,26,         293,49,         124,21,          24,4,         592,,     515.1,          69.1,         579,91,2019
Ashland - Ashland Middle,00140405,MATH,         452,77,         154,26,         298,51,         112,19,          26,4,         590,,     514.7,          67.1,         577,94,2019
Ashland - Ashland Middle,00140405,SCI,         124,69,          41,23,          83,46,          48,27,           7,4,         179,,     511.8,,,89,2019
Ashland - David Mindess,00140015,ELA,         361,59,          48,8,         313,51,         228,37,          20,3,         609,,     504.3,          48.9,         413,58,2019
Ashland - David Mindess,00140015,MATH,         324,53,          55,9,         269,44,         247,41,          38,6,         609,,     502.2,          57.6,         413,61,2019
Ashland - David Mindess,00140015,SCI,         114,54,          15,7,          99,47,          79,37,          18,9,         211,,     501.7,,,57,2019
Athol-Royalston - Athol Community Elementary School,06150020,ELA,          73,42,           8,5,          65,37,          79,45,          23,13,         175,,     494.7,          45.1,          83,23,2019
Athol-Royalston - Athol Community Elementary School,06150020,MATH,          58,33,           9,5,          49,28,          81,46,          37,21,         176,,     489.6,          33.9,          83,18,2019
Athol-Royalston - Athol-Royalston Middle School,06150305,ELA,         122,31,           9,2,         113,29,         196,50,          72,18,         390,,     489.5,          46.5,         377,11,2019
Athol-Royalston - Athol-Royalston Middle School,06150305,MATH,         137,35,          11,3,         126,32,         190,49,          63,16,         390,,     491.5,          54.7,         377,21,2019
Athol-Royalston - Athol-Royalston Middle School,06150305,SCI,          65,36,           4,2,          61,33,          93,51,          25,14,         183,,     492.3,,,27,2019
Athol-Royalston - Royalston Community School,06150050,ELA,          50,63,           8,10,          42,53,          30,38,           0,0,          80,,     507.1,          59.7,          55,69,2019
Athol-Royalston - Royalston Community School,06150050,MATH,          46,58,           6,8,          40,50,          30,38,           4,5,          80,,     503.7,          63.6,          55,66,2019
Athol-Royalston - Royalston Community School,06150050,SCI,          10,59,           0,0,          10,59,           7,41,           0,0,          17,,     502.8,,,60,2019
Atlantis Charter (District) - Atlantis Charter School,04910550,ELA,         284,43,          50,8,         234,36,         306,47,          67,10,         657,,     497.8,          46.0,         536,32,2019
Atlantis Charter (District) - Atlantis Charter School,04910550,MATH,         241,37,          31,5,         210,32,         351,54,          64,10,         656,,     494.1,          37.6,         535,29,2019
Atlantis Charter (District) - Atlantis Charter School,04910550,SCI,          71,33,           3,1,          68,31,         112,51,          35,16,         218,,     489.9,,,22,2019
Attleboro - A. Irvin Studley Elementary School,00160001,ELA,          94,58,          18,11,          76,47,          57,35,          12,7,         163,,     503.6,          39.6,          77,55,2019
Attleboro - A. Irvin Studley Elementary School,00160001,MATH,          94,58,          19,12,          75,46,          54,33,          15,9,         163,,     502.3,          49.2,          78,61,2019
Attleboro - Cyril K. Brennan Middle School,00160315,ELA,         285,50,          56,10,         229,40,         219,38,          65,11,         569,,     501.5,          52.9,         532,46,2019
Attleboro - Cyril K. Brennan Middle School,00160315,MATH,         212,37,          19,3,         193,34,         273,48,          82,14,         567,,     494.0,          41.8,         529,29,2019
Attleboro - Cyril K. Brennan Middle School,00160315,SCI,         113,42,           9,3,         104,39,         111,42,          43,16,         267,,     496.1,,,37,2019
Attleboro - Hill-Roberts Elementary School,00160045,ELA,          88,48,          11,6,          77,42,          77,42,          18,10,         183,,     498.5,          39.2,          77,34,2019
Attleboro - Hill-Roberts Elementary School,00160045,MATH,          83,45,           8,4,          75,41,          76,42,          24,13,         183,,     496.0,          56.9,          77,36,2019
Attleboro - Hyman Fine Elementary School,00160040,ELA,         129,71,          33,18,          96,53,          49,27,           4,2,         182,,     512.3,          63.6,          76,85,2019
Attleboro - Hyman Fine Elementary School,00160040,MATH,         103,57,          22,12,          81,45,          68,37,          11,6,         182,,     503.6,          68.0,          76,66,2019
Attleboro - Peter Thacher Elementary School,00160050,ELA,          89,58,          31,20,          58,38,          42,27,          23,15,         154,,     509.8,          71.6,          63,78,2019
Attleboro - Peter Thacher Elementary School,00160050,MATH,          86,56,          16,10,          70,45,          40,26,          28,18,         154,,     503.1,          72.7,          63,64,2019
Attleboro - Robert J. Coelho Middle School,00160305,ELA,         313,49,          30,5,         283,44,         268,42,          55,9,         636,,     498.2,          47.8,         623,33,2019
Attleboro - Robert J. Coelho Middle School,00160305,MATH,         359,57,          47,7,         312,49,         233,37,          42,7,         634,,     501.8,          55.0,         621,59,2019
Attleboro - Robert J. Coelho Middle School,00160305,SCI,         169,57,          29,10,         140,47,         116,39,          13,4,         298,,     503.4,,,63,2019
Attleboro - Thomas Willett Elementary School,00160035,ELA,         116,66,          20,11,          96,54,          55,31,           6,3,         177,,     506.4,          49.5,          89,66,2019
