school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,          37,31,           0,0,          37,31,          62,52,          21,18,         120,100,     488.5,          45.6,         117,31,2022,4,ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,          26,22,           1,1,          25,21,          68,57,          26,22,         120,100,     485.2,          41.6,         117,24,2022,4,ALL
Abington - Woodsdale Elementary School,00010015,ELA,          66,47,           4,3,          62,44,          64,46,          10,7,         140,99,     498.4,          48.2,         130,68,2022,4,ALL
Abington - Woodsdale Elementary School,00010015,MATH,          61,44,           4,3,          57,41,          64,46,          15,11,         140,99,     497.6,          31.3,         130,57,2022,4,ALL
Acton-Boxborough - Blanchard Memorial School,06000005,ELA,          63,74,          10,12,          53,62,          21,25,           1,1,          85,100,     508.1,          56.3,          76,94,2022,4,ALL
Acton-Boxborough - Blanchard Memorial School,06000005,MATH,          69,81,          15,18,          54,64,          16,19,           0,0,          85,100,     514.6,          64.3,          77,96,2022,4,ALL
Acton-Boxborough - C.T. Douglas Elementary School,06000020,ELA,          21,50,           2,5,          19,45,          18,43,           3,7,          42,98,     499.6,          51.9,          36,73,2022,4,ALL
Acton-Boxborough - C.T. Douglas Elementary School,06000020,MATH,          25,61,           3,7,          22,54,          15,37,           1,2,          41,96,     503.9,          50.3,          35,77,2022,4,ALL
Acton-Boxborough - Luther Conant School,06000030,ELA,          46,69,           5,7,          41,61,          20,30,           1,1,          67,99,     507.8,          59.9,          65,94,2022,4,ALL
Acton-Boxborough - Luther Conant School,06000030,MATH,          57,84,          18,26,          39,57,          10,15,           1,1,          68,100,     516.4,          57.1,          66,97,2022,4,ALL
Acton-Boxborough - McCarthy-Towne School,06000015,ELA,          45,58,           5,6,          40,52,          25,32,           7,9,          77,96,     499.5,          58.0,          68,73,2022,4,ALL
Acton-Boxborough - McCarthy-Towne School,06000015,MATH,          39,49,           6,8,          33,42,          28,35,          12,15,          79,99,     499.8,          48.1,          69,64,2022,4,ALL
Acton-Boxborough - Merriam School,06000010,ELA,          36,55,           5,8,          31,47,          26,39,           4,6,          66,100,     502.4,          51.5,          62,82,2022,4,ALL
Acton-Boxborough - Merriam School,06000010,MATH,          34,52,          10,15,          24,36,          25,38,           7,11,          66,100,     501.6,          44.9,          62,71,2022,4,ALL
Acton-Boxborough - Paul P Gates Elementary School,06000025,ELA,          33,75,           5,11,          28,64,          10,23,           1,2,          44,100,     508.8,          60.3,          44,96,2022,4,ALL
Acton-Boxborough - Paul P Gates Elementary School,06000025,MATH,          29,66,           7,16,          22,50,          14,32,           1,2,          44,100,     510.7,          51.7,          44,90,2022,4,ALL
Acushnet - Acushnet Elementary School,00030025,ELA,          62,62,           6,6,          56,56,          35,35,           3,3,         100,100,     505.7,          67.7,          93,90,2022,4,ALL
Acushnet - Acushnet Elementary School,00030025,MATH,          72,72,          14,14,          58,58,          25,25,           3,3,         100,100,     512.9,          73.9,          93,93,2022,4,ALL
Agawam - Benjamin J Phelps,00050020,ELA,          31,47,           4,6,          27,41,          31,47,           4,6,          66,100,     499.0,          52.2,          59,71,2022,4,ALL
