school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Acushnet - Albert F Ford Middle School,00030305,MATH,           2,20,           0,0,           2,20,           6,60,           2,20,          10,100,     485.5,,          10,48,2022,ALL,Ever EL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,ELA,          36,51,           4,6,          32,46,          28,40,           6,9,          70,99,     497.0,          52.3,          59,83,2022,ALL,Ever EL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,MATH,          32,46,          11,16,          21,30,          31,44,           7,10,          70,99,     500.4,          56.2,          61,83,2022,ALL,Ever EL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,SCI,          13,59,           3,14,          10,45,           7,32,           2,9,          22,100,     501.1,,,88,2022,ALL,Ever EL
Agawam - Agawam Junior High,00050405,ELA,          19,24,           2,3,          17,22,          42,53,          18,23,          79,96,     486.8,          47.7,          68,55,2022,ALL,Ever EL
Agawam - Agawam Junior High,00050405,MATH,          18,23,           1,1,          17,22,          50,64,          10,13,          78,94,     487.9,          39.4,          69,56,2022,ALL,Ever EL
Agawam - Agawam Junior High,00050405,SCI,          13,36,           1,3,          12,33,          16,44,           7,19,          36,93,     489.3,,,69,2022,ALL,Ever EL
Agawam - Benjamin J Phelps,00050020,ELA,           5,29,           0,0,           5,29,          10,59,           2,12,          17,100,     490.8,,          11,68,2022,ALL,Ever EL
Agawam - Benjamin J Phelps,00050020,MATH,           6,35,           0,0,           6,35,          10,59,           1,6,          17,100,     492.7,,          11,68,2022,ALL,Ever EL
Agawam - Clifford M Granger,00050010,ELA,           2,13,           0,0,           2,13,           8,53,           5,33,          15,100,     480.9,,           7,34,2022,ALL,Ever EL
Agawam - Clifford M Granger,00050010,MATH,           4,29,           0,0,           4,29,           9,64,           1,7,          14,100,     491.6,,           7,66,2022,ALL,Ever EL
Agawam - James Clark School,00050030,ELA,           2,17,           0,0,           2,17,           7,58,           3,25,          12,100,     484.3,,           6,47,2022,ALL,Ever EL
Agawam - James Clark School,00050030,MATH,           4,33,           1,8,           3,25,           7,58,           1,8,          12,100,     496.8,,           6,76,2022,ALL,Ever EL
Agawam - Roberta G. Doering School,00050303,ELA,          15,25,           0,0,          15,25,          33,55,          12,20,          60,100,     489.0,          40.5,          51,62,2022,ALL,Ever EL
Agawam - Roberta G. Doering School,00050303,MATH,          19,32,           1,2,          18,31,          33,56,           7,12,          59,97,     491.4,          46.0,          48,66,2022,ALL,Ever EL
Agawam - Roberta G. Doering School,00050303,SCI,           9,27,           0,0,           9,27,          19,58,           5,15,          33,100,     489.3,,,69,2022,ALL,Ever EL
Agawam - Robinson Park,00050025,ELA,           1,6,           0,0,           1,6,          14,88,           1,6,          16,100,     485.6,,           5,51,2022,ALL,Ever EL
Agawam - Robinson Park,00050025,MATH,           2,13,           0,0,           2,13,          10,63,           4,25,          16,100,     482.3,,           5,39,2022,ALL,Ever EL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,ELA,          83,26,           7,2,          76,24,         167,52,          69,22,         319,95,     486.9,          48.1,         245,56,2022,ALL,Ever EL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,MATH,          71,22,           1,0,          70,22,         176,55,          71,22,         318,99,     485.2,          41.0,         246,48,2022,ALL,Ever EL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,SCI,          17,22,           1,1,          16,21,          44,58,          15,20,          76,100,     485.0,,,59,2022,ALL,Ever EL
Amesbury - Amesbury Middle,00070013,ELA,           6,23,           1,4,           5,19,          12,46,           8,31,          26,97,     487.8,          45.9,          24,59,2022,ALL,Ever EL
Amesbury - Amesbury Middle,00070013,MATH,          10,38,           1,4,           9,35,          12,46,           4,15,          26,100,     494.7,          62.1,          23,72,2022,ALL,Ever EL
Amesbury - Amesbury Middle,00070013,SCI,           5,36,           0,0,           5,36,           8,57,           1,7,          14,100,     492.4,,,76,2022,ALL,Ever EL
Amherst - Crocker Farm Elementary,00080009,ELA,           3,8,           1,3,           2,6,          18,50,          15,42,          36,98,     477.8,,          12,22,2022,ALL,Ever EL
Amherst - Crocker Farm Elementary,00080009,MATH,           6,17,           1,3,           5,14,          17,49,          12,34,          35,95,     478.2,,          13,24,2022,ALL,Ever EL
Amherst - Fort River Elementary,00080020,ELA,           2,10,           0,0,           2,10,          12,57,           7,33,          21,96,     479.4,,          15,29,2022,ALL,Ever EL
Amherst - Fort River Elementary,00080020,MATH,           5,24,           1,5,           4,19,           5,24,          11,52,          21,96,     475.7,,          15,17,2022,ALL,Ever EL
Amherst - Wildwood Elementary,00080050,ELA,          10,25,           2,5,           8,20,          11,28,          19,48,          40,95,     479.2,,          18,28,2022,ALL,Ever EL
Amherst - Wildwood Elementary,00080050,MATH,          10,24,           1,2,           9,21,          11,26,          21,50,          42,100,     475.7,,          19,17,2022,ALL,Ever EL
Amherst-Pelham - Amherst Regional Middle School,06050405,ELA,          11,23,           0,0,          11,23,          18,38,          18,38,          47,78,     478.1,,          13,23,2022,ALL,Ever EL
Amherst-Pelham - Amherst Regional Middle School,06050405,MATH,           8,16,           2,4,           6,12,          19,38,          23,46,          50,86,     474.9,,          12,15,2022,ALL,Ever EL
Amherst-Pelham - Amherst Regional Middle School,06050405,SCI,           4,11,           0,0,           4,11,          11,31,          20,57,          35,97,     470.9,,,12,2022,ALL,Ever EL
Andover - Andover West Middle,00090310,ELA,          28,47,           2,3,          26,43,          27,45,           5,8,          60,100,     498.9,          61.6,          59,86,2022,ALL,Ever EL
Andover - Andover West Middle,00090310,MATH,          36,61,          10,17,          26,44,          20,34,           3,5,          59,98,     507.4,          70.2,          58,91,2022,ALL,Ever EL
Andover - Andover West Middle,00090310,SCI,          10,43,           2,9,           8,35,          12,52,           1,4,          23,96,     501.5,,,89,2022,ALL,Ever EL
Andover - Bancroft Elementary,00090003,ELA,          11,73,           2,13,           9,60,           4,27,           0,0,          15,100,     506.9,,          10,96,2022,ALL,Ever EL
Andover - Bancroft Elementary,00090003,MATH,           9,60,           5,33,           4,27,           6,40,           0,0,          15,100,     516.1,,          10,97,2022,ALL,Ever EL
Andover - Doherty Middle,00090305,ELA,          22,59,           5,14,          17,46,          10,27,           5,14,          37,100,     504.2,          57.9,          36,93,2022,ALL,Ever EL
Andover - Doherty Middle,00090305,MATH,          26,70,          12,32,          14,38,           7,19,           4,11,          37,100,     513.4,          67.8,          36,96,2022,ALL,Ever EL
Andover - Doherty Middle,00090305,SCI,           2,18,           1,9,           1,9,           6,55,           3,27,          11,100,     484.5,,,57,2022,ALL,Ever EL
Andover - Henry C Sanborn Elementary,00090010,ELA,          17,68,           1,4,          16,64,           6,24,           2,8,          25,100,     503.5,,          14,92,2022,ALL,Ever EL
Andover - Henry C Sanborn Elementary,00090010,MATH,          15,60,           2,8,          13,52,           8,32,           2,8,          25,100,     505.6,,          14,89,2022,ALL,Ever EL
Andover - Henry C Sanborn Elementary,00090010,SCI,           6,55,           1,9,           5,45,           4,36,           1,9,          11,100,     505.2,,,92,2022,ALL,Ever EL
