school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,          40,37,           4,4,          36,33,          59,55,           9,8,         108,100,     493.1,          60.0,         106,52,2022,8,ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,          23,21,           0,0,          23,21,          73,68,          12,11,         108,100,     489.1,          62.0,         106,43,2022,8,ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,SCI,          36,33,           2,2,          34,31,          54,50,          18,17,         108,100,     490.2,,,40,2022,8,ALL
Abington - Abington Middle School,00010405,ELA,          51,35,           3,2,          48,33,          71,49,          22,15,         144,95,     492.0,          44.7,         131,47,2022,8,ALL
Abington - Abington Middle School,00010405,MATH,          36,25,           2,1,          34,23,          91,63,          18,12,         145,96,     490.1,          58.5,         130,47,2022,8,ALL
Abington - Abington Middle School,00010405,SCI,          35,24,           1,1,          34,24,          88,61,          21,15,         144,95,     488.4,,,37,2022,8,ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,ELA,          11,18,           1,2,          10,16,          37,61,          13,21,          61,100,     485.0,          43.6,          59,26,2022,8,ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,MATH,           4,7,           0,0,           4,7,          33,54,          24,39,          61,100,     476.7,          32.0,          57,11,2022,8,ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,SCI,           9,15,           0,0,           9,15,          38,62,          14,23,          61,100,     478.7,,,15,2022,8,ALL
Acton-Boxborough - Raymond J Grey Junior High,06000405,ELA,         275,67,          46,11,         229,56,         121,29,          16,4,         412,99,     507.8,          53.7,         389,88,2022,8,ALL
Acton-Boxborough - Raymond J Grey Junior High,06000405,MATH,         337,83,         123,30,         214,52,          66,16,           5,1,         408,98,     518.2,          66.5,         386,98,2022,8,ALL
Acton-Boxborough - Raymond J Grey Junior High,06000405,SCI,         311,76,          88,21,         223,54,          82,20,          17,4,         410,98,     513.2,,,97,2022,8,ALL
Acushnet - Albert F Ford Middle School,00030305,ELA,          31,31,           1,1,          30,30,          51,52,          17,17,          99,100,     490.6,          46.5,          94,43,2022,8,ALL
Acushnet - Albert F Ford Middle School,00030305,MATH,          21,21,           1,1,          20,20,          66,67,          12,12,          99,100,     489.8,          35.6,          94,46,2022,8,ALL
Acushnet - Albert F Ford Middle School,00030305,SCI,          36,36,           2,2,          34,34,          49,49,          14,14,          99,100,     492.0,,,45,2022,8,ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,ELA,          88,69,          13,10,          75,59,          36,28,           3,2,         127,98,     507.6,          58.8,         119,88,2022,8,ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,MATH,          94,74,          23,18,          71,56,          29,23,           4,3,         127,98,     511.8,          61.9,         121,93,2022,8,ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,SCI,          89,69,          14,11,          75,58,          37,29,           3,2,         129,100,     507.9,,,89,2022,8,ALL
Agawam - Agawam Junior High,00050405,ELA,          72,25,           4,1,          68,24,         164,57,          50,17,         286,95,     487.5,          41.8,         224,33,2022,8,ALL
Agawam - Agawam Junior High,00050405,MATH,          88,31,           7,2,          81,29,         163,57,          33,12,         284,94,     492.3,          47.4,         223,55,2022,8,ALL
Agawam - Agawam Junior High,00050405,SCI,         121,43,           9,3,         112,40,         126,45,          35,12,         282,94,     495.0,,,54,2022,8,ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,ELA,          28,32,           2,2,          26,30,          43,49,          17,19,          88,98,     490.3,          51.9,          86,43,2022,8,ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,MATH,          23,26,           1,1,          22,25,          54,61,          12,13,          89,100,     488.3,          54.6,          87,42,2022,8,ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,SCI,          17,19,           1,1,          16,18,          52,59,          19,22,          88,99,     485.3,,,31,2022,8,ALL
Amesbury - Amesbury Middle,00070013,ELA,          57,38,           3,2,          54,36,          71,47,          23,15,         151,99,     492.1,          36.0,         144,48,2022,8,ALL
Amesbury - Amesbury Middle,00070013,MATH,          74,50,           8,5,          66,45,          54,36,          20,14,         148,97,     497.4,          54.2,         139,69,2022,8,ALL
Amesbury - Amesbury Middle,00070013,SCI,          69,50,           8,6,          61,44,          53,38,          17,12,         139,91,     496.0,,,59,2022,8,ALL
Amherst-Pelham - Amherst Regional Middle School,06050405,ELA,          89,57,          26,17,          63,40,          42,27,          26,17,         157,73,     501.7,          68.0,          50,74,2022,8,ALL
Amherst-Pelham - Amherst Regional Middle School,06050405,MATH,          69,40,          23,13,          46,27,          71,41,          33,19,         173,82,     495.1,          52.8,          55,62,2022,8,ALL
Amherst-Pelham - Amherst Regional Middle School,06050405,SCI,          89,48,          12,6,          77,41,          59,32,          39,21,         187,88,     494.3,,,52,2022,8,ALL
Andover - Andover West Middle,00090310,ELA,         127,69,          21,11,         106,58,          44,24,          13,7,         184,100,     507.5,          57.9,         180,87,2022,8,ALL
Andover - Andover West Middle,00090310,MATH,         139,76,          55,30,          84,46,          36,20,           8,4,         183,99,     516.4,          67.3,         180,96,2022,8,ALL
Andover - Andover West Middle,00090310,SCI,         139,76,          36,20,         103,56,          39,21,           5,3,         183,99,     513.1,,,97,2022,8,ALL
Andover - Doherty Middle,00090305,ELA,          99,68,          19,13,          80,55,          31,21,          16,11,         146,100,     508.1,          62.2,         133,88,2022,8,ALL
Andover - Doherty Middle,00090305,MATH,          83,57,          28,19,          55,38,          52,36,          11,8,         146,100,     507.8,          62.1,         133,89,2022,8,ALL
Andover - Doherty Middle,00090305,SCI,         103,71,          19,13,          84,58,          33,23,          10,7,         146,100,     509.3,,,92,2022,8,ALL
Andover - Wood Hill Middle School,00090350,ELA,          80,65,          20,16,          60,49,          36,29,           7,6,         123,100,     507.7,          51.1,         117,88,2022,8,ALL
Andover - Wood Hill Middle School,00090350,MATH,          79,65,          33,27,          46,38,          37,30,           6,5,         122,100,     510.6,          55.9,         116,91,2022,8,ALL
Andover - Wood Hill Middle School,00090350,SCI,          87,71,          18,15,          69,56,          31,25,           5,4,         123,100,     511.1,,,94,2022,8,ALL
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,ELA,          14,15,           0,0,          14,15,          53,55,          29,30,          96,99,     480.5,          36.8,          93,17,2022,8,ALL
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,MATH,          18,19,           0,0,          18,19,          61,63,          18,19,          97,100,     484.2,          47.6,          95,28,2022,8,ALL
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,SCI,          22,23,           0,0,          22,23,          51,53,          24,25,          97,100,     484.6,,,28,2022,8,ALL
Arlington - Ottoson Middle,00100410,ELA,         323,76,          83,19,         240,56,          80,19,          23,5,         426,99,     511.9,          58.9,         387,94,2022,8,ALL
