school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Ashland - Ashland Middle,00140405,MATH,         108,52,          26,13,          82,40,          73,35,          26,13,         207,96,     502.0,          56.3,         194,2021,7,ALL
Athol-Royalston - Athol-Royalston Middle School,06150305,ELA,          24,22,           0,0,          24,22,          44,41,          40,37,         108,97,     480.0,          29.2,         100,2021,7,ALL
Athol-Royalston - Athol-Royalston Middle School,06150305,MATH,          10,9,           0,0,          10,9,          74,68,          25,23,         109,98,     480.7,          36.6,         103,2021,7,ALL
Atlantis Charter (District) - Atlantis Charter School,04910550,ELA,          42,39,           4,4,          38,35,          50,46,          17,16,         109,100,     492.3,          32.2,         104,2021,7,ALL
Atlantis Charter (District) - Atlantis Charter School,04910550,MATH,          16,15,           0,0,          16,15,          66,61,          27,25,         109,100,     481.4,          19.8,         104,2021,7,ALL
Attleboro - Cyril K. Brennan Middle School,00160315,ELA,          43,36,           5,4,          38,32,          51,43,          26,22,         120,91,     491.7,          32.2,         106,2021,7,ALL
Attleboro - Cyril K. Brennan Middle School,00160315,MATH,          29,24,           7,6,          22,18,          68,57,          23,19,         120,91,     489.5,          30.7,         106,2021,7,ALL
Attleboro - Robert J. Coelho Middle School,00160305,ELA,          69,43,           2,1,          67,42,          67,42,          24,15,         160,99,     493.7,          34.8,         153,2021,7,ALL
Attleboro - Robert J. Coelho Middle School,00160305,MATH,          59,37,           5,3,          54,34,          83,52,          18,11,         160,99,     494.0,          32.8,         153,2021,7,ALL
Attleboro - Wamsutta Middle School,00160320,ELA,          66,43,           6,4,          60,39,          69,45,          17,11,         152,98,     496.0,          31.6,         145,2021,7,ALL
Attleboro - Wamsutta Middle School,00160320,MATH,          56,37,           9,6,          47,31,          81,53,          15,10,         152,98,     495.4,          37.4,         146,2021,7,ALL
Auburn - Auburn Middle,00170305,ELA,         107,51,          29,14,          78,38,          76,37,          25,12,         208,97,     502.0,          37.0,         196,2021,7,ALL
Auburn - Auburn Middle,00170305,MATH,          88,42,          11,5,          77,37,          97,47,          23,11,         208,97,     496.8,          33.2,         196,2021,7,ALL
Avon - Avon Middle High School,00180510,ELA,          27,47,           3,5,          24,41,          25,43,           6,10,          58,98,     497.2,          40.7,          56,2021,7,ALL
