school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Gateway - Gateway Regional High,6720505,BIO,          10,83,           3,25,           7,58,           2,17,           0,0,          12,,515.4,,,,2022,HS SCI,ALL
Georgetown - Georgetown High School,1050505,BIO,          34,57,           8,13,          26,43,          19,32,           7,12,          60,,502.5,,,,2022,HS SCI,ALL
Gill-Montague - Turners Fall High,6740505,BIO,          12,39,           3,10,           9,29,          18,58,           1,3,          31,,498.3,,,,2022,HS SCI,ALL
Global Learning Charter Public (District) - Global Learning Charter Public School,4960305,BIO,          11,26,           0,0,          11,26,          25,60,           6,14,          42,,487.9,,,,2022,HS SCI,ALL
Gloucester - Gloucester High,1070505,BIO,          51,31,          11,7,          40,24,          80,49,          33,20,         164,,489.9,,,,2022,HS SCI,ALL
Grafton - Grafton High School,1100505,BIO,         134,60,          26,12,         108,48,          78,35,          13,6,         225,,504.8,,,,2022,HS SCI,ALL
Granby - Granby Jr Sr High School,1110505,BIO,          14,47,           2,7,          12,40,          15,50,           1,3,          30,,498.8,,,,2022,HS SCI,ALL
Granby - Granby Jr Sr High School,1110505,PHY,           0,0,           0,0,           0,0,          14,93,           1,7,          15,,481.7,,,,2022,HS SCI,ALL
Greater Commonwealth Virtual District - Greater Commonwealth Virtual School,39010900,BIO,          21,24,           0,0,          21,24,          45,52,          20,23,          86,,483.5,,,,2022,HS SCI,ALL
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,8210605,BIO,         120,45,          21,8,          99,37,         122,46,          24,9,         266,,498.5,,,,2022,HS SCI,ALL
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,8210605,PHY,          37,55,           2,3,          35,52,          27,40,           3,4,          67,,499.8,,,,2022,HS SCI,ALL
Greater Lawrence Regional Vocational Technical - Gr Lawrence Regional Vocational Technical,8230605,BIO,         183,38,           9,2,         174,36,         265,55,          38,8,         486,,494.2,,,,2022,HS SCI,ALL
Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,8280605,BIO,         216,34,          26,4,         190,30,         335,53,          78,12,         629,,492.9,,,,2022,HS SCI,ALL
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,8250605,BIO,         264,50,          46,9,         218,41,         227,43,          37,7,         528,,499.8,,,,2022,HS SCI,ALL
Greenfield - Greenfield High,1140505,BIO,           4,25,           1,6,           3,19,           6,38,           6,38,          16,,486.5,,,,2022,HS SCI,ALL
Greenfield - Greenfield High,1140505,PHY,          15,16,           1,1,          14,15,          49,54,          27,30,          91,,479.9,,,,2022,HS SCI,ALL
Groton-Dunstable - Groton Dunstable Regional,6730505,BIO,          94,75,          35,28,          59,47,          25,20,           6,5,         125,,517.7,,,,2022,HS SCI,ALL
Hadley - Hopkins Academy,1170505,BIO,          26,62,           8,19,          18,43,          13,31,           3,7,          42,,507.2,,,,2022,HS SCI,ALL
Hadley - Hopkins Academy,1170505,PHY,          30,67,           5,11,          25,56,          14,31,           1,2,          45,,505.1,,,,2022,HS SCI,ALL
Hamilton-Wenham - Hamilton-Wenham Regional High,6750505,BIO,          88,78,          24,21,          64,57,          23,20,           2,2,         113,,516.7,,,,2022,HS SCI,ALL
Hampden Charter School of Science East (District) - Hampden Charter School of Science East,4990305,BIO,          20,51,           4,10,          16,41,          14,36,           5,13,          39,,503.9,,,,2022,HS SCI,ALL
Hampden Charter School of Science West (District) - Hampden Charter School of Science West,35160305,BIO,          10,25,           1,3,           9,23,          24,60,           6,15,          40,,485.5,,,,2022,HS SCI,ALL
Hampden-Wilbraham - Minnechaug Regional High,6800505,BIO,          55,49,          11,10,          44,39,          52,46,           6,5,         113,,500.6,,,,2022,HS SCI,ALL
Hampshire - Hampshire Regional High,6830505,BIO,          41,42,           2,2,          39,40,          49,50,           8,8,          98,,494.7,,,,2022,HS SCI,ALL
Hanover - Hanover High,1220505,BIO,         102,59,          28,16,          74,43,          64,37,           7,4,         173,,505.4,,,,2022,HS SCI,ALL
Harvard - Bromfield,1250505,BIO,          69,81,          32,38,          37,44,          14,16,           2,2,          85,,522.9,,,,2022,HS SCI,ALL
Hatfield - Smith Academy,1270505,BIO,           9,60,           1,7,           8,53,           6,40,           0,0,          15,,500.2,,,,2022,HS SCI,ALL
Haverhill - Haverhill High,1280505,BIO,         144,29,          19,4,         125,26,         225,46,         121,25,         490,,487.5,,,,2022,HS SCI,ALL
Hingham - Hingham High,1310505,BIO,         205,79,          81,31,         124,48,          53,20,           3,1,         261,,519.5,,,,2022,HS SCI,ALL
Holbrook - Holbrook Middle High School,1330505,PHY,          23,33,           2,3,          21,30,          38,55,           8,12,          69,,492.2,,,,2022,HS SCI,ALL
