school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,          50,42,           3,3,          47,39,          51,43,          18,15,         119,100,     493.1,,,38,2022,3,ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,          48,40,           3,3,          45,38,          51,43,          20,17,         119,100,     492.2,,,46,2022,3,ALL
Abington - Woodsdale Elementary School,00010015,ELA,          90,57,          14,9,          76,48,          56,35,          13,8,         159,99,     502.8,,,69,2022,3,ALL
Abington - Woodsdale Elementary School,00010015,MATH,          95,60,          16,10,          79,50,          48,30,          15,9,         158,98,     505.4,,,82,2022,3,ALL
Acton-Boxborough - Blanchard Memorial School,06000005,ELA,          55,67,          11,13,          44,54,          20,24,           7,9,          82,100,     508.6,,,87,2022,3,ALL
Acton-Boxborough - Blanchard Memorial School,06000005,MATH,          45,55,          16,20,          29,35,          24,29,          13,16,          82,100,     502.1,,,73,2022,3,ALL
Acton-Boxborough - C.T. Douglas Elementary School,06000020,ELA,          26,62,           1,2,          25,60,          14,33,           2,5,          42,98,     503.9,,,73,2022,3,ALL
Acton-Boxborough - C.T. Douglas Elementary School,06000020,MATH,          17,40,           2,5,          15,36,          20,48,           5,12,          42,98,     493.5,,,49,2022,3,ALL
Acton-Boxborough - Luther Conant School,06000030,ELA,          46,78,           9,15,          37,63,          12,20,           1,2,          59,100,     512.2,,,93,2022,3,ALL
Acton-Boxborough - Luther Conant School,06000030,MATH,          42,71,          15,25,          27,46,          14,24,           3,5,          59,100,     516.8,,,97,2022,3,ALL
Acton-Boxborough - McCarthy-Towne School,06000015,ELA,          44,67,           6,9,          38,58,          15,23,           7,11,          66,100,     505.0,,,76,2022,3,ALL
Acton-Boxborough - McCarthy-Towne School,06000015,MATH,          33,50,           2,3,          31,47,          25,38,           8,12,          66,100,     496.4,,,56,2022,3,ALL
Acton-Boxborough - Merriam School,06000010,ELA,          42,63,           8,12,          34,51,          22,33,           3,4,          67,100,     506.8,,,82,2022,3,ALL
Acton-Boxborough - Merriam School,06000010,MATH,          31,46,           7,10,          24,36,          30,45,           6,9,          67,100,     499.0,,,65,2022,3,ALL
Acton-Boxborough - Paul P Gates Elementary School,06000025,ELA,          30,70,           8,19,          22,51,          13,30,           0,0,          43,100,     511.7,,,92,2022,3,ALL
Acton-Boxborough - Paul P Gates Elementary School,06000025,MATH,          32,74,          11,26,          21,49,          10,23,           1,2,          43,100,     516.6,,,97,2022,3,ALL
Acushnet - Acushnet Elementary School,00030025,ELA,          69,58,          18,15,          51,43,          46,39,           3,3,         118,99,     507.0,,,83,2022,3,ALL
Acushnet - Acushnet Elementary School,00030025,MATH,          64,54,           9,8,          55,47,          48,41,           6,5,         118,100,     504.5,,,80,2022,3,ALL
Agawam - Benjamin J Phelps,00050020,ELA,          27,49,           4,7,          23,42,          22,40,           6,11,          55,100,     500.1,,,61,2022,3,ALL
Agawam - Benjamin J Phelps,00050020,MATH,          26,47,           4,7,          22,40,          26,47,           3,5,          55,100,     499.7,,,67,2022,3,ALL
Agawam - Clifford M Granger,00050010,ELA,          22,38,           2,3,          20,34,          28,48,           8,14,          58,97,     494.1,,,40,2022,3,ALL
Agawam - Clifford M Granger,00050010,MATH,          23,40,           0,0,          23,40,          30,53,           4,7,          57,97,     493.2,,,48,2022,3,ALL
Agawam - James Clark School,00050030,ELA,          28,44,           5,8,          23,37,          30,48,           5,8,          63,98,     498.4,,,54,2022,3,ALL
Agawam - James Clark School,00050030,MATH,          28,44,           5,8,          23,37,          29,46,           6,10,          63,98,     498.2,,,62,2022,3,ALL
Agawam - Robinson Park,00050025,ELA,          28,44,           0,0,          28,44,          29,46,           6,10,          63,100,     495.0,,,43,2022,3,ALL
Agawam - Robinson Park,00050025,MATH,          22,35,           0,0,          22,35,          30,48,          10,16,          62,100,     490.6,,,41,2022,3,ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,ELA,          31,30,           4,4,          27,26,          53,51,          20,19,         104,96,     489.8,,,29,2022,3,ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,MATH,          47,45,           2,2,          45,43,          40,38,          17,16,         104,100,     494.0,,,52,2022,3,ALL
Amesbury - Amesbury Elementary,00070005,ELA,          33,63,           5,10,          28,54,          14,27,           5,10,          52,100,     505.2,,,77,2022,3,ALL
Amesbury - Amesbury Elementary,00070005,MATH,          32,62,           5,10,          27,52,          18,35,           2,4,          52,100,     503.4,,,78,2022,3,ALL
Amesbury - Charles C Cashman Elementary,00070010,ELA,          21,38,           1,2,          20,36,          31,55,           4,7,          56,100,     496.3,,,47,2022,3,ALL
Amesbury - Charles C Cashman Elementary,00070010,MATH,          26,46,           2,4,          24,43,          19,34,          11,20,          56,100,     496.5,,,57,2022,3,ALL
Amherst - Crocker Farm Elementary,00080009,ELA,          31,60,           6,12,          25,48,          13,25,           8,15,          52,98,     503.4,,,71,2022,3,ALL
Amherst - Crocker Farm Elementary,00080009,MATH,          27,55,           3,6,          24,49,          12,24,          10,20,          49,93,     498.1,,,62,2022,3,ALL
Amherst - Fort River Elementary,00080020,ELA,          24,65,           6,16,          18,49,           9,24,           4,11,          37,95,     506.5,,,81,2022,3,ALL
Amherst - Fort River Elementary,00080020,MATH,          15,42,           2,6,          13,36,          13,36,           8,22,          36,93,     492.8,,,47,2022,3,ALL
Amherst - Wildwood Elementary,00080050,ELA,          25,54,           6,13,          19,41,          14,30,           7,15,          46,96,     501.5,,,65,2022,3,ALL
Amherst - Wildwood Elementary,00080050,MATH,          18,38,           3,6,          15,31,          10,21,          20,42,          48,100,     483.6,,,24,2022,3,ALL
Andover - Bancroft Elementary,00090003,ELA,          61,63,          12,12,          49,51,          32,33,           4,4,          97,100,     506.0,,,80,2022,3,ALL
Andover - Bancroft Elementary,00090003,MATH,          38,39,           7,7,          31,32,          39,40,          20,21,          97,100,     491.7,,,44,2022,3,ALL
Andover - Henry C Sanborn Elementary,00090010,ELA,          48,74,          11,17,          37,57,          13,20,           4,6,          65,100,     510.3,,,90,2022,3,ALL
Andover - Henry C Sanborn Elementary,00090010,MATH,          42,65,          13,20,          29,45,          20,31,           3,5,          65,100,     512.2,,,94,2022,3,ALL
Andover - High Plain Elementary,00090004,ELA,          78,72,          16,15,          62,57,          23,21,           8,7,         109,100,     508.7,,,87,2022,3,ALL
Andover - High Plain Elementary,00090004,MATH,          67,61,          14,13,          53,49,          31,28,          11,10,         109,100,     504.5,,,80,2022,3,ALL
Andover - South Elementary,00090020,ELA,          67,80,          14,17,          53,63,          15,18,           2,2,          84,100,     513.3,,,95,2022,3,ALL
Andover - South Elementary,00090020,MATH,          56,67,          14,17,          42,50,          24,29,           4,5,          84,100,     510.9,,,92,2022,3,ALL
Andover - West Elementary,00090025,ELA,          52,53,           5,5,          47,47,          36,36,          11,11,          99,100,     504.4,,,75,2022,3,ALL
Andover - West Elementary,00090025,MATH,          46,47,           5,5,          41,42,          38,39,          14,14,          98,99,     499.2,,,65,2022,3,ALL
Arlington - Brackett,00100010,ELA,          66,70,           2,2,          64,68,          25,27,           3,3,          94,98,     504.7,,,76,2022,3,ALL
Arlington - Brackett,00100010,MATH,          45,47,           6,6,          39,41,          42,44,           8,8,          95,99,     499.7,,,67,2022,3,ALL
Arlington - Cyrus E Dallin,00100025,ELA,          58,69,           6,7,          52,62,          25,30,           1,1,          84,97,     507.4,,,84,2022,3,ALL
Arlington - Cyrus E Dallin,00100025,MATH,          47,55,           8,9,          39,45,          30,35,           9,10,          86,99,     501.7,,,72,2022,3,ALL
Arlington - Hardy,00100030,ELA,          45,70,           3,5,          42,66,          16,25,           3,5,          64,97,     506.8,,,82,2022,3,ALL
Arlington - Hardy,00100030,MATH,          47,72,          12,18,          35,54,          13,20,           5,8,          65,99,     510.5,,,91,2022,3,ALL
Arlington - John A Bishop,00100005,ELA,          60,80,          15,20,          45,60,          12,16,           3,4,          75,100,     513.8,,,96,2022,3,ALL
Arlington - John A Bishop,00100005,MATH,          63,84,          18,24,          45,60,          10,13,           2,3,          75,100,     517.0,,,97,2022,3,ALL
Arlington - M Norcross Stratton,00100055,ELA,          55,75,          10,14,          45,62,          12,16,           6,8,          73,99,     510.3,,,90,2022,3,ALL
Arlington - M Norcross Stratton,00100055,MATH,          47,69,          20,29,          27,40,          15,22,           6,9,          68,93,     515.9,,,97,2022,3,ALL
Arlington - Peirce,00100045,ELA,          37,65,           4,7,          33,58,          17,30,           3,5,          57,100,     505.8,,,79,2022,3,ALL
Arlington - Peirce,00100045,MATH,          31,54,          11,19,          20,35,          18,32,           8,14,          57,100,     503.3,,,77,2022,3,ALL
Arlington - Thompson,00100050,ELA,          53,74,           7,10,          46,64,          19,26,           0,0,          72,97,     510.2,,,90,2022,3,ALL
Arlington - Thompson,00100050,MATH,          52,72,          15,21,          37,51,          17,24,           3,4,          72,97,     510.6,,,91,2022,3,ALL
Ashburnham-Westminster - Briggs Elementary,06100025,ELA,          46,55,           3,4,          43,51,          34,40,           4,5,          84,100,     499.7,,,59,2022,3,ALL
Ashburnham-Westminster - Briggs Elementary,06100025,MATH,          44,52,           5,6,          39,46,          34,40,           6,7,          84,100,     500.7,,,69,2022,3,ALL
Ashburnham-Westminster - Westminster Elementary,06100005,ELA,          51,47,           0,0,          51,47,          49,45,           9,8,         109,100,     496.9,,,50,2022,3,ALL
Ashburnham-Westminster - Westminster Elementary,06100005,MATH,          38,35,           3,3,          35,32,          58,53,          13,12,         109,100,     492.0,,,44,2022,3,ALL
Ashland - David Mindess,00140015,ELA,         106,53,           7,3,          99,49,          80,40,          15,7,         201,99,     499.6,,,59,2022,3,ALL
Ashland - David Mindess,00140015,MATH,          95,47,          14,7,          81,40,          75,37,          31,15,         201,99,     495.6,,,55,2022,3,ALL
Athol-Royalston - Athol Community Elementary School,06150020,ELA,          33,32,           2,2,          31,30,          47,46,          22,22,         102,99,     489.8,,,28,2022,3,ALL
Athol-Royalston - Athol Community Elementary School,06150020,MATH,          33,33,           5,5,          28,28,          42,42,          26,26,         101,98,     487.6,,,33,2022,3,ALL
Athol-Royalston - Royalston Community School,06150050,ELA,           6,29,           0,0,           6,29,          11,52,           4,19,          21,100,     487.6,,,22,2022,3,ALL
Athol-Royalston - Royalston Community School,06150050,MATH,           3,14,           0,0,           3,14,           9,43,           9,43,          21,100,     475.8,,,11,2022,3,ALL
Atlantis Charter (District) - Atlantis Charter School,04910550,ELA,          39,36,           4,4,          35,32,          56,51,          14,13,         109,100,     493.5,,,38,2022,3,ALL
Atlantis Charter (District) - Atlantis Charter School,04910550,MATH,          33,30,           1,1,          32,29,          57,52,          19,17,         109,100,     488.1,,,35,2022,3,ALL
Attleboro - A. Irvin Studley Elementary School,00160001,ELA,          43,61,           5,7,          38,54,          21,30,           6,9,          70,100,     503.2,,,70,2022,3,ALL
Attleboro - A. Irvin Studley Elementary School,00160001,MATH,          33,48,           4,6,          29,42,          27,39,           9,13,          69,99,     497.0,,,58,2022,3,ALL
Attleboro - Hill-Roberts Elementary School,00160045,ELA,          39,48,           6,7,          33,41,          31,38,          11,14,          81,100,     497.5,,,52,2022,3,ALL
Attleboro - Hill-Roberts Elementary School,00160045,MATH,          34,43,           2,3,          32,40,          38,48,           8,10,          80,100,     494.6,,,52,2022,3,ALL
Attleboro - Hyman Fine Elementary School,00160040,ELA,          30,35,           5,6,          25,29,          44,51,          12,14,          86,100,     493.2,,,36,2022,3,ALL
Attleboro - Hyman Fine Elementary School,00160040,MATH,          22,26,           4,5,          18,21,          49,57,          15,17,          86,100,     489.4,,,38,2022,3,ALL
Attleboro - Peter Thacher Elementary School,00160050,ELA,          36,46,           7,9,          29,37,          32,41,          10,13,          78,99,     500.6,,,62,2022,3,ALL
Attleboro - Peter Thacher Elementary School,00160050,MATH,          31,40,           5,6,          26,33,          29,37,          18,23,          78,99,     495.1,,,54,2022,3,ALL
Attleboro - Thomas Willett Elementary School,00160035,ELA,          31,41,           6,8,          25,33,          36,48,           8,11,          75,100,     496.1,,,47,2022,3,ALL
Attleboro - Thomas Willett Elementary School,00160035,MATH,          29,39,           6,8,          23,31,          30,40,          16,21,          75,100,     491.0,,,42,2022,3,ALL
Auburn - Swanson Road Intermediate School,00170030,ELA,          91,49,           6,3,          85,46,          83,45,          10,5,         184,99,     499.5,,,58,2022,3,ALL
Auburn - Swanson Road Intermediate School,00170030,MATH,          97,53,          17,9,          80,43,          62,34,          25,14,         184,99,     500.8,,,70,2022,3,ALL
Avon - Ralph D Butler,00180010,ELA,          17,35,           4,8,          13,27,          24,50,           7,15,          48,100,     496.7,,,49,2022,3,ALL
Avon - Ralph D Butler,00180010,MATH,          19,40,           3,6,          16,33,          22,46,           7,15,          48,100,     495.4,,,54,2022,3,ALL
Ayer Shirley School District - Lura A. White Elementary School,06160001,ELA,          18,44,           4,10,          14,34,          19,46,           4,10,          41,98,     498.0,,,53,2022,3,ALL
Ayer Shirley School District - Lura A. White Elementary School,06160001,MATH,          15,37,           2,5,          13,32,          19,46,           7,17,          41,98,     492.0,,,44,2022,3,ALL
Ayer Shirley School District - Page Hilltop Elementary School,06160002,ELA,          43,60,           4,6,          39,54,          27,38,           2,3,          72,96,     504.6,,,75,2022,3,ALL
Ayer Shirley School District - Page Hilltop Elementary School,06160002,MATH,          39,53,           3,4,          36,49,          28,38,           6,8,          73,97,     501.0,,,70,2022,3,ALL
Barnstable - Barnstable Community Innovation School,00200012,ELA,          26,35,           5,7,          21,28,          40,53,           9,12,          75,100,     494.0,,,40,2022,3,ALL
Barnstable - Barnstable Community Innovation School,00200012,MATH,          20,27,           0,0,          20,27,          42,56,          13,17,          75,100,     487.6,,,33,2022,3,ALL
