school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Amherst - Fort River Elementary,00080020,ELA,          18,47,           3,8,          15,39,          15,39,           5,13,          38,     498.3,          25.7,          37,34,2019,4,ALL
Amherst - Fort River Elementary,00080020,MATH,          23,58,           5,13,          18,45,          10,25,           7,18,          40,     500.7,          40.1,          39,52,2019,4,ALL
Amherst - Wildwood Elementary,00080050,ELA,          31,62,           3,6,          28,56,          18,36,           1,2,          50,     506.9,          45.5,          46,68,2019,4,ALL
Amherst - Wildwood Elementary,00080050,MATH,          29,58,           8,16,          21,42,          17,34,           4,8,          50,     505.3,          61.7,          44,70,2019,4,ALL
Andover - Bancroft Elementary,00090003,ELA,          69,66,          10,10,          59,56,          30,29,           6,6,         105,     506.6,          58.5,         101,67,2019,4,ALL
Andover - Bancroft Elementary,00090003,MATH,          63,60,          13,12,          50,48,          36,34,           6,6,         105,     504.4,          60.8,         101,67,2019,4,ALL
Andover - Henry C Sanborn Elementary,00090010,ELA,          46,61,          14,19,          32,43,          29,39,           0,0,          75,     510.8,          50.4,          70,81,2019,4,ALL
Andover - Henry C Sanborn Elementary,00090010,MATH,          60,80,          11,15,          49,65,          14,19,           1,1,          75,     512.2,          59.3,          71,89,2019,4,ALL
Andover - High Plain Elementary,00090004,ELA,          68,77,          30,34,          38,43,          17,19,           3,3,          88,     519.0,          66.5,          82,96,2019,4,ALL
Andover - High Plain Elementary,00090004,MATH,          70,79,          20,22,          50,56,          18,20,           1,1,          89,     514.7,          66.7,          83,93,2019,4,ALL
Andover - South Elementary,00090020,ELA,          49,72,          16,24,          33,49,          19,28,           0,0,          68,     513.2,          43.6,          64,87,2019,4,ALL
Andover - South Elementary,00090020,MATH,          55,81,          15,22,          40,59,          11,16,           2,3,          68,     515.3,          61.6,          65,94,2019,4,ALL
Andover - West Elementary,00090025,ELA,          84,76,          27,24,          57,51,          25,23,           2,2,         111,     515.5,          63.7,         106,92,2019,4,ALL
Andover - West Elementary,00090025,MATH,          75,68,          19,17,          56,50,          32,29,           4,4,         111,     511.2,          67.6,         106,87,2019,4,ALL
Arlington - Brackett,00100010,ELA,          72,75,          16,17,          56,58,          20,21,           4,4,          96,     513.7,          51.7,          87,89,2019,4,ALL
Arlington - Brackett,00100010,MATH,          63,66,          12,13,          51,53,          30,31,           3,3,          96,     509.1,          47.2,          90,81,2019,4,ALL
Arlington - Cyrus E Dallin,00100025,ELA,          53,67,          13,16,          40,51,          24,30,           2,3,          79,     508.7,          53.2,          77,75,2019,4,ALL
Arlington - Cyrus E Dallin,00100025,MATH,          60,76,          13,16,          47,59,          17,22,           2,3,          79,     510.9,          59.1,          78,86,2019,4,ALL
Arlington - Hardy,00100030,ELA,          31,46,           3,4,          28,41,          35,51,           2,3,          68,     499.5,          25.6,          67,38,2019,4,ALL
Arlington - Hardy,00100030,MATH,          38,56,           4,6,          34,50,          28,41,           2,3,          68,     503.9,          35.5,          67,65,2019,4,ALL
Arlington - John A Bishop,00100005,ELA,          48,70,          13,19,          35,51,          20,29,           1,1,          69,     513.8,          45.8,          68,89,2019,4,ALL
Arlington - John A Bishop,00100005,MATH,          52,75,           9,13,          43,62,          15,22,           2,3,          69,     512.6,          61.9,          68,90,2019,4,ALL
Arlington - M Norcross Stratton,00100055,ELA,          44,71,           6,10,          38,61,          17,27,           1,2,          62,     508.4,          56.8,          59,74,2019,4,ALL
Arlington - M Norcross Stratton,00100055,MATH,          42,68,          10,16,          32,52,          17,27,           3,5,          62,     509.5,          60.1,          59,82,2019,4,ALL
Arlington - Peirce,00100045,ELA,          22,51,           8,19,          14,33,          21,49,           0,0,          43,     504.8,          47.6,          42,60,2019,4,ALL
Arlington - Peirce,00100045,MATH,          23,53,           4,9,          19,44,          18,42,           2,5,          43,     503.6,          39.8,          42,64,2019,4,ALL
Arlington - Thompson,00100050,ELA,          64,81,          24,30,          40,51,          14,18,           1,1,          79,     516.6,          69.6,          77,93,2019,4,ALL
Arlington - Thompson,00100050,MATH,          60,75,           8,10,          52,65,          18,23,           2,3,          80,     509.4,          59.6,          77,82,2019,4,ALL
Ashburnham-Westminster - Briggs Elementary,06100025,ELA,          38,43,           2,2,          36,41,          48,55,           2,2,          88,     499.1,          46.2,          87,37,2019,4,ALL
Ashburnham-Westminster - Briggs Elementary,06100025,MATH,          33,38,           2,2,          31,35,          47,53,           8,9,          88,     493.4,          25.9,          87,27,2019,4,ALL
Ashburnham-Westminster - Westminster Elementary,06100005,ELA,          33,36,           1,1,          32,35,          51,55,           8,9,          92,     496.8,          44.0,          86,30,2019,4,ALL
Ashburnham-Westminster - Westminster Elementary,06100005,MATH,          42,46,           5,5,          37,40,          47,51,           3,3,          92,     498.4,          48.2,          86,43,2019,4,ALL
Ashland - David Mindess,00140015,ELA,         123,57,          20,9,         103,48,          86,40,           7,3,         216,     504.1,          46.9,         211,57,2019,4,ALL
Ashland - David Mindess,00140015,MATH,         100,46,          18,8,          82,38,          98,45,          18,8,         216,     499.5,          44.1,         210,47,2019,4,ALL
Athol-Royalston - Athol Community Elementary School,06150020,ELA,          30,34,           3,3,          27,31,          48,55,           9,10,          87,     493.6,          45.1,          83,20,2019,4,ALL
Athol-Royalston - Athol Community Elementary School,06150020,MATH,          25,29,           5,6,          20,23,          42,48,          20,23,          87,     488.5,          33.9,          83,14,2019,4,ALL
Athol-Royalston - Royalston Community School,06150050,ELA,          12,63,           0,0,          12,63,           7,37,           0,0,          19,     503.4,,          19,54,2019,4,ALL
Athol-Royalston - Royalston Community School,06150050,MATH,           9,47,           1,5,           8,42,          10,53,           0,0,          19,     500.1,,          19,49,2019,4,ALL
Atlantis Charter (District) - Atlantis Charter School,04910550,ELA,          46,42,          12,11,          34,31,          53,48,          11,10,         110,     499.4,          45.6,         109,38,2019,4,ALL
Atlantis Charter (District) - Atlantis Charter School,04910550,MATH,          43,39,           5,5,          38,35,          49,45,          18,16,         110,     493.1,          32.1,         109,25,2019,4,ALL
Attleboro - A. Irvin Studley Elementary School,00160001,ELA,          41,53,           9,12,          32,41,          34,44,           3,4,          78,     504.0,          39.6,          77,56,2019,4,ALL
Attleboro - A. Irvin Studley Elementary School,00160001,MATH,          46,59,           8,10,          38,49,          30,38,           2,3,          78,     503.6,          49.2,          78,64,2019,4,ALL
Attleboro - Hill-Roberts Elementary School,00160045,ELA,          37,45,           2,2,          35,43,          37,45,           8,10,          82,     495.9,          39.2,          77,27,2019,4,ALL
Attleboro - Hill-Roberts Elementary School,00160045,MATH,          38,46,           2,2,          36,44,          32,39,          12,15,          82,     495.0,          56.9,          77,32,2019,4,ALL
Attleboro - Hyman Fine Elementary School,00160040,ELA,          64,79,          14,17,          50,62,          16,20,           1,1,          81,     513.9,          63.6,          76,89,2019,4,ALL
Attleboro - Hyman Fine Elementary School,00160040,MATH,          55,68,          11,14,          44,54,          25,31,           1,1,          81,     507.9,          68.0,          76,79,2019,4,ALL
Attleboro - Peter Thacher Elementary School,00160050,ELA,          49,66,          17,23,          32,43,          17,23,           8,11,          74,     513.0,          71.6,          63,86,2019,4,ALL
Attleboro - Peter Thacher Elementary School,00160050,MATH,          51,69,           6,8,          45,61,          12,16,          11,15,          74,     506.3,          72.7,          63,74,2019,4,ALL
Attleboro - Thomas Willett Elementary School,00160035,ELA,          66,70,          12,13,          54,57,          23,24,           5,5,          94,     508.3,          49.5,          89,74,2019,4,ALL
Attleboro - Thomas Willett Elementary School,00160035,MATH,          48,51,           3,3,          45,48,          36,38,          10,11,          94,     498.8,          48.2,          89,45,2019,4,ALL
Auburn - Swanson Road Intermediate School,00170030,ELA,         118,59,          19,9,          99,49,          71,35,          12,6,         201,     505.7,          45.6,         197,63,2019,4,ALL
Auburn - Swanson Road Intermediate School,00170030,MATH,         116,58,          18,9,          98,49,          68,34,          17,8,         201,     503.7,          52.7,         197,64,2019,4,ALL
Avon - Ralph D Butler,00180010,ELA,          19,35,           0,0,          19,35,          25,46,          10,19,          54,     492.7,          31.3,          53,18,2019,4,ALL
Avon - Ralph D Butler,00180010,MATH,          18,33,           1,2,          17,31,          23,43,          13,24,          54,     488.7,          44.7,          53,15,2019,4,ALL
Ayer Shirley School District - Lura A. White Elementary School,06160001,ELA,          27,44,           1,2,          26,43,          30,49,           4,7,          61,     497.0,          38.9,          59,30,2019,4,ALL
Ayer Shirley School District - Lura A. White Elementary School,06160001,MATH,          28,46,           3,5,          25,41,          27,44,           6,10,          61,     496.9,          42.1,          58,38,2019,4,ALL
Ayer Shirley School District - Page Hilltop Elementary School,06160002,ELA,          39,49,           4,5,          35,44,          37,46,           4,5,          80,     500.6,          55.1,          79,42,2019,4,ALL
Ayer Shirley School District - Page Hilltop Elementary School,06160002,MATH,          35,44,           3,4,          32,41,          39,49,           5,6,          79,     498.9,          60.4,          77,45,2019,4,ALL
Barnstable - Barnstable United Elementary School,00200050,ELA,         203,51,          22,6,         181,46,         162,41,          31,8,         396,     500.9,          39.4,         377,43,2019,4,ALL
Barnstable - Barnstable United Elementary School,00200050,MATH,         202,51,          18,5,         184,46,         152,38,          44,11,         398,     497.9,          38.6,         380,41,2019,4,ALL
Bedford - Lt Job Lane School,00230012,ELA,         147,71,          39,19,         108,52,          53,26,           6,3,         206,     511.3,          55.2,         200,82,2019,4,ALL
Bedford - Lt Job Lane School,00230012,MATH,         154,75,          40,20,         114,56,          39,19,          11,5,         204,     512.2,          59.3,         199,89,2019,4,ALL
Belchertown - Chestnut Hill Community School,00240006,ELA,          65,39,           4,2,          61,37,          83,50,          17,10,         165,     495.1,          32.3,         162,24,2019,4,ALL
Belchertown - Chestnut Hill Community School,00240006,MATH,          59,36,           5,3,          54,33,          89,54,          17,10,         165,     492.7,          49.6,         162,24,2019,4,ALL
Bellingham - Bellingham Memorial School,00250315,ELA,          56,33,           6,4,          50,29,         100,59,          14,8,         170,     495.0,          34.5,         167,24,2019,4,ALL
Bellingham - Bellingham Memorial School,00250315,MATH,          52,31,           6,4,          46,27,          93,55,          25,15,         170,     491.8,          32.8,         167,22,2019,4,ALL
Belmont - Daniel Butler,00260015,ELA,          68,79,          25,29,          43,50,          16,19,           2,2,          86,     518.2,          64.2,          81,95,2019,4,ALL
Belmont - Daniel Butler,00260015,MATH,          65,76,          22,26,          43,50,          20,23,           1,1,          86,     514.7,          62.9,          81,93,2019,4,ALL
Belmont - Mary Lee Burbank,00260010,ELA,          80,91,          38,43,          42,48,           8,9,           0,0,          88,     525.0,          66.9,          80,99,2019,4,ALL
Belmont - Mary Lee Burbank,00260010,MATH,          77,89,          29,33,          48,55,           8,9,           2,2,          87,     520.8,          57.9,          79,99,2019,4,ALL
Belmont - Roger E Wellington,00260035,ELA,          92,79,          39,34,          53,46,          23,20,           1,1,         116,     519.6,          62.5,         111,97,2019,4,ALL
Belmont - Roger E Wellington,00260035,MATH,          89,77,          25,22,          64,55,          25,22,           2,2,         116,     514.7,          48.6,         110,93,2019,4,ALL
Belmont - Winn Brook,00260005,ELA,          79,84,          28,30,          51,54,          15,16,           0,0,          94,     518.8,          60.4,          90,96,2019,4,ALL
Belmont - Winn Brook,00260005,MATH,          74,79,          24,26,          50,53,          19,20,           1,1,          94,     516.0,          38.5,          90,95,2019,4,ALL
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,ELA,          29,63,           4,9,          25,54,          17,37,           0,0,          46,     506.5,          39.4,          43,66,2019,4,ALL
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,MATH,          29,63,           1,2,          28,61,          17,37,           0,0,          46,     506.0,          48.6,          44,73,2019,4,ALL
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,ELA,          34,67,           2,4,          32,63,          15,29,           2,4,          51,     508.2,          38.0,          51,73,2019,4,ALL
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,MATH,          34,67,           7,14,          27,53,          16,31,           1,2,          51,     510.0,          47.1,          51,84,2019,4,ALL
Bentley Academy Charter School (District) - Bentley Academy Charter School,35110205,ELA,          16,28,           0,0,          16,28,          38,67,           3,5,          57,     493.4,          42.8,          54,20,2019,4,ALL
Bentley Academy Charter School (District) - Bentley Academy Charter School,35110205,MATH,          19,33,           1,2,          18,32,          26,46,          12,21,          57,     489.2,          48.1,          54,17,2019,4,ALL
Berkley - Berkley Community School,00270010,ELA,          59,70,          13,15,          46,55,          24,29,           1,1,          84,     510.8,          60.9,          84,81,2019,4,ALL
Berkley - Berkley Community School,00270010,MATH,          53,63,          12,14,          41,49,          29,35,           2,2,          84,     506.6,          60.1,          84,75,2019,4,ALL
Berkshire Hills - Muddy Brook Regional Elementary School,06180035,ELA,          36,61,           8,14,          28,47,          21,36,           2,3,          59,     507.5,          70.1,          58,71,2019,4,ALL
