school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Agawam - Roberta G. Doering School,00050303,SCI,         118,45,           9,3,         109,42,         121,47,          21,8,         260,98,     497.4,,,55,2022,5,ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,ELA,          22,43,           5,10,          17,33,          27,53,           2,4,          51,96,     497.5,          49.4,          50,61,2022,5,ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,MATH,          11,22,           1,2,          10,20,          34,67,           6,12,          51,100,     487.4,          38.2,          50,33,2022,5,ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,SCI,          15,29,           3,6,          12,24,          31,61,           5,10,          51,100,     489.6,,,34,2022,5,ALL
Amesbury - Amesbury Middle,00070013,ELA,          53,40,           2,2,          51,39,          62,47,          17,13,         132,99,     495.8,          45.6,         119,53,2022,5,ALL
Amesbury - Amesbury Middle,00070013,MATH,          38,29,           2,2,          36,27,          73,56,          20,15,         131,98,     490.5,          31.4,         118,42,2022,5,ALL
Amesbury - Amesbury Middle,00070013,SCI,          64,50,          11,9,          53,41,          45,35,          19,15,         128,96,     500.9,,,66,2022,5,ALL
Amherst - Crocker Farm Elementary,00080009,ELA,          22,49,           3,7,          19,42,          19,42,           4,9,          45,100,     499.7,          49.5,          31,68,2022,5,ALL
Amherst - Crocker Farm Elementary,00080009,MATH,          23,51,           5,11,          18,40,          20,44,           2,4,          45,100,     501.9,          59.1,          30,76,2022,5,ALL
Amherst - Crocker Farm Elementary,00080009,SCI,          24,53,           6,13,          18,40,          17,38,           4,9,          45,100,     502.4,,,71,2022,5,ALL
Amherst - Fort River Elementary,00080020,ELA,          16,32,           0,0,          16,32,          24,48,          10,20,          50,87,     489.3,          38.2,          28,29,2022,5,ALL
Amherst - Fort River Elementary,00080020,MATH,          19,37,           3,6,          16,31,          15,29,          17,33,          51,89,     487.0,          51.1,          29,32,2022,5,ALL
Amherst - Fort River Elementary,00080020,SCI,          19,37,           6,12,          13,25,          17,33,          15,29,          51,89,     490.2,,,36,2022,5,ALL
Amherst - Wildwood Elementary,00080050,ELA,          18,40,           2,4,          16,36,          17,38,          10,22,          45,98,     492.4,          48.5,          26,40,2022,5,ALL
