school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Acushnet - Acushnet Elementary School,00030025,MATH,          42,51,           7,9,          35,43,          33,40,           7,9,          82,100,     501.1,,,2021,ALL,female
Acushnet - Albert F Ford Middle School,00030305,ELA,         100,52,          19,10,          81,42,          69,36,          22,12,         191,98,     502.0,          36.8,         177,2021,ALL,female
Acushnet - Albert F Ford Middle School,00030305,MATH,          67,35,           8,4,          59,31,         100,52,          24,13,         191,98,     494.0,          32.7,         180,2021,ALL,female
Acushnet - Albert F Ford Middle School,00030305,SCI,          34,36,           4,4,          30,32,          44,47,          16,17,          94,99,     493.4,,,2021,ALL,female
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,ELA,         111,66,          28,17,          83,49,          52,31,           5,3,         168,95,     510.3,          44.0,         154,2021,ALL,female
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,MATH,          75,44,          14,8,          61,36,          79,47,          15,9,         169,95,     498.8,          31.4,         155,2021,ALL,female
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,SCI,          28,68,           1,2,          27,66,          12,29,           1,2,          41,93,     506.7,,,2021,ALL,female
Agawam - Agawam Junior High,00050405,ELA,          66,37,           7,4,          59,33,          87,49,          26,15,         179,64,     494.0,          29.3,         172,2021,ALL,female
Agawam - Agawam Junior High,00050405,MATH,          59,33,           5,3,          54,30,          92,52,          27,15,         178,64,     491.1,          25.4,         172,2021,ALL,female
Agawam - Agawam Junior High,00050405,SCI,          24,41,           4,7,          20,34,          25,43,           9,16,          58,49,     493.5,,,2021,ALL,female
Agawam - Benjamin J Phelps,00050020,ELA,          36,49,           5,7,          31,42,          35,48,           2,3,          73,94,     500.2,,,2021,ALL,female
Agawam - Benjamin J Phelps,00050020,MATH,          17,23,           1,1,          16,22,          39,53,          17,23,          73,94,     484.7,,,2021,ALL,female
Agawam - Clifford M Granger,00050010,ELA,          25,54,           3,7,          22,48,          17,37,           4,9,          46,89,     499.9,,,2021,ALL,female
Agawam - Clifford M Granger,00050010,MATH,          16,35,           0,0,          16,35,          21,46,           9,20,          46,89,     488.7,,,2021,ALL,female
Agawam - James Clark School,00050030,ELA,          31,67,           5,11,          26,57,          15,33,           0,0,          46,100,     506.4,,,2021,ALL,female
Agawam - James Clark School,00050030,MATH,           8,17,           0,0,           8,17,          28,61,          10,22,          46,100,     484.1,,,2021,ALL,female
Agawam - Roberta G. Doering School,00050303,ELA,         100,52,          11,6,          89,46,          79,41,          13,7,         192,88,     500.6,          36.3,         183,2021,ALL,female
Agawam - Roberta G. Doering School,00050303,MATH,          66,35,           8,4,          58,31,         104,55,          19,10,         189,87,     493.2,          29.7,         180,2021,ALL,female
Agawam - Roberta G. Doering School,00050303,SCI,          42,39,           2,2,          40,37,          53,49,          13,12,         108,91,     494.2,,,2021,ALL,female
Agawam - Robinson Park,00050025,ELA,          31,54,           2,4,          29,51,          26,46,           0,0,          57,92,     501.3,,,2021,ALL,female
Agawam - Robinson Park,00050025,MATH,          14,25,           3,5,          11,19,          30,53,          13,23,          57,92,     486.5,,,2021,ALL,female
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,ELA,         132,50,          16,6,         116,44,         104,39,          30,11,         266,100,     497.9,          32.8,         170,2021,ALL,female
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,MATH,          62,23,           1,0,          61,23,         139,52,          65,24,         266,100,     483.7,          14.9,         170,2021,ALL,female
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,SCI,           9,18,           0,0,           9,18,          29,57,          13,25,          51,100,     481.6,,,2021,ALL,female
Amesbury - Amesbury Elementary,00070005,ELA,          20,61,           4,12,          16,48,           9,27,           4,12,          33,98,     504.2,,,2021,ALL,female
Amesbury - Amesbury Elementary,00070005,MATH,          12,38,           1,3,          11,34,          16,50,           4,13,          32,95,     493.8,,,2021,ALL,female
Amesbury - Amesbury Middle,00070013,ELA,         136,53,          22,9,         114,44,          85,33,          37,14,         258,92,     499.4,          38.6,         245,2021,ALL,female
Amesbury - Amesbury Middle,00070013,MATH,          73,29,           4,2,          69,27,         133,53,          47,19,         253,90,     488.4,          32.2,         240,2021,ALL,female
Amesbury - Amesbury Middle,00070013,SCI,          62,47,           8,6,          54,41,          48,36,          22,17,         132,97,     497.4,,,2021,ALL,female
Amesbury - Charles C Cashman Elementary,00070010,ELA,          35,58,           6,10,          29,48,          16,27,           9,15,          60,93,     503.1,,,2021,ALL,female
Amesbury - Charles C Cashman Elementary,00070010,MATH,          17,28,           0,0,          17,28,          27,45,          16,27,          60,93,     486.0,,,2021,ALL,female
Amherst - Crocker Farm Elementary,00080009,ELA,          27,71,           3,8,          24,63,           6,16,           5,13,          38,52,     504.8,,          18,2021,ALL,female
Amherst - Crocker Farm Elementary,00080009,MATH,          14,38,           1,3,          13,35,          19,51,           4,11,          37,50,     495.9,,          19,2021,ALL,female
Amherst - Crocker Farm Elementary,00080009,SCI,           7,44,           1,6,           6,38,           6,38,           3,19,          16,64,     496.1,,,2021,ALL,female
Amherst - Fort River Elementary,00080020,ELA,          29,57,          11,22,          18,35,          18,35,           4,8,          51,64,     506.3,,          18,2021,ALL,female
Amherst - Fort River Elementary,00080020,MATH,          24,47,           5,10,          19,37,          12,24,          15,29,          51,64,     493.2,,          19,2021,ALL,female
Amherst - Wildwood Elementary,00080050,ELA,          44,67,          12,18,          32,48,          19,29,           3,5,          66,68,     507.6,          43.0,          30,2021,ALL,female
Amherst - Wildwood Elementary,00080050,MATH,          20,31,           2,3,          18,28,          32,49,          13,20,          65,67,     490.1,          33.7,          29,2021,ALL,female
Amherst - Wildwood Elementary,00080050,SCI,          12,60,           2,10,          10,50,           6,30,           2,10,          20,71,     507.0,,,2021,ALL,female
Amherst-Pelham - Amherst Regional Middle School,06050405,ELA,          37,73,           8,16,          29,57,           7,14,           7,14,          51,27,     510.6,          54.1,          44,2021,ALL,female
Amherst-Pelham - Amherst Regional Middle School,06050405,MATH,          29,51,           6,11,          23,40,          21,37,           7,12,          57,30,     502.9,          35.2,          49,2021,ALL,female
Amherst-Pelham - Amherst Regional Middle School,06050405,SCI,          10,71,           2,14,           8,57,           2,14,           2,14,          14,16,     513.3,,,2021,ALL,female
Andover - Andover West Middle,00090310,ELA,         164,64,          48,19,         116,45,          74,29,          19,7,         257,99,     508.6,          39.6,         233,2021,ALL,female
Andover - Andover West Middle,00090310,MATH,         152,59,          47,18,         105,41,          85,33,          21,8,         258,99,     506.5,          43.4,         234,2021,ALL,female
Andover - Andover West Middle,00090310,SCI,          46,72,           8,13,          38,59,          18,28,           0,0,          64,98,     508.7,,,2021,ALL,female
Andover - Bancroft Elementary,00090003,ELA,          95,76,          28,22,          67,54,          27,22,           3,2,         125,99,     512.5,          51.7,          42,2021,ALL,female
Andover - Bancroft Elementary,00090003,MATH,          56,45,          11,9,          45,36,          55,44,          14,11,         125,99,     498.1,          46.7,          43,2021,ALL,female
Andover - Bancroft Elementary,00090003,SCI,          32,74,           7,16,          25,58,           9,21,           2,5,          43,100,     511.1,,,2021,ALL,female
Andover - Doherty Middle,00090305,ELA,         154,70,          34,15,         120,54,          62,28,           5,2,         221,97,     511.5,          45.5,         214,2021,ALL,female
Andover - Doherty Middle,00090305,MATH,         111,50,          24,11,          87,39,          99,45,          11,5,         221,97,     502.3,          42.1,         215,2021,ALL,female
Andover - Doherty Middle,00090305,SCI,          43,57,          10,13,          33,44,          29,39,           3,4,          75,96,     504.2,,,2021,ALL,female
Andover - Henry C Sanborn Elementary,00090010,ELA,          71,72,          17,17,          54,55,          24,24,           3,3,          98,99,     511.7,          31.4,          36,2021,ALL,female
Andover - Henry C Sanborn Elementary,00090010,MATH,          61,62,          14,14,          47,48,          33,34,           4,4,          98,99,     507.7,          38.5,          36,2021,ALL,female
Andover - Henry C Sanborn Elementary,00090010,SCI,          20,56,           3,8,          17,47,          12,33,           4,11,          36,100,     501.6,,,2021,ALL,female
Andover - High Plain Elementary,00090004,ELA,          97,83,          41,35,          56,48,          14,12,           6,5,         117,99,     519.8,          59.9,          36,2021,ALL,female
Andover - High Plain Elementary,00090004,MATH,          76,65,          22,19,          54,46,          33,28,           8,7,         117,99,     510.0,          61.1,          36,2021,ALL,female
Andover - High Plain Elementary,00090004,SCI,          32,78,          15,37,          17,41,           8,20,           1,2,          41,100,     519.1,,,2021,ALL,female
Andover - South Elementary,00090020,ELA,          99,79,          25,20,          74,59,          24,19,           2,2,         125,100,     513.1,          44.1,          51,2021,ALL,female
Andover - South Elementary,00090020,MATH,          67,54,           6,5,          61,49,          52,42,           6,5,         125,100,     499.4,          39.4,          51,2021,ALL,female
Andover - South Elementary,00090020,SCI,          30,59,           5,10,          25,49,          18,35,           3,6,          51,100,     501.9,,,2021,ALL,female
Andover - West Elementary,00090025,ELA,          93,68,          22,16,          71,52,          39,28,           5,4,         137,99,     510.5,          44.4,          47,2021,ALL,female
Andover - West Elementary,00090025,MATH,          60,44,          15,11,          45,33,          61,45,          16,12,         137,99,     498.3,          43.8,          47,2021,ALL,female
Andover - West Elementary,00090025,SCI,          33,63,           7,13,          26,50,          16,31,           3,6,          52,100,     506.5,,,2021,ALL,female
Andover - Wood Hill Middle School,00090350,ELA,         121,69,          39,22,          82,47,          44,25,          11,6,         176,100,     511.0,          35.8,         158,2021,ALL,female
Andover - Wood Hill Middle School,00090350,MATH,         108,61,          32,18,          76,43,          53,30,          15,9,         176,100,     507.4,          37.2,         159,2021,ALL,female
Andover - Wood Hill Middle School,00090350,SCI,          26,58,           7,16,          19,42,          13,29,           6,13,          45,100,     502.8,,,2021,ALL,female
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,ELA,          34,23,           2,1,          32,21,          77,51,          39,26,         150,97,     483.6,          23.6,         140,2021,ALL,female
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,MATH,          18,12,           0,0,          18,12,          89,59,          44,29,         151,97,     479.2,          19.1,         141,2021,ALL,female
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,SCI,           5,16,           0,0,           5,16,          15,48,          11,35,          31,100,     480.3,,,2021,ALL,female
Arlington - Brackett,00100010,ELA,          86,83,          17,17,          69,67,          15,15,           2,2,         103,99,     516.3,          42.3,          33,2021,ALL,female
Arlington - Brackett,00100010,MATH,          56,54,          14,14,          42,41,          41,40,           6,6,         103,99,     503.3,          37.5,          33,2021,ALL,female
Arlington - Brackett,00100010,SCI,          30,88,           8,24,          22,65,           4,12,           0,0,          34,100,     518.0,,,2021,ALL,female
Arlington - Cyrus E Dallin,00100025,ELA,          84,81,          24,23,          60,58,          18,17,           2,2,         104,100,     514.5,          49.5,          36,2021,ALL,female
Arlington - Cyrus E Dallin,00100025,MATH,          52,50,          10,10,          42,41,          42,41,           9,9,         103,99,     500.6,          38.2,          36,2021,ALL,female
Arlington - Cyrus E Dallin,00100025,SCI,          21,58,           3,8,          18,50,          13,36,           2,6,          36,100,     504.7,,,2021,ALL,female
Arlington - Gibbs School,00100305,ELA,         167,78,          70,33,          97,46,          37,17,           9,4,         213,96,     519.6,          58.1,         204,2021,ALL,female
Arlington - Gibbs School,00100305,MATH,         136,64,          24,11,         112,53,          68,32,           9,4,         213,96,     506.5,          41.9,         205,2021,ALL,female
Arlington - Hardy,00100030,ELA,          73,72,          23,23,          50,50,          25,25,           3,3,         101,94,     511.5,          40.7,          29,2021,ALL,female
Arlington - Hardy,00100030,MATH,          52,51,           6,6,          46,46,          41,41,           8,8,         101,93,     500.4,          38.1,          29,2021,ALL,female
Arlington - Hardy,00100030,SCI,          21,72,           8,28,          13,45,           7,24,           1,3,          29,97,     513.0,,,2021,ALL,female
Arlington - John A Bishop,00100005,ELA,          63,79,          24,30,          39,49,          15,19,           2,3,          80,99,     516.3,          50.8,          28,2021,ALL,female
Arlington - John A Bishop,00100005,MATH,          43,54,           7,9,          36,45,          36,45,           1,1,          80,99,     503.9,          41.8,          27,2021,ALL,female
Arlington - John A Bishop,00100005,SCI,          22,71,           3,10,          19,61,           6,19,           3,10,          31,97,     503.7,,,2021,ALL,female
Arlington - M Norcross Stratton,00100055,ELA,          75,72,          18,17,          57,55,          26,25,           3,3,         104,99,     510.5,          37.7,          34,2021,ALL,female
Arlington - M Norcross Stratton,00100055,MATH,          56,54,          10,10,          46,44,          35,34,          13,13,         104,99,     500.3,          46.0,          34,2021,ALL,female
Arlington - M Norcross Stratton,00100055,SCI,          22,61,           7,19,          15,42,           7,19,           7,19,          36,97,     505.0,,,2021,ALL,female
Arlington - Ottoson Middle,00100410,ELA,         283,76,          90,24,         193,52,          76,21,          11,3,         370,92,     516.6,          48.8,         355,2021,ALL,female
Arlington - Ottoson Middle,00100410,MATH,         241,65,          56,15,         185,50,         112,30,          15,4,         368,91,     508.2,          45.8,         355,2021,ALL,female
Arlington - Ottoson Middle,00100410,SCI,          96,71,          32,24,          64,47,          33,24,           6,4,         135,96,     512.7,,,2021,ALL,female
Arlington - Peirce,00100045,ELA,          52,83,           6,10,          46,73,           8,13,           3,5,          63,97,     510.9,          47.4,          25,2021,ALL,female
Arlington - Peirce,00100045,MATH,          37,59,           5,8,          32,51,          21,33,           5,8,          63,97,     500.1,          56.6,          25,2021,ALL,female
Arlington - Peirce,00100045,SCI,          20,80,           1,4,          19,76,           4,16,           1,4,          25,100,     512.6,,,2021,ALL,female
Arlington - Thompson,00100050,ELA,          83,73,          18,16,          65,57,          27,24,           4,4,         114,89,     511.1,          47.4,          33,2021,ALL,female
Arlington - Thompson,00100050,MATH,          64,56,           9,8,          55,48,          35,31,          15,13,         114,89,     498.6,          35.5,          33,2021,ALL,female
Arlington - Thompson,00100050,SCI,          24,67,           8,22,          16,44,           7,19,           5,14,          36,90,     510.8,,,2021,ALL,female
Ashburnham-Westminster - Briggs Elementary,06100025,ELA,          68,61,           8,7,          60,54,          42,38,           2,2,         112,98,     504.6,          30.1,          34,2021,ALL,female
Ashburnham-Westminster - Briggs Elementary,06100025,MATH,          46,41,           5,4,          41,37,          53,47,          13,12,         112,98,     493.7,          28.9,          35,2021,ALL,female
Ashburnham-Westminster - Briggs Elementary,06100025,SCI,          13,37,           2,6,          11,31,          22,63,           0,0,          35,95,     498.9,,,2021,ALL,female
Ashburnham-Westminster - Overlook Middle School,06100305,ELA,         162,61,          29,11,         133,50,          83,31,          21,8,         266,99,     504.6,          50.4,         259,2021,ALL,female
Ashburnham-Westminster - Overlook Middle School,06100305,MATH,          82,31,           1,0,          81,31,         149,56,          34,13,         265,99,     491.1,          33.7,         257,2021,ALL,female
Ashburnham-Westminster - Overlook Middle School,06100305,SCI,          40,51,           3,4,          37,47,          34,44,           4,5,          78,98,     499.6,,,2021,ALL,female
Ashburnham-Westminster - Westminster Elementary,06100005,ELA,          73,58,           6,5,          67,53,          49,39,           4,3,         126,99,     503.1,          39.4,          44,2021,ALL,female
Ashburnham-Westminster - Westminster Elementary,06100005,MATH,          50,40,           2,2,          48,38,          60,48,          16,13,         126,99,     492.6,          35.2,          44,2021,ALL,female
Ashburnham-Westminster - Westminster Elementary,06100005,SCI,          18,38,           0,0,          18,38,          27,57,           2,4,          47,100,     495.4,,,2021,ALL,female
Ashland - Ashland Middle,00140405,ELA,         203,65,          57,18,         146,47,          81,26,          28,9,         312,97,     508.3,          47.7,         301,2021,ALL,female
Ashland - Ashland Middle,00140405,MATH,         161,52,          27,9,         134,43,         115,37,          34,11,         310,96,     500.8,          42.7,         299,2021,ALL,female
Ashland - Ashland Middle,00140405,SCI,          57,59,          14,14,          43,44,          32,33,           8,8,          97,94,     503.9,,,2021,ALL,female
Ashland - David Mindess,00140015,ELA,         195,67,          44,15,         151,52,          80,27,          18,6,         293,98,     507.4,          47.5,          94,2021,ALL,female
Ashland - David Mindess,00140015,MATH,         135,46,          19,6,         116,40,         122,42,          36,12,         293,98,     496.7,          46.9,          94,2021,ALL,female
Ashland - David Mindess,00140015,SCI,          51,52,           7,7,          44,44,          35,35,          13,13,          99,97,     498.9,,,2021,ALL,female
Athol-Royalston - Athol Community Elementary School,06150020,ELA,          42,46,           4,4,          38,42,          39,43,          10,11,          91,92,     495.8,,,2021,ALL,female
Athol-Royalston - Athol Community Elementary School,06150020,MATH,          25,27,           1,1,          24,26,          39,43,          27,30,          91,92,     483.3,,,2021,ALL,female
Athol-Royalston - Athol-Royalston Middle School,06150305,ELA,          48,29,           4,2,          44,27,          77,47,          38,23,         163,98,     486.9,          33.1,         157,2021,ALL,female
Athol-Royalston - Athol-Royalston Middle School,06150305,MATH,          20,12,           0,0,          20,12,          90,55,          54,33,         164,98,     478.9,          27.9,         159,2021,ALL,female
Athol-Royalston - Athol-Royalston Middle School,06150305,SCI,          22,29,           5,6,          17,22,          43,56,          12,16,          77,98,     491.1,,,2021,ALL,female
Athol-Royalston - Royalston Community School,06150050,ELA,          31,72,           9,21,          22,51,          10,23,           2,5,          43,100,     510.2,          43.8,          24,2021,ALL,female
Athol-Royalston - Royalston Community School,06150050,MATH,          23,53,           5,12,          18,42,          16,37,           4,9,          43,100,     500.6,          40.7,          24,2021,ALL,female
Athol-Royalston - Royalston Community School,06150050,SCI,           6,50,           0,0,           6,50,           6,50,           0,0,          12,100,     504.3,,,2021,ALL,female
Atlantis Charter (District) - Atlantis Charter School,04910550,ELA,         161,46,          25,7,         136,39,         151,43,          40,11,         352,100,     497.2,          33.2,         240,2021,ALL,female
Atlantis Charter (District) - Atlantis Charter School,04910550,MATH,          89,25,           3,1,          86,24,         191,54,          72,20,         352,100,     486.8,          25.4,         240,2021,ALL,female
Atlantis Charter (District) - Atlantis Charter School,04910550,SCI,          28,26,           2,2,          26,24,          63,58,          18,17,         109,100,     488.4,,,2021,ALL,female
Attleboro - A. Irvin Studley Elementary School,00160001,ELA,          44,60,          13,18,          31,42,          27,37,           2,3,          73,100,     506.0,,,2021,ALL,female
Attleboro - A. Irvin Studley Elementary School,00160001,MATH,          25,34,           4,5,          21,29,          29,40,          19,26,          73,100,     488.8,,,2021,ALL,female
Attleboro - Cyril K. Brennan Middle School,00160315,ELA,         128,49,          16,6,         112,43,         107,41,          28,11,         263,96,     499.0,          33.9,         243,2021,ALL,female
Attleboro - Cyril K. Brennan Middle School,00160315,MATH,          66,25,           6,2,          60,23,         147,56,          50,19,         263,96,     487.7,          26.2,         243,2021,ALL,female
Attleboro - Cyril K. Brennan Middle School,00160315,SCI,          42,34,           5,4,          37,30,          60,49,          20,16,         122,98,     491.6,,,2021,ALL,female
Attleboro - Hill-Roberts Elementary School,00160045,ELA,          38,49,           4,5,          34,44,          37,47,           3,4,          78,100,     498.7,,,2021,ALL,female
Attleboro - Hill-Roberts Elementary School,00160045,MATH,          22,28,           4,5,          18,23,          31,40,          25,32,          78,100,     483.4,,,2021,ALL,female
Attleboro - Hyman Fine Elementary School,00160040,ELA,          58,64,          14,16,          44,49,          27,30,           5,6,          90,100,     505.4,,,2021,ALL,female
Attleboro - Hyman Fine Elementary School,00160040,MATH,          29,32,           1,1,          28,31,          42,47,          19,21,          90,100,     486.7,,,2021,ALL,female
Attleboro - Peter Thacher Elementary School,00160050,ELA,          56,61,          11,12,          45,49,          27,29,           9,10,          92,99,     504.9,,,2021,ALL,female
Attleboro - Peter Thacher Elementary School,00160050,MATH,          32,35,           2,2,          30,33,          40,43,          20,22,          92,99,     488.9,,,2021,ALL,female
Attleboro - Robert J. Coelho Middle School,00160305,ELA,         132,49,          15,6,         117,43,         111,41,          26,10,         269,100,     498.6,          34.9,         260,2021,ALL,female
Attleboro - Robert J. Coelho Middle School,00160305,MATH,         103,38,          15,6,          88,33,         132,49,          34,13,         269,100,     493.8,          34.5,         260,2021,ALL,female
Attleboro - Robert J. Coelho Middle School,00160305,SCI,          60,49,          14,11,          46,37,          50,41,          13,11,         123,100,     499.3,,,2021,ALL,female
Attleboro - Thomas Willett Elementary School,00160035,ELA,          27,45,           4,7,          23,38,          25,42,           8,13,          60,97,     495.1,,,2021,ALL,female
Attleboro - Thomas Willett Elementary School,00160035,MATH,          17,28,           0,0,          17,28,          25,42,          18,30,          60,97,     482.2,,,2021,ALL,female
Attleboro - Wamsutta Middle School,00160320,ELA,         131,48,          17,6,         114,41,         120,44,          24,9,         275,98,     498.8,          34.6,         252,2021,ALL,female
Attleboro - Wamsutta Middle School,00160320,MATH,          97,35,           7,3,          90,33,         143,52,          35,13,         275,98,     492.1,          33.2,         254,2021,ALL,female
Attleboro - Wamsutta Middle School,00160320,SCI,          35,29,           2,2,          33,28,          68,57,          16,13,         119,98,     491.8,,,2021,ALL,female
Auburn - Auburn Middle,00170305,ELA,         175,56,          43,14,         132,42,         112,36,          25,8,         312,98,     504.7,          33.5,         303,2021,ALL,female
Auburn - Auburn Middle,00170305,MATH,         133,43,          17,5,         116,37,         149,48,          29,9,         311,98,     496.8,          33.1,         302,2021,ALL,female
Auburn - Auburn Middle,00170305,SCI,          45,53,           5,6,          40,47,          36,42,           4,5,          85,100,     501.5,,,2021,ALL,female
Auburn - Swanson Road Intermediate School,00170030,ELA,         158,61,          25,10,         133,51,          92,35,          11,4,         261,99,     504.8,          35.4,          85,2021,ALL,female
Auburn - Swanson Road Intermediate School,00170030,MATH,         100,38,           6,2,          94,36,         123,47,          38,15,         261,99,     491.9,          34.3,          86,2021,ALL,female
Auburn - Swanson Road Intermediate School,00170030,SCI,          51,59,           2,2,          49,56,          29,33,           7,8,          87,97,     502.1,,,2021,ALL,female
Avon - Avon Middle High School,00180510,ELA,          32,56,           5,9,          27,47,          20,35,           5,9,          57,95,     502.9,          44.2,          53,2021,ALL,female
Avon - Avon Middle High School,00180510,MATH,          15,26,           0,0,          15,26,          39,68,           3,5,          57,95,     490.8,          44.3,          54,2021,ALL,female
Avon - Avon Middle High School,00180510,SCI,           8,33,           0,0,           8,33,          13,54,           3,13,          24,92,     490.8,,,2021,ALL,female
Avon - Ralph D Butler,00180010,ELA,          54,51,           7,7,          47,45,          39,37,          12,11,         105,97,     498.8,          40.3,          54,2021,ALL,female
