school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Acushnet - Albert F Ford Middle School,30305,SCI,56,51,4,4,52,47,48,44,6,5,110,     500.9,,,52,2019,ALL,male
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,ELA,144,67,27,13,117,54,66,31,6,3,216,     508.0,          52.3,208,82,2019,ALL,male
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,MATH,158,73,51,24,107,50,51,24,6,3,215,     513.5,          55.8,205,91,2019,ALL,male
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,SCI,56,67,17,20,39,46,24,29,4,5,84,     510.5,,,84,2019,ALL,male
Agawam - Agawam Junior High,50405,ELA,123,40,8,3,115,37,139,45,46,15,308,     492.6,          42.9,297,26,2019,ALL,male
Agawam - Agawam Junior High,50405,MATH,162,53,35,11,127,42,117,38,27,9,306,     501.7,          44.9,294,57,2019,ALL,male
Agawam - Agawam Junior High,50405,SCI,61,41,9,6,52,35,73,49,15,10,149,     495.5,,,35,2019,ALL,male
Agawam - Benjamin J Phelps,50020,ELA,43,51,2,2,41,48,36,42,6,7,85,     500.6,          43.6,51,56,2019,ALL,male
Agawam - Benjamin J Phelps,50020,MATH,49,58,7,8,42,49,33,39,3,4,85,     503.9,          38.6,51,65,2019,ALL,male
Agawam - Clifford M Granger,50010,ELA,25,43,1,2,24,41,24,41,9,16,58,     496.1,          50.9,36,38,2019,ALL,male
Agawam - Clifford M Granger,50010,MATH,35,59,3,5,32,54,19,32,5,8,59,     502.0,          65.9,36,57,2019,ALL,male
Agawam - James Clark School,50030,ELA,34,51,6,9,28,42,23,34,10,15,67,     502.5,          47.1,32,64,2019,ALL,male
Agawam - James Clark School,50030,MATH,39,58,12,18,27,40,18,27,10,15,67,     503.5,          42.6,33,63,2019,ALL,male
Agawam - Roberta G. Doering School,50303,ELA,119,42,8,3,111,40,129,46,33,12,281,     496.0,          47.9,272,37,2019,ALL,male
Agawam - Roberta G. Doering School,50303,MATH,156,56,23,8,133,47,103,37,22,8,281,     501.5,          46.0,272,56,2019,ALL,male
Agawam - Roberta G. Doering School,50303,SCI,78,55,15,11,63,45,55,39,8,6,141,     504.0,,,63,2019,ALL,male
Agawam - Robinson Park,50025,ELA,41,59,4,6,37,54,21,30,7,10,69,     502.9,          43.0,31,66,2019,ALL,male
Agawam - Robinson Park,50025,MATH,48,70,11,16,37,54,18,26,3,4,69,     510.7,          55.2,31,85,2019,ALL,male
Alma del Mar Charter School (District) - Alma del Mar Charter School,4090205,ELA,54,44,10,8,44,36,51,41,18,15,123,     497.1,          33.0,96,42,2019,ALL,male
Alma del Mar Charter School (District) - Alma del Mar Charter School,4090205,MATH,67,54,14,11,53,43,50,41,6,5,123,     501.6,          45.1,96,56,2019,ALL,male
Alma del Mar Charter School (District) - Alma del Mar Charter School,4090205,SCI,8,24,0,0,8,24,23,68,3,9,34,     488.6,,,20,2019,ALL,male
Amesbury - Amesbury Elementary,70005,ELA,51,66,15,19,36,47,18,23,8,10,77,     510.4,          53.7,45,88,2019,ALL,male
Amesbury - Amesbury Elementary,70005,MATH,52,68,11,14,41,53,16,21,9,12,77,     506.5,          44.9,45,73,2019,ALL,male
Amesbury - Amesbury Middle,70013,ELA,160,50,17,5,143,45,126,40,32,10,318,     497.4,          50.4,314,43,2019,ALL,male
Amesbury - Amesbury Middle,70013,MATH,177,57,30,10,147,47,113,36,23,7,313,     502.5,          62.7,308,59,2019,ALL,male
Amesbury - Amesbury Middle,70013,SCI,98,58,14,8,84,49,63,37,9,5,170,     503.5,,,61,2019,ALL,male
Amesbury - Charles C Cashman Elementary,70010,ELA,47,47,11,11,36,36,44,44,10,10,101,     500.7,          63.0,49,57,2019,ALL,male
Amesbury - Charles C Cashman Elementary,70010,MATH,49,48,4,4,45,44,37,36,16,16,102,     496.3,          57.8,49,37,2019,ALL,male
Amherst - Crocker Farm Elementary,80009,ELA,38,37,2,2,36,35,42,41,23,22,103,     489.2,          39.3,72,17,2019,ALL,male
Amherst - Crocker Farm Elementary,80009,MATH,37,36,5,5,32,31,44,43,22,21,103,     491.9,          58.2,73,23,2019,ALL,male
Amherst - Crocker Farm Elementary,80009,SCI,13,42,3,10,10,32,12,39,6,19,31,     493.4,,,29,2019,ALL,male
