school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,          54,46,           3,3,          51,43,          56,47,           8,7,         118,     496.3,          45.3,         116,28,2019,5,ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,          39,33,           0,0,          39,33,          68,58,          11,9,         118,     492.0,          43.9,         116,25,2019,5,ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,SCI,          28,24,           1,1,          27,23,          75,64,          15,13,         118,     488.3,,,19,2019,5,ALL
Abington - Abington Middle School,00010405,ELA,          79,51,           7,4,          72,46,          65,42,          12,8,         156,     499.7,          48.4,         150,42,2019,5,ALL
Abington - Abington Middle School,00010405,MATH,          57,37,           2,1,          55,35,          82,53,          17,11,         156,     493.9,          49.3,         150,31,2019,5,ALL
Abington - Abington Middle School,00010405,SCI,          68,44,           4,3,          64,41,          71,46,          17,11,         156,     495.7,,,36,2019,5,ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,ELA,          30,38,           3,4,          27,34,          43,54,           7,9,          80,     496.8,          54.7,          62,28,2019,5,ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,MATH,          27,34,           2,3,          25,31,          45,56,           8,10,          80,     489.7,          42.5,          62,16,2019,5,ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,SCI,          28,35,           3,4,          25,32,          40,51,          11,14,          79,     491.7,,,22,2019,5,ALL
Acton-Boxborough - Blanchard Memorial School,06000005,ELA,          42,81,           6,12,          36,69,           9,17,           1,2,          52,     512.8,          50.0,          49,87,2019,5,ALL
Acton-Boxborough - Blanchard Memorial School,06000005,MATH,          44,85,          10,19,          34,65,           6,12,           2,4,          52,     516.5,          67.0,          49,97,2019,5,ALL
Acton-Boxborough - Blanchard Memorial School,06000005,SCI,          43,83,          18,35,          25,48,           8,15,           1,2,          52,     521.2,,,98,2019,5,ALL
Acton-Boxborough - C.T. Douglas Elementary School,06000020,ELA,          38,56,           5,7,          33,49,          25,37,           5,7,          68,     502.7,          42.1,          68,53,2019,5,ALL
Acton-Boxborough - C.T. Douglas Elementary School,06000020,MATH,          35,51,           5,7,          30,44,          27,40,           6,9,          68,     498.8,          46.3,          68,48,2019,5,ALL
Acton-Boxborough - C.T. Douglas Elementary School,06000020,SCI,          37,54,           5,7,          32,47,          25,37,           6,9,          68,     501.2,,,53,2019,5,ALL
Acton-Boxborough - Luther Conant School,06000030,ELA,          52,70,          13,18,          39,53,          21,28,           1,1,          74,     512.9,          57.6,          74,87,2019,5,ALL
Acton-Boxborough - Luther Conant School,06000030,MATH,          46,62,          17,23,          29,39,          27,36,           1,1,          74,     512.3,          70.6,          74,91,2019,5,ALL
Acton-Boxborough - Luther Conant School,06000030,SCI,          48,65,          14,19,          34,46,          24,32,           2,3,          74,     511.5,,,88,2019,5,ALL
Acton-Boxborough - McCarthy-Towne School,06000015,ELA,          52,61,           5,6,          47,55,          31,36,           2,2,          85,     504.8,          44.5,          79,62,2019,5,ALL
Acton-Boxborough - McCarthy-Towne School,06000015,MATH,          46,54,           4,5,          42,49,          36,42,           3,4,          85,     500.6,          44.7,          80,55,2019,5,ALL
Acton-Boxborough - McCarthy-Towne School,06000015,SCI,          45,53,           5,6,          40,47,          36,42,           4,5,          85,     501.4,,,54,2019,5,ALL
Acton-Boxborough - Merriam School,06000010,ELA,          64,67,          10,11,          54,57,          29,31,           2,2,          95,     508.7,          53.8,          90,77,2019,5,ALL
Acton-Boxborough - Merriam School,06000010,MATH,          63,67,           8,9,          55,59,          27,29,           4,4,          94,     507.9,          62.6,          90,80,2019,5,ALL
Acton-Boxborough - Merriam School,06000010,SCI,          62,66,          17,18,          45,48,          28,30,           4,4,          94,     508.2,,,80,2019,5,ALL
Acton-Boxborough - Paul P Gates Elementary School,06000025,ELA,          40,85,          14,30,          26,55,           7,15,           0,0,          47,     520.3,          64.4,          47,97,2019,5,ALL
Acton-Boxborough - Paul P Gates Elementary School,06000025,MATH,          38,81,          12,26,          26,55,           9,19,           0,0,          47,     517.2,          62.5,          47,98,2019,5,ALL
Acton-Boxborough - Paul P Gates Elementary School,06000025,SCI,          39,83,           9,19,          30,64,           8,17,           0,0,          47,     516.9,,,96,2019,5,ALL
Acushnet - Albert F Ford Middle School,00030305,ELA,          51,50,           0,0,          51,50,          48,48,           2,2,         101,     501.4,          42.5,          99,48,2019,5,ALL
Acushnet - Albert F Ford Middle School,00030305,MATH,          54,53,           6,6,          48,48,          45,45,           2,2,         101,     502.0,          53.6,          99,60,2019,5,ALL
Acushnet - Albert F Ford Middle School,00030305,SCI,          52,51,           8,8,          44,44,          43,43,           6,6,         101,     502.4,,,58,2019,5,ALL
Agawam - Roberta G. Doering School,00050303,ELA,         144,47,           9,3,         135,44,         139,45,          26,8,         309,     498.7,          44.1,         302,38,2019,5,ALL
Agawam - Roberta G. Doering School,00050303,MATH,         149,48,           7,2,         142,46,         141,46,          19,6,         309,     498.7,          40.9,         302,47,2019,5,ALL
Agawam - Roberta G. Doering School,00050303,SCI,         156,50,          25,8,         131,42,         130,42,          23,7,         309,     500.8,,,52,2019,5,ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,ELA,          20,40,           1,2,          19,38,          25,50,           5,10,          50,     494.0,          46.5,          48,22,2019,5,ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,MATH,          18,36,           0,0,          18,36,          26,52,           6,12,          50,     492.4,          35.0,          48,26,2019,5,ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,SCI,          14,28,           1,2,          13,26,          30,60,           6,12,          50,     488.1,,,19,2019,5,ALL
Amesbury - Amesbury Middle,00070013,ELA,          85,55,          11,7,          74,48,          64,41,           6,4,         155,     501.4,          40.1,         154,48,2019,5,ALL
Amesbury - Amesbury Middle,00070013,MATH,          69,46,           5,3,          64,42,          73,48,           9,6,         151,     498.7,          51.8,         150,47,2019,5,ALL
Amesbury - Amesbury Middle,00070013,SCI,          90,59,          13,8,          77,50,          53,35,          10,7,         153,     503.6,,,62,2019,5,ALL
Amherst - Crocker Farm Elementary,00080009,ELA,          26,46,           2,4,          24,43,          25,45,           5,9,          56,     496.3,          47.0,          54,30,2019,5,ALL
Amherst - Crocker Farm Elementary,00080009,MATH,          22,39,           3,5,          19,34,          29,52,           5,9,          56,     494.9,          56.1,          54,35,2019,5,ALL
Amherst - Crocker Farm Elementary,00080009,SCI,          22,41,           5,9,          17,31,          24,44,           8,15,          54,     494.0,,,31,2019,5,ALL
Amherst - Fort River Elementary,00080020,ELA,          21,49,           5,12,          16,37,          18,42,           4,9,          43,     500.8,          49.6,          40,46,2019,5,ALL
Amherst - Fort River Elementary,00080020,MATH,          23,52,           1,2,          22,50,          14,32,           7,16,          44,     495.9,          49.7,          41,38,2019,5,ALL
Amherst - Fort River Elementary,00080020,SCI,          18,41,           2,5,          16,36,          20,45,           6,14,          44,     496.2,,,37,2019,5,ALL
Amherst - Wildwood Elementary,00080050,ELA,          31,53,           3,5,          28,47,          23,39,           5,8,          59,     502.2,          46.6,          50,51,2019,5,ALL
Amherst - Wildwood Elementary,00080050,MATH,          30,51,           3,5,          27,46,          20,34,           9,15,          59,     499.1,          43.8,          50,49,2019,5,ALL
Amherst - Wildwood Elementary,00080050,SCI,          28,47,           5,8,          23,39,          21,36,          10,17,          59,     499.4,,,47,2019,5,ALL
Andover - Bancroft Elementary,00090003,ELA,          74,70,           5,5,          69,65,          32,30,           0,0,         106,     505.2,          49.1,         102,63,2019,5,ALL
Andover - Bancroft Elementary,00090003,MATH,          66,63,          15,14,          51,49,          35,33,           4,4,         105,     507.0,          67.7,         101,77,2019,5,ALL
Andover - Bancroft Elementary,00090003,SCI,          77,73,          17,16,          60,57,          25,24,           3,3,         105,     510.2,,,85,2019,5,ALL
Andover - Henry C Sanborn Elementary,00090010,ELA,          43,64,           7,10,          36,54,          22,33,           2,3,          67,     508.5,          53.6,          64,76,2019,5,ALL
Andover - Henry C Sanborn Elementary,00090010,MATH,          51,76,          12,18,          39,58,          14,21,           2,3,          67,     513.6,          73.7,          64,93,2019,5,ALL
Andover - Henry C Sanborn Elementary,00090010,SCI,          56,84,          24,36,          32,48,           7,10,           4,6,          67,     515.8,,,94,2019,5,ALL
Andover - High Plain Elementary,00090004,ELA,          88,81,          38,35,          50,46,          19,18,           1,1,         108,     522.9,          72.3,         102,98,2019,5,ALL
Andover - High Plain Elementary,00090004,MATH,          86,80,          22,20,          64,59,          21,19,           1,1,         108,     516.3,          76.8,         102,97,2019,5,ALL
Andover - High Plain Elementary,00090004,SCI,          89,82,          39,36,          50,46,          19,18,           0,0,         108,     521.4,,,99,2019,5,ALL
Andover - South Elementary,00090020,ELA,          70,82,          12,14,          58,68,          15,18,           0,0,          85,     513.9,          58.7,          83,89,2019,5,ALL
Andover - South Elementary,00090020,MATH,          69,81,           9,11,          60,71,          16,19,           0,0,          85,     512.5,          64.3,          83,91,2019,5,ALL
Andover - South Elementary,00090020,SCI,          71,84,          18,21,          53,62,          14,16,           0,0,          85,     515.6,,,94,2019,5,ALL
Andover - West Elementary,00090025,ELA,          57,70,          15,18,          42,51,          20,24,           5,6,          82,     513.9,          59.3,          73,90,2019,5,ALL
Andover - West Elementary,00090025,MATH,          54,66,          15,18,          39,48,          23,28,           5,6,          82,     512.3,          67.5,          74,91,2019,5,ALL
Andover - West Elementary,00090025,SCI,          76,75,          23,23,          53,52,          21,21,           4,4,         101,     516.2,,,95,2019,5,ALL
Arlington - Brackett,00100010,ELA,          52,64,           8,10,          44,54,          26,32,           3,4,          81,     506.0,          43.9,          76,66,2019,5,ALL
Arlington - Brackett,00100010,MATH,          52,65,           6,8,          46,58,          24,30,           4,5,          80,     507.1,          60.4,          76,77,2019,5,ALL
Arlington - Brackett,00100010,SCI,          54,68,          16,20,          38,48,          22,28,           4,5,          80,     509.8,,,84,2019,5,ALL
Arlington - Cyrus E Dallin,00100025,ELA,          65,76,          19,22,          46,53,          21,24,           0,0,          86,     515.7,          62.3,          85,92,2019,5,ALL
Arlington - Cyrus E Dallin,00100025,MATH,          58,67,          11,13,          47,55,          28,33,           0,0,          86,     509.3,          54.7,          85,84,2019,5,ALL
Arlington - Cyrus E Dallin,00100025,SCI,          62,72,          16,19,          46,53,          23,27,           1,1,          86,     510.4,,,86,2019,5,ALL
Arlington - Hardy,00100030,ELA,          47,78,           9,15,          38,63,          11,18,           2,3,          60,     513.7,          68.7,          57,89,2019,5,ALL
Arlington - Hardy,00100030,MATH,          43,72,           8,13,          35,58,          16,27,           1,2,          60,     510.3,          72.1,          57,86,2019,5,ALL
Arlington - Hardy,00100030,SCI,          41,68,          16,27,          25,42,          18,30,           1,2,          60,     513.8,,,92,2019,5,ALL
Arlington - John A Bishop,00100005,ELA,          48,69,           8,11,          40,57,          22,31,           0,0,          70,     508.8,          44.3,          68,77,2019,5,ALL
Arlington - John A Bishop,00100005,MATH,          48,69,          10,14,          38,54,          21,30,           1,1,          70,     511.9,          62.4,          68,90,2019,5,ALL
