school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,          43,39,           1,1,          42,39,          51,47,          15,14,         109,99,     492.3,          52.6,         109,52,2022,7,ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,          29,26,           0,0,          29,26,          61,55,          20,18,         110,100,     486.6,          51.8,         110,40,2022,7,ALL
Abington - Abington Middle School,00010405,ELA,          80,49,          13,8,          67,41,          63,39,          20,12,         163,98,     498.0,          48.1,         154,69,2022,7,ALL
Abington - Abington Middle School,00010405,MATH,          55,33,           6,4,          49,30,          88,53,          23,14,         166,99,     492.3,          40.8,         156,56,2022,7,ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,ELA,          10,15,           0,0,          10,15,          30,45,          26,39,          66,99,     476.2,          37.4,          61,9,2022,7,ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,MATH,           2,3,           0,0,           2,3,          39,60,          24,37,          65,97,     472.0,          34.0,          61,8,2022,7,ALL
Acton-Boxborough - Raymond J Grey Junior High,06000405,ELA,         252,63,          29,7,         223,56,         120,30,          25,6,         397,100,     503.8,          48.9,         382,86,2022,7,ALL
Acton-Boxborough - Raymond J Grey Junior High,06000405,MATH,         309,78,         115,29,         194,49,          71,18,          15,4,         395,99,     516.4,          71.1,         378,97,2022,7,ALL
Acushnet - Albert F Ford Middle School,00030305,ELA,          50,49,           9,9,          41,40,          40,39,          13,13,         103,99,     498.9,          40.6,          91,74,2022,7,ALL
Acushnet - Albert F Ford Middle School,00030305,MATH,          48,47,           5,5,          43,42,          40,39,          14,14,         102,98,     497.9,          42.5,          89,71,2022,7,ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,ELA,          75,53,           9,6,          66,47,          61,43,           5,4,         141,99,     500.8,          43.4,         128,77,2022,7,ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,MATH,          87,62,          23,16,          64,46,          48,34,           5,4,         140,99,     507.2,          58.7,         129,90,2022,7,ALL
Agawam - Agawam Junior High,00050405,ELA,          77,33,           7,3,          70,30,         126,54,          31,13,         234,92,     491.9,          44.0,         205,49,2022,7,ALL
Agawam - Agawam Junior High,00050405,MATH,          65,28,          11,5,          54,23,         135,58,          32,14,         232,91,     490.1,          31.3,         202,51,2022,7,ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,ELA,          45,34,           4,3,          41,31,          62,47,          25,19,         132,98,     488.9,          51.1,         131,38,2022,7,ALL
