school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,          47,39,           4,3,          43,36,          42,35,          30,25,         119,99,     488.4,          49.0,         116,39,2022,6,ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,          23,19,           0,0,          23,19,          69,58,          28,23,         120,100,     484.5,          49.3,         117,23,2022,6,ALL
Abington - Abington Middle School,00010405,ELA,          80,59,           9,7,          71,53,          47,35,           8,6,         135,99,     501.4,          56.2,         127,74,2022,6,ALL
Abington - Abington Middle School,00010405,MATH,          77,57,           6,4,          71,52,          54,40,           5,4,         136,99,     501.7,          59.6,         128,75,2022,6,ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,ELA,           7,11,           0,0,           7,11,          30,45,          29,44,          66,97,     474.1,          38.1,          62,7,2022,6,ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,MATH,           6,9,           0,0,           6,9,          38,58,          22,33,          66,97,     477.4,          32.6,          62,10,2022,6,ALL
Acton-Boxborough - Blanchard Memorial School,06000005,ELA,          47,72,          13,20,          34,52,          14,22,           4,6,          65,100,     509.0,          57.1,          59,91,2022,6,ALL
Acton-Boxborough - Blanchard Memorial School,06000005,MATH,          51,78,          11,17,          40,62,          10,15,           4,6,          65,100,     512.9,          59.0,          59,95,2022,6,ALL
Acton-Boxborough - C.T. Douglas Elementary School,06000020,ELA,          45,63,           7,10,          38,54,          23,32,           3,4,          71,100,     506.2,          63.3,          60,86,2022,6,ALL
Acton-Boxborough - C.T. Douglas Elementary School,06000020,MATH,          54,76,          19,27,          35,49,          16,23,           1,1,          71,100,     516.4,          85.2,          60,98,2022,6,ALL
Acton-Boxborough - Luther Conant School,06000030,ELA,          35,74,          16,34,          19,40,          11,23,           1,2,          47,100,     516.0,          61.2,          45,97,2022,6,ALL
Acton-Boxborough - Luther Conant School,06000030,MATH,          39,83,          14,30,          25,53,           8,17,           0,0,          47,100,     520.7,          62.7,          45,99,2022,6,ALL
Acton-Boxborough - McCarthy-Towne School,06000015,ELA,          55,76,          14,19,          41,57,          15,21,           2,3,          72,100,     514.0,          70.5,          67,95,2022,6,ALL
Acton-Boxborough - McCarthy-Towne School,06000015,MATH,          57,80,           7,10,          50,70,          13,18,           1,1,          71,99,     512.0,          67.1,          66,94,2022,6,ALL
Acton-Boxborough - Merriam School,06000010,ELA,          48,68,           7,10,          41,58,          18,25,           5,7,          71,97,     507.4,          60.5,          67,89,2022,6,ALL
Acton-Boxborough - Merriam School,06000010,MATH,          50,69,           7,10,          43,60,          21,29,           1,1,          72,99,     505.7,          61.5,          67,83,2022,6,ALL
Acton-Boxborough - Paul P Gates Elementary School,06000025,ELA,          57,80,          37,52,          20,28,          10,14,           4,6,          71,100,     524.0,          76.9,          68,99,2022,6,ALL
Acton-Boxborough - Paul P Gates Elementary School,06000025,MATH,          56,80,          33,47,          23,33,          10,14,           4,6,          70,100,     525.1,          79.9,          67,99,2022,6,ALL
Acushnet - Albert F Ford Middle School,00030305,ELA,          38,34,           4,4,          34,30,          52,46,          22,20,         112,100,     491.6,          30.8,         104,48,2022,6,ALL
Acushnet - Albert F Ford Middle School,00030305,MATH,          58,52,           4,4,          54,48,          44,39,          10,9,         112,100,     500.6,          60.7,         103,72,2022,6,ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,ELA,          87,64,          18,13,          69,51,          39,29,          10,7,         136,99,     505.5,          56.4,         111,85,2022,6,ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,MATH,          78,57,           9,7,          69,51,          54,40,           4,3,         136,99,     503.1,          46.8,         111,78,2022,6,ALL
Agawam - Roberta G. Doering School,00050303,ELA,          91,38,          12,5,          79,33,         102,43,          44,19,         237,99,     492.2,          47.2,         208,49,2022,6,ALL
Agawam - Roberta G. Doering School,00050303,MATH,         100,42,          12,5,          88,37,         113,48,          23,10,         236,98,     495.5,          50.9,         204,58,2022,6,ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,ELA,          44,31,           5,3,          39,27,          62,43,          38,26,         144,98,     487.4,          42.3,         136,37,2022,6,ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,MATH,          39,27,           0,0,          39,27,          79,54,          27,19,         145,99,     487.0,          40.1,         137,32,2022,6,ALL
Amesbury - Amesbury Middle,00070013,ELA,          55,36,           8,5,          47,31,          59,39,          38,25,         152,99,     490.9,          36.1,         145,46,2022,6,ALL
Amesbury - Amesbury Middle,00070013,MATH,          43,29,           2,1,          41,27,          81,54,          26,17,         150,99,     488.3,          41.8,         142,34,2022,6,ALL
Amherst - Crocker Farm Elementary,00080009,ELA,          23,53,           7,16,          16,37,          11,26,           9,21,          43,100,     499.9,          71.4,          24,70,2022,6,ALL
Amherst - Crocker Farm Elementary,00080009,MATH,          18,45,           4,10,          14,35,          17,43,           5,13,          40,94,     496.9,          52.7,          23,61,2022,6,ALL
Amherst - Fort River Elementary,00080020,ELA,          19,51,           1,3,          18,49,          14,38,           4,11,          37,91,     502.0,,          19,76,2022,6,ALL
Amherst - Fort River Elementary,00080020,MATH,          20,56,           3,8,          17,47,          12,33,           4,11,          36,88,     502.6,,          18,77,2022,6,ALL
Amherst - Wildwood Elementary,00080050,ELA,          28,52,           8,15,          20,37,          16,30,          10,19,          54,90,     500.5,          59.5,          35,72,2022,6,ALL
Amherst - Wildwood Elementary,00080050,MATH,          29,55,           4,8,          25,47,          14,26,          10,19,          53,88,     499.9,          74.8,          35,70,2022,6,ALL
Andover - Andover West Middle,00090310,ELA,          89,54,          17,10,          72,44,          66,40,          10,6,         165,100,     503.4,          48.9,         158,81,2022,6,ALL
Andover - Andover West Middle,00090310,MATH,         117,72,          31,19,          86,53,          42,26,           4,2,         163,99,     510.5,          64.3,         156,92,2022,6,ALL
Andover - Doherty Middle,00090305,ELA,         106,67,          36,23,          70,44,          46,29,           6,4,         158,100,     511.6,          62.3,         152,93,2022,6,ALL
