school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,MATH,          20,31,           5,8,          15,23,          35,54,          10,15,          65,98,     492.9,          31.7,          59,2021,ALL,ever EL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,SCI,           6,46,           0,0,           6,46,           7,54,           0,0,          13,93,     500.0,,,2021,ALL,ever EL
Agawam - Agawam Junior High,00050405,ELA,          11,21,           2,4,           9,17,          25,47,          17,32,          53,72,     483.1,          25.1,          46,2021,ALL,ever EL
Agawam - Agawam Junior High,00050405,MATH,          18,33,           3,6,          15,28,          25,46,          11,20,          54,73,     490.6,          29.4,          48,2021,ALL,ever EL
Agawam - Agawam Junior High,00050405,SCI,           3,23,           0,0,           3,23,           8,62,           2,15,          13,47,     488.2,,,2021,ALL,ever EL
Agawam - Benjamin J Phelps,00050020,ELA,           8,40,           1,5,           7,35,           9,45,           3,15,          20,96,     492.3,,,2021,ALL,ever EL
Agawam - Benjamin J Phelps,00050020,MATH,           3,15,           0,0,           3,15,          13,65,           4,20,          20,96,     482.9,,,2021,ALL,ever EL
Agawam - Clifford M Granger,00050010,ELA,           4,36,           0,0,           4,36,           4,36,           3,27,          11,88,     485.2,,,2021,ALL,ever EL
Agawam - Clifford M Granger,00050010,MATH,           3,25,           0,0,           3,25,           6,50,           3,25,          12,94,     483.3,,,2021,ALL,ever EL
Agawam - James Clark School,00050030,ELA,           6,60,           0,0,           6,60,           4,40,           0,0,          10,100,     501.3,,,2021,ALL,ever EL
Agawam - James Clark School,00050030,MATH,           3,30,           1,10,           2,20,           3,30,           4,40,          10,100,     485.0,,,2021,ALL,ever EL
Agawam - Roberta G. Doering School,00050303,ELA,          21,32,           0,0,          21,32,          34,52,          10,15,          65,88,     489.7,          27.7,          60,2021,ALL,ever EL
Agawam - Roberta G. Doering School,00050303,MATH,          16,25,           3,5,          13,21,          42,67,           5,8,          63,84,     490.8,          28.0,          58,2021,ALL,ever EL
Agawam - Roberta G. Doering School,00050303,SCI,          11,41,           0,0,          11,41,          13,48,           3,11,          27,77,     496.3,,,2021,ALL,ever EL
Agawam - Robinson Park,00050025,ELA,           7,41,           0,0,           7,41,          10,59,           0,0,          17,100,     497.8,,,2021,ALL,ever EL
Agawam - Robinson Park,00050025,MATH,           4,24,           2,12,           2,12,           8,47,           5,29,          17,100,     487.9,,,2021,ALL,ever EL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,ELA,          92,39,          10,4,          82,35,         104,44,          40,17,         236,99,     492.9,          33.1,         145,2021,ALL,ever EL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,MATH,          46,19,           4,2,          42,18,         116,49,          74,31,         236,99,     480.9,          15.5,         145,2021,ALL,ever EL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,SCI,           8,22,           1,3,           7,19,          16,44,          12,33,          36,100,     481.1,,,2021,ALL,ever EL
Amesbury - Amesbury Middle,00070013,ELA,           7,27,           2,8,           5,19,          11,42,           8,31,          26,93,     486.9,          48.4,          23,2021,ALL,ever EL
Amesbury - Amesbury Middle,00070013,MATH,           4,17,           1,4,           3,13,          16,67,           4,17,          24,86,     486.0,          36.0,          22,2021,ALL,ever EL
Amherst - Crocker Farm Elementary,00080009,ELA,           3,16,           1,5,           2,11,           9,47,           7,37,          19,57,     480.4,,          11,2021,ALL,ever EL
Amherst - Crocker Farm Elementary,00080009,MATH,           4,19,           0,0,           4,19,           9,43,           8,38,          21,55,     476.7,,          12,2021,ALL,ever EL
Amherst - Crocker Farm Elementary,00080009,SCI,           3,30,           0,0,           3,30,           2,20,           5,50,          10,72,     476.8,,,2021,ALL,ever EL
Amherst - Fort River Elementary,00080020,ELA,           3,14,           0,0,           3,14,          14,67,           4,19,          21,81,     483.4,,           7,2021,ALL,ever EL
