school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Acton-Boxborough - Raymond J Grey Junior High,06000405,SCI,         226,79,          80,28,         146,51,          57,20,           3,1,         286,98,     516.1,,,2021,ALL,non-disabled
Acushnet - Acushnet Elementary School,00030025,ELA,         105,70,          22,15,          83,55,          44,29,           1,1,         150,99,     510.0,,,2021,ALL,non-disabled
Acushnet - Acushnet Elementary School,00030025,MATH,          92,61,          17,11,          75,50,          49,33,           9,6,         150,99,     504.8,,,2021,ALL,non-disabled
Acushnet - Albert F Ford Middle School,00030305,ELA,         184,52,          33,9,         151,43,         140,39,          31,9,         355,98,     501.1,          34.9,         337,2021,ALL,non-disabled
Acushnet - Albert F Ford Middle School,00030305,MATH,         149,42,          10,3,         139,39,         179,51,          26,7,         354,98,     496.2,          32.5,         340,2021,ALL,non-disabled
Acushnet - Albert F Ford Middle School,00030305,SCI,          78,45,          10,6,          68,40,          75,44,          19,11,         172,100,     497.7,,,2021,ALL,non-disabled
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,ELA,         226,66,          46,13,         180,53,         105,31,          10,3,         341,96,     509.7,          41.3,         295,2021,ALL,non-disabled
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,MATH,         182,53,          53,15,         129,38,         138,40,          24,7,         344,97,     504.5,          33.5,         299,2021,ALL,non-disabled
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,SCI,          47,66,           3,4,          44,62,          23,32,           1,1,          71,96,     506.8,,,2021,ALL,non-disabled
Agawam - Agawam Junior High,00050405,ELA,         115,37,          10,3,         105,33,         163,52,          36,11,         314,68,     494.4,          27.6,         302,2021,ALL,non-disabled
Agawam - Agawam Junior High,00050405,MATH,         127,40,          11,3,         116,37,         161,51,          27,9,         315,69,     495.4,          24.4,         305,2021,ALL,non-disabled
Agawam - Agawam Junior High,00050405,SCI,          49,49,           7,7,          42,42,          47,47,           5,5,         101,52,     499.3,,,2021,ALL,non-disabled
Agawam - Benjamin J Phelps,00050020,ELA,          72,61,           9,8,          63,53,          43,36,           4,3,         119,95,     503.2,,,2021,ALL,non-disabled
Agawam - Benjamin J Phelps,00050020,MATH,          44,37,           7,6,          37,31,          61,51,          14,12,         119,95,     493.5,,,2021,ALL,non-disabled
Agawam - Clifford M Granger,00050010,ELA,          43,61,           5,7,          38,54,          25,36,           2,3,          70,91,     503.4,,,2021,ALL,non-disabled
Agawam - Clifford M Granger,00050010,MATH,          29,41,           2,3,          27,38,          37,52,           5,7,          71,93,     495.8,,,2021,ALL,non-disabled
Agawam - James Clark School,00050030,ELA,          55,68,          13,16,          42,52,          26,32,           0,0,          81,100,     508.8,,,2021,ALL,non-disabled
Agawam - James Clark School,00050030,MATH,          30,37,           5,6,          25,31,          44,54,           7,9,          81,100,     496.1,,,2021,ALL,non-disabled
Agawam - Roberta G. Doering School,00050303,ELA,         190,53,          21,6,         169,47,         147,41,          22,6,         359,90,     501.6,          35.8,         345,2021,ALL,non-disabled
Agawam - Roberta G. Doering School,00050303,MATH,         157,44,          16,5,         141,40,         171,48,          27,8,         355,89,     496.9,          27.6,         341,2021,ALL,non-disabled
Agawam - Roberta G. Doering School,00050303,SCI,          97,54,           8,4,          89,50,          69,39,          12,7,         178,91,     501.0,,,2021,ALL,non-disabled
Agawam - Robinson Park,00050025,ELA,          51,50,           7,7,          44,44,          46,46,           4,4,         101,92,     500.3,,,2021,ALL,non-disabled
Agawam - Robinson Park,00050025,MATH,          31,31,           8,8,          23,23,          52,51,          18,18,         101,92,     490.0,,,2021,ALL,non-disabled
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,ELA,         196,50,          23,6,         173,44,         160,41,          38,10,         394,100,     498.8,          32.1,         254,2021,ALL,non-disabled
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,MATH,         101,26,           6,2,          95,24,         220,56,          73,19,         394,100,     486.3,          13.7,         254,2021,ALL,non-disabled
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,SCI,          18,24,           1,1,          17,23,          41,55,          15,20,          74,100,     485.1,,,2021,ALL,non-disabled
Amesbury - Amesbury Elementary,00070005,ELA,          46,67,           9,13,          37,54,          21,30,           2,3,          69,99,     507.4,,,2021,ALL,non-disabled
Amesbury - Amesbury Elementary,00070005,MATH,          34,51,           3,4,          31,46,          29,43,           4,6,          67,96,     499.9,,,2021,ALL,non-disabled
Amesbury - Amesbury Middle,00070013,ELA,         249,58,          43,10,         206,48,         154,36,          27,6,         430,94,     503.4,          37.6,         419,2021,ALL,non-disabled
Amesbury - Amesbury Middle,00070013,MATH,         165,38,          11,3,         154,36,         226,53,          39,9,         430,93,     494.4,          30.4,         420,2021,ALL,non-disabled
Amesbury - Amesbury Middle,00070013,SCI,         110,54,          15,7,          95,47,          82,41,          10,5,         202,98,     502.9,,,2021,ALL,non-disabled
Amesbury - Charles C Cashman Elementary,00070010,ELA,          58,68,          13,15,          45,53,          25,29,           2,2,          85,95,     508.3,,,2021,ALL,non-disabled
Amesbury - Charles C Cashman Elementary,00070010,MATH,          37,44,           2,2,          35,41,          42,49,           6,7,          85,95,     498.1,,,2021,ALL,non-disabled
Amherst - Crocker Farm Elementary,00080009,ELA,          50,67,           5,7,          45,60,          17,23,           8,11,          75,62,     503.4,          40.4,          30,2021,ALL,non-disabled
Amherst - Crocker Farm Elementary,00080009,MATH,          38,49,           3,4,          35,45,          31,40,           8,10,          77,61,     498.2,          41.1,          33,2021,ALL,non-disabled
Amherst - Crocker Farm Elementary,00080009,SCI,          13,50,           1,4,          12,46,           9,35,           4,15,          26,69,     498.6,,,2021,ALL,non-disabled
Amherst - Fort River Elementary,00080020,ELA,          48,59,          14,17,          34,42,          30,37,           3,4,          81,76,     507.5,          41.7,          36,2021,ALL,non-disabled
Amherst - Fort River Elementary,00080020,MATH,          44,55,           9,11,          35,44,          20,25,          16,20,          80,75,     497.9,          36.0,          36,2021,ALL,non-disabled
Amherst - Fort River Elementary,00080020,SCI,           9,64,           1,7,           8,57,           4,29,           1,7,          14,58,     500.0,,,2021,ALL,non-disabled
Amherst - Wildwood Elementary,00080050,ELA,          73,67,          20,18,          53,49,          31,28,           5,5,         109,68,     508.1,          43.8,          55,2021,ALL,non-disabled
Amherst - Wildwood Elementary,00080050,MATH,          42,39,           3,3,          39,36,          49,45,          17,16,         108,66,     493.9,          32.2,          54,2021,ALL,non-disabled
Amherst - Wildwood Elementary,00080050,SCI,          15,50,           2,7,          13,43,          13,43,           2,7,          30,67,     502.0,,,2021,ALL,non-disabled
Amherst-Pelham - Amherst Regional Middle School,06050405,ELA,          57,77,          10,14,          47,64,          16,22,           1,1,          74,24,     511.7,          46.0,          66,2021,ALL,non-disabled
Amherst-Pelham - Amherst Regional Middle School,06050405,MATH,          57,68,          11,13,          46,55,          26,31,           1,1,          84,28,     509.8,          34.5,          75,2021,ALL,non-disabled
Amherst-Pelham - Amherst Regional Middle School,06050405,SCI,          25,89,           5,18,          20,71,           3,11,           0,0,          28,19,     517.9,,,2021,ALL,non-disabled
Andover - Andover West Middle,00090310,ELA,         276,67,          76,18,         200,48,         121,29,          18,4,         415,99,     509.9,          36.7,         376,2021,ALL,non-disabled
Andover - Andover West Middle,00090310,MATH,         308,74,          89,21,         219,53,          98,24,          10,2,         416,100,     513.3,          43.5,         377,2021,ALL,non-disabled
Andover - Andover West Middle,00090310,SCI,          82,72,          20,18,          62,54,          30,26,           2,2,         114,99,     510.6,,,2021,ALL,non-disabled
Andover - Bancroft Elementary,00090003,ELA,         170,77,          36,16,         134,61,          49,22,           1,0,         220,100,     512.1,          45.4,          75,2021,ALL,non-disabled
Andover - Bancroft Elementary,00090003,MATH,         117,53,          20,9,          97,44,          92,42,          11,5,         220,100,     502.1,          45.7,          75,2021,ALL,non-disabled
Andover - Bancroft Elementary,00090003,SCI,          59,79,          13,17,          46,61,          14,19,           2,3,          75,99,     514.2,,,2021,ALL,non-disabled
Andover - Doherty Middle,00090305,ELA,         258,72,          59,17,         199,56,          87,24,          12,3,         357,98,     511.6,          45.0,         350,2021,ALL,non-disabled
Andover - Doherty Middle,00090305,MATH,         213,60,          41,11,         172,48,         133,37,          11,3,         357,98,     506.0,          41.3,         350,2021,ALL,non-disabled
Andover - Doherty Middle,00090305,SCI,          75,66,          20,18,          55,49,          35,31,           3,3,         113,98,     508.1,,,2021,ALL,non-disabled
Andover - Henry C Sanborn Elementary,00090010,ELA,         116,78,          29,19,          87,58,          31,21,           2,1,         149,97,     513.9,          34.5,          51,2021,ALL,non-disabled
Andover - Henry C Sanborn Elementary,00090010,MATH,         106,71,          24,16,          82,55,          42,28,           1,1,         149,97,     512.0,          41.0,          51,2021,ALL,non-disabled
Andover - Henry C Sanborn Elementary,00090010,SCI,          38,69,           8,15,          30,55,          17,31,           0,0,          55,98,     509.7,,,2021,ALL,non-disabled
Andover - High Plain Elementary,00090004,ELA,         172,85,          69,34,         103,51,          29,14,           1,0,         202,100,     520.1,          60.4,          62,2021,ALL,non-disabled
Andover - High Plain Elementary,00090004,MATH,         149,74,          38,19,         111,55,          50,25,           3,1,         202,100,     513.5,          60.0,          62,2021,ALL,non-disabled
Andover - High Plain Elementary,00090004,SCI,          60,86,          27,39,          33,47,          10,14,           0,0,          70,100,     522.4,,,2021,ALL,non-disabled
