school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Arlington - Ottoson Middle,00100410,MATH,           7,23,           1,3,           6,20,          18,60,           5,17,          30,86,     489.7,          44.5,          28,2021,ALL,afr.american/black
Arlington - Ottoson Middle,00100410,SCI,           3,30,           0,0,           3,30,           4,40,           3,30,          10,100,     486.3,,,2021,ALL,afr.american/black
Arlington - Thompson,00100050,ELA,           1,9,           1,9,           0,0,           8,73,           2,18,          11,100,     481.6,,           5,2021,ALL,afr.american/black
Arlington - Thompson,00100050,MATH,           0,0,           0,0,           0,0,           4,36,           7,64,          11,100,     465.5,,           5,2021,ALL,afr.american/black
Ashland - Ashland Middle,00140405,ELA,           9,45,           1,5,           8,40,           8,40,           3,15,          20,100,     496.5,,          18,2021,ALL,afr.american/black
Ashland - Ashland Middle,00140405,MATH,           7,37,           0,0,           7,37,           8,42,           4,21,          19,95,     489.0,,          17,2021,ALL,afr.american/black
Ashland - David Mindess,00140015,ELA,           9,56,           4,25,           5,31,           5,31,           2,13,          16,100,     502.7,,           4,2021,ALL,afr.american/black
Ashland - David Mindess,00140015,MATH,           7,44,           2,13,           5,31,           5,31,           4,25,          16,100,     493.3,,           4,2021,ALL,afr.american/black
Atlantis Charter (District) - Atlantis Charter School,04910550,ELA,          14,48,           1,3,          13,45,          12,41,           3,10,          29,100,     497.6,,          15,2021,ALL,afr.american/black
Atlantis Charter (District) - Atlantis Charter School,04910550,MATH,           8,28,           0,0,           8,28,          17,59,           4,14,          29,100,     484.6,,          15,2021,ALL,afr.american/black
Attleboro - Cyril K. Brennan Middle School,00160315,ELA,          10,29,           1,3,           9,26,          19,56,           5,15,          34,97,     492.8,          21.9,          28,2021,ALL,afr.american/black
Attleboro - Cyril K. Brennan Middle School,00160315,MATH,           8,23,           0,0,           8,23,          18,51,           9,26,          35,100,     485.9,          21.3,          29,2021,ALL,afr.american/black
Attleboro - Cyril K. Brennan Middle School,00160315,SCI,           5,28,           1,6,           4,22,          10,56,           3,17,          18,100,     489.9,,,2021,ALL,afr.american/black
Attleboro - Hill-Roberts Elementary School,00160045,ELA,           3,27,           0,0,           3,27,           7,64,           1,9,          11,100,     489.4,,,2021,ALL,afr.american/black
Attleboro - Hill-Roberts Elementary School,00160045,MATH,           3,27,           0,0,           3,27,           4,36,           4,36,          11,100,     480.3,,,2021,ALL,afr.american/black
Attleboro - Peter Thacher Elementary School,00160050,ELA,           5,26,           0,0,           5,26,           9,47,           5,26,          19,100,     486.9,,,2021,ALL,afr.american/black
Attleboro - Peter Thacher Elementary School,00160050,MATH,           2,11,           0,0,           2,11,           8,42,           9,47,          19,100,     471.7,,,2021,ALL,afr.american/black
Attleboro - Robert J. Coelho Middle School,00160305,ELA,          13,28,           0,0,          13,28,          21,45,          13,28,          47,98,     486.2,          26.4,          44,2021,ALL,afr.american/black
Attleboro - Robert J. Coelho Middle School,00160305,MATH,          12,26,           0,0,          12,26,          24,51,          11,23,          47,98,     484.5,          34.9,          44,2021,ALL,afr.american/black
Attleboro - Robert J. Coelho Middle School,00160305,SCI,           7,41,           2,12,           5,29,           7,41,           3,18,          17,100,     495.2,,,2021,ALL,afr.american/black
Attleboro - Wamsutta Middle School,00160320,ELA,          12,33,           2,6,          10,28,          18,50,           6,17,          36,100,     490.4,          31.2,          34,2021,ALL,afr.american/black
Attleboro - Wamsutta Middle School,00160320,MATH,           8,22,           0,0,           8,22,          21,58,           7,19,          36,100,     486.9,          25.7,          34,2021,ALL,afr.american/black
Attleboro - Wamsutta Middle School,00160320,SCI,           2,14,           0,0,           2,14,           9,64,           3,21,          14,100,     485.4,,,2021,ALL,afr.american/black
Auburn - Auburn Middle,00170305,ELA,          11,55,           3,15,           8,40,           9,45,           0,0,          20,100,     507.9,,          17,2021,ALL,afr.american/black
Auburn - Auburn Middle,00170305,MATH,          11,55,           2,10,           9,45,           9,45,           0,0,          20,100,     505.9,,          17,2021,ALL,afr.american/black
Auburn - Swanson Road Intermediate School,00170030,ELA,           8,80,           3,30,           5,50,           1,10,           1,10,          10,100,     519.8,,           4,2021,ALL,afr.american/black
Auburn - Swanson Road Intermediate School,00170030,MATH,           7,70,           0,0,           7,70,           2,20,           1,10,          10,100,     507.4,,           4,2021,ALL,afr.american/black
Avon - Avon Middle High School,00180510,ELA,          16,50,           3,9,          13,41,          15,47,           1,3,          32,97,     501.0,          47.9,          27,2021,ALL,afr.american/black
Avon - Avon Middle High School,00180510,MATH,           5,16,           0,0,           5,16,          21,66,           6,19,          32,97,     483.1,          38.0,          26,2021,ALL,afr.american/black
Avon - Avon Middle High School,00180510,SCI,           2,13,           0,0,           2,13,          12,75,           2,13,          16,100,     483.9,,,2021,ALL,afr.american/black
Avon - Ralph D Butler,00180010,ELA,          22,36,           0,0,          22,36,          27,44,          12,20,          61,100,     491.1,          32.3,          31,2021,ALL,afr.american/black
Avon - Ralph D Butler,00180010,MATH,           9,15,           0,0,           9,15,          26,43,          26,43,          61,100,     476.5,          25.9,          31,2021,ALL,afr.american/black
Avon - Ralph D Butler,00180010,SCI,           6,40,           0,0,           6,40,           8,53,           1,7,          15,100,     493.3,,,2021,ALL,afr.american/black
Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,ELA,           5,28,           0,0,           5,28,          11,61,           2,11,          18,95,     489.9,,          17,2021,ALL,afr.american/black
Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,MATH,           4,22,           1,6,           3,17,          10,56,           4,22,          18,95,     486.8,,          17,2021,ALL,afr.american/black
Ayer Shirley School District - Page Hilltop Elementary School,06160002,ELA,           6,50,           2,17,           4,33,           6,50,           0,0,          12,100,     501.7,,           5,2021,ALL,afr.american/black
Ayer Shirley School District - Page Hilltop Elementary School,06160002,MATH,           3,25,           0,0,           3,25,           9,75,           0,0,          12,100,     492.5,,           5,2021,ALL,afr.american/black
Barnstable - Barnstable Community Innovation School,00200012,ELA,           4,29,           0,0,           4,29,           8,57,           2,14,          14,93,     487.6,,,2021,ALL,afr.american/black
Barnstable - Barnstable Community Innovation School,00200012,MATH,           6,43,           0,0,           6,43,           3,21,           5,36,          14,93,     482.6,,,2021,ALL,afr.american/black
Barnstable - Barnstable High,00200505,ELA,           8,29,           0,0,           8,29,          13,46,           7,25,          28,91,     485.5,          40.6,          23,2021,ALL,afr.american/black
Barnstable - Barnstable High,00200505,MATH,           3,11,           0,0,           3,11,           9,32,          16,57,          28,91,     476.8,          28.4,          23,2021,ALL,afr.american/black
Barnstable - Barnstable High,00200505,SCI,           6,26,           1,4,           5,22,           8,35,           9,39,          23,89,     481.2,,,2021,ALL,afr.american/black
Barnstable - Barnstable Intermediate School,00200315,ELA,          12,24,           1,2,          11,22,          19,38,          19,38,          50,91,     480.6,          37.0,          41,2021,ALL,afr.american/black
Barnstable - Barnstable Intermediate School,00200315,MATH,           4,8,           0,0,           4,8,          21,40,          28,53,          53,96,     471.6,          21.4,          43,2021,ALL,afr.american/black
Barnstable - Barnstable United Elementary School,00200050,ELA,          15,29,           0,0,          15,29,          20,39,          16,31,          51,98,     483.8,          30.6,          25,2021,ALL,afr.american/black
Barnstable - Barnstable United Elementary School,00200050,MATH,           5,10,           0,0,           5,10,          27,54,          18,36,          50,96,     475.1,          29.5,          25,2021,ALL,afr.american/black
Barnstable - Barnstable United Elementary School,00200050,SCI,           2,7,           0,0,           2,7,          18,64,           8,29,          28,97,     481.9,,,2021,ALL,afr.american/black
Barnstable - Hyannis West Elementary,00200025,ELA,           7,70,           0,0,           7,70,           3,30,           0,0,          10,100,     503.8,,,2021,ALL,afr.american/black
Barnstable - Hyannis West Elementary,00200025,MATH,           1,10,           0,0,           1,10,           5,50,           4,40,          10,100,     474.7,,,2021,ALL,afr.american/black
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,ELA,          11,17,           3,5,           8,13,          28,44,          24,38,          63,94,     479.5,          24.8,          58,2021,ALL,afr.american/black
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,MATH,           3,5,           0,0,           3,5,          32,52,          26,43,          61,91,     472.1,          13.3,          56,2021,ALL,afr.american/black
