school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,ELA,41,34,5,4,36,30,46,39,32,27,119,99,     488.8,          24.7,113,2021,6,ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,MATH,21,18,0,0,21,18,73,61,25,21,119,99,     482.9,          22.3,113,2021,6,ALL
Abington - Abington Middle School,10405,ELA,94,59,29,18,65,41,35,22,29,18,158,96,     503.6,          39.7,148,2021,6,ALL
Abington - Abington Middle School,10405,MATH,61,38,5,3,56,35,79,50,19,12,159,97,     494.8,          24.3,147,2021,6,ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,ELA,16,24,2,3,14,21,28,42,22,33,66,97,     481.7,          32.1,64,2021,6,ALL
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,MATH,4,6,0,0,4,6,35,51,29,43,68,100,     473.6,          22.1,67,2021,6,ALL
Acton-Boxborough - Blanchard Memorial School,6000005,ELA,50,79,17,27,33,52,6,10,7,11,63,99,     513.6,          46.7,56,2021,6,ALL
Acton-Boxborough - Blanchard Memorial School,6000005,MATH,40,63,11,17,29,46,20,32,3,5,63,99,     508.9,          34.5,56,2021,6,ALL
Acton-Boxborough - C.T. Douglas Elementary School,6000020,ELA,42,64,17,26,25,38,19,29,5,8,66,99,     510.4,          45.3,64,2021,6,ALL
Acton-Boxborough - C.T. Douglas Elementary School,6000020,MATH,41,62,7,11,34,52,24,36,1,2,66,99,     507.2,          41.3,64,2021,6,ALL
Acton-Boxborough - Luther Conant School,6000030,ELA,42,86,20,41,22,45,4,8,3,6,49,98,     522.8,          61.4,42,2021,6,ALL
Acton-Boxborough - Luther Conant School,6000030,MATH,43,88,15,31,28,57,4,8,2,4,49,98,     523.5,          62.0,42,2021,6,ALL
Acton-Boxborough - McCarthy-Towne School,6000015,ELA,54,67,17,21,37,46,21,26,6,7,81,96,     508.9,          49.2,74,2021,6,ALL
Acton-Boxborough - McCarthy-Towne School,6000015,MATH,37,46,4,5,33,41,37,46,6,8,80,95,     497.4,          44.3,73,2021,6,ALL
Acton-Boxborough - Merriam School,6000010,ELA,40,58,14,20,26,38,25,36,4,6,69,99,     506.7,          44.4,68,2021,6,ALL
Acton-Boxborough - Merriam School,6000010,MATH,47,68,8,12,39,57,17,25,5,7,69,99,     508.4,          40.0,68,2021,6,ALL
Acton-Boxborough - Paul P Gates Elementary School,6000025,ELA,58,84,27,39,31,45,10,14,1,1,69,95,     524.0,          58.6,65,2021,6,ALL
Acton-Boxborough - Paul P Gates Elementary School,6000025,MATH,59,86,13,19,46,67,9,13,1,1,69,95,     517.8,          51.4,65,2021,6,ALL
Acushnet - Albert F Ford Middle School,30305,ELA,55,56,14,14,41,42,29,30,14,14,98,98,     505.9,          36.0,87,2021,6,ALL
Acushnet - Albert F Ford Middle School,30305,MATH,42,43,5,5,37,38,43,44,12,12,97,97,     497.5,          27.7,86,2021,6,ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,ELA,82,69,24,20,58,49,30,25,7,6,119,94,     511.9,          46.2,99,2021,6,ALL
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,MATH,52,43,19,16,33,27,53,44,16,13,121,96,     500.1,          22.5,101,2021,6,ALL
Agawam - Roberta G. Doering School,50303,ELA,102,47,13,6,89,41,80,37,36,17,218,86,     496.9,          34.9,205,2021,6,ALL
Agawam - Roberta G. Doering School,50303,MATH,98,45,14,6,84,39,99,46,20,9,217,86,     497.3,          34.4,205,2021,6,ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School,4090205,ELA,55,39,7,5,48,34,57,40,30,21,142,99,     492.2,          36.4,125,2021,6,ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School,4090205,MATH,23,16,0,0,23,16,78,55,41,29,142,99,     480.6,          13.6,125,2021,6,ALL
Amesbury - Amesbury Middle,70013,ELA,62,46,12,9,50,37,41,30,32,24,135,85,     494.0,          33.2,131,2021,6,ALL
Amesbury - Amesbury Middle,70013,MATH,31,23,1,1,30,23,69,52,33,25,133,83,     485.7,          18.8,130,2021,6,ALL
Amherst - Crocker Farm Elementary,80009,ELA,5,26,0,0,5,26,6,32,8,42,19,42,     488.8,,17,2021,6,ALL
Amherst - Crocker Farm Elementary,80009,MATH,6,30,1,5,5,25,8,40,6,30,20,43,     488.4,,18,2021,6,ALL
Amherst - Fort River Elementary,80020,ELA,18,69,10,38,8,31,5,19,3,12,26,71,     515.5,          57.7,24,2021,6,ALL
Amherst - Fort River Elementary,80020,MATH,21,81,6,23,15,58,4,15,1,4,26,71,     513.6,          45.6,24,2021,6,ALL
Amherst - Wildwood Elementary,80050,ELA,19,73,6,23,13,50,6,23,1,4,26,60,     512.0,          44.2,26,2021,6,ALL
Amherst - Wildwood Elementary,80050,MATH,13,52,0,0,13,52,10,40,2,8,25,56,     499.2,          35.1,25,2021,6,ALL
Andover - Andover West Middle,90310,ELA,109,63,39,22,70,40,48,28,17,10,174,99,     507.4,          42.2,169,2021,6,ALL
Andover - Andover West Middle,90310,MATH,110,63,21,12,89,51,48,27,17,10,175,99,     504.6,          42.4,170,2021,6,ALL
Andover - Doherty Middle,90305,ELA,97,66,30,20,67,46,39,27,11,7,147,98,     509.3,          45.4,144,2021,6,ALL
Andover - Doherty Middle,90305,MATH,78,53,15,10,63,43,57,39,12,8,147,98,     502.4,          34.5,144,2021,6,ALL
