school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Acushnet - Acushnet Elementary School,00030025,ELA,          66,62,          14,13,          52,49,          37,35,           3,3,         106,99,     507.9,          66.7,          47,83,2022,ALL,female
Acushnet - Acushnet Elementary School,00030025,MATH,          61,58,           9,8,          52,49,          42,40,           3,3,         106,100,     506.0,          71.2,          47,87,2022,ALL,female
Acushnet - Albert F Ford Middle School,00030305,ELA,          87,45,          16,8,          71,37,          84,44,          21,11,         192,99,     499.2,          45.2,         178,56,2022,ALL,female
Acushnet - Albert F Ford Middle School,00030305,MATH,          85,44,          14,7,          71,37,          88,46,          19,10,         192,99,     498.6,          49.4,         178,68,2022,ALL,female
Acushnet - Albert F Ford Middle School,00030305,SCI,          37,45,           7,8,          30,36,          38,46,           8,10,          83,100,     497.8,,,58,2022,ALL,female
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,ELA,         103,60,          16,9,          87,51,          61,35,           8,5,         172,98,     503.3,          53.0,         150,71,2022,ALL,female
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,MATH,          91,53,          12,7,          79,46,          71,41,          10,6,         172,98,     500.7,          54.1,         152,75,2022,ALL,female
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,SCI,          36,56,           3,5,          33,52,          25,39,           3,5,          64,100,     500.4,,,66,2022,ALL,female
Agawam - Agawam Junior High,00050405,ELA,          80,34,          10,4,          70,30,         127,54,          28,12,         235,91,     493.1,          44.9,         185,34,2022,ALL,female
Agawam - Agawam Junior High,00050405,MATH,          61,26,           9,4,          52,22,         145,62,          29,12,         235,91,     490.4,          40.0,         184,42,2022,ALL,female
Agawam - Agawam Junior High,00050405,SCI,          58,39,           0,0,          58,39,          70,48,          19,13,         147,93,     493.1,,,43,2022,ALL,female
Agawam - Benjamin J Phelps,00050020,ELA,          27,47,           2,4,          25,44,          23,40,           7,12,          57,100,     496.8,          45.5,          29,45,2022,ALL,female
Agawam - Benjamin J Phelps,00050020,MATH,          25,44,           2,4,          23,40,          29,51,           3,5,          57,100,     498.0,          56.6,          29,66,2022,ALL,female
Agawam - Clifford M Granger,00050010,ELA,          24,49,           2,4,          22,45,          22,45,           3,6,          49,100,     497.5,,          17,48,2022,ALL,female
Agawam - Clifford M Granger,00050010,MATH,          16,33,           0,0,          16,33,          28,58,           4,8,          48,100,     493.2,,          17,51,2022,ALL,female
Agawam - James Clark School,00050030,ELA,          26,41,           4,6,          22,35,          31,49,           6,10,          63,100,     495.2,          33.6,          31,41,2022,ALL,female
Agawam - James Clark School,00050030,MATH,          20,32,           1,2,          19,30,          35,56,           8,13,          63,100,     491.1,          38.6,          31,45,2022,ALL,female
Agawam - Roberta G. Doering School,00050303,ELA,          88,35,           7,3,          81,32,         133,53,          29,12,         250,98,     494.3,          44.9,         227,38,2022,ALL,female
Agawam - Roberta G. Doering School,00050303,MATH,          65,26,           5,2,          60,24,         161,65,          22,9,         248,98,     490.7,          46.1,         224,43,2022,ALL,female
Agawam - Roberta G. Doering School,00050303,SCI,          58,43,           4,3,          54,40,          72,53,           6,4,         136,99,     497.0,,,55,2022,ALL,female
Agawam - Robinson Park,00050025,ELA,          24,48,           1,2,          23,46,          23,46,           3,6,          50,100,     496.3,          41.7,          20,44,2022,ALL,female
Agawam - Robinson Park,00050025,MATH,          16,33,           0,0,          16,33,          28,57,           5,10,          49,100,     492.6,          42.3,          20,49,2022,ALL,female
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,ELA,         123,36,          17,5,         106,31,         162,48,          52,15,         337,98,     493.1,          49.4,         268,36,2022,ALL,female
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,MATH,          93,28,           4,1,          89,26,         183,54,          60,18,         336,99,     487.9,          40.3,         269,35,2022,ALL,female
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,SCI,          19,24,           3,4,          16,20,          50,63,          11,14,          80,100,     487.8,,,31,2022,ALL,female
Amesbury - Amesbury Elementary,00070005,ELA,          23,46,           6,12,          17,34,          23,46,           4,8,          50,100,     502.1,          51.5,          20,67,2022,ALL,female
Amesbury - Amesbury Elementary,00070005,MATH,          23,47,           2,4,          21,43,          24,49,           2,4,          49,98,     498.9,,          19,69,2022,ALL,female
Amesbury - Amesbury Middle,00070013,ELA,         123,48,           7,3,         116,45,         103,40,          30,12,         256,98,     497.1,          41.9,         222,47,2022,ALL,female
Amesbury - Amesbury Middle,00070013,MATH,         100,40,           7,3,          93,38,         111,45,          37,15,         248,97,     493.3,          49.6,         214,51,2022,ALL,female
Amesbury - Amesbury Middle,00070013,SCI,          57,55,           5,5,          52,50,          37,36,           9,9,         103,90,     501.3,,,69,2022,ALL,female
Amesbury - Charles C Cashman Elementary,00070010,ELA,          20,35,           1,2,          19,33,          26,46,          11,19,          57,98,     491.1,          39.7,          30,28,2022,ALL,female
Amesbury - Charles C Cashman Elementary,00070010,MATH,          21,37,           1,2,          20,35,          21,37,          15,26,          57,100,     490.1,          44.0,          29,41,2022,ALL,female
Amherst - Crocker Farm Elementary,00080009,ELA,          52,60,          12,14,          40,47,          26,30,           8,9,          86,99,     505.9,          54.9,          31,78,2022,ALL,female
Amherst - Crocker Farm Elementary,00080009,MATH,          37,44,           6,7,          31,37,          36,43,          11,13,          84,97,     497.5,          52.3,          29,64,2022,ALL,female
Amherst - Crocker Farm Elementary,00080009,SCI,           8,44,           3,17,           5,28,           9,50,           1,6,          18,100,     504.6,,,78,2022,ALL,female
Amherst - Fort River Elementary,00080020,ELA,          33,46,           4,6,          29,41,          29,41,           9,13,          71,92,     497.9,          41.6,          37,50,2022,ALL,female
Amherst - Fort River Elementary,00080020,MATH,          28,40,           3,4,          25,36,          23,33,          19,27,          70,90,     489.7,          50.9,          36,41,2022,ALL,female
Amherst - Fort River Elementary,00080020,SCI,           9,35,           3,12,           6,23,          10,38,           7,27,          26,90,     490.2,,,37,2022,ALL,female
