school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year
Acushnet - Albert F Ford Middle School,30305,MATH,         176,45,          22,6,         154,39,         180,46,          36,9,         392,99,498.6,47.8,         360,65.0,2022
Acushnet - Albert F Ford Middle School,30305,SCI,          80,45,           9,5,          71,40,          79,44,          19,11,         178,100,496.7,,,53.0,2022
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,ELA,         250,62,          40,10,         210,52,         136,34,          18,4,         404,99,504.5,52.6,         358,83.0,2022
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,MATH,         259,64,          55,14,         204,51,         131,33,          13,3,         403,99,507.2,56.1,         361,88.0,2022
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,SCI,          89,69,          14,11,          75,58,          37,29,           3,2,         129,100,507.9,,,85.0,2022
Agawam - Agawam Junior High,50405,ELA,         149,29,          11,2,         138,27,         290,56,          81,16,         520,94,489.5,42.8,         429,32.0,2022
Agawam - Agawam Junior High,50405,MATH,         153,30,          18,3,         135,26,         298,58,          65,13,         516,93,491.3,39.8,         425,43.0,2022
Agawam - Agawam Junior High,50405,SCI,         121,43,           9,3,         112,40,         126,45,          35,12,         282,94,495.0,,,48.0,2022
Agawam - Benjamin J Phelps,50020,ELA,          58,48,           8,7,          50,41,          53,44,          10,8,         121,100,499.5,52.2,          59,68.0,2022
Agawam - Benjamin J Phelps,50020,MATH,          61,50,           8,7,          53,44,          55,45,           5,4,         121,100,501.7,57.5,          59,75.0,2022
Agawam - Clifford M Granger,50010,ELA,          39,39,           3,3,          36,36,          49,49,          12,12,         100,97,493.1,45.8,          38,43.0,2022
Agawam - Clifford M Granger,50010,MATH,          41,42,           1,1,          40,41,          49,50,           8,8,          98,97,494.8,53.3,          37,53.0,2022
Agawam - James Clark School,50030,ELA,          50,41,           5,4,          45,37,          58,48,          13,11,         121,99,494.6,38.5,          56,49.0,2022
Agawam - James Clark School,50030,MATH,          45,37,           9,7,          36,30,          61,50,          15,12,         121,99,494.4,43.4,          56,53.0,2022
Agawam - Roberta G. Doering School,50303,ELA,         177,35,          13,3,         164,33,         250,50,          75,15,         502,99,492.1,44.6,         449,39.0,2022
Agawam - Roberta G. Doering School,50303,MATH,         157,32,          13,3,         144,29,         283,57,          57,11,         497,98,491.9,45.8,         443,45.0,2022
Agawam - Roberta G. Doering School,50303,SCI,         118,45,           9,3,         109,42,         121,46,          22,8,         261,98,497.4,,,56.0,2022
Agawam - Robinson Park,50025,ELA,          43,38,           1,1,          42,37,          57,50,          13,12,         113,100,492.9,46.1,          45,42.0,2022
Agawam - Robinson Park,50025,MATH,          37,33,           2,2,          35,31,          54,48,          21,19,         112,100,489.6,39.2,          45,38.0,2022
Alma del Mar Charter School (District) - Alma del Mar Charter School,4090205,ELA,         199,32,          23,4,         176,28,         307,49,         117,19,         623,97,489.8,47.5,         503,34.0,2022
Alma del Mar Charter School (District) - Alma del Mar Charter School,4090205,MATH,         166,27,           6,1,         160,26,         338,54,         119,19,         623,99,487.1,40.1,         505,31.0,2022
Alma del Mar Charter School (District) - Alma del Mar Charter School,4090205,SCI,          32,23,           4,3,          28,20,          83,60,          24,17,         139,99,486.9,,,28.0,2022
Amesbury - Amesbury Elementary,70005,ELA,          48,45,           8,8,          40,38,          49,46,           9,8,         106,100,499.1,41.4,          49,66.0,2022
Amesbury - Amesbury Elementary,70005,MATH,          60,57,           8,8,          52,50,          39,37,           6,6,         105,99,502.1,46.7,          47,76.0,2022
Amesbury - Amesbury Middle,70013,ELA,         231,39,          16,3,         215,36,         261,44,         106,18,         598,99,492.7,40.6,         540,41.0,2022
Amesbury - Amesbury Middle,70013,MATH,         231,39,          24,4,         207,35,         265,45,          91,16,         587,98,493.7,49.6,         527,50.0,2022
Amesbury - Amesbury Middle,70013,SCI,         133,50,          19,7,         114,43,          98,37,          36,13,         267,93,498.3,,,58.0,2022
Amesbury - Charles C Cashman Elementary,70010,ELA,          46,36,           3,2,          43,34,          65,51,          17,13,         128,98,493.2,44.7,          67,44.0,2022
Amesbury - Charles C Cashman Elementary,70010,MATH,          52,41,           3,2,          49,38,          46,36,          30,23,         128,100,492.4,45.3,          65,46.0,2022
