school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year,grade,student_group
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ELA,          63,55,           4,3,          59,51,          48,42,           4,3,         115,     501.5,,,37,2019,3,ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATH,          35,30,           2,2,          33,29,          67,58,          13,11,         115,     493.4,,,27,2019,3,ALL
Abington - Woodsdale Elementary School,00010015,ELA,          82,66,           8,6,          74,60,          37,30,           5,4,         124,     506.8,,,59,2019,3,ALL
Abington - Woodsdale Elementary School,00010015,MATH,          75,60,          12,10,          63,51,          40,32,           9,7,         124,     503.8,,,63,2019,3,ALL
Acton-Boxborough - Blanchard Memorial School,06000005,ELA,          45,70,          13,20,          32,50,          15,23,           4,6,          64,     513.8,,,83,2019,3,ALL
Acton-Boxborough - Blanchard Memorial School,06000005,MATH,          40,63,          15,23,          25,39,          22,34,           2,3,          64,     510.7,,,84,2019,3,ALL
Acton-Boxborough - C.T. Douglas Elementary School,06000020,ELA,          50,76,           7,11,          43,65,          13,20,           3,5,          66,     509.6,,,71,2019,3,ALL
Acton-Boxborough - C.T. Douglas Elementary School,06000020,MATH,          30,45,           7,11,          23,35,          27,41,           9,14,          66,     497.9,,,42,2019,3,ALL
Acton-Boxborough - Luther Conant School,06000030,ELA,          37,80,           6,13,          31,67,           9,20,           0,0,          46,     516.0,,,88,2019,3,ALL
Acton-Boxborough - Luther Conant School,06000030,MATH,          33,72,          12,26,          21,46,          13,28,           0,0,          46,     516.2,,,94,2019,3,ALL
Acton-Boxborough - McCarthy-Towne School,06000015,ELA,          59,86,           9,13,          50,72,           9,13,           1,1,          69,     514.1,,,84,2019,3,ALL
Acton-Boxborough - McCarthy-Towne School,06000015,MATH,          51,74,          12,17,          39,57,          17,25,           1,1,          69,     511.3,,,85,2019,3,ALL
Acton-Boxborough - Merriam School,06000010,ELA,          51,76,           9,13,          42,63,          16,24,           0,0,          67,     515.6,,,88,2019,3,ALL
Acton-Boxborough - Merriam School,06000010,MATH,          35,52,           3,4,          32,48,          29,43,           3,4,          67,     502.6,,,59,2019,3,ALL
Acton-Boxborough - Paul P Gates Elementary School,06000025,ELA,          56,85,          26,39,          30,45,          10,15,           0,0,          66,     522.9,,,97,2019,3,ALL
Acton-Boxborough - Paul P Gates Elementary School,06000025,MATH,          55,83,          28,42,          27,41,           8,12,           3,5,          66,     522.3,,,98,2019,3,ALL
Acushnet - Acushnet Elementary School,00030025,ELA,          74,71,          15,14,          59,57,          28,27,           2,2,         104,     511.3,,,77,2019,3,ALL
Acushnet - Acushnet Elementary School,00030025,MATH,          46,43,           2,2,          44,42,          52,49,           8,8,         106,     495.6,,,34,2019,3,ALL
Agawam - Benjamin J Phelps,00050020,ELA,          33,58,           4,7,          29,51,          19,33,           5,9,          57,     503.3,,,44,2019,3,ALL
Agawam - Benjamin J Phelps,00050020,MATH,          37,65,          11,19,          26,46,          20,35,           0,0,          57,     509.9,,,82,2019,3,ALL
Agawam - Clifford M Granger,00050010,ELA,          24,52,           2,4,          22,48,          19,41,           3,7,          46,     502.2,,,40,2019,3,ALL
Agawam - Clifford M Granger,00050010,MATH,          30,64,           0,0,          30,64,          14,30,           3,6,          47,     503.2,,,61,2019,3,ALL
Agawam - James Clark School,00050030,ELA,          35,53,           4,6,          31,47,          24,36,           7,11,          66,     501.1,,,34,2019,3,ALL
Agawam - James Clark School,00050030,MATH,          32,48,           6,9,          26,39,          28,42,           6,9,          66,     499.9,,,50,2019,3,ALL
Agawam - Robinson Park,00050025,ELA,          46,61,           5,7,          41,55,          26,35,           3,4,          75,     505.7,,,55,2019,3,ALL
Agawam - Robinson Park,00050025,MATH,          47,63,           7,9,          40,53,          23,31,           5,7,          75,     503.9,,,64,2019,3,ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,ELA,          45,90,          20,40,          25,50,           2,4,           3,6,          50,     525.4,,,98,2019,3,ALL
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,MATH,          37,74,          14,28,          23,46,          11,22,           2,4,          50,     513.7,,,91,2019,3,ALL
Amesbury - Amesbury Elementary,00070005,ELA,          47,71,          14,21,          33,50,          15,23,           4,6,          66,     512.7,,,80,2019,3,ALL
Amesbury - Amesbury Elementary,00070005,MATH,          38,58,           8,12,          30,45,          23,35,           5,8,          66,     503.6,,,62,2019,3,ALL
Amesbury - Charles C Cashman Elementary,00070010,ELA,          53,60,          11,12,          42,47,          27,30,           9,10,          89,     504.3,,,50,2019,3,ALL
Amesbury - Charles C Cashman Elementary,00070010,MATH,          40,44,           5,6,          35,39,          35,39,          15,17,          90,     495.9,,,35,2019,3,ALL
Amherst - Crocker Farm Elementary,00080009,ELA,          24,49,           1,2,          23,47,          14,29,          11,22,          49,     493.3,,,13,2019,3,ALL
Amherst - Crocker Farm Elementary,00080009,MATH,          19,40,           1,2,          18,38,          13,27,          16,33,          48,     488.1,,,16,2019,3,ALL
Amherst - Fort River Elementary,00080020,ELA,          30,77,           6,15,          24,62,           6,15,           3,8,          39,     511.0,,,76,2019,3,ALL
Amherst - Fort River Elementary,00080020,MATH,          20,54,           8,22,          12,32,          12,32,           5,14,          37,     504.7,,,66,2019,3,ALL
Amherst - Wildwood Elementary,00080050,ELA,          24,44,           4,7,          20,37,          24,44,           6,11,          54,     502.5,,,42,2019,3,ALL
