school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,year,grade,student_group
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,MATH,           4,5,           1,1,           3,4,          38,45,          43,51,          85,99,     470.1,          15.6,          39,2021,ALL,EL
Amesbury - Amesbury Middle,00070013,ELA,           1,9,           0,0,           1,9,           2,18,           8,73,          11,100,     465.8,,           8,2021,ALL,EL
Amesbury - Amesbury Middle,00070013,MATH,           0,0,           0,0,           0,0,           6,60,           4,40,          10,91,     469.4,,           8,2021,ALL,EL
Amherst - Crocker Farm Elementary,00080009,ELA,           1,9,           0,0,           1,9,           4,36,           6,55,          11,52,     466.1,,           5,2021,ALL,EL
Amherst - Crocker Farm Elementary,00080009,MATH,           1,8,           0,0,           1,8,           5,38,           7,54,          13,48,     468.3,,           6,2021,ALL,EL
Amherst - Fort River Elementary,00080020,ELA,           1,8,           0,0,           1,8,           8,62,           4,31,          13,81,     476.8,,           3,2021,ALL,EL
Amherst - Fort River Elementary,00080020,MATH,           0,0,           0,0,           0,0,           3,23,          10,77,          13,81,     456.8,,           3,2021,ALL,EL
Andover - High Plain Elementary,00090004,ELA,           4,20,           1,5,           3,15,          15,75,           1,5,          20,100,     492.9,,           2,2021,ALL,EL
Andover - High Plain Elementary,00090004,MATH,           6,30,           0,0,           6,30,          13,65,           1,5,          20,100,     490.8,,           2,2021,ALL,EL
Andover - West Elementary,00090025,ELA,           1,10,           0,0,           1,10,           6,60,           3,30,          10,100,     480.1,,           1,2021,ALL,EL
Andover - West Elementary,00090025,MATH,           1,10,           0,0,           1,10,           6,60,           3,30,          10,100,     480.2,,           1,2021,ALL,EL
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,ELA,           5,7,           0,0,           5,7,          28,41,          36,52,          69,96,     469.2,          24.1,          59,2021,ALL,EL
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,MATH,           3,4,           0,0,           3,4,          34,49,          33,47,          70,97,     469.7,          17.3,          60,2021,ALL,EL
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,SCI,           0,0,           0,0,           0,0,           9,50,           9,50,          18,100,     466.0,,,2021,ALL,EL
Arlington - Gibbs School,00100305,ELA,           2,13,           0,0,           2,13,           8,53,           5,33,          15,94,     478.1,,           8,2021,ALL,EL
Arlington - Gibbs School,00100305,MATH,           7,47,           1,7,           6,40,           7,47,           1,7,          15,94,     498.1,,           9,2021,ALL,EL
Arlington - Hardy,00100030,ELA,           1,9,           0,0,           1,9,           5,45,           5,45,          11,100,     473.4,,           3,2021,ALL,EL
Arlington - Hardy,00100030,MATH,           3,27,           0,0,           3,27,           5,45,           3,27,          11,100,     481.0,,           3,2021,ALL,EL
Arlington - M Norcross Stratton,00100055,ELA,           2,17,           0,0,           2,17,           7,58,           3,25,          12,100,     478.4,,           2,2021,ALL,EL
Arlington - M Norcross Stratton,00100055,MATH,           2,17,           0,0,           2,17,           5,42,           5,42,          12,100,     476.9,,           2,2021,ALL,EL
Arlington - Ottoson Middle,00100410,ELA,           1,7,           0,0,           1,7,           9,64,           4,29,          14,90,     478.4,,           7,2021,ALL,EL
Arlington - Ottoson Middle,00100410,MATH,           4,29,           0,0,           4,29,           8,57,           2,14,          14,90,     486.4,,           8,2021,ALL,EL
Arlington - Thompson,00100050,ELA,           8,57,           1,7,           7,50,           6,43,           0,0,          14,89,     500.5,,           2,2021,ALL,EL
Arlington - Thompson,00100050,MATH,           3,20,           0,0,           3,20,           7,47,           5,33,          15,95,     481.7,,           2,2021,ALL,EL
Ashland - Ashland Middle,00140405,ELA,           1,3,           0,0,           1,3,           5,17,          24,80,          30,95,     458.4,,          16,2021,ALL,EL
Ashland - Ashland Middle,00140405,MATH,           1,3,           0,0,           1,3,          10,31,          21,66,          32,100,     464.7,,          16,2021,ALL,EL
Ashland - David Mindess,00140015,ELA,           0,0,           0,0,           0,0,          14,44,          18,56,          32,100,     467.7,,           4,2021,ALL,EL
Ashland - David Mindess,00140015,MATH,           2,6,           0,0,           2,6,           8,25,          22,69,          32,100,     464.9,,           4,2021,ALL,EL
Ashland - David Mindess,00140015,SCI,           0,0,           0,0,           0,0,           4,40,           6,60,          10,100,     468.8,,,2021,ALL,EL
Atlantis Charter (District) - Atlantis Charter School,04910550,ELA,           7,15,           0,0,           7,15,          22,47,          18,38,          47,100,     475.7,,          13,2021,ALL,EL
Atlantis Charter (District) - Atlantis Charter School,04910550,MATH,           1,2,           0,0,           1,2,          17,36,          29,62,          47,100,     464.7,,          13,2021,ALL,EL
Atlantis Charter (District) - Atlantis Charter School,04910550,SCI,           0,0,           0,0,           0,0,           4,40,           6,60,          10,100,     463.4,,,2021,ALL,EL
Attleboro - A. Irvin Studley Elementary School,00160001,ELA,           3,27,           1,9,           2,18,           5,45,           3,27,          11,100,     481.9,,,2021,ALL,EL
Attleboro - A. Irvin Studley Elementary School,00160001,MATH,           1,9,           1,9,           0,0,           6,55,           4,36,          11,100,     478.6,,,2021,ALL,EL
Attleboro - Cyril K. Brennan Middle School,00160315,ELA,           3,9,           0,0,           3,9,           9,28,          20,63,          32,100,     466.4,,          11,2021,ALL,EL
Attleboro - Cyril K. Brennan Middle School,00160315,MATH,           1,3,           0,0,           1,3,          16,50,          15,47,          32,100,     470.7,,          11,2021,ALL,EL
Attleboro - Cyril K. Brennan Middle School,00160315,SCI,           1,6,           0,0,           1,6,           2,12,          14,82,          17,100,     459.4,,,2021,ALL,EL
Attleboro - Hill-Roberts Elementary School,00160045,ELA,           3,30,           0,0,           3,30,           5,50,           2,20,          10,100,     490.1,,,2021,ALL,EL
Attleboro - Hill-Roberts Elementary School,00160045,MATH,           0,0,           0,0,           0,0,           4,40,           6,60,          10,100,     466.8,,,2021,ALL,EL
Attleboro - Hyman Fine Elementary School,00160040,ELA,           4,20,           0,0,           4,20,          13,65,           3,15,          20,100,     483.1,,,2021,ALL,EL
Attleboro - Hyman Fine Elementary School,00160040,MATH,           0,0,           0,0,           0,0,          10,50,          10,50,          20,100,     466.7,,,2021,ALL,EL
Attleboro - Peter Thacher Elementary School,00160050,ELA,           1,6,           0,0,           1,6,          11,65,           5,29,          17,100,     478.6,,,2021,ALL,EL
Attleboro - Peter Thacher Elementary School,00160050,MATH,           1,6,           0,0,           1,6,           5,29,          11,65,          17,100,     463.7,,,2021,ALL,EL
Attleboro - Robert J. Coelho Middle School,00160305,ELA,           0,0,           0,0,           0,0,           8,67,           4,33,          12,100,     475.6,,          10,2021,ALL,EL
Attleboro - Robert J. Coelho Middle School,00160305,MATH,           2,17,           0,0,           2,17,           5,42,           5,42,          12,100,     478.8,,          10,2021,ALL,EL
Attleboro - Thomas Willett Elementary School,00160035,ELA,           1,8,           0,0,           1,8,           9,69,           3,23,          13,100,     480.1,,,2021,ALL,EL
Attleboro - Thomas Willett Elementary School,00160035,MATH,           0,0,           0,0,           0,0,           5,38,           8,62,          13,100,     461.9,,,2021,ALL,EL
Attleboro - Wamsutta Middle School,00160320,ELA,           1,5,           0,0,           1,5,           8,38,          12,57,          21,100,     469.8,          30.4,          20,2021,ALL,EL
Attleboro - Wamsutta Middle School,00160320,MATH,           0,0,           0,0,           0,0,          11,52,          10,48,          21,100,     467.5,          30.6,          20,2021,ALL,EL
Attleboro - Wamsutta Middle School,00160320,SCI,           0,0,           0,0,           0,0,           5,36,           9,64,          14,100,     466.9,,,2021,ALL,EL
Auburn - Auburn Middle,00170305,ELA,           0,0,           0,0,           0,0,           3,25,           9,75,          12,94,     458.7,,          12,2021,ALL,EL
Auburn - Auburn Middle,00170305,MATH,           1,8,           0,0,           1,8,           8,67,           3,25,          12,94,     476.6,,          12,2021,ALL,EL
Auburn - Swanson Road Intermediate School,00170030,ELA,           3,18,           0,0,           3,18,          12,71,           2,12,          17,100,     484.2,,           8,2021,ALL,EL
Auburn - Swanson Road Intermediate School,00170030,MATH,           4,24,           0,0,           4,24,           9,53,           4,24,          17,100,     486.6,,           8,2021,ALL,EL
Avon - Ralph D Butler,00180010,ELA,           3,20,           0,0,           3,20,           9,60,           3,20,          15,100,     482.8,,           6,2021,ALL,EL
Avon - Ralph D Butler,00180010,MATH,           0,0,           0,0,           0,0,           3,20,          12,80,          15,100,     459.9,,           6,2021,ALL,EL
Ayer Shirley School District - Page Hilltop Elementary School,06160002,ELA,           1,8,           0,0,           1,8,           9,69,           3,23,          13,100,     485.2,,           3,2021,ALL,EL
Ayer Shirley School District - Page Hilltop Elementary School,06160002,MATH,           0,0,           0,0,           0,0,           6,46,           7,54,          13,100,     465.3,,           3,2021,ALL,EL
Barnstable - Barnstable Community Innovation School,00200012,ELA,           4,29,           0,0,           4,29,           8,57,           2,14,          14,100,     488.9,,,2021,ALL,EL
Barnstable - Barnstable Community Innovation School,00200012,MATH,           1,7,           0,0,           1,7,          10,71,           3,21,          14,100,     479.1,,,2021,ALL,EL
Barnstable - Barnstable High,00200505,ELA,           0,0,           0,0,           0,0,           5,23,          17,77,          22,84,     454.9,,          12,2021,ALL,EL
Barnstable - Barnstable High,00200505,MATH,           0,0,           0,0,           0,0,           8,35,          15,65,          23,85,     463.9,,          13,2021,ALL,EL
Barnstable - Barnstable High,00200505,SCI,           0,0,           0,0,           0,0,           5,24,          16,76,          21,84,     462.3,,,2021,ALL,EL
Barnstable - Barnstable Intermediate School,00200315,ELA,           0,0,           0,0,           0,0,          14,27,          37,73,          51,88,     460.6,,          19,2021,ALL,EL
Barnstable - Barnstable Intermediate School,00200315,MATH,           0,0,           0,0,           0,0,          21,40,          31,60,          52,89,     466.2,          31.8,          22,2021,ALL,EL
Barnstable - Barnstable United Elementary School,00200050,ELA,           4,6,           0,0,           4,6,          25,38,          36,55,          65,97,     469.3,,          17,2021,ALL,EL
Barnstable - Barnstable United Elementary School,00200050,MATH,           2,3,           0,0,           2,3,          24,37,          39,60,          65,97,     464.1,,          17,2021,ALL,EL
Barnstable - Barnstable United Elementary School,00200050,SCI,           1,3,           0,0,           1,3,           8,28,          20,69,          29,100,     463.0,,,2021,ALL,EL
Barnstable - Hyannis West Elementary,00200025,ELA,           5,19,           0,0,           5,19,          16,62,           5,19,          26,100,     483.2,,,2021,ALL,EL
Barnstable - Hyannis West Elementary,00200025,MATH,           4,15,           0,0,           4,15,          12,46,          10,38,          26,100,     475.2,,,2021,ALL,EL
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,ELA,           1,6,           0,0,           1,6,           2,13,          13,81,          16,94,     462.4,,          14,2021,ALL,EL
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,MATH,           1,7,           0,0,           1,7,           7,47,           7,47,          15,88,     470.4,,          13,2021,ALL,EL
Bedford - Lt Job Lane School,00230012,ELA,          15,47,           2,6,          13,41,          17,53,           0,0,          32,100,     500.2,,           8,2021,ALL,EL
Bedford - Lt Job Lane School,00230012,MATH,          16,50,           2,6,          14,44,          14,44,           2,6,          32,100,     499.3,,           8,2021,ALL,EL
Belmont - Daniel Butler,00260015,ELA,           6,38,           0,0,           6,38,           8,50,           2,13,          16,100,     492.3,,,2021,ALL,EL
Belmont - Daniel Butler,00260015,MATH,           7,44,           2,13,           5,31,           6,38,           3,19,          16,100,     495.1,,,2021,ALL,EL
Belmont - Mary Lee Burbank,00260010,ELA,           5,42,           0,0,           5,42,           3,25,           4,33,          12,100,     485.6,,,2021,ALL,EL
Belmont - Mary Lee Burbank,00260010,MATH,           5,42,           0,0,           5,42,           5,42,           2,17,          12,100,     489.8,,,2021,ALL,EL
Belmont - Roger E Wellington,00260035,ELA,           7,28,           0,0,           7,28,          16,64,           2,8,          25,100,     492.3,,,2021,ALL,EL
Belmont - Roger E Wellington,00260035,MATH,          10,40,           0,0,          10,40,          10,40,           5,20,          25,100,     489.6,,,2021,ALL,EL
Belmont - Winthrop L Chenery Middle,00260305,ELA,          10,26,           0,0,          10,26,          16,42,          12,32,          38,98,     484.5,,          10,2021,ALL,EL
Belmont - Winthrop L Chenery Middle,00260305,MATH,          19,49,           2,5,          17,44,          17,44,           3,8,          39,100,     495.7,,          11,2021,ALL,EL
Belmont - Winthrop L Chenery Middle,00260305,SCI,           7,33,           0,0,           7,33,          11,52,           3,14,          21,100,     490.6,,,2021,ALL,EL
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,ELA,           3,30,           0,0,           3,30,           6,60,           1,10,          10,100,     488.1,,           2,2021,ALL,EL
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,MATH,           1,10,           0,0,           1,10,           9,90,           0,0,          10,100,     486.6,,           2,2021,ALL,EL
Berkshire Hills - W.E.B. Du Bois Regional Middle School,06180310,ELA,           1,6,           0,0,           1,6,           8,44,           9,50,          18,100,     468.8,,          10,2021,ALL,EL
Berkshire Hills - W.E.B. Du Bois Regional Middle School,06180310,MATH,           0,0,           0,0,           0,0,           6,33,          12,67,          18,100,     465.7,,          10,2021,ALL,EL
Berkshire Hills - W.E.B. Du Bois Regional Middle School,06180310,SCI,           0,0,           0,0,           0,0,           2,20,           8,80,          10,100,     463.2,,,2021,ALL,EL
Beverly - Beverly Middle School,00300305,ELA,           0,0,           0,0,           0,0,          10,42,          14,58,          24,94,     468.3,,          19,2021,ALL,EL
Beverly - Beverly Middle School,00300305,MATH,           0,0,           0,0,           0,0,          11,44,          14,56,          25,97,     464.0,,          19,2021,ALL,EL
